Date,EM (EMERGING MARKETS) LARGE GROWTH Large Cap
2001-01-01,369.872
2001-01-02,370.239
2001-01-03,373.273
2001-01-04,389.994
2001-01-05,392.14
2001-01-08,390.513
2001-01-09,396.586
2001-01-10,394.156
2001-01-11,392.248
2001-01-12,397.297
2001-01-15,400.846
2001-01-16,403.702
2001-01-17,407.614
2001-01-18,413.048
2001-01-19,421.384
2001-01-22,420.684
2001-01-23,422.334
2001-01-24,421.602
2001-01-25,421.038
2001-01-26,418.356
2001-01-29,416.191
2001-01-30,420.116
2001-01-31,424.297
2001-02-01,422.553
2001-02-02,421.706
2001-02-05,413.547
2001-02-06,415.485
2001-02-07,407.813
2001-02-08,410.473
2001-02-09,408.742
2001-02-12,409.162
2001-02-13,413.256
2001-02-14,411.503
2001-02-15,417.443
2001-02-16,412.942
2001-02-19,406.861
2001-02-20,406.688
2001-02-21,393.609
2001-02-22,383.01
2001-02-23,379.73
2001-02-26,382.464
2001-02-27,379.701
2001-02-28,377.843
2001-03-01,373.715
2001-03-02,366.239
2001-03-05,369.873
2001-03-06,374.372
2001-03-07,377.119
2001-03-08,376.335
2001-03-09,370.537
2001-03-12,357.132
2001-03-13,355.668
2001-03-14,353.886
2001-03-15,353.583
2001-03-16,349.748
2001-03-19,345.933
2001-03-20,343.246
2001-03-21,343.18
2001-03-22,334.773
2001-03-23,336.517
2001-03-26,342.487
2001-03-27,341.484
2001-03-28,338.587
2001-03-29,331.206
2001-03-30,330.798
2001-04-02,324.445
2001-04-03,315.722
2001-04-04,309.368
2001-04-05,316.198
2001-04-06,321.433
2001-04-09,320.167
2001-04-10,324.84
2001-04-11,331.578
2001-04-12,332.898
2001-04-13,332.713
2001-04-16,330.209
2001-04-17,329.25
2001-04-18,341.105
2001-04-19,348.504
2001-04-20,341.956
2001-04-23,340.31
2001-04-24,341.197
2001-04-25,341.856
2001-04-26,346.046
2001-04-27,347.213
2001-04-30,352.849
2001-05-01,352.853
2001-05-02,358.718
2001-05-03,360.538
2001-05-04,356.803
2001-05-07,358.007
2001-05-08,356.777
2001-05-09,354.959
2001-05-10,354.104
2001-05-11,352.595
2001-05-14,347.653
2001-05-15,345.818
2001-05-16,348.044
2001-05-17,357.566
2001-05-18,358.246
2001-05-21,360.493
2001-05-22,363.132
2001-05-23,363.887
2001-05-24,361.269
2001-05-25,359.011
2001-05-28,358.783
2001-05-29,357.143
2001-05-30,351.853
2001-05-31,350.571
2001-06-01,349.752
2001-06-04,349.635
2001-06-05,348.104
2001-06-06,351.134
2001-06-07,351.726
2001-06-08,356.306
2001-06-11,353.748
2001-06-12,353.002
2001-06-13,352.348
2001-06-14,350.116
2001-06-15,347.349
2001-06-18,339.176
2001-06-19,340.011
2001-06-20,338.352
2001-06-21,341.298
2001-06-22,342.659
2001-06-25,340.665
2001-06-26,338.551
2001-06-27,339.051
2001-06-28,336.122
2001-06-29,340.904
2001-07-02,342.509
2001-07-03,339.433
2001-07-04,335.703
2001-07-05,333.148
2001-07-06,327.374
2001-07-09,324.347
2001-07-10,321.955
2001-07-11,315.157
2001-07-12,319.721
2001-07-13,317.205
2001-07-16,314.831
2001-07-17,315.485
2001-07-18,313.307
2001-07-19,313.865
2001-07-20,314.131
2001-07-23,313.422
2001-07-24,311.545
2001-07-25,313.223
2001-07-26,315.94
2001-07-27,317.765
2001-07-30,319.025
2001-07-31,321.863
2001-08-01,324.224
2001-08-02,328.346
2001-08-03,327.177
2001-08-06,324.446
2001-08-07,321.421
2001-08-08,320.804
2001-08-09,316.922
2001-08-10,317.593
2001-08-13,318.222
2001-08-14,322.5
2001-08-15,321.776
2001-08-16,318.161
2001-08-17,311.389
2001-08-20,307.299
2001-08-21,307.576
2001-08-22,306.452
2001-08-23,306.617
2001-08-24,306.469
2001-08-27,310.968
2001-08-28,309.569
2001-08-29,309.209
2001-08-30,306.505
2001-08-31,304.342
2001-09-03,301.462
2001-09-04,304.202
2001-09-05,300.511
2001-09-06,294.063
2001-09-07,293.149
2001-09-10,290.171
2001-09-11,280.051
2001-09-12,272.401
2001-09-13,267.987
2001-09-14,261.708
2001-09-17,258.679
2001-09-18,261.263
2001-09-19,262.239
2001-09-20,254.86
2001-09-21,248.624
2001-09-24,251.896
2001-09-25,249.165
2001-09-26,249.58
2001-09-27,248.535
2001-09-28,252.484
2001-10-01,251.536
2001-10-02,249.3
2001-10-03,247.856
2001-10-04,252.969
2001-10-05,254.312
2001-10-08,250.448
