Date,EM (EMERGING MARKETS) LARGE GROWTH Large Cap
2001-01-01,364.886
2001-01-02,365.25
2001-01-03,368.243
2001-01-04,384.738
2001-01-05,386.858
2001-01-08,385.252
2001-01-09,391.243
2001-01-10,388.846
2001-01-11,386.964
2001-01-12,391.945
2001-01-15,395.446
2001-01-16,398.264
2001-01-17,402.123
2001-01-18,407.485
2001-01-19,415.71
2001-01-22,415.019
2001-01-23,416.647
2001-01-24,415.924
2001-01-25,415.368
2001-01-26,412.722
2001-01-29,410.586
2001-01-30,414.458
2001-01-31,418.583
2001-02-01,416.862
2001-02-02,416.027
2001-02-05,407.978
2001-02-06,409.89
2001-02-07,402.321
2001-02-08,404.945
2001-02-09,403.238
2001-02-12,403.652
2001-02-13,407.691
2001-02-14,405.993
2001-02-15,411.853
2001-02-16,407.412
2001-02-19,401.413
2001-02-20,401.243
2001-02-21,388.339
2001-02-22,377.882
2001-02-23,374.645
2001-02-26,377.343
2001-02-27,374.617
2001-02-28,372.778
2001-03-01,368.705
2001-03-02,361.329
2001-03-05,364.914
2001-03-06,369.353
2001-03-07,372.063
2001-03-08,371.289
2001-03-09,365.586
2001-03-12,352.362
2001-03-13,350.919
2001-03-14,349.161
2001-03-15,348.862
2001-03-16,345.078
2001-03-19,341.334
2001-03-20,338.683
2001-03-21,338.624
2001-03-22,330.329
2001-03-23,332.05
2001-03-26,337.945
2001-03-27,336.955
2001-03-28,334.097
2001-03-29,326.814
2001-03-30,326.411
2001-04-02,320.142
2001-04-03,311.536
2001-04-04,305.266
2001-04-05,312.006
2001-04-06,317.172
2001-04-09,315.922
2001-04-10,320.534
2001-04-11,327.183
2001-04-12,328.485
2001-04-13,328.303
2001-04-16,325.832
2001-04-17,324.885
2001-04-18,336.583
2001-04-19,343.892
2001-04-20,337.43
2001-04-23,335.807
2001-04-24,336.682
2001-04-25,337.333
2001-04-26,341.474
2001-04-27,342.625
2001-04-30,348.189
2001-05-01,348.192
2001-05-02,353.98
2001-05-03,355.776
2001-05-04,352.09
2001-05-07,353.279
2001-05-08,352.066
2001-05-09,350.271
2001-05-10,349.428
2001-05-11,347.939
2001-05-14,343.062
2001-05-15,341.272
2001-05-16,343.469
2001-05-17,352.87
2001-05-18,353.541
2001-05-21,355.763
2001-05-22,358.369
2001-05-23,359.114
2001-05-24,356.531
2001-05-25,354.302
2001-05-28,354.082
2001-05-29,352.463
2001-05-30,347.243
2001-05-31,345.977
2001-06-01,345.17
2001-06-04,345.054
2001-06-05,343.542
2001-06-06,346.533
2001-06-07,347.118
2001-06-08,351.637
2001-06-11,349.113
2001-06-12,348.376
2001-06-13,347.732
2001-06-14,345.528
2001-06-15,342.798
2001-06-18,334.734
2001-06-19,335.558
2001-06-20,333.921
2001-06-21,336.828
2001-06-22,338.172
2001-06-25,336.204
2001-06-26,334.118
2001-06-27,334.612
2001-06-28,331.723
2001-06-29,336.458
2001-07-02,338.06
2001-07-03,335.032
2001-07-04,331.35
2001-07-05,328.828
2001-07-06,323.129
2001-07-09,320.142
2001-07-10,317.781
2001-07-11,311.082
2001-07-12,315.586
2001-07-13,313.105
2001-07-16,310.762
2001-07-17,311.408
2001-07-18,309.258
2001-07-19,309.809
2001-07-20,310.071
2001-07-23,309.372
2001-07-24,307.542
2001-07-25,309.22
2001-07-26,311.902
2001-07-27,313.704
2001-07-30,314.948
2001-07-31,317.75
2001-08-01,320.08
2001-08-02,324.149
2001-08-03,322.996
2001-08-06,320.3
2001-08-07,317.314
2001-08-08,316.704
2001-08-09,312.871
2001-08-10,313.534
2001-08-13,314.155
2001-08-14,318.378
2001-08-15,317.675
2001-08-16,314.107
2001-08-17,307.421
2001-08-20,303.383
2001-08-21,303.656
2001-08-22,302.548
2001-08-23,302.711
2001-08-24,302.565
2001-08-27,307.006
2001-08-28,305.642
2001-08-29,305.286
2001-08-30,302.617
2001-08-31,300.481
2001-09-03,297.637
2001-09-04,300.343
2001-09-05,296.701
2001-09-06,290.334
2001-09-07,289.432
2001-09-10,286.491
2001-09-11,276.5
2001-09-12,268.947
2001-09-13,264.589
2001-09-14,258.392
2001-09-17,255.401
2001-09-18,257.953
2001-09-19,258.916
2001-09-20,251.63
2001-09-21,245.473
2001-09-24,248.705
2001-09-25,246.01
2001-09-26,246.42
2001-09-27,245.388
2001-09-28,249.286
2001-10-01,248.351
2001-10-02,246.144
2001-10-03,244.717
2001-10-04,249.766
2001-10-05,251.092
2001-10-08,247.277
2001-10-09,253.708
2001-10-10,258.5
2001-10-11,267.853
2001-10-12,266.997
2001-10-15,264.793
2001-10-16,267.719
2001-10-17,269.568
2001-10-18,265.361
2001-10-19,265.907
2001-10-22,267.052
2001-10-23,269.703
2001-10-24,273.429
2001-10-25,273.456
2001-10-26,275.425
2001-10-29,275.256
2001-10-30,268.616
2001-10-31,270.144
2001-11-01,271.085
2001-11-02,273.457
2001-11-05,279.325
2001-11-06,280.88
2001-11-07,280.592
2001-11-08,285.618
2001-11-09,288.211
2001-11-12,287.105
2001-11-13,291.633
2001-11-14,296.623
2001-11-15,300.722
2001-11-16,301.213
2001-11-19,307.787
2001-11-20,301.14
2001-11-21,300.426
2001-11-22,301.874
2001-11-23,306.044
2001-11-26,311.78
2001-11-27,310.949
2001-11-28,303.157
2001-11-29,300.559
2001-11-30,302.444
2001-12-03,307.151
2001-12-04,311.806
2001-12-05,324.305
2001-12-06,329.831
2001-12-07,331.554
2001-12-10,324.354
2001-12-11,324.84
2001-12-12,330.919
2001-12-13,324.036
2001-12-14,321.401
2001-12-17,320.064
2001-12-18,321.548
2001-12-19,322.905
2001-12-20,323.552
2001-12-21,318.483
2001-12-24,320.556
2001-12-25,322.873
2001-12-26,323.045
2001-12-27,325.329
2001-12-28,330.774
2001-12-31,333.506
2002-01-01,333.418
2002-01-02,337.991
2002-01-03,341.322
2002-01-04,349.312
2002-01-07,352.348
2002-01-08,349.622
2002-01-09,348.387
2002-01-10,341.258
2002-01-11,337.067
2002-01-14,337.423
2002-01-15,333.765
2002-01-16,330.352
2002-01-17,331.985
2002-01-18,330.956
2002-01-21,333.972
2002-01-22,332.968
2002-01-23,334.709
2002-01-24,336.046
2002-01-25,338.083
2002-01-28,338.579
2002-01-29,336.247
2002-01-30,330.387
2002-01-31,334.649
2002-02-01,334.126
2002-02-04,332.619
2002-02-05,332.771
2002-02-06,334.378
2002-02-07,330.068
2002-02-08,330.605
2002-02-11,330.737
2002-02-12,332.239
2002-02-13,334.184
2002-02-14,340.144
2002-02-15,338.63
2002-02-18,338.98
2002-02-19,334.355
2002-02-20,329.357
2002-02-21,329.959
2002-02-22,329.585
2002-02-25,330.493
2002-02-26,331.837
2002-02-27,338.005
2002-02-28,335.684
2002-03-01,339.528
2002-03-04,349.744
2002-03-05,353.797
2002-03-06,356.537
2002-03-07,354.83
2002-03-08,353.493
2002-03-11,355.293
2002-03-12,353.555
2002-03-13,351.036
2002-03-14,350.881
2002-03-15,347.938
2002-03-18,350.154
