Date,FRANCE MID VALUE Mid Cap
2010-02-26,730.669
2010-03-31,787.505
2010-04-30,778.415
2010-05-31,675.452
2010-06-30,678.977
2010-07-30,760.983
2010-08-31,706.931
2010-09-30,823.726
2010-10-29,880.801
2010-11-30,786.278
2010-12-31,852.016
2011-01-31,906.913
2011-02-28,931.207
2011-03-31,926.787
2011-04-29,996.552
2011-05-31,966.372
2011-06-30,951.981
2011-07-29,854.517
2011-08-31,735.955
2011-09-30,599.315
2011-10-31,658.931
2011-11-30,611.123
2011-12-30,585.081
2012-01-31,646.321
2012-02-29,704.583
2012-03-30,724.437
2012-04-30,646.418
2012-05-31,558.282
2012-06-29,604.544
2012-07-31,590.038
2012-08-31,605.942
2012-09-28,631.212
2012-10-31,632.298
2012-11-30,661.27
2012-12-31,687.826
2013-01-31,733.855
2013-02-28,730.111
2013-03-29,712.911
2013-04-30,744.648
2013-05-31,769.612
2013-06-28,742.666
2013-07-31,816.737
2013-08-30,810.803
2013-09-30,883.334
2013-10-31,928.458
2013-11-29,918.276
2013-12-31,949.503
2014-01-31,908.323
2014-02-28,990.815
2014-03-31,993.52
2014-04-30,996.441
2014-05-30,1007.182
2014-06-30,989.523
2014-07-31,933.742
2014-08-29,917.577
2014-09-30,868.098
2014-10-31,826.13
2014-11-28,873.047
2014-12-31,840.834
2015-01-30,873.497
2015-02-27,913.231
2015-03-31,908.669
2015-04-30,949.726
2015-05-29,940.702
2015-06-30,906.768
2015-07-31,922.305
2015-08-31,856.797
2015-09-30,816.888
2015-10-30,878.852
2015-11-30,872.914
2015-12-31,853.131
2016-01-29,828.37
2016-02-29,810.521
2016-03-31,903.359
2016-04-29,937.588
2016-05-31,864.424
2016-06-30,810.018
2016-07-29,899.619
2016-08-31,893.11
2016-09-30,933.144
2016-10-31,932.647
2016-11-30,912.372
2016-12-30,970.252
2017-01-31,959.495
2017-02-28,972.266
2017-03-31,1053.106
2017-04-28,1089.511
2017-05-31,1160.226
2017-06-30,1149.054
2017-07-31,1175.728
2017-08-31,1185.23
2017-09-29,1211.936
2017-10-31,1142.556
2017-11-30,1153.736
2017-12-29,1171.297
2018-01-31,1233.096
2018-02-28,1190.383
2018-03-30,1144.306
2018-04-30,1175.573
2018-05-31,1134.517
2018-06-29,1127.715
2018-07-31,1214.648
2018-08-31,1214.638
2018-09-28,1245.652
2018-10-31,1175.744
2018-11-30,1174.855
2018-12-31,1103.206
2019-01-31,1192.473
2019-02-28,1211.179
2019-03-29,1157.552
2019-04-30,1235.186
2019-05-31,1143.721
2019-06-28,1226.571
2019-07-31,1219.284
2019-08-30,1181.569
2019-09-30,1264.185
