Date,FRANCE MID VALUE Mid Cap
1994-05-31,145.86
1994-06-30,144.033
1994-07-29,153.876
1994-08-31,154.6
1994-09-30,144.702
1994-10-31,146.354
1994-11-30,142.853
1994-12-30,141.627
1995-01-31,137.874
1995-02-28,140.946
1995-03-31,150.02
1995-04-28,148.607
1995-05-31,152.633
1995-06-30,154.7
1995-07-31,160.505
1995-08-31,149.737
1995-09-29,146.081
1995-10-31,146.208
1995-11-30,144.76
1995-12-29,145.391
1996-01-31,152.543
1996-02-29,162.076
1996-03-29,164.516
1996-04-30,163.146
1996-05-31,164.295
1996-06-28,164.027
1996-07-31,162.608
1996-08-30,158.439
1996-09-30,156.637
1996-10-31,156.586
1996-11-29,161.709
1996-12-31,164.996
1997-01-31,167.498
1997-02-28,166.712
1997-03-31,167.7
1997-04-30,159.439
1997-05-30,162.433
1997-06-30,166.903
1997-07-31,169.57
1997-08-29,166.682
1997-09-30,176.343
1997-10-31,176.059
1997-11-28,171.492
1997-12-31,175.594
1998-01-30,180.301
1998-02-27,198.482
1998-03-31,218.659
1998-04-30,230.452
1998-05-29,242.825
1998-06-30,244.729
1998-07-31,245.279
1998-08-31,223.588
1998-09-30,214.729
1998-10-30,225.13
1998-11-30,233.172
1998-12-31,239.574
1999-01-29,240.308
1999-02-26,228.38
1999-03-31,228.098
1999-04-30,238.555
1999-05-31,235.039
1999-06-30,245.028
1999-07-30,249.844
1999-08-31,262.071
1999-09-30,257.343
1999-10-29,255.183
1999-11-30,249.079
1999-12-31,281.451
2000-01-31,272.867
2000-02-29,276.366
2000-03-31,275.804
2000-04-28,260.746
2000-05-31,265.485
2000-06-30,283.281
2000-07-31,286.684
2000-08-31,284.574
2000-09-29,264.095
2000-10-31,259.46
2000-11-30,271.733
2000-12-29,306.359
2001-01-31,305.055
2001-02-28,307.359
2001-03-30,282.038
2001-04-30,290.759
2001-05-31,286.398
2001-06-29,276.629
2001-07-31,283.803
2001-08-31,286.67
2001-09-28,234.535
2001-10-31,252.332
2001-11-30,267.867
2001-12-31,273.494
2002-01-31,269.279
2002-02-28,278.592
2002-03-29,296.348
2002-04-30,304.813
2002-05-31,313.036
2002-06-28,311.688
2002-07-31,280.764
2002-08-30,272.567
2002-09-30,234.745
2002-10-31,260.678
2002-11-29,278.718
2002-12-31,263.68
2003-01-31,254.964
2003-02-28,243.856
2003-03-31,228.357
2003-04-30,269.313
2003-05-30,291.654
2003-06-30,299.556
2003-07-31,318.787
2003-08-29,321.987
2003-09-30,325.198
2003-10-31,349.882
2003-11-28,370.134
2003-12-31,389.429
2004-01-30,399.884
2004-02-27,407.531
2004-03-31,393.724
2004-04-30,395.87
2004-05-31,404.896
2004-06-30,422.424
2004-07-30,416.015
2004-08-31,417.269
2004-09-30,428.285
2004-10-29,445.822
2004-11-30,487.605
2004-12-31,519.435
2005-01-31,520.81
2005-02-28,553.772
2005-03-31,542.409
2005-04-29,529.678
2005-05-31,545.775
2005-06-30,553.549
2005-07-29,561.739
2005-08-31,569.473
2005-09-30,574.402
2005-10-31,543.365
2005-11-30,566.875
2005-12-30,600.137
2006-01-31,647.054
2006-02-28,657.316
2006-03-31,688.594
2006-04-28,727.393
2006-05-31,687.326
2006-06-30,668.698
2006-07-31,664.611
2006-08-31,702.763
2006-09-29,723.958
2006-10-31,773.662
2006-11-30,824.359
2006-12-29,857.754
2007-01-31,866.686
2007-02-28,884.631
2007-03-30,956.137
2007-04-30,999.365
2007-05-31,1000.0
2007-06-29,994.652
2007-07-31,940.059
2007-08-31,928.908
2007-09-28,970.437
2007-10-31,998.253
2007-11-30,955.469
2007-12-31,901.615
2008-01-31,816.044
2008-02-29,845.402
2008-03-31,855.459
2008-04-30,863.711
2008-05-30,864.612
2008-06-30,754.262
2008-07-31,744.784
2008-08-29,753.636
2008-09-30,658.479
2008-10-31,500.944
2008-11-28,482.789
2008-12-31,534.52
2009-01-30,493.796
2009-02-27,437.14
2009-03-31,454.648
2009-04-30,544.982
2009-05-29,610.104
2009-06-30,587.774
2009-07-31,659.377
2009-08-31,737.445
2009-09-30,797.695
2009-10-30,758.514
2009-11-30,770.356
2009-12-31,789.369
2010-01-29,757.672
2010-02-26,747.207
2010-03-31,805.329
2010-04-30,796.806
2010-05-31,694.758
2010-06-30,699.29
2010-07-30,784.175
2010-08-31,728.52
2010-09-30,848.882
2010-10-29,907.701
2010-11-30,810.334
2010-12-31,878.361
2011-01-31,934.956
2011-02-28,960.108
2011-03-31,955.552
2011-04-29,1029.512
2011-05-31,1002.586
2011-06-30,989.446
2011-07-29,888.497
2011-08-31,765.37
2011-09-30,623.269
2011-10-31,685.268
2011-11-30,635.696
2011-12-30,609.13
2012-01-31,672.887
2012-02-29,733.718
2012-03-30,754.393
2012-04-30,675.368
2012-05-31,587.066
2012-06-29,637.0
2012-07-31,621.715
2012-08-31,638.607
2012-09-28,665.24
2012-10-31,666.385
2012-11-30,697.059
2012-12-31,725.155
2013-01-31,773.682
2013-02-28,769.788
2013-03-29,751.654
2013-04-30,788.32
2013-05-31,819.023
2013-06-28,791.602
2013-07-31,870.554
2013-08-30,864.23
2013-09-30,941.601
2013-10-31,989.702
2013-11-29,978.848
2013-12-31,1012.304
2014-01-31,968.4
2014-02-28,1056.348
2014-03-31,1059.311
2014-04-30,1064.771
2014-05-30,1087.508
2014-06-30,1069.998
2014-07-31,1009.681
2014-08-29,992.201
2014-09-30,938.758
2014-10-31,893.375
2014-11-28,944.11
2014-12-31,909.452
2015-01-30,945.164
2015-02-27,988.158
2015-03-31,983.334
2015-04-30,1029.319
2015-05-29,1024.307
2015-06-30,989.469
2015-07-31,1006.423
2015-08-31,934.941
2015-09-30,891.517
2015-10-30,959.142
2015-11-30,953.494
2015-12-31,931.926
2016-01-29,904.879
2016-02-29,885.381
2016-03-31,987.207
2016-04-29,1026.442
2016-05-31,952.397
2016-06-30,893.135
2016-07-29,992.785
2016-08-31,985.602
2016-09-30,1029.843
2016-10-31,1029.295
2016-11-30,1007.878
2016-12-30,1071.817
2017-01-31,1059.934
2017-02-28,1074.042
2017-03-31,1164.01
2017-04-28,1206.593
2017-05-31,1292.461
2017-06-30,1280.016
2017-07-31,1310.686
2017-08-31,1321.279
2017-09-29,1351.051
2017-10-31,1273.706
2017-11-30,1288.14
2017-12-29,1308.375
2018-01-31,1377.407
2018-02-28,1329.695
2018-03-30,1279.16
2018-04-30,1317.484
2018-05-31,1278.212
2018-06-29,1271.563
2018-07-31,1370.173
2018-08-31,1370.162
2018-09-28,1405.147
2018-10-31,1326.288
2018-11-30,1327.192
2018-12-31,1246.781
2019-01-31,1347.666
2019-02-28,1368.806
2019-03-29,1310.843
2019-04-30,1399.709
2019-05-31,1305.901
2019-06-28,1401.102
2019-07-31,1395.446
2019-08-30,1352.282
2019-09-30,1446.835
2019-10-31,1536.656
2019-11-29,1489.567
2019-12-31,1527.601
2020-01-31,1503.694
2020-02-28,1380.522
2020-03-31,1008.834
2020-04-30,1083.382
2020-05-29,1099.8
2020-06-30,1174.723
2020-07-31,1187.779
2020-08-31,1270.02
2020-09-30,1199.639
2020-10-30,1124.187
2020-11-30,1467.1
2020-12-31,1559.802
2021-01-29,1538.624
2021-02-26,1612.616
2021-03-31,1648.532
2021-04-30,1753.308
2021-05-31,1809.572
2021-06-30,1735.549
2021-07-30,1732.568
2021-08-31,1785.635
2021-09-30,1701.369
2021-10-29,1749.92
2021-11-30,1636.393
2021-12-31,1747.346
2022-01-31,1731.844
2022-02-28,1681.571
2022-03-31,1608.754
2022-04-29,1507.093
2022-05-31,1531.957
2022-06-30,1296.106
2022-07-29,1379.968
2022-08-31,1291.403
2022-09-30,1127.025
2022-10-31,1275.303
2022-11-30,1419.643
2022-12-30,1425.072
2023-01-31,1605.232
2023-02-28,1642.738
2023-03-31,1603.598
2023-04-28,1663.359
2023-05-31,1527.648
2023-06-30,1628.68
2023-07-31,1707.888
2023-08-31,1639.066
2023-09-29,1552.074
2023-10-31,1465.811
2023-11-30,1633.212
2023-12-29,1744.518
2024-01-31,1749.675
2024-02-29,1750.876
2024-03-29,1829.614
2024-04-30,1808.721
2024-05-31,1941.266
2024-06-28,1755.152
2024-07-31,1845.76
2024-08-30,1909.578
2024-09-30,1927.486
2024-10-31,1865.09
2024-11-29,1802.347
2024-12-31,1771.317
2025-01-31,1830.452
2025-02-28,1831.764
2025-03-31,1857.735
2025-04-30,1999.246
2025-05-30,2100.664
2025-06-30,2116.574
2025-07-31,2005.44
2025-08-29,2029.902
2025-09-30,2061.923
2025-10-31,2036.006
