Date,FRANCE MID VALUE Mid Cap
2001-01-01,320.0
2001-01-02,321.498
2001-01-03,316.344
2001-01-04,319.255
2001-01-05,320.602
2001-01-08,315.079
2001-01-09,311.852
2001-01-10,312.474
2001-01-11,314.252
2001-01-12,314.909
2001-01-15,313.396
2001-01-16,312.095
2001-01-17,310.446
2001-01-18,314.978
2001-01-19,313.203
2001-01-22,311.53
2001-01-23,312.689
2001-01-24,307.015
2001-01-25,310.219
2001-01-26,311.047
2001-01-29,310.869
2001-01-30,314.09
2001-01-31,318.595
2001-02-01,321.058
2001-02-02,319.036
2001-02-05,320.419
2001-02-06,319.056
2001-02-07,319.437
2001-02-08,318.012
2001-02-09,318.11
2001-02-12,320.027
2001-02-13,317.188
2001-02-14,317.374
2001-02-15,314.213
2001-02-16,319.658
2001-02-19,319.731
2001-02-20,316.07
2001-02-21,316.685
2001-02-22,316.583
2001-02-23,314.7
2001-02-26,315.888
2001-02-27,321.741
2001-02-28,320.986
2001-03-01,323.405
2001-03-02,325.573
2001-03-05,323.955
2001-03-06,325.326
2001-03-07,325.892
2001-03-08,327.492
2001-03-09,328.094
2001-03-12,322.47
2001-03-13,314.841
2001-03-14,306.26
2001-03-15,305.895
2001-03-16,298.222
2001-03-19,298.488
2001-03-20,299.107
2001-03-21,291.296
2001-03-22,277.529
2001-03-23,286.537
2001-03-26,291.71
2001-03-27,297.899
2001-03-28,294.643
2001-03-29,291.186
2001-03-30,294.543
2001-04-02,292.129
2001-04-03,289.391
2001-04-04,293.245
2001-04-05,292.688
2001-04-06,294.108
2001-04-09,293.973
2001-04-10,293.19
2001-04-11,291.747
2001-04-12,297.122
2001-04-13,297.122
2001-04-16,294.079
2001-04-17,292.179
2001-04-18,292.462
2001-04-19,298.117
2001-04-20,302.287
2001-04-23,301.218
2001-04-24,301.9
2001-04-25,302.711
2001-04-26,305.262
2001-04-27,304.331
2001-04-30,303.633
2001-05-01,305.243
2001-05-02,305.908
2001-05-03,304.369
2001-05-04,303.677
2001-05-07,303.276
2001-05-08,303.161
2001-05-09,301.649
2001-05-10,302.383
2001-05-11,302.066
2001-05-14,300.732
2001-05-15,304.498
2001-05-16,305.096
2001-05-17,309.219
2001-05-18,307.79
2001-05-21,307.12
2001-05-22,304.986
2001-05-23,302.344
2001-05-24,302.338
2001-05-25,300.737
2001-05-28,303.622
2001-05-29,301.231
2001-05-30,301.74
2001-05-31,298.623
2001-06-01,300.218
2001-06-04,300.626
2001-06-05,302.13
2001-06-06,299.869
2001-06-07,301.449
2001-06-08,300.41
2001-06-11,297.934
2001-06-12,295.189
2001-06-13,296.368
2001-06-14,296.571
2001-06-15,294.896
2001-06-18,295.725
2001-06-19,294.418
2001-06-20,288.785
2001-06-21,288.39
2001-06-22,290.25
2001-06-25,291.21
2001-06-26,286.872
2001-06-27,287.294
2001-06-28,283.844
2001-06-29,287.438
2001-07-02,286.951
2001-07-03,287.318
2001-07-04,288.202
2001-07-05,283.85
2001-07-06,284.565
2001-07-09,285.982
2001-07-10,288.825
2001-07-11,288.961
2001-07-12,286.296
2001-07-13,287.352
2001-07-16,288.37
2001-07-17,286.124
2001-07-18,290.023
2001-07-19,292.404
2001-07-20,291.473
2001-07-23,289.869
2001-07-24,290.921
2001-07-25,291.589
2001-07-26,291.779
2001-07-27,292.423
2001-07-30,293.658
2001-07-31,294.793
2001-08-01,297.715
2001-08-02,299.445
2001-08-03,299.859
2001-08-06,297.34
2001-08-07,296.475
2001-08-08,295.889
2001-08-09,298.711
2001-08-10,299.478
2001-08-13,301.957
2001-08-14,301.217
2001-08-15,305.218
2001-08-16,304.927
2001-08-17,303.349
2001-08-20,301.574
2001-08-21,302.048
2001-08-22,303.97
2001-08-23,302.058
2001-08-24,303.957
2001-08-27,302.823
2001-08-28,301.905
2001-08-29,301.328
2001-08-30,298.311
2001-08-31,297.771
2001-09-03,294.363
2001-09-04,288.768
2001-09-05,286.873
2001-09-06,283.209
2001-09-07,284.294
2001-09-10,279.196
2001-09-11,264.383
2001-09-12,258.192
2001-09-13,258.321
2001-09-14,252.495
2001-09-17,249.935
2001-09-18,250.125
2001-09-19,248.251
2001-09-20,235.64
2001-09-21,225.47
2001-09-24,235.278
2001-09-25,242.258
2001-09-26,246.681
2001-09-27,245.35
2001-09-28,243.587
2001-10-01,245.009
2001-10-02,242.659
2001-10-03,243.644
2001-10-04,245.614
2001-10-05,249.215
2001-10-08,248.015
2001-10-09,247.972
2001-10-10,252.0
2001-10-11,253.21
2001-10-12,256.77
2001-10-15,254.307
2001-10-16,257.682
2001-10-17,260.339
2001-10-18,256.45
2001-10-19,254.884
2001-10-22,254.357
2001-10-23,255.307
2001-10-24,260.907
2001-10-25,262.192
2001-10-26,264.044
2001-10-29,263.87
2001-10-30,262.47
2001-10-31,262.07
2001-11-01,265.942
2001-11-02,264.074
2001-11-05,264.115
2001-11-06,262.586
2001-11-07,265.628
2001-11-08,268.03
2001-11-09,266.447
2001-11-12,265.094
2001-11-13,266.263
2001-11-14,270.842
2001-11-15,274.378
2001-11-16,274.253
2001-11-19,276.181
2001-11-20,275.733
2001-11-21,272.554
2001-11-22,273.339
2001-11-23,272.638
2001-11-26,273.262
2001-11-27,274.339
2001-11-28,274.131
2001-11-29,274.884
2001-11-30,278.205
2001-12-03,275.372
2001-12-04,276.509
2001-12-05,281.228
2001-12-06,284.228
2001-12-07,284.086
2001-12-10,282.161
2001-12-11,280.635
2001-12-12,281.108
2001-12-13,278.369
2001-12-14,279.136
2001-12-17,283.13
2001-12-18,281.201
2001-12-19,279.93
2001-12-20,278.75
2001-12-21,277.306
2001-12-24,274.133
2001-12-25,274.133
2001-12-26,274.367
2001-12-27,278.245
2001-12-28,281.305
2001-12-31,284.049
2002-01-01,284.049
2002-01-02,287.485
2002-01-03,290.441
2002-01-04,292.831
2002-01-07,292.365
2002-01-08,288.483
2002-01-09,290.135
2002-01-10,289.045
2002-01-11,289.476
2002-01-14,289.468
2002-01-15,288.258
2002-01-16,285.016
2002-01-17,284.776
2002-01-18,285.123
2002-01-21,284.193
2002-01-22,285.294
2002-01-23,286.486
2002-01-24,285.747
2002-01-25,282.05
2002-01-28,282.71
2002-01-29,280.766
2002-01-30,277.732
2002-01-31,279.481
2002-02-01,279.618
2002-02-04,281.462
2002-02-05,278.722
2002-02-06,278.626
2002-02-07,278.501
2002-02-08,280.663
2002-02-11,283.116
2002-02-12,282.832
2002-02-13,283.153
2002-02-14,285.29
2002-02-15,286.18
2002-02-18,283.386
