Date,SWEDEN IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,107.874
1994-06-30,100.564
1994-07-29,107.543
1994-08-31,104.643
1994-09-30,105.255
1994-10-31,112.036
1994-11-30,111.52
1994-12-30,110.368
1995-01-31,112.972
1995-02-28,115.941
1995-03-31,105.546
1995-04-28,115.451
1995-05-31,116.542
1995-06-30,120.669
1995-07-31,131.919
1995-08-31,121.25
1995-09-29,137.738
1995-10-31,133.825
1995-11-30,137.677
1995-12-29,136.525
1996-01-31,128.606
1996-02-29,141.42
1996-03-29,146.337
1996-04-30,153.15
1996-05-31,159.958
1996-06-28,165.093
1996-07-31,161.385
1996-08-30,168.399
1996-09-30,176.801
1996-10-31,179.23
1996-11-29,188.081
1996-12-31,191.994
1997-01-31,189.707
1997-02-28,200.187
1997-03-31,208.139
1997-04-30,197.943
1997-05-30,211.304
1997-06-30,224.763
1997-07-31,230.292
1997-08-29,224.274
1997-09-30,247.046
1997-10-31,223.926
1997-11-28,229.285
1997-12-31,222.46
1998-01-30,221.906
1998-02-27,243.124
1998-03-31,260.153
1998-04-30,271.682
1998-05-29,272.668
1998-06-30,267.168
1998-07-31,264.985
1998-08-31,218.324
1998-09-30,200.07
1998-10-30,205.678
1998-11-30,210.108
1998-12-31,205.564
1999-01-29,217.463
1999-02-26,207.458
1999-03-31,214.429
1999-04-30,229.374
1999-05-31,220.081
1999-06-30,227.383
1999-07-30,239.225
1999-08-31,242.557
1999-09-30,242.121
1999-10-29,239.616
1999-11-30,241.115
1999-12-31,253.533
2000-01-31,237.54
2000-02-29,239.154
2000-03-31,245.554
2000-04-28,240.566
2000-05-31,241.93
2000-06-30,243.566
2000-07-31,238.821
2000-08-31,233.352
2000-09-29,228.922
2000-10-31,229.315
2000-11-30,223.918
2000-12-29,240.762
2001-01-31,255.389
2001-02-28,243.899
2001-03-30,209.069
2001-04-30,226.457
2001-05-31,219.813
2001-06-29,216.778
2001-07-31,216.711
2001-08-31,215.139
2001-09-28,183.34
2001-10-31,190.2
2001-11-30,208.496
2001-12-31,219.163
2002-01-31,215.097
2002-02-28,229.653
2002-03-29,239.232
2002-04-30,245.635
2002-05-31,251.348
2002-06-28,248.503
2002-07-31,214.33
2002-08-30,214.56
2002-09-30,185.913
2002-10-31,202.24
2002-11-29,230.643
2002-12-31,208.286
2003-01-31,202.149
2003-02-28,204.833
2003-03-31,201.147
2003-04-30,245.475
2003-05-30,254.39
2003-06-30,257.074
2003-07-31,274.973
2003-08-29,281.437
2003-09-30,291.451
2003-10-31,320.188
2003-11-28,330.703
2003-12-31,360.199
2004-01-30,356.307
2004-02-27,350.348
2004-03-31,349.115
2004-04-30,356.01
2004-05-31,362.831
2004-06-30,371.625
2004-07-30,362.118
2004-08-31,372.554
2004-09-30,394.96
2004-10-29,411.589
2004-11-30,463.194
2004-12-31,476.038
2005-01-31,456.734
2005-02-28,499.211
2005-03-31,481.905
2005-04-29,463.781
2005-05-31,469.659
2005-06-30,458.726
2005-07-29,487.172
2005-08-31,493.703
2005-09-30,513.949
2005-10-31,499.414
2005-11-30,512.328
2005-12-30,554.909
2006-01-31,587.421
2006-02-28,589.474
2006-03-31,642.118
2006-04-28,691.691
2006-05-31,649.618
2006-06-30,646.174
2006-07-31,652.189
2006-08-31,679.407
2006-09-29,712.329
2006-10-31,754.631
2006-11-30,786.389
2006-12-29,854.663
2007-01-31,875.232
2007-02-28,860.874
2007-03-30,914.299
2007-04-30,1023.257
2007-05-31,1000.0
2007-06-29,961.682
2007-07-31,984.758
2007-08-31,915.486
2007-09-28,968.472
2007-10-31,972.231
2007-11-30,922.883
2007-12-31,893.031
2008-01-31,779.422
2008-02-29,832.664
2008-03-31,867.087
2008-04-30,888.338
2008-05-30,886.585
2008-06-30,731.364
2008-07-31,735.599
2008-08-29,716.036
2008-09-30,590.14
2008-10-31,429.554
2008-11-28,406.316
2008-12-31,432.779
2009-01-30,375.398
2009-02-27,362.38
2009-03-31,407.343
2009-04-30,519.865
2009-05-29,561.808
2009-06-30,550.389
