Date,SWEDEN IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,121.11
1994-06-30,112.85
1994-07-29,120.683
1994-08-31,117.428
1994-09-30,118.115
1994-10-31,125.725
1994-11-30,125.145
1994-12-30,123.853
1995-01-31,126.775
1995-02-28,130.107
1995-03-31,118.441
1995-04-28,129.183
1995-05-31,129.888
1995-06-30,134.467
1995-07-31,147.004
1995-08-31,135.115
1995-09-29,153.48
1995-10-31,149.12
1995-11-30,153.413
1995-12-29,152.129
1996-01-31,143.305
1996-02-29,157.584
1996-03-29,163.063
1996-04-30,169.88
1996-05-31,176.545
1996-06-28,182.212
1996-07-31,178.121
1996-08-30,185.861
1996-09-30,195.126
1996-10-31,197.807
1996-11-29,207.574
1996-12-31,211.893
1997-01-31,209.369
1997-02-28,220.936
1997-03-31,229.583
1997-04-30,216.859
1997-05-30,231.369
1997-06-30,246.106
1997-07-31,252.16
1997-08-29,245.571
1997-09-30,270.505
1997-10-31,245.19
1997-11-28,251.058
1997-12-31,243.584
1998-01-30,242.978
1998-02-27,266.211
1998-03-31,284.635
1998-04-30,295.669
1998-05-29,296.715
1998-06-30,290.722
1998-07-31,288.347
1998-08-31,237.571
1998-09-30,217.709
1998-10-30,223.811
1998-11-30,228.631
1998-12-31,223.687
1999-01-29,236.635
1999-02-26,225.748
1999-03-31,233.154
1999-04-30,248.176
1999-05-31,237.944
1999-06-30,245.839
1999-07-30,258.642
1999-08-31,262.245
1999-09-30,261.773
1999-10-29,259.065
1999-11-30,260.686
1999-12-31,274.112
2000-01-31,256.821
2000-02-29,258.565
2000-03-31,265.278
2000-04-28,258.774
2000-05-31,259.932
2000-06-30,261.689
2000-07-31,256.591
2000-08-31,250.715
2000-09-29,245.956
2000-10-31,246.378
2000-11-30,240.579
2000-12-29,258.677
2001-01-31,274.39
2001-02-28,262.045
2001-03-30,224.507
2001-04-30,241.259
2001-05-31,233.997
2001-06-29,230.642
2001-07-31,230.57
2001-08-31,228.898
2001-09-28,195.065
2001-10-31,202.364
2001-11-30,221.83
2001-12-31,233.18
2002-01-31,228.853
2002-02-28,244.341
2002-03-29,254.466
2002-04-30,259.15
2002-05-31,264.959
2002-06-28,261.96
2002-07-31,225.936
2002-08-30,226.179
2002-09-30,195.981
2002-10-31,213.191
2002-11-29,243.133
2002-12-31,219.566
2003-01-31,213.096
2003-02-28,215.925
2003-03-31,211.924
2003-04-30,256.488
2003-05-30,265.395
2003-06-30,268.187
2003-07-31,286.859
2003-08-29,293.602
2003-09-30,304.05
2003-10-31,334.029
2003-11-28,344.999
2003-12-31,375.77
2004-01-30,371.71
2004-02-27,365.493
2004-03-31,363.592
2004-04-30,368.175
2004-05-31,374.46
2004-06-30,383.536
2004-07-30,373.724
2004-08-31,384.495
2004-09-30,407.619
2004-10-29,424.781
2004-11-30,478.039
2004-12-31,491.28
2005-01-31,471.358
2005-02-28,515.195
2005-03-31,497.262
2005-04-29,474.199
2005-05-31,479.442
2005-06-30,468.281
2005-07-29,497.319
2005-08-31,503.986
2005-09-30,524.655
2005-10-31,509.816
2005-11-30,523.0
2005-12-30,566.468
2006-01-31,599.657
2006-02-28,601.752
2006-03-31,654.669
2006-04-28,699.521
2006-05-31,656.264
2006-06-30,652.784
2006-07-31,658.861
2006-08-31,686.342
2006-09-29,719.6
2006-10-31,762.316
2006-11-30,794.379
2006-12-29,863.347
2007-01-31,884.125
2007-02-28,869.622
2007-03-30,921.668
2007-04-30,1023.379
2007-05-31,1000.0
2007-06-29,961.682
2007-07-31,984.758
2007-08-31,915.476
2007-09-28,968.462
2007-10-31,972.221
2007-11-30,922.874
2007-12-31,893.002
2008-01-31,779.396
2008-02-29,832.637
2008-03-31,866.801
2008-04-30,874.708
2008-05-30,872.296
2008-06-30,719.577
2008-07-31,723.744
2008-08-29,704.496
2008-09-30,580.629
2008-10-31,422.631
2008-11-28,399.767
2008-12-31,425.786
2009-01-30,369.333
2009-02-27,356.525
2009-03-31,400.591
2009-04-30,506.401
2009-05-29,547.014
2009-06-30,535.895
2009-07-31,642.961
2009-08-31,694.737
2009-09-30,699.144
2009-10-30,736.368
2009-11-30,738.037
2009-12-31,742.135
2010-01-29,712.28
2010-02-26,736.257
2010-03-31,779.066
2010-04-30,781.757
2010-05-31,670.408
2010-06-30,692.619
2010-07-30,780.619
2010-08-31,722.231
2010-09-30,859.156
2010-10-29,875.018
2010-11-30,822.342
2010-12-31,912.975
2011-01-31,975.943
2011-02-28,969.058
2011-03-31,979.88
2011-04-29,1055.7
2011-05-31,1021.303
2011-06-30,957.013
2011-07-29,920.001
2011-08-31,819.681
2011-09-30,721.382
2011-10-31,823.82
2011-11-30,774.073
2011-12-30,770.493
2012-01-31,812.845
2012-02-29,901.059
2012-03-30,876.329
2012-04-30,856.205
2012-05-31,736.746
2012-06-29,809.52
2012-07-31,859.652
2012-08-31,863.749
2012-09-28,901.837
2012-10-31,865.984
2012-11-30,889.685
2012-12-31,931.05
2013-01-31,1048.069
2013-02-28,1086.372
2013-03-29,1093.407
2013-04-30,1132.401
2013-05-31,1115.615
2013-06-28,1040.411
2013-07-31,1154.097
2013-08-30,1111.462
2013-09-30,1176.224
2013-10-31,1227.583
2013-11-29,1241.249
2013-12-31,1309.871
2014-01-31,1257.519
2014-02-28,1362.645
2014-03-31,1358.282
2014-04-30,1373.129
2014-05-30,1393.054
2014-06-30,1366.436
2014-07-31,1324.106
2014-08-29,1299.702
2014-09-30,1268.188
2014-10-31,1255.559
2014-11-28,1283.341
2014-12-31,1218.898
2015-01-30,1239.246
2015-02-27,1324.914
2015-03-31,1263.705
2015-04-30,1317.55
2015-05-29,1292.018
2015-06-30,1261.832
2015-07-31,1279.151
2015-08-31,1225.226
2015-09-30,1172.064
2015-10-30,1198.37
2015-11-30,1198.657
2015-12-31,1188.424
2016-01-29,1097.602
2016-02-29,1129.467
2016-03-31,1212.209
2016-04-29,1195.298
2016-05-31,1176.316
2016-06-30,1105.544
2016-07-29,1146.026
2016-08-31,1185.577
2016-09-30,1219.219
2016-10-31,1156.52
2016-11-30,1155.681
2016-12-30,1227.373
2017-01-31,1297.525
2017-02-28,1293.01
2017-03-31,1334.805
2017-04-28,1404.983
2017-05-31,1459.646
2017-06-30,1466.919
2017-07-31,1486.251
2017-08-31,1497.635
2017-09-29,1524.921
2017-10-31,1484.268
2017-11-30,1449.52
2017-12-29,1467.053
2018-01-31,1543.36
2018-02-28,1453.924
2018-03-30,1409.497
2018-04-30,1375.653
2018-05-31,1319.205
2018-06-29,1320.386
2018-07-31,1420.06
2018-08-31,1401.494
2018-09-28,1471.756
2018-10-31,1329.276
2018-11-30,1340.206
2018-12-31,1284.537
2019-01-31,1341.261
2019-02-28,1323.262
2019-03-29,1286.717
2019-04-30,1329.533
2019-05-31,1236.315
2019-06-28,1326.818
2019-07-31,1286.722
2019-08-30,1263.319
2019-09-30,1321.312
2019-10-31,1377.74
2019-11-29,1362.75
2019-12-31,1467.589
2020-01-31,1446.616
2020-02-28,1350.897
2020-03-31,1062.516
2020-04-30,1175.734
2020-05-29,1250.982
2020-06-30,1302.318
2020-07-31,1437.245
2020-08-31,1499.818
2020-09-30,1467.065
2020-10-30,1392.776
2020-11-30,1644.6
2020-12-31,1675.795
2021-01-29,1691.81
2021-02-26,1744.893
2021-03-31,1817.003
2021-04-30,1909.142
2021-05-31,1963.533
2021-06-30,1937.51
2021-07-30,2037.245
2021-08-31,2020.172
2021-09-30,1956.189
2021-10-29,2061.925
2021-11-30,1986.043
2021-12-31,2055.19
2022-01-31,1913.895
2022-02-28,1773.98
2022-03-31,1815.942
2022-04-29,1752.962
2022-05-31,1704.058
2022-06-30,1458.005
2022-07-29,1588.698
2022-08-31,1458.555
2022-09-30,1318.089
2022-10-31,1432.292
2022-11-30,1567.571
2022-12-30,1570.298
2023-01-31,1697.205
2023-02-28,1733.079
2023-03-31,1668.064
2023-04-28,1727.572
2023-05-31,1547.825
2023-06-30,1623.738
2023-07-31,1704.334
2023-08-31,1605.028
2023-09-29,1630.073
2023-10-31,1533.583
2023-11-30,1737.046
2023-12-29,1950.979
2024-01-31,1870.632
2024-02-29,1948.413
2024-03-29,1968.376
2024-04-30,1888.419
2024-05-31,2020.832
2024-06-28,1969.727
2024-07-31,2024.769
2024-08-30,2108.387
2024-09-30,2157.952
2024-10-31,2033.345
2024-11-29,1988.939
2024-12-31,1942.566
2025-01-31,2087.375
2025-02-28,2262.982
2025-03-31,2213.897
2025-04-30,2315.106
2025-05-30,2381.589
2025-06-30,2390.957
2025-07-31,2352.354
2025-08-29,2488.728
2025-09-30,2515.022
2025-10-31,2573.412
