Date,SWEDEN IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,240.762
2001-01-02,241.702
2001-01-03,233.052
2001-01-04,241.724
2001-01-05,246.918
2001-01-08,246.863
2001-01-09,243.814
2001-01-10,243.256
2001-01-11,247.317
2001-01-12,247.683
2001-01-15,246.826
2001-01-16,243.643
2001-01-17,244.549
2001-01-18,249.738
2001-01-19,250.833
2001-01-22,249.04
2001-01-23,248.023
2001-01-24,247.347
2001-01-25,246.489
2001-01-26,245.901
2001-01-29,246.478
2001-01-30,250.189
2001-01-31,255.389
2001-02-01,257.12
2001-02-02,253.326
2001-02-05,250.897
2001-02-06,251.535
2001-02-07,250.326
2001-02-08,246.672
2001-02-09,245.865
2001-02-12,244.757
2001-02-13,241.653
2001-02-14,237.966
2001-02-15,242.222
2001-02-16,242.889
2001-02-19,245.635
2001-02-20,242.68
2001-02-21,240.28
2001-02-22,237.549
2001-02-23,236.841
2001-02-26,240.354
2001-02-27,242.834
2001-02-28,243.899
2001-03-01,243.193
2001-03-02,244.972
2001-03-05,244.105
2001-03-06,247.694
2001-03-07,248.416
2001-03-08,248.989
2001-03-09,247.654
2001-03-12,241.362
2001-03-13,235.651
2001-03-14,229.512
2001-03-15,231.116
2001-03-16,223.266
2001-03-19,220.547
2001-03-20,220.309
2001-03-21,213.516
2001-03-22,201.249
2001-03-23,208.139
2001-03-26,216.744
2001-03-27,218.739
2001-03-28,212.187
2001-03-29,207.477
2001-03-30,209.069
2001-04-02,203.905
2001-04-03,203.618
2001-04-04,207.742
2001-04-05,212.279
2001-04-06,212.452
2001-04-09,218.785
2001-04-10,219.6
2001-04-11,216.247
2001-04-12,215.907
2001-04-13,215.907
2001-04-16,213.644
2001-04-17,213.898
2001-04-18,216.538
2001-04-19,226.005
2001-04-20,225.058
2001-04-23,220.2
2001-04-24,219.294
2001-04-25,220.942
2001-04-26,222.216
2001-04-27,224.569
2001-04-30,226.457
2001-05-01,227.405
2001-05-02,224.998
2001-05-03,223.991
2001-05-04,227.883
2001-05-07,230.823
2001-05-08,225.995
2001-05-09,225.399
