Date,WORLD ex USA IMI IMI (Large+Mid+Small Cap)
1994-05-31,354.192
1994-06-30,360.919
1994-07-29,362.565
1994-08-31,369.018
1994-09-30,358.955
1994-10-31,368.605
1994-11-30,348.888
1994-12-30,352.852
1995-01-31,339.598
1995-02-28,334.618
1995-03-31,355.609
1995-04-28,368.177
1995-05-31,361.994
1995-06-30,356.583
1995-07-31,377.457
1995-08-31,364.876
1995-09-29,371.485
1995-10-31,361.814
1995-11-30,370.61
1995-12-29,384.262
1996-01-31,385.829
1996-02-29,387.665
1996-03-29,395.699
1996-04-30,410.409
1996-05-31,405.341
1996-06-28,407.23
1996-07-31,394.315
1996-08-30,395.352
1996-09-30,403.81
1996-10-31,399.658
1996-11-29,412.45
1996-12-31,405.532
1997-01-31,391.669
1997-02-28,396.52
1997-03-31,395.485
1997-04-30,396.85
1997-05-30,427.404
1997-06-30,447.585
1997-07-31,452.238
1997-08-29,422.718
1997-09-30,441.497
1997-10-31,412.74
1997-11-28,404.134
1997-12-31,403.849
1998-01-30,422.218
1998-02-27,449.038
1998-03-31,463.59
1998-04-30,467.816
1998-05-29,468.216
1998-06-30,467.204
1998-07-31,469.569
1998-08-31,411.58
1998-09-30,401.115
1998-10-30,439.711
1998-11-30,461.229
1998-12-31,477.681
1999-01-29,479.21
1999-02-26,468.417
1999-03-31,489.119
1999-04-30,512.236
1999-05-31,489.85
1999-06-30,512.29
1999-07-30,530.945
1999-08-31,539.635
1999-09-30,548.91
1999-10-29,569.612
1999-11-30,597.821
1999-12-31,647.042
2000-01-31,612.809
2000-02-29,635.461
2000-03-31,650.183
2000-04-28,608.476
2000-05-31,587.866
2000-06-30,613.357
2000-07-31,586.012
2000-08-31,598.351
2000-09-29,567.928
2000-10-31,544.424
2000-11-30,522.368
2000-12-29,534.991
2001-01-31,537.991
2001-02-28,497.349
2001-03-30,461.82
2001-04-30,494.682
2001-05-31,480.533
2001-06-29,461.0
2001-07-31,449.314
2001-08-31,438.375
2001-09-28,394.108
2001-10-31,405.41
2001-11-30,418.656
2001-12-31,417.939
2002-01-31,398.454
2002-02-28,400.838
2002-03-29,423.279
2002-04-30,427.589
2002-05-31,436.859
2002-06-28,418.905
2002-07-31,378.925
2002-08-30,378.487
2002-09-30,339.281
2002-10-31,355.434
2002-11-29,371.265
2002-12-31,360.457
2003-01-31,347.395
2003-02-28,341.354
2003-03-31,335.41
2003-04-30,367.395
2003-05-30,391.521
2003-06-30,401.686
2003-07-31,410.936
2003-08-29,422.583
2003-09-30,437.051
2003-10-31,465.067
2003-11-28,473.908
2003-12-31,509.052
2004-01-30,517.768
2004-02-27,530.266
2004-03-31,535.96
2004-04-30,521.387
2004-05-31,522.81
2004-06-30,536.378
2004-07-30,519.247
2004-08-31,521.483
2004-09-30,536.431
2004-10-29,555.506
2004-11-30,592.491
2004-12-31,617.975
2005-01-31,608.239
2005-02-28,634.785
2005-03-31,621.004
2005-04-29,605.191
2005-05-31,606.163
2005-06-30,616.722
2005-07-29,637.226
2005-08-31,655.244
2005-09-30,684.764
2005-10-31,663.659
2005-11-30,681.442
2005-12-30,714.774
2006-01-31,760.447
2006-02-28,757.964
2006-03-31,782.986
