Date,WORLD ex USA IMI IMI (Large+Mid+Small Cap)
1994-05-31,340.069
1994-06-30,346.674
1994-07-29,348.34
1994-08-31,354.561
1994-09-30,344.973
1994-10-31,354.278
1994-11-30,335.357
1994-12-30,339.203
1995-01-31,326.48
1995-02-28,321.715
1995-03-31,342.012
1995-04-28,354.173
1995-05-31,348.446
1995-06-30,343.427
1995-07-31,363.618
1995-08-31,351.525
1995-09-29,357.986
1995-10-31,348.701
1995-11-30,357.209
1995-12-29,370.411
1996-01-31,371.944
1996-02-29,373.747
1996-03-29,381.605
1996-04-30,395.886
1996-05-31,391.239
1996-06-28,393.279
1996-07-31,380.89
1996-08-30,381.925
1996-09-30,390.192
1996-10-31,386.217
1996-11-29,398.607
1996-12-31,391.972
1997-01-31,378.596
1997-02-28,383.326
1997-03-31,382.437
1997-04-30,383.89
1997-05-30,413.683
1997-06-30,433.449
1997-07-31,438.039
1997-08-29,409.477
1997-09-30,427.774
1997-10-31,399.938
1997-11-28,391.626
1997-12-31,391.391
1998-01-30,409.215
1998-02-27,435.249
1998-03-31,449.475
1998-04-30,453.728
1998-05-29,454.375
1998-06-30,453.682
1998-07-31,456.075
1998-08-31,399.774
1998-09-30,389.683
1998-10-30,427.195
1998-11-30,448.126
1998-12-31,464.138
1999-01-29,465.645
1999-02-26,455.177
1999-03-31,475.456
1999-04-30,498.057
1999-05-31,476.537
1999-06-30,498.547
1999-07-30,516.773
1999-08-31,525.282
1999-09-30,534.414
1999-10-29,554.589
1999-11-30,582.086
1999-12-31,630.04
2000-01-31,596.727
2000-02-29,618.809
2000-03-31,633.321
2000-04-28,592.861
2000-05-31,573.05
2000-06-30,598.072
2000-07-31,571.491
2000-08-31,583.578
2000-09-29,554.026
2000-10-31,531.13
2000-11-30,509.652
2000-12-29,521.996
2001-01-31,524.946
2001-02-28,485.33
2001-03-30,450.863
2001-04-30,483.174
2001-05-31,469.701
2001-06-29,450.803
2001-07-31,439.417
2001-08-31,428.798
2001-09-28,385.612
2001-10-31,396.671
2001-11-30,409.666
2001-12-31,408.99
2002-01-31,389.95
2002-02-28,392.307
2002-03-29,414.467
2002-04-30,418.908
2002-05-31,428.355
2002-06-28,410.913
2002-07-31,371.733
2002-08-30,371.387
2002-09-30,333.019
2002-10-31,348.905
2002-11-29,364.492
2002-12-31,353.92
2003-01-31,341.126
2003-02-28,335.233
2003-03-31,329.644
2003-04-30,361.411
2003-05-30,385.468
2003-06-30,395.693
2003-07-31,404.862
2003-08-29,416.411
2003-09-30,430.763
2003-10-31,458.409
2003-11-28,467.188
2003-12-31,501.876
2004-01-30,510.51
2004-02-27,522.918
2004-03-31,528.751
2004-04-30,514.764
2004-05-31,516.625
2004-06-30,530.242
2004-07-30,513.372
2004-08-31,515.695
2004-09-30,530.571
2004-10-29,549.477
2004-11-30,586.207
2004-12-31,611.48
2005-01-31,601.891
2005-02-28,628.288
2005-03-31,614.898
2005-04-29,599.848
2005-05-31,601.379
2005-06-30,612.103
2005-07-29,632.495
2005-08-31,650.538
2005-09-30,679.992
2005-10-31,659.086
2005-11-30,676.923
2005-12-30,710.105
2006-01-31,755.528
2006-02-28,753.181
2006-03-31,778.41
2006-04-28,816.061
2006-05-31,785.738
2006-06-30,783.393
2006-07-31,789.285
2006-08-31,812.221
2006-09-29,811.968
2006-10-31,844.245
2006-11-30,870.486
2006-12-29,895.395
2007-01-31,901.931
2007-02-28,910.547
2007-03-30,934.889
2007-04-30,977.592
2007-05-31,1000.0
2007-06-29,1000.464
2007-07-31,987.599
2007-08-31,970.122
2007-09-28,1022.765
2007-10-31,1069.272
2007-11-30,1025.104
2007-12-31,1004.375
2008-01-31,913.297
2008-02-29,932.889
2008-03-31,920.251
2008-04-30,969.373
2008-05-30,986.899
2008-06-30,910.484
2008-07-31,876.734
2008-08-29,843.221
2008-09-30,718.995
2008-10-31,566.689
2008-11-28,536.533
2008-12-31,565.645
2009-01-30,514.923
2009-02-27,463.477
2009-03-31,494.199
2009-04-30,559.891
2009-05-29,632.86
2009-06-30,628.067
2009-07-31,686.199
2009-08-31,721.411
2009-09-30,752.549
2009-10-30,740.585
2009-11-30,757.675
2009-12-31,769.616
2010-01-29,736.493
2010-02-26,735.438
2010-03-31,784.073
2010-04-30,776.095
2010-05-31,690.489
2010-06-30,681.121
2010-07-30,743.64
2010-08-31,721.875
2010-09-30,792.795
2010-10-29,821.641
2010-11-30,788.616
2010-12-31,855.357
2011-01-31,872.183
2011-02-28,903.789
2011-03-31,888.218
2011-04-29,936.829
2011-05-31,910.501
2011-06-30,896.966
2011-07-29,883.596
2011-08-31,809.644
2011-09-30,727.147
2011-10-31,796.477
2011-11-30,759.483
2011-12-30,750.561
2012-01-31,793.86
2012-02-29,837.897
2012-03-30,832.3
2012-04-30,820.236
2012-05-31,727.301
2012-06-29,772.497
2012-07-31,781.809
2012-08-31,804.251
2012-09-28,830.612
2012-10-31,836.323
2012-11-30,852.435
2012-12-31,879.176
2013-01-31,922.489
2013-02-28,915.022
2013-03-29,924.085
2013-04-30,965.303
2013-05-31,944.524
2013-06-28,909.206
2013-07-31,958.709
2013-08-30,947.784
2013-09-30,1016.571
2013-10-31,1050.249
2013-11-29,1056.259
2013-12-31,1073.493
2014-01-31,1033.383
2014-02-28,1090.332
2014-03-31,1086.309
2014-04-30,1101.669
2014-05-30,1119.596
2014-06-30,1137.147
2014-07-31,1115.808
2014-08-29,1117.067
2014-09-30,1068.789
2014-10-31,1050.624
2014-11-28,1061.938
2014-12-31,1030.344
2015-01-30,1026.132
2015-02-27,1088.127
2015-03-31,1071.319
2015-04-30,1119.545
2015-05-29,1113.101
2015-06-30,1083.82
2015-07-31,1098.625
2015-08-31,1022.799
2015-09-30,973.537
2015-10-30,1044.819
2015-11-30,1030.246
2015-12-31,1014.636
2016-01-29,943.918
2016-02-29,933.485
2016-03-31,999.591
2016-04-29,1032.654
2016-05-31,1023.931
2016-06-30,991.257
2016-07-29,1041.56
2016-08-31,1041.315
2016-09-30,1056.813
2016-10-31,1034.848
2016-11-30,1017.148
2016-12-30,1049.896
2017-01-31,1082.166
2017-02-28,1096.006
2017-03-31,1124.021
2017-04-28,1150.939
2017-05-31,1190.649
2017-06-30,1192.567
2017-07-31,1229.132
2017-08-31,1230.6
2017-09-29,1263.304
2017-10-31,1280.804
2017-11-30,1294.716
2017-12-29,1320.386
2018-01-31,1382.042
2018-02-28,1318.386
2018-03-30,1298.034
2018-04-30,1327.623
2018-05-31,1306.391
2018-06-29,1291.276
2018-07-31,1319.47
2018-08-31,1297.083
2018-09-28,1304.871
2018-10-31,1198.269
2018-11-30,1195.854
2018-12-31,1132.207
2019-01-31,1215.396
2019-02-28,1246.338
2019-03-29,1252.96
2019-04-30,1289.403
2019-05-31,1229.108
2019-06-28,1300.186
2019-07-31,1286.088
2019-08-30,1254.955
2019-09-30,1290.384
2019-10-31,1333.878
2019-11-29,1352.706
2019-12-31,1398.948
2020-01-31,1370.12
2020-02-28,1246.986
2020-03-31,1064.708
2020-04-30,1146.63
2020-05-29,1200.564
2020-06-30,1239.379
2020-07-31,1274.721
2020-08-31,1344.546
2020-09-30,1310.48
2020-10-30,1260.503
2020-11-30,1451.224
2020-12-31,1522.293
2021-01-29,1508.101
2021-02-26,1547.572
2021-03-31,1587.582
2021-04-30,1641.098
2021-05-31,1696.573
2021-06-30,1678.379
2021-07-30,1691.969
2021-08-31,1722.172
2021-09-30,1672.511
2021-10-29,1720.212
2021-11-30,1637.576
2021-12-31,1718.953
2022-01-31,1636.912
2022-02-28,1613.284
2022-03-31,1632.085
2022-04-29,1525.277
2022-05-31,1536.486
2022-06-30,1388.208
2022-07-29,1461.255
2022-08-31,1394.007
2022-09-30,1261.197
2022-10-31,1329.014
2022-11-30,1468.857
2022-12-30,1464.498
2023-01-31,1583.643
2023-02-28,1546.661
2023-03-31,1577.936
2023-04-28,1621.892
2023-05-31,1553.548
2023-06-30,1624.238
2023-07-31,1679.955
2023-08-31,1616.466
2023-09-29,1560.348
2023-10-31,1491.12
2023-11-30,1632.176
2023-12-29,1725.531
2024-01-31,1728.151
2024-02-29,1754.667
2024-03-29,1817.412
2024-04-30,1770.414
2024-05-31,1841.524
2024-06-28,1808.467
2024-07-31,1871.458
2024-08-30,1930.409
2024-09-30,1956.998
2024-10-31,1855.843
2024-11-29,1860.96
2024-12-31,1811.699
2025-01-31,1897.561
2025-02-28,1925.646
2025-03-31,1919.777
2025-04-30,2011.673
2025-05-30,2112.332
2025-06-30,2168.983
2025-07-31,2146.682
2025-08-29,2243.24
2025-09-30,2292.277
