Date,WORLD ex USA IMI IMI (Large+Mid+Small Cap)
2001-01-01,534.997
2001-01-02,532.602
2001-01-03,528.236
2001-01-04,533.03
2001-01-05,534.267
2001-01-08,531.491
2001-01-09,522.837
2001-01-10,519.816
2001-01-11,522.777
2001-01-12,525.315
2001-01-15,524.235
2001-01-16,522.838
2001-01-17,528.658
2001-01-18,535.321
2001-01-19,534.412
2001-01-22,534.995
2001-01-23,535.033
2001-01-24,530.76
2001-01-25,532.043
2001-01-26,530.899
2001-01-29,531.301
2001-01-30,534.044
2001-01-31,537.991
2001-02-01,539.835
2001-02-02,533.611
2001-02-05,533.053
2001-02-06,531.322
2001-02-07,527.268
2001-02-08,520.769
2001-02-09,518.115
2001-02-12,522.258
2001-02-13,518.999
2001-02-14,514.454
2001-02-15,514.151
2001-02-16,510.011
2001-02-19,508.803
2001-02-20,504.095
2001-02-21,499.827
2001-02-22,497.28
2001-02-23,494.297
2001-02-26,497.716
2001-02-27,500.424
2001-02-28,497.349
2001-03-01,495.771
2001-03-02,492.819
2001-03-05,493.397
2001-03-06,501.707
2001-03-07,501.364
2001-03-08,501.147
2001-03-09,497.314
2001-03-12,484.484
2001-03-13,473.631
2001-03-14,464.874
2001-03-15,468.394
2001-03-16,458.771
2001-03-19,458.301
2001-03-20,462.693
2001-03-21,461.151
2001-03-22,442.877
2001-03-23,455.141
2001-03-26,469.62
2001-03-27,475.442
2001-03-28,470.743
2001-03-29,462.826
2001-03-30,461.82
2001-04-02,458.391
2001-04-03,453.454
2001-04-04,460.173
2001-04-05,467.011
2001-04-06,468.106
2001-04-09,468.005
2001-04-10,470.328
2001-04-11,472.472
2001-04-12,477.854
2001-04-13,477.661
2001-04-16,473.447
2001-04-17,471.211
2001-04-18,481.327
2001-04-19,489.733
2001-04-20,489.825
2001-04-23,486.492
2001-04-24,485.461
2001-04-25,487.574
2001-04-26,492.458
2001-04-27,492.881
2001-04-30,494.682
2001-05-01,501.343
2001-05-02,502.527
2001-05-03,498.729
2001-05-04,500.707
2001-05-07,502.968
2001-05-08,497.789
2001-05-09,493.804
2001-05-10,496.955
2001-05-11,493.196
2001-05-14,485.471
2001-05-15,491.092
2001-05-16,491.187
2001-05-17,496.452
2001-05-18,495.815
2001-05-21,499.156
2001-05-22,498.565
2001-05-23,496.093
2001-05-24,494.786
2001-05-25,491.767
2001-05-28,491.609
2001-05-29,489.347
2001-05-30,483.24
2001-05-31,480.533
2001-06-01,479.877
2001-06-04,481.04
2001-06-05,482.948
2001-06-06,480.42
