Date,WORLD ex USA IMI IMI (Large+Mid+Small Cap)
2001-01-01,522.002
2001-01-02,519.67
2001-01-03,515.41
2001-01-04,520.089
2001-01-05,521.296
2001-01-08,518.587
2001-01-09,510.144
2001-01-10,507.198
2001-01-11,510.091
2001-01-12,512.567
2001-01-15,511.514
2001-01-16,510.151
2001-01-17,515.831
2001-01-18,522.332
2001-01-19,521.445
2001-01-22,522.016
2001-01-23,522.053
2001-01-24,517.884
2001-01-25,519.136
2001-01-26,518.021
2001-01-29,518.413
2001-01-30,521.091
2001-01-31,524.946
2001-02-01,526.745
2001-02-02,520.672
2001-02-05,520.129
2001-02-06,518.44
2001-02-07,514.485
2001-02-08,508.144
2001-02-09,505.554
2001-02-12,509.598
2001-02-13,506.419
2001-02-14,501.985
2001-02-15,501.69
2001-02-16,497.653
2001-02-19,496.479
2001-02-20,491.89
2001-02-21,487.727
2001-02-22,485.242
2001-02-23,482.348
2001-02-26,485.686
2001-02-27,488.329
2001-02-28,485.33
2001-03-01,483.792
2001-03-02,480.911
2001-03-05,481.483
2001-03-06,489.593
2001-03-07,489.261
2001-03-08,489.051
2001-03-09,485.315
2001-03-12,472.794
2001-03-13,462.207
2001-03-14,453.665
2001-03-15,457.101
2001-03-16,447.71
2001-03-19,447.259
2001-03-20,451.547
2001-03-21,450.048
2001-03-22,432.231
2001-03-23,444.205
2001-03-26,458.347
2001-03-27,464.137
2001-03-28,459.558
2001-03-29,451.836
2001-03-30,450.863
2001-04-02,447.516
2001-04-03,442.703
2001-04-04,449.265
2001-04-05,455.945
2001-04-06,457.035
2001-04-09,456.941
2001-04-10,459.212
2001-04-11,461.336
2001-04-12,466.614
2001-04-13,466.426
2001-04-16,462.311
2001-04-17,460.147
2001-04-18,470.027
2001-04-19,478.25
2001-04-20,478.344
2001-04-23,475.116
2001-04-24,474.113
2001-04-25,476.192
2001-04-26,480.968
2001-04-27,481.408
2001-04-30,483.174
2001-05-01,489.684
2001-05-02,490.866
2001-05-03,487.164
2001-05-04,489.115
2001-05-07,491.337
2001-05-08,486.281
2001-05-09,482.396
2001-05-10,485.482
2001-05-11,481.831
2001-05-14,474.31
2001-05-15,479.805
2001-05-16,479.909
2001-05-17,485.067
2001-05-18,484.472
2001-05-21,487.8
2001-05-22,487.229
2001-05-23,484.835
2001-05-24,483.56
2001-05-25,480.618
2001-05-28,480.474
2001-05-29,478.286
2001-05-30,472.336
2001-05-31,469.701
2001-06-01,469.081
2001-06-04,470.223
2001-06-05,472.098
2001-06-06,469.641
2001-06-07,471.614
2001-06-08,470.324
2001-06-11,463.752
2001-06-12,457.211
2001-06-13,460.063
2001-06-14,458.836
2001-06-15,455.542
2001-06-18,451.304
2001-06-19,450.413
2001-06-20,446.993
2001-06-21,449.641
2001-06-22,452.252
2001-06-25,453.053
2001-06-26,449.322
2001-06-27,447.881
2001-06-28,445.931
2001-06-29,450.803
2001-07-02,453.339
2001-07-03,451.211
2001-07-04,447.809
2001-07-05,441.317
2001-07-06,435.443
2001-07-09,435.378
2001-07-10,437.016
2001-07-11,434.148
2001-07-12,437.253
2001-07-13,437.242
2001-07-16,435.972
2001-07-17,431.305
2001-07-18,432.379
2001-07-19,435.707
2001-07-20,434.979
2001-07-23,430.503
2001-07-24,430.24
2001-07-25,429.757
2001-07-26,430.638
2001-07-27,433.698
2001-07-30,434.174
2001-07-31,439.417
2001-08-01,444.043
2001-08-02,448.882
2001-08-03,446.456
2001-08-06,444.364
2001-08-07,443.871
2001-08-08,440.303
2001-08-09,435.835
2001-08-10,436.633
2001-08-13,436.653
2001-08-14,442.658
2001-08-15,446.686
2001-08-16,442.233
2001-08-17,438.88
2001-08-20,435.416
2001-08-21,439.052
2001-08-22,441.589
2001-08-23,437.949
2001-08-24,442.007
2001-08-27,442.423
2001-08-28,438.21
2001-08-29,436.59
2001-08-30,429.493
2001-08-31,428.798
2001-09-03,422.608
2001-09-04,424.117
2001-09-05,417.205
2001-09-06,411.431
2001-09-07,408.258
2001-09-10,401.179
2001-09-11,390.335
2001-09-12,383.911
2001-09-13,388.398
2001-09-14,383.579
2001-09-17,382.146
2001-09-18,381.539
2001-09-19,381.398
2001-09-20,370.491
2001-09-21,358.151
2001-09-24,368.558
2001-09-25,375.296
2001-09-26,376.284
2001-09-27,377.876
2001-09-28,385.612
2001-10-01,383.808
2001-10-02,387.009
2001-10-03,387.599
2001-10-04,396.152
2001-10-05,397.007
2001-10-08,396.903
2001-10-09,393.981
2001-10-10,396.234
2001-10-11,400.258
2001-10-12,402.133
2001-10-15,397.184
2001-10-16,400.528
2001-10-17,406.296
2001-10-18,399.068
2001-10-19,394.024
2001-10-22,395.369
2001-10-23,401.619
2001-10-24,403.82
2001-10-25,401.798
2001-10-26,405.307
2001-10-29,402.819
2001-10-30,396.624
2001-10-31,396.671
2001-11-01,400.039
2001-11-02,400.141
2001-11-05,403.967
2001-11-06,405.847
2001-11-07,406.211
2001-11-08,409.934
2001-11-09,407.222
2001-11-12,401.778
2001-11-13,404.73
2001-11-14,406.297
2001-11-15,408.453
2001-11-16,411.905
2001-11-19,414.34
2001-11-20,411.683
2001-11-21,408.885
2001-11-22,411.447
2001-11-23,409.485
2001-11-26,413.167
2001-11-27,410.741
2001-11-28,406.682
2001-11-29,405.799
2001-11-30,409.666
2001-12-03,404.308
2001-12-04,407.635
2001-12-05,416.501
2001-12-06,419.148
2001-12-07,415.279
2001-12-10,408.326
2001-12-11,407.371
2001-12-12,409.056
2001-12-13,402.718
2001-12-14,400.522
2001-12-17,404.952
2001-12-18,404.359
2001-12-19,401.463
2001-12-20,400.428
2001-12-21,400.151
2001-12-24,398.261
2001-12-25,397.931
2001-12-26,397.357
2001-12-27,404.368
2001-12-28,406.748
2001-12-31,408.99
2002-01-01,408.99
2002-01-02,409.458
2002-01-03,413.89
2002-01-04,416.081
2002-01-07,413.847
2002-01-08,408.78
2002-01-09,407.631
2002-01-10,404.803
2002-01-11,404.701
2002-01-14,400.631
2002-01-15,400.083
2002-01-16,395.291
2002-01-17,396.835
2002-01-18,397.94
2002-01-21,396.779
2002-01-22,394.144
2002-01-23,394.912
2002-01-24,396.802
2002-01-25,392.797
2002-01-28,395.219
2002-01-29,390.861
2002-01-30,386.648
2002-01-31,389.95
2002-02-01,389.009
2002-02-04,387.174
2002-02-05,381.699
2002-02-06,378.86
2002-02-07,381.967
2002-02-08,383.157
2002-02-11,387.965
2002-02-12,389.413
2002-02-13,390.761
2002-02-14,393.408
2002-02-15,391.983
2002-02-18,389.979
2002-02-19,383.866
2002-02-20,381.233
2002-02-21,385.348
2002-02-22,384.889
2002-02-25,386.334
2002-02-26,386.93
2002-02-27,391.22
2002-02-28,392.307
2002-03-01,396.811
2002-03-04,408.905
2002-03-05,407.842
2002-03-06,411.246
2002-03-07,419.986
2002-03-08,420.338
2002-03-11,420.859
2002-03-12,414.411
2002-03-13,412.482
2002-03-14,416.108
2002-03-15,419.427
2002-03-18,418.212
2002-03-19,421.407
2002-03-20,419.05
2002-03-21,417.315
2002-03-22,415.36
2002-03-25,412.134
2002-03-26,412.134
2002-03-27,412.992
2002-03-28,416.297
2002-03-29,414.467
2002-04-01,415.812
2002-04-02,416.024
2002-04-03,416.929
2002-04-04,416.017
2002-04-05,415.396
2002-04-08,411.022
2002-04-09,410.403
2002-04-10,414.062
2002-04-11,410.255
2002-04-12,408.884
2002-04-15,411.976
2002-04-16,418.306
2002-04-17,421.966
2002-04-18,422.388
2002-04-19,422.028
2002-04-22,421.594
2002-04-23,420.798
2002-04-24,420.342
2002-04-25,420.727
2002-04-26,418.879
2002-04-29,418.341
2002-04-30,418.908
2002-05-01,421.212
2002-05-02,419.812
2002-05-03,421.703
2002-05-06,421.217
2002-05-07,415.936
2002-05-08,420.656
2002-05-09,420.524
2002-05-10,419.422
2002-05-13,420.271
2002-05-14,419.559
2002-05-15,424.902
2002-05-16,426.402
2002-05-17,431.165
2002-05-20,430.857
2002-05-21,430.593
2002-05-22,430.889
2002-05-23,429.387
2002-05-24,430.264
2002-05-27,429.015
2002-05-28,429.754
2002-05-29,429.247
2002-05-30,428.071
2002-05-31,428.355
2002-06-03,428.533
2002-06-04,423.63
2002-06-05,419.505
2002-06-06,420.143
2002-06-07,415.797
2002-06-10,415.269
2002-06-11,416.83
2002-06-12,411.567
2002-06-13,406.718
2002-06-14,398.77
2002-06-17,403.444
2002-06-18,404.683
2002-06-19,400.081
2002-06-20,398.394
2002-06-21,398.314
2002-06-24,395.117
2002-06-25,398.775
2002-06-26,396.911
2002-06-27,399.376
2002-06-28,410.913
2002-07-01,411.734
2002-07-02,403.127
2002-07-03,396.261
2002-07-04,399.729
2002-07-05,408.964
2002-07-08,412.232
2002-07-09,412.998
2002-07-10,402.178
2002-07-11,391.653
2002-07-12,392.194
2002-07-15,382.162
2002-07-16,381.151
2002-07-17,387.384
2002-07-18,392.68
2002-07-19,381.273
2002-07-22,366.955
2002-07-23,358.22
2002-07-24,354.122
2002-07-25,362.494
2002-07-26,358.007
2002-07-29,368.716
2002-07-30,372.333
2002-07-31,371.733
2002-08-01,362.212
2002-08-02,362.123
2002-08-05,354.891
2002-08-06,355.279
2002-08-07,357.642
2002-08-08,365.161
2002-08-09,371.541
2002-08-12,366.937
2002-08-13,368.921
2002-08-14,367.503
2002-08-15,373.266
2002-08-16,375.328
2002-08-19,378.072
2002-08-20,374.592
2002-08-21,378.682
2002-08-22,382.119
2002-08-23,379.016
2002-08-26,379.05
2002-08-27,384.417
2002-08-28,374.575
2002-08-29,370.086
2002-08-30,371.387
2002-09-02,367.713
2002-09-03,359.283
2002-09-04,357.308
2002-09-05,356.695
2002-09-06,360.595
