Date,NORWAY SMALL GROWTH Small Cap
2001-01-01,465.288
2001-01-02,477.952
2001-01-03,447.409
2001-01-04,461.718
2001-01-05,463.863
2001-01-08,468.681
2001-01-09,466.745
2001-01-10,473.707
2001-01-11,487.638
2001-01-12,493.844
2001-01-15,486.128
2001-01-16,474.457
2001-01-17,480.644
2001-01-18,485.721
2001-01-19,488.59
2001-01-22,484.429
2001-01-23,485.383
2001-01-24,485.806
2001-01-25,483.579
2001-01-26,483.844
2001-01-29,487.142
2001-01-30,489.181
2001-01-31,499.853
2001-02-01,506.605
2001-02-02,507.519
2001-02-05,504.951
2001-02-06,503.402
2001-02-07,504.664
2001-02-08,503.988
2001-02-09,498.912
2001-02-12,491.096
2001-02-13,497.733
2001-02-14,491.601
2001-02-15,488.002
2001-02-16,490.478
2001-02-19,496.864
2001-02-20,494.877
2001-02-21,487.85
2001-02-22,484.934
2001-02-23,482.779
2001-02-26,494.254
2001-02-27,494.53
2001-02-28,494.937
2001-03-01,480.556
2001-03-02,486.6
2001-03-05,495.667
2001-03-06,504.525
2001-03-07,499.587
2001-03-08,504.224
2001-03-09,499.357
2001-03-12,480.764
2001-03-13,467.605
2001-03-14,451.759
2001-03-15,461.23
2001-03-16,456.09
2001-03-19,452.624
2001-03-20,464.129
2001-03-21,452.834
2001-03-22,435.255
2001-03-23,440.454
2001-03-26,448.122
2001-03-27,451.037
2001-03-28,440.69
2001-03-29,441.899
2001-03-30,447.814
2001-04-02,443.34
2001-04-03,430.624
2001-04-04,432.547
2001-04-05,440.377
2001-04-06,438.678
2001-04-09,440.393
2001-04-10,447.119
2001-04-11,448.676
2001-04-12,452.935
2001-04-13,452.935
2001-04-16,448.323
2001-04-17,448.974
2001-04-18,455.575
2001-04-19,465.639
2001-04-20,463.77
2001-04-23,460.94
2001-04-24,459.418
2001-04-25,460.045
2001-04-26,461.733
2001-04-27,467.135
2001-04-30,469.051
2001-05-01,471.821
2001-05-02,466.133
2001-05-03,460.324
2001-05-04,459.213
2001-05-07,465.119
2001-05-08,470.421
2001-05-09,468.484
2001-05-10,480.588
2001-05-11,477.9
2001-05-14,465.492
2001-05-15,468.147
2001-05-16,460.775
2001-05-17,460.82
2001-05-18,477.948
2001-05-21,483.657
2001-05-22,477.832
2001-05-23,476.996
2001-05-24,477.224
2001-05-25,484.289
2001-05-28,483.78
2001-05-29,472.535
2001-05-30,467.349
2001-05-31,458.756
2001-06-01,456.273
2001-06-04,456.919
2001-06-05,459.688
2001-06-06,455.247
2001-06-07,451.646
2001-06-08,454.21
2001-06-11,446.295
2001-06-12,434.329
2001-06-13,442.654
2001-06-14,441.446
2001-06-15,435.498
2001-06-18,438.336
2001-06-19,444.001
2001-06-20,436.377
2001-06-21,437.946
2001-06-22,432.713
2001-06-25,430.778
2001-06-26,419.923
2001-06-27,418.708
2001-06-28,409.262
2001-06-29,406.047
2001-07-02,404.64
2001-07-03,404.146
2001-07-04,404.067
2001-07-05,398.494
2001-07-06,399.337
2001-07-09,399.712
2001-07-10,396.368
2001-07-11,393.263
2001-07-12,391.069
2001-07-13,385.365
2001-07-16,384.518
2001-07-17,377.749
2001-07-18,389.644
2001-07-19,396.806
2001-07-20,395.579
2001-07-23,400.23
2001-07-24,397.328
2001-07-25,399.127
2001-07-26,402.07
2001-07-27,404.305
2001-07-30,407.967
2001-07-31,409.068
2001-08-01,408.34
2001-08-02,416.561
2001-08-03,421.444
2001-08-06,411.027
2001-08-07,409.087
2001-08-08,399.826
2001-08-09,398.069
2001-08-10,393.617
2001-08-13,389.83
2001-08-14,384.206
2001-08-15,384.921
2001-08-16,385.023
2001-08-17,385.698
2001-08-20,381.764
2001-08-21,384.745
2001-08-22,390.073
2001-08-23,384.014
2001-08-24,383.757
2001-08-27,382.63
2001-08-28,379.805
2001-08-29,376.195
2001-08-30,373.953
2001-08-31,366.562
2001-09-03,359.749
2001-09-04,357.854
2001-09-05,359.884
2001-09-06,354.886
2001-09-07,355.69
2001-09-10,347.306
2001-09-11,348.2
2001-09-12,335.359
2001-09-13,338.33
2001-09-14,337.14
2001-09-17,332.726
2001-09-18,335.342
2001-09-19,332.821
2001-09-20,308.118
2001-09-21,291.705
2001-09-24,302.869
2001-09-25,305.703
2001-09-26,304.067
2001-09-27,305.949
2001-09-28,310.674
2001-10-01,313.12
2001-10-02,313.829
2001-10-03,306.899
2001-10-04,312.087
2001-10-05,311.905
2001-10-08,310.883
2001-10-09,314.413
2001-10-10,315.183
2001-10-11,322.657
2001-10-12,318.734
2001-10-15,316.559
2001-10-16,323.1
2001-10-17,329.875
2001-10-18,326.005
2001-10-19,322.095
2001-10-22,326.207
2001-10-23,326.805
2001-10-24,333.572
2001-10-25,325.575
2001-10-26,331.922
2001-10-29,334.775
2001-10-30,327.819
2001-10-31,326.583
2001-11-01,325.084
2001-11-02,321.22
2001-11-05,324.122
2001-11-06,323.804
2001-11-07,331.703
2001-11-08,331.957
2001-11-09,335.884
2001-11-12,327.437
2001-11-13,340.193
2001-11-14,344.508
2001-11-15,338.073
2001-11-16,333.682
2001-11-19,331.628
2001-11-20,339.374
2001-11-21,335.434
2001-11-22,346.383
2001-11-23,345.513
2001-11-26,347.781
2001-11-27,343.484
2001-11-28,343.266
2001-11-29,342.223
2001-11-30,341.04
2001-12-03,331.644
2001-12-04,334.67
2001-12-05,341.48
2001-12-06,344.668
2001-12-07,342.923
2001-12-10,339.952
2001-12-11,340.825
2001-12-12,342.401
2001-12-13,336.994
2001-12-14,342.992
2001-12-17,338.998
2001-12-18,334.204
2001-12-19,328.766
2001-12-20,332.746
2001-12-21,337.948
2001-12-24,333.633
2001-12-25,333.633
2001-12-26,334.086
2001-12-27,347.151
2001-12-28,346.71
2001-12-31,349.226
2002-01-01,349.226
2002-01-02,360.384
2002-01-03,365.205
2002-01-04,364.842
2002-01-07,364.754
2002-01-08,361.113
2002-01-09,364.114
2002-01-10,359.015
2002-01-11,366.365
2002-01-14,367.899
2002-01-15,359.969
2002-01-16,348.755
2002-01-17,354.164
2002-01-18,346.485
2002-01-21,345.185
2002-01-22,347.077
2002-01-23,347.504
2002-01-24,347.427
2002-01-25,341.54
2002-01-28,344.928
2002-01-29,345.744
2002-01-30,345.471
2002-01-31,345.468
2002-02-01,347.66
2002-02-04,345.757
2002-02-05,339.838
2002-02-06,342.201
2002-02-07,343.725
2002-02-08,342.842
2002-02-11,350.564
2002-02-12,349.751
2002-02-13,350.951
2002-02-14,350.661
2002-02-15,351.54
2002-02-18,349.283
2002-02-19,345.253
2002-02-20,344.885
2002-02-21,344.399
2002-02-22,344.492
2002-02-25,339.42
2002-02-26,342.225
2002-02-27,346.411
2002-02-28,343.981
2002-03-01,351.085
2002-03-04,355.278
2002-03-05,359.2
2002-03-06,358.421
2002-03-07,373.525
2002-03-08,378.098
2002-03-11,378.568
2002-03-12,374.277
2002-03-13,375.724
2002-03-14,377.165
2002-03-15,380.815
