Date,NORWAY SMALL GROWTH Small Cap
1994-05-31,244.291
1994-06-30,231.882
1994-07-29,249.273
1994-08-31,250.195
1994-09-30,241.776
1994-10-31,258.72
1994-11-30,254.729
1994-12-30,255.093
1995-01-31,267.663
1995-02-28,276.732
1995-03-31,279.87
1995-04-28,301.006
1995-05-31,312.14
1995-06-30,322.37
1995-07-31,330.464
1995-08-31,318.48
1995-09-29,334.285
1995-10-31,318.292
1995-11-30,315.625
1995-12-29,334.067
1996-01-31,329.011
1996-02-29,336.003
1996-03-29,335.629
1996-04-30,345.876
1996-05-31,347.377
1996-06-28,347.071
1996-07-31,349.071
1996-08-30,349.561
1996-09-30,344.727
1996-10-31,369.651
1996-11-29,404.142
1996-12-31,423.114
1997-01-31,464.805
1997-02-28,441.517
1997-03-31,454.909
1997-04-30,390.963
1997-05-30,414.918
1997-06-30,412.342
1997-07-31,434.529
1997-08-29,451.697
1997-09-30,494.514
1997-10-31,505.248
1997-11-28,472.014
1997-12-31,449.678
1998-01-30,425.112
1998-02-27,426.144
1998-03-31,459.696
1998-04-30,486.022
1998-05-29,467.66
1998-06-30,426.647
1998-07-31,439.977
1998-08-31,328.252
1998-09-30,302.308
1998-10-30,331.558
1998-11-30,307.153
1998-12-31,294.937
1999-01-29,340.337
1999-02-26,313.31
1999-03-31,323.092
1999-04-30,343.626
1999-05-31,348.419
1999-06-30,356.674
1999-07-30,364.158
1999-08-31,373.706
1999-09-30,355.863
1999-10-29,334.347
1999-11-30,368.225
1999-12-31,482.348
2000-01-31,480.982
2000-02-29,500.541
2000-03-31,530.16
2000-04-28,467.11
2000-05-31,481.994
2000-06-30,491.33
2000-07-31,519.221
2000-08-31,548.221
2000-09-29,542.379
2000-10-31,524.288
2000-11-30,461.594
2000-12-29,457.208
2001-01-31,491.172
2001-02-28,486.341
2001-03-30,440.037
2001-04-30,461.009
2001-05-31,451.925
2001-06-29,400.0
2001-07-31,402.977
2001-08-31,361.104
2001-09-28,306.048
2001-10-31,321.72
2001-11-30,335.961
2001-12-31,344.09
2002-01-31,340.386
2002-02-28,338.922
2002-03-29,376.109
2002-04-30,363.399
2002-05-31,354.735
2002-06-28,331.766
2002-07-31,320.022
2002-08-30,287.887
2002-09-30,222.988
2002-10-31,251.297
2002-11-29,290.502
2002-12-31,203.7
2003-01-31,190.149
2003-02-28,161.802
2003-03-31,150.583
2003-04-30,184.542
2003-05-30,199.718
2003-06-30,198.615
2003-07-31,220.468
2003-08-29,236.394
2003-09-30,223.711
2003-10-31,251.726
2003-11-28,259.283
2003-12-31,274.493
2004-01-30,299.508
2004-02-27,318.669
2004-03-31,293.33
2004-04-30,271.589
2004-05-31,263.994
2004-06-30,283.982
2004-07-30,267.001
2004-08-31,273.219
2004-09-30,303.992
2004-10-29,309.49
2004-11-30,365.199
2004-12-31,388.471
2005-01-31,385.12
2005-02-28,405.203
2005-03-31,390.292
2005-04-29,363.338
2005-05-31,390.585
2005-06-30,422.805
2005-07-29,483.224
2005-08-31,547.284
2005-09-30,563.164
2005-10-31,489.789
2005-11-30,494.409
2005-12-30,563.019
2006-01-31,604.682
2006-02-28,624.445
2006-03-31,715.875
2006-04-28,804.048
2006-05-31,787.997
2006-06-30,759.795
2006-07-31,761.012
2006-08-31,756.131
2006-09-29,695.113
2006-10-31,752.426
2006-11-30,831.155
2006-12-29,853.702
2007-01-31,871.371
2007-02-28,870.354
2007-03-30,950.912
2007-04-30,997.162
2007-05-31,1000.0
2007-06-29,1023.808
2007-07-31,990.31
2007-08-31,931.032
2007-09-28,1037.462
2007-10-31,1062.066
2007-11-30,957.568
2007-12-31,980.349
2008-01-31,802.124
2008-02-29,879.671
2008-03-31,880.922
2008-04-30,967.061
2008-05-30,1022.91
2008-06-30,935.519
2008-07-31,889.151
2008-08-29,868.672
