Date,NORWAY SMALL GROWTH Small Cap
2001-01-01,457.208
2001-01-02,469.652
2001-01-03,439.639
2001-01-04,453.699
2001-01-05,455.807
2001-01-08,460.542
2001-01-09,458.639
2001-01-10,465.48
2001-01-11,479.169
2001-01-12,485.268
2001-01-15,477.685
2001-01-16,466.217
2001-01-17,472.296
2001-01-18,477.286
2001-01-19,480.105
2001-01-22,476.016
2001-01-23,476.954
2001-01-24,477.37
2001-01-25,475.18
2001-01-26,475.441
2001-01-29,478.682
2001-01-30,480.686
2001-01-31,491.172
2001-02-01,497.807
2001-02-02,498.705
2001-02-05,496.181
2001-02-06,494.659
2001-02-07,495.9
2001-02-08,495.235
2001-02-09,490.248
2001-02-12,482.567
2001-02-13,489.089
2001-02-14,483.063
2001-02-15,479.526
2001-02-16,481.96
2001-02-19,488.235
2001-02-20,486.282
2001-02-21,479.377
2001-02-22,476.512
2001-02-23,474.394
2001-02-26,485.67
2001-02-27,485.941
2001-02-28,486.341
2001-03-01,472.21
2001-03-02,478.149
2001-03-05,487.059
2001-03-06,495.763
2001-03-07,490.91
2001-03-08,495.467
2001-03-09,490.685
2001-03-12,472.415
2001-03-13,459.484
2001-03-14,443.913
2001-03-15,453.22
2001-03-16,448.169
2001-03-19,444.763
2001-03-20,456.068
2001-03-21,444.97
2001-03-22,427.696
2001-03-23,432.805
2001-03-26,440.339
2001-03-27,443.204
2001-03-28,433.037
2001-03-29,434.224
2001-03-30,440.037
2001-04-02,435.641
2001-04-03,423.145
2001-04-04,425.035
2001-04-05,432.729
2001-04-06,431.059
2001-04-09,432.745
2001-04-10,439.354
2001-04-11,440.884
2001-04-12,445.069
2001-04-13,445.069
2001-04-16,440.537
2001-04-17,441.177
2001-04-18,447.663
2001-04-19,457.552
2001-04-20,455.716
2001-04-23,452.957
2001-04-24,451.462
2001-04-25,452.078
2001-04-26,453.752
2001-04-27,459.125
2001-04-30,461.009
2001-05-01,463.731
2001-05-02,458.141
2001-05-03,452.488
2001-05-04,451.422
2001-05-07,457.228
2001-05-08,462.477
2001-05-09,460.699
2001-05-10,472.602
2001-05-11,470.085
2001-05-14,457.88
2001-05-15,460.492
2001-05-16,453.24
2001-05-17,453.285
2001-05-18,470.133
2001-05-21,475.748
2001-05-22,470.658
2001-05-23,469.851
2001-05-24,470.075
2001-05-25,477.078
2001-05-28,476.576
2001-05-29,465.499
2001-05-30,460.39
2001-05-31,451.925
2001-06-01,449.479
2001-06-04,450.116
2001-06-05,452.843
2001-06-06,448.469
2001-06-07,444.921
2001-06-08,447.447
2001-06-11,439.65
2001-06-12,427.862
2001-06-13,436.063
2001-06-14,434.873
2001-06-15,429.013
2001-06-18,431.809
2001-06-19,437.39
2001-06-20,429.88
2001-06-21,431.425
2001-06-22,426.269
2001-06-25,424.364
2001-06-26,413.67
2001-06-27,412.474
2001-06-28,403.168
2001-06-29,400.0
2001-07-02,398.615
2001-07-03,398.128
2001-07-04,398.051
2001-07-05,392.56
2001-07-06,393.39
2001-07-09,393.76
2001-07-10,390.466
2001-07-11,387.407
2001-07-12,385.246
2001-07-13,379.627
2001-07-16,378.792
2001-07-17,372.124
2001-07-18,383.842
2001-07-19,390.897
2001-07-20,389.688
2001-07-23,394.27
2001-07-24,391.412
2001-07-25,393.184
2001-07-26,396.083
2001-07-27,398.285
2001-07-30,401.892
2001-07-31,402.977
2001-08-01,402.259
2001-08-02,410.358
2001-08-03,415.169
2001-08-06,404.907
2001-08-07,402.996
2001-08-08,393.872
2001-08-09,392.141
2001-08-10,387.756
2001-08-13,384.025
2001-08-14,378.485
2001-08-15,379.189
2001-08-16,379.29
2001-08-17,379.955
2001-08-20,376.079
2001-08-21,379.016
2001-08-22,384.264
2001-08-23,378.296
2001-08-24,378.043
2001-08-27,376.933
2001-08-28,374.15
2001-08-29,370.593
2001-08-30,368.385
2001-08-31,361.104
2001-09-03,354.393
2001-09-04,352.525
2001-09-05,354.525
2001-09-06,349.601
2001-09-07,350.394
2001-09-10,342.134
2001-09-11,343.016
2001-09-12,330.365
2001-09-13,333.292
2001-09-14,332.12
2001-09-17,327.771
2001-09-18,330.349
2001-09-19,327.865
2001-09-20,303.53
2001-09-21,287.362
2001-09-24,298.359
2001-09-25,301.151
2001-09-26,299.54
2001-09-27,301.393
2001-09-28,306.048
2001-10-01,308.458
2001-10-02,309.156
2001-10-03,302.329
2001-10-04,307.44
2001-10-05,307.261
2001-10-08,306.254
2001-10-09,309.731
2001-10-10,310.489
2001-10-11,317.853
2001-10-12,313.988
2001-10-15,311.845
2001-10-16,318.289
2001-10-17,324.963
2001-10-18,321.15
2001-10-19,317.299
2001-10-22,321.35
2001-10-23,321.939
2001-10-24,328.605
2001-10-25,320.727
2001-10-26,326.979
2001-10-29,329.79
2001-10-30,322.938
2001-10-31,321.72
2001-11-01,320.243
2001-11-02,316.437
2001-11-05,319.296
2001-11-06,318.983
2001-11-07,326.764
2001-11-08,327.014
2001-11-09,330.882
2001-11-12,322.561
2001-11-13,335.128
2001-11-14,339.378
2001-11-15,333.039
2001-11-16,328.714
2001-11-19,326.69
2001-11-20,334.321
2001-11-21,330.439
2001-11-22,341.225
2001-11-23,340.369
2001-11-26,342.602
2001-11-27,338.37
2001-11-28,338.155
2001-11-29,337.127
2001-11-30,335.961
2001-12-03,326.766
2001-12-04,329.747
2001-12-05,336.457
2001-12-06,339.598
2001-12-07,337.879
2001-12-10,334.952
2001-12-11,335.812
2001-12-12,337.365
2001-12-13,332.038
2001-12-14,337.947
2001-12-17,334.012
2001-12-18,329.289
2001-12-19,323.93
2001-12-20,327.852
2001-12-21,332.977
2001-12-24,328.726
2001-12-25,328.726
2001-12-26,329.172
2001-12-27,342.045
2001-12-28,341.61
2001-12-31,344.09
2002-01-01,344.09
2002-01-02,355.083
2002-01-03,359.833
2002-01-04,359.476
2002-01-07,359.389
2002-01-08,355.802
2002-01-09,358.758
2002-01-10,353.735
2002-01-11,360.977
2002-01-14,362.488
2002-01-15,354.675
2002-01-16,343.625
2002-01-17,348.955
2002-01-18,341.389
2002-01-21,340.107
2002-01-22,341.972
2002-01-23,342.393
2002-01-24,342.317
2002-01-25,336.517
2002-01-28,339.854
2002-01-29,340.659
2002-01-30,340.39
2002-01-31,340.386
2002-02-01,342.547
2002-02-04,340.671
2002-02-05,334.839
2002-02-06,337.168
2002-02-07,338.67
2002-02-08,337.799
2002-02-11,345.408
2002-02-12,344.606
2002-02-13,345.789
2002-02-14,345.503
2002-02-15,346.369
2002-02-18,344.146
2002-02-19,340.174
2002-02-20,339.812
2002-02-21,339.333
2002-02-22,339.425
2002-02-25,334.427
2002-02-26,337.192
2002-02-27,341.315
2002-02-28,338.922
2002-03-01,345.921
2002-03-04,350.052
2002-03-05,353.917
2002-03-06,353.149
2002-03-07,368.031
2002-03-08,372.537
2002-03-11,373.0
2002-03-12,368.772
2002-03-13,370.212
2002-03-14,371.631
2002-03-15,375.228
2002-03-18,378.77
2002-03-19,377.347
2002-03-20,376.979
2002-03-21,375.897
2002-03-22,373.933
2002-03-25,373.633
2002-03-26,373.045
2002-03-27,375.919
2002-03-28,376.109
2002-03-29,376.109
2002-04-01,378.947
