Date,FINLAND SMID VALUE SMID (Small+Mid Cap)
2001-01-01,161.513
2001-01-02,165.072
2001-01-03,159.625
2001-01-04,162.873
2001-01-05,165.47
2001-01-08,165.179
2001-01-09,158.957
2001-01-10,156.622
2001-01-11,157.317
2001-01-12,158.741
2001-01-15,158.125
2001-01-16,156.565
2001-01-17,157.512
2001-01-18,159.444
2001-01-19,159.246
2001-01-22,158.783
2001-01-23,159.34
2001-01-24,155.909
2001-01-25,153.684
2001-01-26,152.516
2001-01-29,152.218
2001-01-30,153.131
2001-01-31,155.523
2001-02-01,158.251
2001-02-02,158.141
2001-02-05,159.616
2001-02-06,160.109
2001-02-07,157.523
2001-02-08,156.103
2001-02-09,154.818
2001-02-12,155.435
2001-02-13,153.472
2001-02-14,151.812
2001-02-15,150.872
2001-02-16,152.501
2001-02-19,154.922
2001-02-20,152.872
2001-02-21,152.714
2001-02-22,150.766
2001-02-23,150.309
2001-02-26,151.234
2001-02-27,154.881
2001-02-28,155.789
2001-03-01,156.92
2001-03-02,158.097
2001-03-05,158.791
2001-03-06,159.922
2001-03-07,159.42
2001-03-08,160.71
2001-03-09,160.619
2001-03-12,159.649
2001-03-13,155.418
2001-03-14,152.884
2001-03-15,153.524
2001-03-16,150.927
2001-03-19,151.368
2001-03-20,151.457
2001-03-21,149.913
2001-03-22,144.354
2001-03-23,145.566
2001-03-26,148.139
2001-03-27,148.674
2001-03-28,148.196
2001-03-29,145.385
2001-03-30,146.309
2001-04-02,146.334
2001-04-03,146.413
2001-04-04,146.7
2001-04-05,146.898
2001-04-06,148.427
2001-04-09,149.314
2001-04-10,149.079
2001-04-11,151.216
2001-04-12,152.72
2001-04-13,152.72
2001-04-16,151.156
2001-04-17,150.243
2001-04-18,151.047
2001-04-19,154.573
2001-04-20,157.276
2001-04-23,157.333
2001-04-24,157.316
2001-04-25,157.709
2001-04-26,160.874
2001-04-27,159.018
2001-04-30,163.648
2001-05-01,164.516
2001-05-02,163.667
2001-05-03,161.976
2001-05-04,162.033
2001-05-07,161.794
2001-05-08,160.652
2001-05-09,161.206
2001-05-10,163.253
2001-05-11,162.437
2001-05-14,161.747
2001-05-15,164.659
2001-05-16,164.959
2001-05-17,167.439
2001-05-18,167.293
2001-05-21,165.68
2001-05-22,164.017
2001-05-23,162.344
2001-05-24,161.731
2001-05-25,162.75
2001-05-28,163.77
2001-05-29,161.527
2001-05-30,160.52
2001-05-31,159.434
2001-06-01,159.595
2001-06-04,159.232
2001-06-05,160.752
2001-06-06,161.454
2001-06-07,162.247
2001-06-08,162.727
2001-06-11,159.473
2001-06-12,158.724
2001-06-13,156.365
2001-06-14,156.947
2001-06-15,153.969
2001-06-18,154.328
2001-06-19,155.679
2001-06-20,152.94
2001-06-21,154.575
2001-06-22,154.746
2001-06-25,156.267
2001-06-26,155.33
2001-06-27,153.157
