Date,FINLAND SMID VALUE SMID (Small+Mid Cap)
1994-05-31,103.85
1994-06-30,95.643
1994-07-29,105.004
1994-08-31,107.425
1994-09-30,107.274
1994-10-31,111.483
1994-11-30,100.876
1994-12-30,102.166
1995-01-31,99.619
1995-02-28,103.314
1995-03-31,97.707
1995-04-28,108.962
1995-05-31,107.845
1995-06-30,106.118
1995-07-31,112.703
1995-08-31,109.808
1995-09-29,111.679
1995-10-31,103.58
1995-11-30,105.53
1995-12-29,102.55
1996-01-31,102.787
1996-02-29,113.326
1996-03-29,113.702
1996-04-30,116.494
1996-05-31,123.617
1996-06-28,127.737
1996-07-31,131.269
1996-08-30,140.397
1996-09-30,138.068
1996-10-31,138.017
1996-11-29,142.711
1996-12-31,148.665
1997-01-31,148.728
1997-02-28,156.761
1997-03-31,158.25
1997-04-30,151.968
1997-05-30,158.922
1997-06-30,161.767
1997-07-31,161.843
1997-08-29,151.859
1997-09-30,166.972
1997-10-31,163.78
1997-11-28,159.618
1997-12-31,155.666
1998-01-30,161.266
1998-02-27,174.678
1998-03-31,181.104
1998-04-30,196.737
1998-05-29,200.462
1998-06-30,195.961
1998-07-31,190.389
1998-08-31,171.214
1998-09-30,149.232
1998-10-30,159.095
1998-11-30,162.88
1998-12-31,166.475
1999-01-29,157.024
1999-02-26,155.441
1999-03-31,166.581
1999-04-30,178.421
1999-05-31,169.233
1999-06-30,169.557
1999-07-30,176.004
1999-08-31,179.476
1999-09-30,173.907
1999-10-29,172.017
1999-11-30,166.364
1999-12-31,187.874
2000-01-31,190.291
2000-02-29,188.859
2000-03-31,190.799
2000-04-28,174.791
2000-05-31,166.75
2000-06-30,178.043
2000-07-31,170.036
2000-08-31,165.079
2000-09-29,157.257
2000-10-31,143.896
2000-11-30,144.866
2000-12-29,161.513
2001-01-31,155.523
2001-02-28,155.789
2001-03-30,146.309
2001-04-30,163.648
2001-05-31,159.434
2001-06-29,151.597
2001-07-31,151.947
2001-08-31,162.384
2001-09-28,147.504
2001-10-31,158.344
2001-11-30,160.033
2001-12-31,161.156
2002-01-31,167.173
2002-02-28,176.677
