Date,FINLAND SMID VALUE SMID (Small+Mid Cap)
1994-05-31,118.423
1994-06-30,109.065
1994-07-29,119.74
1994-08-31,122.501
1994-09-30,122.328
1994-10-31,127.128
1994-11-30,115.033
1994-12-30,116.504
1995-01-31,113.599
1995-02-28,117.813
1995-03-31,111.249
1995-04-28,123.674
1995-05-31,122.407
1995-06-30,120.446
1995-07-31,127.921
1995-08-31,124.622
1995-09-29,126.745
1995-10-31,117.554
1995-11-30,119.767
1995-12-29,116.385
1996-01-31,116.654
1996-02-29,128.614
1996-03-29,128.891
1996-04-30,131.51
1996-05-31,139.552
1996-06-28,144.203
1996-07-31,148.19
1996-08-30,158.466
1996-09-30,155.837
1996-10-31,155.779
1996-11-29,161.077
1996-12-31,167.797
1997-01-31,167.868
1997-02-28,176.935
1997-03-31,178.426
1997-04-30,170.705
1997-05-30,178.517
1997-06-30,181.712
1997-07-31,181.798
1997-08-29,170.555
1997-09-30,187.529
1997-10-31,183.943
1997-11-28,179.269
1997-12-31,174.83
1998-01-30,181.12
1998-02-27,196.122
1998-03-31,202.844
1998-04-30,219.607
1998-05-29,223.765
1998-06-30,218.74
1998-07-31,212.521
1998-08-31,191.069
1998-09-30,166.538
1998-10-30,177.545
1998-11-30,181.77
1998-12-31,185.781
1999-01-29,175.234
1999-02-26,173.467
1999-03-31,185.421
1999-04-30,197.929
1999-05-31,187.736
1999-06-30,188.096
1999-07-30,195.247
1999-08-31,199.099
1999-09-30,192.922
1999-10-29,190.824
1999-11-30,184.554
1999-12-31,208.415
2000-01-31,211.096
2000-02-29,209.478
2000-03-31,211.079
2000-04-28,193.099
2000-05-31,184.216
2000-06-30,196.691
2000-07-31,187.846
2000-08-31,182.342
2000-09-29,173.702
2000-10-31,158.944
2000-11-30,160.016
2000-12-29,178.404
2001-01-31,171.787
2001-02-28,172.061
2001-03-30,160.793
2001-04-30,177.868
2001-05-31,173.283
2001-06-29,164.766
2001-07-31,165.147
2001-08-31,176.49
2001-09-28,160.317
2001-10-31,172.099
2001-11-30,173.935
2001-12-31,175.155
2002-01-31,181.695
2002-02-28,191.95
2002-03-29,202.546
2002-04-30,209.972
2002-05-31,222.145
2002-06-28,224.23
2002-07-31,197.833
2002-08-30,196.469
2002-09-30,174.971
2002-10-31,187.631
2002-11-29,205.017
2002-12-31,203.861
2003-01-31,195.25
2003-02-28,189.069
2003-03-31,185.693
2003-04-30,205.268
2003-05-30,211.041
2003-06-30,213.043
2003-07-31,225.674
2003-08-29,237.183
2003-09-30,243.887
2003-10-31,268.523
2003-11-28,285.914
2003-12-31,295.74
2004-01-30,296.315
2004-02-27,315.2
2004-03-31,310.714
2004-04-30,312.661
2004-05-31,311.504
2004-06-30,327.547
2004-07-30,329.808
2004-08-31,333.562
2004-09-30,343.606
2004-10-29,361.885
2004-11-30,405.041
2004-12-31,417.166
2005-01-31,412.738
2005-02-28,449.537
2005-03-31,451.699
2005-04-29,439.277
2005-05-31,452.962
2005-06-30,473.77
2005-07-29,496.739
2005-08-31,503.96
2005-09-30,520.887
2005-10-31,488.366
2005-11-30,492.371
2005-12-30,520.917
2006-01-31,578.173
2006-02-28,607.449
2006-03-31,640.469
2006-04-28,667.568
2006-05-31,629.692
2006-06-30,625.333
2006-07-31,621.105
2006-08-31,652.775
2006-09-29,658.325
2006-10-31,720.154
2006-11-30,783.548
2006-12-29,838.346
2007-01-31,850.621
2007-02-28,863.445
2007-03-30,910.841
2007-04-30,981.181
2007-05-31,1000.0
2007-06-29,997.904
2007-07-31,976.221
2007-08-31,934.168
2007-09-28,987.413
2007-10-31,975.287
2007-11-30,890.294
2007-12-31,861.93
2008-01-31,783.663
2008-02-29,807.49
2008-03-31,876.899
2008-04-30,858.795
2008-05-30,861.22
2008-06-30,740.762
2008-07-31,670.456
2008-08-29,679.49
2008-09-30,556.486
2008-10-31,451.77
2008-11-28,428.04
2008-12-31,437.558
2009-01-30,392.152
2009-02-27,337.072
2009-03-31,336.86
2009-04-30,441.432
2009-05-29,493.09
2009-06-30,468.336
2009-07-31,530.156
2009-08-31,596.846
2009-09-30,630.358
2009-10-30,618.884
2009-11-30,649.903
