Date,BELGIUM SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,461.791
2001-01-02,463.895
2001-01-03,459.655
2001-01-04,461.336
2001-01-05,465.272
2001-01-08,464.663
2001-01-09,458.689
2001-01-10,453.357
2001-01-11,458.109
2001-01-12,457.241
2001-01-15,453.43
2001-01-16,455.76
2001-01-17,454.819
2001-01-18,461.63
2001-01-19,464.432
2001-01-22,460.992
2001-01-23,461.969
2001-01-24,454.273
2001-01-25,451.684
2001-01-26,453.736
2001-01-29,451.242
2001-01-30,453.088
2001-01-31,455.241
2001-02-01,460.842
2001-02-02,459.945
2001-02-05,460.722
2001-02-06,454.005
2001-02-07,451.977
2001-02-08,446.307
2001-02-09,446.42
2001-02-12,449.182
2001-02-13,444.637
2001-02-14,433.851
2001-02-15,430.435
2001-02-16,436.29
2001-02-19,438.396
2001-02-20,434.814
2001-02-21,435.701
2001-02-22,431.308
2001-02-23,430.188
2001-02-26,434.028
2001-02-27,435.286
2001-02-28,435.452
2001-03-01,435.294
2001-03-02,438.278
2001-03-05,434.306
2001-03-06,435.897
2001-03-07,433.585
2001-03-08,429.933
2001-03-09,423.74
2001-03-12,417.585
2001-03-13,401.079
2001-03-14,395.458
2001-03-15,389.428
2001-03-16,387.43
2001-03-19,385.573
2001-03-20,390.38
2001-03-21,383.713
2001-03-22,369.131
2001-03-23,376.025
2001-03-26,381.004
2001-03-27,378.343
2001-03-28,374.909
2001-03-29,366.443
2001-03-30,372.078
2001-04-02,370.078
2001-04-03,370.151
2001-04-04,371.904
2001-04-05,373.966
2001-04-06,377.639
2001-04-09,378.024
2001-04-10,374.931
2001-04-11,373.347
2001-04-12,374.755
2001-04-13,374.755
2001-04-16,370.917
2001-04-17,369.235
2001-04-18,365.784
2001-04-19,373.79
2001-04-20,374.636
2001-04-23,370.043
2001-04-24,372.223
2001-04-25,371.153
2001-04-26,372.028
2001-04-27,369.592
2001-04-30,369.4
2001-05-01,371.172
2001-05-02,370.35
2001-05-03,370.517
2001-05-04,372.006
2001-05-07,369.797
2001-05-08,365.241
2001-05-09,365.312
2001-05-10,364.018
2001-05-11,364.916
2001-05-14,362.959
2001-05-15,364.027
2001-05-16,366.623
2001-05-17,366.697
2001-05-18,362.654
2001-05-21,361.921
2001-05-22,357.142
2001-05-23,355.487
2001-05-24,355.7
2001-05-25,355.016
2001-05-28,356.66
2001-05-29,357.572
2001-05-30,357.605
2001-05-31,354.149
2001-06-01,352.803
2001-06-04,353.153
2001-06-05,359.523
2001-06-06,363.632
2001-06-07,362.73
2001-06-08,361.676
2001-06-11,358.449
2001-06-12,359.56
2001-06-13,365.449
2001-06-14,364.279
2001-06-15,365.27
2001-06-18,363.736
2001-06-19,359.131
2001-06-20,355.564
2001-06-21,358.026
2001-06-22,356.973
2001-06-25,357.594
2001-06-26,358.134
2001-06-27,357.418
2001-06-28,352.797
2001-06-29,353.66
2001-07-02,354.029
2001-07-03,355.874
2001-07-04,350.755
2001-07-05,349.298
2001-07-06,353.158
2001-07-09,355.771
2001-07-10,360.132
2001-07-11,360.434
2001-07-12,358.88
2001-07-13,356.756
2001-07-16,358.951
2001-07-17,356.651
2001-07-18,364.664
2001-07-19,365.741
2001-07-20,368.248
2001-07-23,364.946
2001-07-24,368.181
2001-07-25,367.417
2001-07-26,366.229
2001-07-27,364.136
2001-07-30,367.032
2001-07-31,368.448
2001-08-01,374.657
2001-08-02,377.587
2001-08-03,378.276
2001-08-06,378.469
2001-08-07,378.969
2001-08-08,378.1
2001-08-09,381.435
2001-08-10,385.18
2001-08-13,386.369
2001-08-14,388.406
2001-08-15,394.793
2001-08-16,392.605
2001-08-17,392.15
2001-08-20,388.262
2001-08-21,386.007
2001-08-22,387.536
2001-08-23,387.41
2001-08-24,390.473
2001-08-27,388.421
2001-08-28,388.05
2001-08-29,388.89
2001-08-30,389.154
2001-08-31,388.305
2001-09-03,387.586
2001-09-04,381.703
2001-09-05,378.883
2001-09-06,377.593
2001-09-07,378.825
2001-09-10,370.097
2001-09-11,355.118
2001-09-12,352.651
2001-09-13,354.781
2001-09-14,351.65
2001-09-17,347.07
2001-09-18,344.186
2001-09-19,348.087
2001-09-20,338.718
2001-09-21,328.013
2001-09-24,336.77
2001-09-25,343.91
2001-09-26,352.262
2001-09-27,356.422
2001-09-28,356.545
2001-10-01,359.928
2001-10-02,357.997
2001-10-03,356.403
2001-10-04,357.907
2001-10-05,359.48
2001-10-08,358.644
2001-10-09,359.491
2001-10-10,356.04
2001-10-11,355.489
2001-10-12,356.304
2001-10-15,353.951
2001-10-16,352.113
2001-10-17,358.368
2001-10-18,355.902
2001-10-19,353.59
2001-10-22,353.236
2001-10-23,356.115
2001-10-24,356.469
2001-10-25,359.646
2001-10-26,359.024
2001-10-29,359.049
2001-10-30,355.987
2001-10-31,355.206
2001-11-01,357.369
2001-11-02,357.209
2001-11-05,356.951
2001-11-06,359.068
2001-11-07,362.177
2001-11-08,359.246
2001-11-09,358.093
2001-11-12,354.997
2001-11-13,355.619
2001-11-14,358.388
2001-11-15,358.897
2001-11-16,358.832
2001-11-19,360.251
2001-11-20,359.124
2001-11-21,358.291
2001-11-22,361.362
2001-11-23,361.085
2001-11-26,365.654
2001-11-27,362.615
2001-11-28,363.465
2001-11-29,365.928
2001-11-30,371.541
2001-12-03,366.484
2001-12-04,368.362
2001-12-05,368.031
2001-12-06,373.96
2001-12-07,374.962
2001-12-10,373.502
2001-12-11,367.862
2001-12-12,369.414
2001-12-13,366.741
2001-12-14,363.107
2001-12-17,373.965
2001-12-18,371.791
2001-12-19,370.712
2001-12-20,370.784
2001-12-21,369.276
2001-12-24,368.793
2001-12-25,368.793
2001-12-26,369.108
2001-12-27,375.221
2001-12-28,374.841
2001-12-31,378.415
2002-01-01,378.415
2002-01-02,383.944
2002-01-03,390.06
2002-01-04,386.14
2002-01-07,385.489
2002-01-08,384.915
2002-01-09,380.455
2002-01-10,376.395
2002-01-11,376.981
2002-01-14,373.688
2002-01-15,377.019
2002-01-16,372.234
2002-01-17,374.905
2002-01-18,378.308
2002-01-21,377.66
2002-01-22,376.657
2002-01-23,384.93
2002-01-24,387.578
2002-01-25,379.005
2002-01-28,377.585
2002-01-29,375.562
2002-01-30,373.519
2002-01-31,374.542
2002-02-01,375.773
2002-02-04,379.729
2002-02-05,375.01
2002-02-06,373.928
2002-02-07,372.031
2002-02-08,372.069
2002-02-11,376.077
2002-02-12,377.357
2002-02-13,379.057
2002-02-14,381.112
2002-02-15,380.816
2002-02-18,377.274
2002-02-19,377.405
2002-02-20,372.448
2002-02-21,372.273
2002-02-22,372.414
2002-02-25,367.368
2002-02-26,366.535
2002-02-27,364.212
2002-02-28,367.467
2002-03-01,365.054
2002-03-04,373.689
2002-03-05,372.179
2002-03-06,372.105
2002-03-07,374.667
2002-03-08,367.523
2002-03-11,368.776
2002-03-12,365.074
2002-03-13,368.902
2002-03-14,371.812
2002-03-15,371.053
2002-03-18,371.98
2002-03-19,373.712
2002-03-20,373.157
2002-03-21,373.325
2002-03-22,373.782
2002-03-25,373.57
2002-03-26,373.213
2002-03-27,369.176
2002-03-28,371.484
2002-03-29,371.484
2002-04-01,374.529
2002-04-02,374.347
2002-04-03,374.752
2002-04-04,375.03
2002-04-05,370.744
2002-04-08,367.275
2002-04-09,367.348
2002-04-10,370.676
2002-04-11,369.823
2002-04-12,370.453
2002-04-15,369.466
2002-04-16,372.453
2002-04-17,373.333
2002-04-18,369.787
2002-04-19,371.898
2002-04-22,372.44
2002-04-23,374.145
2002-04-24,375.484
2002-04-25,374.086
2002-04-26,372.694
2002-04-29,371.151
2002-04-30,371.263
2002-05-01,373.365
2002-05-02,367.516
2002-05-03,371.697
2002-05-06,375.008
2002-05-07,369.735
2002-05-08,373.067
2002-05-09,373.408
2002-05-10,375.56
2002-05-13,376.611
2002-05-14,377.938
2002-05-15,379.794
2002-05-16,379.038
2002-05-17,383.459
2002-05-20,382.349
2002-05-21,380.837
2002-05-22,381.743
2002-05-23,378.308
2002-05-24,378.359
2002-05-27,375.774
2002-05-28,380.086
2002-05-29,378.321
2002-05-30,379.202
2002-05-31,379.936
2002-06-03,378.82
2002-06-04,378.811
2002-06-05,377.908
2002-06-06,381.223
2002-06-07,380.323
2002-06-10,381.584
2002-06-11,381.418
2002-06-12,373.823
2002-06-13,363.473
2002-06-14,357.032
2002-06-17,367.026
2002-06-18,365.446
2002-06-19,367.9
2002-06-20,369.905
2002-06-21,374.504
2002-06-24,369.204
2002-06-25,369.094
