Date,BELGIUM SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,277.409
1994-06-30,271.9
1994-07-29,282.959
1994-08-31,292.399
1994-09-30,280.497
1994-10-31,287.941
1994-11-30,276.901
1994-12-30,281.668
1995-01-31,275.325
1995-02-28,285.05
1995-03-31,299.334
1995-04-28,327.996
1995-05-31,343.559
1995-06-30,349.801
1995-07-31,363.158
1995-08-31,346.453
1995-09-29,360.736
1995-10-31,351.573
1995-11-30,353.81
1995-12-29,376.096
1996-01-31,407.21
1996-02-29,424.768
1996-03-29,432.356
1996-04-30,448.828
1996-05-31,464.371
1996-06-28,485.872
1996-07-31,480.192
1996-08-30,496.856
1996-09-30,496.928
1996-10-31,523.279
1996-11-29,559.955
1996-12-31,561.289
1997-01-31,551.237
1997-02-28,550.529
1997-03-31,555.571
1997-04-30,555.058
1997-05-30,587.377
1997-06-30,660.156
1997-07-31,667.305
1997-08-29,624.831
1997-09-30,657.063
1997-10-31,638.784
1997-11-28,618.137
1997-12-31,624.095
1998-01-30,661.473
1998-02-27,729.529
1998-03-31,780.634
1998-04-30,805.179
1998-05-29,834.966
1998-06-30,931.332
1998-07-31,936.382
1998-08-31,855.071
1998-09-30,871.847
1998-10-30,916.584
1998-11-30,944.732
1998-12-31,977.677
1999-01-29,970.285
1999-02-26,966.3
1999-03-31,871.449
1999-04-30,868.712
1999-05-31,834.928
1999-06-30,794.576
1999-07-30,773.843
1999-08-31,789.592
1999-09-30,737.081
1999-10-29,716.535
1999-11-30,696.392
1999-12-31,753.825
2000-01-31,649.603
2000-02-29,700.004
2000-03-31,705.145
2000-04-28,632.224
2000-05-31,631.31
2000-06-30,645.264
2000-07-31,588.151
2000-08-31,615.788
2000-09-29,502.674
2000-10-31,446.275
2000-11-30,433.513
2000-12-29,461.791
2001-01-31,455.241
2001-02-28,435.452
2001-03-30,372.078
2001-04-30,369.4
2001-05-31,354.149
2001-06-29,353.66
2001-07-31,368.448
2001-08-31,388.305
2001-09-28,356.545
2001-10-31,355.206
2001-11-30,371.541
2001-12-31,378.415
2002-01-31,374.542
2002-02-28,367.467
2002-03-29,371.484
2002-04-30,371.263
2002-05-31,379.936
2002-06-28,377.629
2002-07-31,356.343
2002-08-30,333.834
2002-09-30,318.973
2002-10-31,317.079
2002-11-29,329.345
2002-12-31,357.41
2003-01-31,353.02
2003-02-28,302.507
2003-03-31,300.109
2003-04-30,352.875
2003-05-30,396.988
2003-06-30,388.714
2003-07-31,379.353
2003-08-29,396.094
2003-09-30,431.498
2003-10-31,439.976
2003-11-28,453.377
2003-12-31,498.085
2004-01-30,533.085
2004-02-27,549.334
2004-03-31,531.853
2004-04-30,532.326
2004-05-31,563.899
2004-06-30,582.268
2004-07-30,574.399
2004-08-31,595.875
2004-09-30,642.746
2004-10-29,673.62
2004-11-30,691.975
2004-12-31,718.458
2005-01-31,713.524
2005-02-28,757.459
2005-03-31,729.608
2005-04-29,714.59
2005-05-31,673.925
2005-06-30,681.462
2005-07-29,707.422
2005-08-31,717.672
2005-09-30,714.243
2005-10-31,673.406
2005-11-30,665.094
2005-12-30,679.371
2006-01-31,717.393
2006-02-28,726.901
2006-03-31,747.728
2006-04-28,821.635
2006-05-31,802.434
2006-06-30,803.973
2006-07-31,792.37
2006-08-31,822.823
2006-09-29,828.795
2006-10-31,852.659
2006-11-30,863.453
2006-12-29,925.979
2007-01-31,938.302
2007-02-28,928.829
2007-03-30,925.621
2007-04-30,986.266
2007-05-31,1000.0
2007-06-29,1000.858
2007-07-31,993.533
2007-08-31,983.398
2007-09-28,1001.243
2007-10-31,1004.701
2007-11-30,986.824
2007-12-31,1003.996
2008-01-31,910.316
2008-02-29,949.391
2008-03-31,974.375
2008-04-30,992.802
2008-05-30,994.257
2008-06-30,925.095
2008-07-31,895.081
2008-08-29,872.886
2008-09-30,720.847
2008-10-31,508.045
2008-11-28,443.231
2008-12-31,448.381
2009-01-30,437.376
2009-02-27,434.619
2009-03-31,432.906
2009-04-30,467.487
2009-05-29,498.679
2009-06-30,490.911
2009-07-31,512.441
2009-08-31,551.347
