Date,SWITZERLAND Standard (Large+Mid Cap)
2001-01-01,5575.773
2001-01-02,5620.165
2001-01-03,5626.715
2001-01-04,5632.218
2001-01-05,5545.377
2001-01-08,5537.192
2001-01-09,5476.457
2001-01-10,5403.082
2001-01-11,5440.353
2001-01-12,5386.149
2001-01-15,5354.618
2001-01-16,5357.978
2001-01-17,5371.169
2001-01-18,5459.839
2001-01-19,5358.853
2001-01-22,5356.121
2001-01-23,5397.813
2001-01-24,5337.649
2001-01-25,5360.202
2001-01-26,5402.09
2001-01-29,5402.145
2001-01-30,5436.692
2001-01-31,5457.706
2001-02-01,5448.948
2001-02-02,5415.147
2001-02-05,5477.445
2001-02-06,5440.872
2001-02-07,5421.999
2001-02-08,5295.141
2001-02-09,5309.785
2001-02-12,5306.196
2001-02-13,5260.021
2001-02-14,5196.746
2001-02-15,5155.845
2001-02-16,5127.035
2001-02-19,5160.048
2001-02-20,5071.288
2001-02-21,5054.557
2001-02-22,5041.165
2001-02-23,5001.926
2001-02-26,5041.934
2001-02-27,5091.925
2001-02-28,5097.269
2001-03-01,5073.219
2001-03-02,5085.432
2001-03-05,5087.405
2001-03-06,5110.598
2001-03-07,5087.201
2001-03-08,5075.615
2001-03-09,5042.327
2001-03-12,4953.354
2001-03-13,4874.123
2001-03-14,4750.772
2001-03-15,4766.328
2001-03-16,4607.403
2001-03-19,4565.634
2001-03-20,4605.949
2001-03-21,4517.884
2001-03-22,4208.373
2001-03-23,4346.478
2001-03-26,4515.292
2001-03-27,4546.144
2001-03-28,4481.146
2001-03-29,4503.629
2001-03-30,4601.655
2001-04-02,4505.178
2001-04-03,4427.777
2001-04-04,4478.179
2001-04-05,4552.727
2001-04-06,4552.59
2001-04-09,4637.308
2001-04-10,4652.674
2001-04-11,4688.864
2001-04-12,4739.682
2001-04-13,4739.682
2001-04-16,4691.473
2001-04-17,4682.016
2001-04-18,4676.225
2001-04-19,4728.785
2001-04-20,4763.753
2001-04-23,4694.982
2001-04-24,4734.913
2001-04-25,4715.224
2001-04-26,4724.793
2001-04-27,4706.28
2001-04-30,4725.202
2001-05-01,4739.27
2001-05-02,4761.373
2001-05-03,4725.75
2001-05-04,4762.028
2001-05-07,4821.66
2001-05-08,4772.522
2001-05-09,4726.047
2001-05-10,4805.489
2001-05-11,4802.807
2001-05-14,4763.721
2001-05-15,4839.307
2001-05-16,4879.892
2001-05-17,4896.146
2001-05-18,4876.454
2001-05-21,4884.714
2001-05-22,4863.036
2001-05-23,4848.273
2001-05-24,4836.279
2001-05-25,4814.581
2001-05-28,4818.159
2001-05-29,4767.876
2001-05-30,4752.314
2001-05-31,4670.336
2001-06-01,4686.139
2001-06-04,4696.857
2001-06-05,4755.307
2001-06-06,4722.635
2001-06-07,4739.143
2001-06-08,4702.851
2001-06-11,4649.158
2001-06-12,4618.733
2001-06-13,4660.265
2001-06-14,4632.013
2001-06-15,4624.171
2001-06-18,4602.476
2001-06-19,4556.091
2001-06-20,4505.104
2001-06-21,4522.531
2001-06-22,4489.804
2001-06-25,4517.024
2001-06-26,4453.762
2001-06-27,4401.009
2001-06-28,4439.973
2001-06-29,4477.052
2001-07-02,4522.913
2001-07-03,4481.951
2001-07-04,4449.142
2001-07-05,4364.202
2001-07-06,4326.131
2001-07-09,4345.68
2001-07-10,4320.31
2001-07-11,4311.537
2001-07-12,4357.387
2001-07-13,4363.57
2001-07-16,4381.887
2001-07-17,4338.129
2001-07-18,4436.79
2001-07-19,4516.577
2001-07-20,4495.242
2001-07-23,4465.728
2001-07-24,4394.803
2001-07-25,4350.049
2001-07-26,4341.547
2001-07-27,4380.862
2001-07-30,4413.816
2001-07-31,4433.875
2001-08-01,4496.393
2001-08-02,4528.467
2001-08-03,4511.754
2001-08-06,4503.383
2001-08-07,4485.007
2001-08-08,4472.702
2001-08-09,4434.413
2001-08-10,4381.193
2001-08-13,4449.061
2001-08-14,4518.401
2001-08-15,4574.91
2001-08-16,4547.578
2001-08-17,4533.801
2001-08-20,4489.668
2001-08-21,4560.69
2001-08-22,4542.914
2001-08-23,4478.58
2001-08-24,4537.233
2001-08-27,4551.875
2001-08-28,4488.099
2001-08-29,4436.272
2001-08-30,4394.113
2001-08-31,4429.637
2001-09-03,4336.035
2001-09-04,4330.943
2001-09-05,4302.139
2001-09-06,4243.622
2001-09-07,4204.595
2001-09-10,4102.753
2001-09-11,3876.617
2001-09-12,3975.162
2001-09-13,4028.136
2001-09-14,3913.682
2001-09-17,4060.802
2001-09-18,4047.615
2001-09-19,4032.296
2001-09-20,3871.462
2001-09-21,3710.988
2001-09-24,3886.1
2001-09-25,4037.653
2001-09-26,4061.413
2001-09-27,4114.337
2001-09-28,4225.197
2001-10-01,4160.474
2001-10-02,4151.514
2001-10-03,4139.026
2001-10-04,4204.103
2001-10-05,4190.744
2001-10-08,4204.76
2001-10-09,4181.222
2001-10-10,4176.659
2001-10-11,4223.439
2001-10-12,4197.323
2001-10-15,4183.612
2001-10-16,4181.611
2001-10-17,4179.114
2001-10-18,4213.874
2001-10-19,4181.666
2001-10-22,4225.78
2001-10-23,4267.721
2001-10-24,4280.562
2001-10-25,4253.62
2001-10-26,4289.314
2001-10-29,4264.591
2001-10-30,4206.088
2001-10-31,4221.508
2001-11-01,4254.111
2001-11-02,4253.718
2001-11-05,4285.155
2001-11-06,4293.076
2001-11-07,4320.827
2001-11-08,4393.666
2001-11-09,4369.625
2001-11-12,4312.99
2001-11-13,4334.08
2001-11-14,4369.777
2001-11-15,4445.604
2001-11-16,4488.709
2001-11-19,4500.443
2001-11-20,4453.639
2001-11-21,4429.368
2001-11-22,4468.144
2001-11-23,4381.639
2001-11-26,4395.627
2001-11-27,4374.875
2001-11-28,4328.92
2001-11-29,4320.129
2001-11-30,4313.433
2001-12-03,4292.241
2001-12-04,4390.14
2001-12-05,4434.989
2001-12-06,4442.443
2001-12-07,4417.608
2001-12-10,4339.971
2001-12-11,4337.286
2001-12-12,4364.349
2001-12-13,4338.949
2001-12-14,4312.481
2001-12-17,4398.06
2001-12-18,4367.979
2001-12-19,4298.251
2001-12-20,4383.313
2001-12-21,4384.735
2001-12-24,4290.586
2001-12-25,4290.586
2001-12-26,4289.697
2001-12-27,4358.746
2001-12-28,4352.008
2001-12-31,4400.502
2002-01-01,4400.502
2002-01-02,4420.786
2002-01-03,4408.243
2002-01-04,4409.144
2002-01-07,4401.567
2002-01-08,4339.845
2002-01-09,4360.438
2002-01-10,4366.36
2002-01-11,4398.635
2002-01-14,4335.664
2002-01-15,4316.175
2002-01-16,4266.694
2002-01-17,4313.831
2002-01-18,4305.081
2002-01-21,4270.106
2002-01-22,4288.386
2002-01-23,4316.446
2002-01-24,4347.354
2002-01-25,4267.355
2002-01-28,4276.788
2002-01-29,4220.773
2002-01-30,4146.036
2002-01-31,4156.265
2002-02-01,4143.34
2002-02-04,4148.7
2002-02-05,4140.561
2002-02-06,4128.9
2002-02-07,4213.453
2002-02-08,4233.45
2002-02-11,4277.267
2002-02-12,4257.597
2002-02-13,4281.097
2002-02-14,4321.366
2002-02-15,4333.533
2002-02-18,4298.32
2002-02-19,4227.672
2002-02-20,4189.286
2002-02-21,4207.812
2002-02-22,4207.7
2002-02-25,4220.465
2002-02-26,4195.297
2002-02-27,4242.37
2002-02-28,4276.276
2002-03-01,4271.359
2002-03-04,4342.89
2002-03-05,4322.514
2002-03-06,4356.072
2002-03-07,4420.394
2002-03-08,4454.906
2002-03-11,4434.302
2002-03-12,4400.293
2002-03-13,4443.92
2002-03-14,4530.674
2002-03-15,4550.673
2002-03-18,4568.025
2002-03-19,4572.631
2002-03-20,4574.239
2002-03-21,4559.354
2002-03-22,4563.063
2002-03-25,4547.102
2002-03-26,4558.393
2002-03-27,4543.212
2002-03-28,4553.756
2002-03-29,4553.756
2002-04-01,4606.482
2002-04-02,4624.892
2002-04-03,4640.39
2002-04-04,4635.585
2002-04-05,4601.368
2002-04-08,4532.591
2002-04-09,4569.786
2002-04-10,4602.177
2002-04-11,4571.316
2002-04-12,4548.914
2002-04-15,4567.486
2002-04-16,4617.293
2002-04-17,4658.651
2002-04-18,4682.112
2002-04-19,4669.864
2002-04-22,4676.525
2002-04-23,4674.561
2002-04-24,4699.553
2002-04-25,4679.673
2002-04-26,4640.768
2002-04-29,4682.605
2002-04-30,4684.798
2002-05-01,4730.2
2002-05-02,4710.339
2002-05-03,4791.521
2002-05-06,4781.904
2002-05-07,4693.404
2002-05-08,4763.935
2002-05-09,4769.825
2002-05-10,4756.375
2002-05-13,4769.434
2002-05-14,4747.417
2002-05-15,4817.021
2002-05-16,4844.922
2002-05-17,4877.182
2002-05-20,4857.362
2002-05-21,4857.961
2002-05-22,4878.094
2002-05-23,4824.952
2002-05-24,4828.657
2002-05-27,4834.831
2002-05-28,4857.934
2002-05-29,4868.151
2002-05-30,4862.888
2002-05-31,4866.948
2002-06-03,4853.349
2002-06-04,4782.124
2002-06-05,4732.422
2002-06-06,4735.788
2002-06-07,4668.108
2002-06-10,4671.303
2002-06-11,4694.146
2002-06-12,4568.06
2002-06-13,4501.603
2002-06-14,4467.55
2002-06-17,4571.022
2002-06-18,4532.088
2002-06-19,4506.068
2002-06-20,4414.269
2002-06-21,4442.526
2002-06-24,4340.28
2002-06-25,4447.61
2002-06-26,4420.997
2002-06-27,4449.896
2002-06-28,4673.944
2002-07-01,4675.671
2002-07-02,4587.342
2002-07-03,4449.951
2002-07-04,4544.987
2002-07-05,4651.087
2002-07-08,4688.336
2002-07-09,4684.728
2002-07-10,4510.153
2002-07-11,4348.735
2002-07-12,4415.019
2002-07-15,4294.127
2002-07-16,4211.937
2002-07-17,4265.189
2002-07-18,4249.333
2002-07-19,4044.805
2002-07-22,3816.373
2002-07-23,3708.005
2002-07-24,3721.082
2002-07-25,3972.984
2002-07-26,4018.827
2002-07-29,4143.82
2002-07-30,4145.98
