Date,SWITZERLAND Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,97.5
1970-02-27,95.886
1970-03-31,95.857
1970-04-30,86.782
1970-05-29,84.604
1970-06-30,85.101
1970-07-31,88.384
1970-08-31,92.324
1970-09-30,88.406
1970-10-30,87.338
1970-11-30,83.876
1970-12-31,86.797
1971-01-29,94.62
1971-02-26,95.189
1971-03-31,100.24
1971-04-30,103.141
1971-05-31,99.284
1971-06-30,104.02
1971-07-30,106.38
1971-08-31,107.597
1971-09-30,103.853
1971-10-29,96.165
1971-11-30,106.267
1971-12-31,110.626
1972-01-31,119.988
1972-02-29,126.115
1972-03-31,129.529
1972-04-28,129.206
1972-05-31,138.806
1972-06-30,128.821
1972-07-31,137.744
1972-08-31,142.254
1972-09-29,141.534
1972-10-31,140.15
1972-11-30,135.578
1972-12-29,142.33
1973-01-31,148.461
1973-02-28,160.274
1973-03-30,157.175
1973-04-30,150.033
1973-05-31,165.248
1973-06-29,173.563
1973-07-31,161.502
1973-08-31,153.978
1973-09-28,162.127
1973-10-31,165.006
1973-11-30,140.995
1973-12-31,136.956
1974-01-31,141.188
1974-02-28,138.352
1974-03-29,145.077
1974-04-30,144.587
1974-05-31,125.772
1974-06-28,129.675
1974-07-31,134.496
1974-08-30,118.014
1974-09-30,107.353
1974-10-31,116.968
1974-11-29,119.148
1974-12-31,119.896
1975-01-31,149.369
1975-02-28,158.789
1975-03-31,155.195
1975-04-30,163.199
1975-05-30,161.297
1975-06-30,160.478
1975-07-31,151.897
1975-08-29,145.041
1975-09-30,134.121
1975-10-31,154.361
1975-11-28,161.994
1975-12-31,169.36
1976-01-30,175.969
1976-02-27,175.145
1976-03-31,175.964
1976-04-30,174.619
1976-05-31,176.234
1976-06-30,179.884
1976-07-30,180.009
1976-08-31,180.038
1976-09-30,179.254
1976-10-29,173.092
1976-11-30,174.882
1976-12-31,187.181
1977-01-31,185.192
1977-02-28,180.698
1977-03-31,182.611
1977-04-29,184.899
1977-05-31,179.245
1977-06-30,184.787
1977-07-29,189.098
1977-08-31,196.381
1977-09-30,208.949
1977-10-31,216.991
1977-11-30,224.698
1977-12-30,241.051
1978-01-31,254.696
1978-02-28,260.144
1978-03-31,257.774
1978-04-28,238.155
1978-05-31,246.543
1978-06-30,255.529
1978-07-31,270.526
1978-08-31,287.701
1978-09-29,295.057
1978-10-31,301.374
1978-11-30,267.557
1978-12-29,293.829
1979-01-31,312.698
1979-02-28,311.833
1979-03-30,314.874
1979-04-30,311.816
1979-05-31,299.069
1979-06-29,311.049
1979-07-31,313.743
1979-08-31,322.296
1979-09-28,349.657
1979-10-31,317.047
1979-11-30,325.818
1979-12-31,329.782
1980-01-31,331.233
1980-02-29,309.683
1980-03-31,260.808
1980-04-30,298.294
1980-05-30,300.492
1980-06-30,319.293
1980-07-31,320.518
1980-08-29,322.802
1980-09-30,321.917
1980-10-31,313.394
1980-11-28,308.218
1980-12-31,305.703
1981-01-30,272.761
1981-02-27,272.652
1981-03-31,278.991
1981-04-30,258.717
1981-05-29,243.542
1981-06-30,254.913
1981-07-31,243.507
1981-08-31,235.928
1981-09-30,236.358
1981-10-30,255.881
1981-11-30,279.564
1981-12-31,276.136
1982-01-29,264.637
1982-02-26,257.256
1982-03-31,255.321
1982-04-30,255.34
1982-05-31,246.396
1982-06-30,225.95
1982-07-30,226.989
1982-08-31,228.465
1982-09-30,226.683
1982-10-29,237.323
1982-11-30,255.778
1982-12-31,285.692
1983-01-31,290.333
1983-02-28,293.688
1983-03-31,292.445
1983-04-29,308.016
1983-05-31,294.96
1983-06-30,301.509
1983-07-29,307.885
1983-08-31,291.914
1983-09-30,302.801
1983-10-31,312.137
1983-11-30,324.191
1983-12-30,340.816
1984-01-31,329.031
1984-02-29,334.211
1984-03-30,338.393
1984-04-30,335.985
1984-05-31,319.547
1984-06-29,309.33
1984-07-31,290.08
1984-08-31,310.81
1984-09-28,301.635
1984-10-31,307.111
1984-11-30,302.718
1984-12-31,303.01
1985-01-31,313.409
1985-02-28,295.601
1985-03-29,321.727
