Date,SWITZERLAND Standard (Large+Mid Cap)
2001-01-01,4357.326
2001-01-02,4392.018
2001-01-03,4397.136
2001-01-04,4401.436
2001-01-05,4333.572
2001-01-08,4327.176
2001-01-09,4279.713
2001-01-10,4222.372
2001-01-11,4251.499
2001-01-12,4209.14
2001-01-15,4184.499
2001-01-16,4187.125
2001-01-17,4197.433
2001-01-18,4266.726
2001-01-19,4187.808
2001-01-22,4185.674
2001-01-23,4218.254
2001-01-24,4171.238
2001-01-25,4188.862
2001-01-26,4221.597
2001-01-29,4221.64
2001-01-30,4248.638
2001-01-31,4265.059
2001-02-01,4258.215
2001-02-02,4231.801
2001-02-05,4280.485
2001-02-06,4251.904
2001-02-07,4237.156
2001-02-08,4138.019
2001-02-09,4149.463
2001-02-12,4146.658
2001-02-13,4110.573
2001-02-14,4061.126
2001-02-15,4029.163
2001-02-16,4006.648
2001-02-19,4032.448
2001-02-20,3963.084
2001-02-21,3950.009
2001-02-22,3939.543
2001-02-23,3908.879
2001-02-26,3940.144
2001-02-27,3979.211
2001-02-28,3983.387
2001-03-01,3964.593
2001-03-02,3974.136
2001-03-05,3975.679
2001-03-06,3993.804
2001-03-07,3975.519
2001-03-08,3966.465
2001-03-09,3940.452
2001-03-12,3870.921
2001-03-13,3809.004
2001-03-14,3712.608
2001-03-15,3724.765
2001-03-16,3600.569
2001-03-19,3567.928
2001-03-20,3599.36
2001-03-21,3530.541
2001-03-22,3288.671
2001-03-23,3396.594
2001-03-26,3527.273
2001-03-27,3547.976
2001-03-28,3497.25
2001-03-29,3514.796
2001-03-30,3591.299
2001-04-02,3516.005
2001-04-03,3455.598
2001-04-04,3494.798
2001-04-05,3552.977
2001-04-06,3551.484
2001-04-09,3617.573
2001-04-10,3629.56
2001-04-11,3654.799
2001-04-12,3694.317
2001-04-13,3694.317
2001-04-16,3656.74
2001-04-17,3645.997
2001-04-18,3641.487
2001-04-19,3682.416
2001-04-20,3709.647
2001-04-23,3656.094
2001-04-24,3687.189
2001-04-25,3671.856
2001-04-26,3679.206
2001-04-27,3664.745
2001-04-30,3679.479
2001-05-01,3690.434
2001-05-02,3707.645
2001-05-03,3679.907
2001-05-04,3708.156
2001-05-07,3754.591
2001-05-08,3716.283
2001-05-09,3680.138
2001-05-10,3741.999
2001-05-11,3739.91
2001-05-14,3709.222
2001-05-15,3767.972
2001-05-16,3799.527
2001-05-17,3812.183
2001-05-18,3796.801
2001-05-21,3803.172
2001-05-22,3786.294
2001-05-23,3772.538
2001-05-24,3763.205
2001-05-25,3746.321
2001-05-28,3749.07
2001-05-29,3709.944
2001-05-30,3697.836
2001-05-31,3634.047
2001-06-01,3645.269
2001-06-04,3653.606
2001-06-05,3699.074
2001-06-06,3672.708
2001-06-07,3685.463
2001-06-08,3657.24
2001-06-11,3615.485
2001-06-12,3591.824
2001-06-13,3624.122
2001-06-14,3602.152
2001-06-15,3596.053
2001-06-18,3579.182
2001-06-19,3543.11
2001-06-20,3503.459
