Date,SWITZERLAND IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,492.164
2001-01-02,496.083
2001-01-03,494.928
2001-01-04,504.771
2001-01-05,499.602
2001-01-08,498.219
2001-01-09,492.547
2001-01-10,489.917
2001-01-11,494.794
2001-01-12,492.461
2001-01-15,487.858
2001-01-16,488.111
2001-01-17,490.407
2001-01-18,499.993
2001-01-19,494.092
2001-01-22,493.687
2001-01-23,496.294
2001-01-24,491.129
2001-01-25,492.393
2001-01-26,493.628
2001-01-29,494.031
2001-01-30,498.454
2001-01-31,501.895
2001-02-01,500.899
2001-02-02,498.162
2001-02-05,502.546
2001-02-06,498.265
2001-02-07,496.504
2001-02-08,482.573
2001-02-09,482.544
2001-02-12,481.353
2001-02-13,478.785
2001-02-14,474.056
2001-02-15,470.631
2001-02-16,468.328
2001-02-19,471.919
2001-02-20,464.336
2001-02-21,459.471
2001-02-22,459.578
2001-02-23,453.939
2001-02-26,458.405
2001-02-27,462.759
2001-02-28,462.443
2001-03-01,460.981
2001-03-02,461.9
2001-03-05,462.211
2001-03-06,467.424
2001-03-07,465.225
2001-03-08,465.945
2001-03-09,462.008
2001-03-12,452.646
2001-03-13,444.649
2001-03-14,433.859
2001-03-15,434.589
2001-03-16,420.009
2001-03-19,417.387
2001-03-20,424.415
2001-03-21,413.605
2001-03-22,380.625
2001-03-23,392.932
2001-03-26,407.715
2001-03-27,411.652
2001-03-28,404.407
2001-03-29,405.335
2001-03-30,412.753
2001-04-02,407.062
2001-04-03,398.824
2001-04-04,401.677
2001-04-05,408.903
2001-04-06,407.807
2001-04-09,416.532
2001-04-10,419.247
2001-04-11,422.389
2001-04-12,426.268
2001-04-13,426.268
2001-04-16,421.932
2001-04-17,421.859
2001-04-18,421.913
2001-04-19,429.665
2001-04-20,432.818
2001-04-23,427.01
2001-04-24,430.097
2001-04-25,428.408
2001-04-26,428.667
2001-04-27,427.492
2001-04-30,428.684
2001-05-01,429.961
2001-05-02,431.174
2001-05-03,426.363
2001-05-04,427.457
2001-05-07,430.322
2001-05-08,424.242
2001-05-09,420.981
2001-05-10,426.866
2001-05-11,425.264
2001-05-14,421.282
2001-05-15,429.507
2001-05-16,433.291
2001-05-17,437.528
2001-05-18,436.149
2001-05-21,437.453
2001-05-22,435.769
2001-05-23,433.929
2001-05-24,432.856
2001-05-25,430.366
2001-05-28,429.594
2001-05-29,425.679
2001-05-30,423.897
2001-05-31,416.499
2001-06-01,416.929
2001-06-04,417.882
2001-06-05,424.271
2001-06-06,421.2
2001-06-07,423.181
2001-06-08,420.976
2001-06-11,417.41
2001-06-12,412.27
2001-06-13,416.86
2001-06-14,414.137
2001-06-15,413.573
2001-06-18,410.068
2001-06-19,410.476
2001-06-20,403.395
2001-06-21,405.835
2001-06-22,408.751
2001-06-25,411.505
2001-06-26,406.782
2001-06-27,403.816
2001-06-28,405.339
2001-06-29,405.253
2001-07-02,408.636
2001-07-03,405.051
2001-07-04,402.138
2001-07-05,392.642
2001-07-06,388.552
2001-07-09,390.597
2001-07-10,393.884
2001-07-11,389.11
2001-07-12,393.245
2001-07-13,393.789
2001-07-16,394.936
2001-07-17,389.712
2001-07-18,396.682
2001-07-19,402.111
2001-07-20,401.02
2001-07-23,400.659
2001-07-24,397.638
2001-07-25,395.993
2001-07-26,395.644
2001-07-27,397.527
2001-07-30,401.545
2001-07-31,401.042
2001-08-01,405.196
2001-08-02,408.248
2001-08-03,407.091
2001-08-06,404.915
2001-08-07,403.776
2001-08-08,403.493
2001-08-09,400.75
2001-08-10,399.664
2001-08-13,401.585
2001-08-14,411.731
2001-08-15,419.011
2001-08-16,415.044
2001-08-17,413.668
2001-08-20,410.779
2001-08-21,414.31
2001-08-22,414.853
2001-08-23,408.675
2001-08-24,416.795
2001-08-27,416.55
2001-08-28,410.651
2001-08-29,406.802
2001-08-30,405.015
2001-08-31,405.938
2001-09-03,396.956
2001-09-04,395.256
2001-09-05,392.111
2001-09-06,383.331
2001-09-07,381.634
2001-09-10,372.682
2001-09-11,350.66
2001-09-12,348.87
2001-09-13,352.996
2001-09-14,341.786
2001-09-17,356.729
2001-09-18,353.522
2001-09-19,349.039
2001-09-20,334.995
2001-09-21,323.345
2001-09-24,339.944
2001-09-25,351.641
2001-09-26,352.657
2001-09-27,352.25
2001-09-28,356.899
2001-10-01,354.318
2001-10-02,348.975
2001-10-03,344.123
2001-10-04,351.072
2001-10-05,350.868
2001-10-08,350.114
2001-10-09,348.599
2001-10-10,348.322
2001-10-11,353.813
2001-10-12,355.166
2001-10-15,352.964
2001-10-16,356.636
2001-10-17,359.991
2001-10-18,359.915
2001-10-19,355.037
2001-10-22,355.555
2001-10-23,363.862
2001-10-24,366.16
2001-10-25,365.521
2001-10-26,369.812
2001-10-29,369.299
2001-10-30,362.915
2001-10-31,363.87
2001-11-01,365.905
2001-11-02,365.938
2001-11-05,369.487
2001-11-06,370.273
2001-11-07,373.954
2001-11-08,380.996
2001-11-09,379.417
2001-11-12,373.617
2001-11-13,376.82
2001-11-14,380.959
2001-11-15,388.42
2001-11-16,392.148
2001-11-19,393.26
2001-11-20,390.583
2001-11-21,387.569
2001-11-22,390.252
2001-11-23,383.85
2001-11-26,387.635
2001-11-27,387.907
2001-11-28,384.991
2001-11-29,382.229
2001-11-30,381.083
2001-12-03,377.498
2001-12-04,384.751
2001-12-05,391.498
2001-12-06,394.845
2001-12-07,393.835
2001-12-10,388.41
2001-12-11,385.791
2001-12-12,387.329
2001-12-13,384.693
2001-12-14,383.31
2001-12-17,391.537
2001-12-18,383.604
2001-12-19,376.162
2001-12-20,378.692
2001-12-21,377.958
2001-12-24,369.843
2001-12-25,369.843
2001-12-26,369.766
2001-12-27,376.307
2001-12-28,375.513
2001-12-31,379.696
2002-01-01,379.696
2002-01-02,382.617
2002-01-03,384.941
2002-01-04,386.792
2002-01-07,385.633
2002-01-08,380.888
2002-01-09,381.897
2002-01-10,380.345
2002-01-11,383.633
2002-01-14,377.368
2002-01-15,374.452
2002-01-16,370.22
2002-01-17,372.669
2002-01-18,370.978
2002-01-21,366.983
2002-01-22,367.62
2002-01-23,367.152
2002-01-24,370.8
2002-01-25,367.652
2002-01-28,366.813
2002-01-29,361.106
2002-01-30,352.556
2002-01-31,351.878
2002-02-01,350.7
2002-02-04,348.095
2002-02-05,347.282
2002-02-06,342.883
2002-02-07,349.19
2002-02-08,351.746
2002-02-11,354.527
2002-02-12,350.74
2002-02-13,351.446
2002-02-14,358.227
2002-02-15,360.705
2002-02-18,356.708
2002-02-19,351.138
2002-02-20,347.541
2002-02-21,349.921
2002-02-22,349.076
2002-02-25,349.747
2002-02-26,346.301
2002-02-27,350.232
2002-02-28,352.386
2002-03-01,356.492
2002-03-04,365.06
2002-03-05,364.913
2002-03-06,369.716
2002-03-07,378.771
2002-03-08,381.389
2002-03-11,378.897
2002-03-12,374.82
2002-03-13,378.145
2002-03-14,383.436
2002-03-15,383.808
2002-03-18,386.188
2002-03-19,386.838
2002-03-20,386.739
2002-03-21,383.432
2002-03-22,384.411
2002-03-25,383.489
2002-03-26,383.499
2002-03-27,381.848
2002-03-28,384.074
2002-03-29,384.074
2002-04-01,388.521
2002-04-02,389.668
2002-04-03,394.525
2002-04-04,394.282
2002-04-05,391.028
2002-04-08,384.332
2002-04-09,387.736
2002-04-10,389.951
2002-04-11,390.708
2002-04-12,386.214
2002-04-15,386.835
2002-04-16,390.427
2002-04-17,394.956
2002-04-18,396.171
2002-04-19,393.2
2002-04-22,393.373
2002-04-23,391.862
2002-04-24,392.048
2002-04-25,390.049
2002-04-26,385.323
2002-04-29,388.243
2002-04-30,388.175
2002-05-01,391.937
2002-05-02,388.883
2002-05-03,394.845
2002-05-06,393.759
2002-05-07,387.041
2002-05-08,394.457
2002-05-09,395.35
2002-05-10,395.399
2002-05-13,396.412
2002-05-14,396.634
2002-05-15,404.208
2002-05-16,405.354
2002-05-17,409.62
2002-05-20,408.484
2002-05-21,407.917
2002-05-22,409.116
2002-05-23,405.012
2002-05-24,404.742
2002-05-27,405.28
2002-05-28,406.488
2002-05-29,407.649
2002-05-30,408.414
2002-05-31,409.998
2002-06-03,410.06
2002-06-04,403.643
2002-06-05,401.829
2002-06-06,401.907
2002-06-07,393.858
2002-06-10,392.418
2002-06-11,397.049
2002-06-12,390.136
2002-06-13,382.002
2002-06-14,378.395
2002-06-17,385.474
2002-06-18,379.943
2002-06-19,375.686
2002-06-20,366.924
2002-06-21,372.537
2002-06-24,357.295
2002-06-25,367.376
2002-06-26,362.446
2002-06-27,366.373
