Date,SWITZERLAND IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,164.026
1994-06-30,165.44
1994-07-29,166.914
1994-08-31,168.422
1994-09-30,168.477
1994-10-31,170.977
1994-11-30,163.624
1994-12-30,165.328
1995-01-31,163.31
1995-02-28,167.932
1995-03-31,179.805
1995-04-28,184.139
1995-05-31,197.36
1995-06-30,201.642
1995-07-31,199.017
1995-08-31,186.705
1995-09-29,208.086
1995-10-31,216.657
1995-11-30,211.125
1995-12-29,220.159
1996-01-31,207.941
1996-02-29,212.073
1996-03-29,226.012
1996-04-30,218.072
1996-05-31,210.332
1996-06-28,221.35
1996-07-31,220.181
1996-08-30,224.548
1996-09-30,217.628
1996-10-31,217.205
1996-11-29,220.339
1996-12-31,211.522
1997-01-31,210.886
1997-02-28,215.485
1997-03-31,230.178
1997-04-30,234.202
1997-05-30,257.95
1997-06-30,273.837
1997-07-31,274.518
1997-08-29,255.229
1997-09-30,285.797
1997-10-31,285.259
1997-11-28,297.19
1997-12-31,311.234
1998-01-30,316.016
1998-02-27,351.466
1998-03-31,380.054
1998-04-30,396.52
1998-05-29,419.981
1998-06-30,431.046
1998-07-31,471.34
1998-08-31,369.4
1998-09-30,292.988
1998-10-30,356.633
1998-11-30,377.886
1998-12-31,374.418
1999-01-29,375.093
1999-02-26,364.776
1999-03-31,387.911
1999-04-30,416.225
1999-05-31,386.231
1999-06-30,387.801
1999-07-30,403.682
1999-08-31,394.98
1999-09-30,395.969
1999-10-29,402.35
1999-11-30,394.258
1999-12-31,408.579
2000-01-31,372.344
2000-02-29,367.129
2000-03-31,402.39
2000-04-28,384.963
2000-05-31,410.064
2000-06-30,435.502
2000-07-31,442.449
2000-08-31,436.686
2000-09-29,413.853
2000-10-31,414.444
2000-11-30,425.917
2000-12-29,472.925
2001-01-31,482.276
2001-02-28,444.366
2001-03-30,396.931
2001-04-30,412.632
2001-05-31,401.661
2001-06-29,391.177
2001-07-31,387.112
2001-08-31,392.151
2001-09-28,344.778
2001-10-31,351.27
2001-11-30,367.931
2001-12-31,366.592
2002-01-31,339.739
2002-02-28,340.229
2002-03-29,370.834
2002-04-30,375.081
2002-05-31,396.946
2002-06-28,373.665
2002-07-31,306.941
2002-08-30,314.554
2002-09-30,279.558
2002-10-31,305.348
2002-11-29,332.043
2002-12-31,314.593
2003-01-31,295.505
2003-02-28,275.027
2003-03-31,274.344
2003-04-30,320.479
2003-05-30,354.97
2003-06-30,356.878
2003-07-31,378.472
2003-08-29,380.228
2003-09-30,390.961
2003-10-31,413.333
2003-11-28,430.341
2003-12-31,469.281
2004-01-30,487.516
2004-02-27,490.424
2004-03-31,472.753
2004-04-30,467.517
2004-05-31,464.731
2004-06-30,480.611
2004-07-30,441.047
2004-08-31,432.599
2004-09-30,442.352
2004-10-29,461.701
2004-11-30,511.291
2004-12-31,542.442
2005-01-31,536.748
2005-02-28,578.506
2005-03-31,562.426
2005-04-29,539.902
2005-05-31,529.06
2005-06-30,523.779
2005-07-29,554.339
2005-08-31,563.492
2005-09-30,577.602
2005-10-31,574.703
2005-11-30,613.901
2005-12-30,637.367
2006-01-31,694.761
2006-02-28,680.348
2006-03-31,696.056
2006-04-28,761.956
2006-05-31,729.643
2006-06-30,725.534
2006-07-31,737.743
2006-08-31,756.964
2006-09-29,775.164
2006-10-31,799.751
2006-11-30,848.45
2006-12-29,878.845
2007-01-31,892.483
2007-02-28,899.265
2007-03-30,928.816
2007-04-30,995.346
2007-05-31,1000.0
2007-06-29,951.95
2007-07-31,901.987
2007-08-31,861.377
2007-09-28,891.154
2007-10-31,904.76
2007-11-30,841.793
2007-12-31,811.456
2008-01-31,756.33
2008-02-29,717.977
2008-03-31,711.61
2008-04-30,766.897
2008-05-30,696.16
2008-06-30,623.096
2008-07-31,611.064
2008-08-29,611.436
2008-09-30,549.813
2008-10-31,462.068
2008-11-28,398.982
2008-12-31,427.11
2009-01-30,357.041
2009-02-27,300.486
2009-03-31,342.32
2009-04-30,431.906
2009-05-29,479.217
2009-06-30,466.773
2009-07-31,516.245
2009-08-31,585.657
2009-09-30,614.81
2009-10-30,589.338
2009-11-30,594.051
2009-12-31,597.98
2010-01-29,592.599
2010-02-26,613.291
2010-03-31,662.902
2010-04-30,626.609
2010-05-31,567.982
2010-06-30,581.334
2010-07-30,647.356
2010-08-31,632.506
2010-09-30,658.117
2010-10-29,668.068
2010-11-30,624.318
2010-12-31,694.225
2011-01-31,705.522
2011-02-28,732.751
2011-03-31,711.153
2011-04-29,760.957
2011-05-31,775.088
2011-06-30,733.79
2011-07-29,725.246
2011-08-31,671.314
2011-09-30,614.969
2011-10-31,655.308
2011-11-30,603.886
2011-12-30,618.359
2012-01-31,621.849
2012-02-29,660.979
2012-03-30,676.147
2012-04-30,664.677
2012-05-31,600.639
2012-06-29,637.103
2012-07-31,642.998
2012-08-31,662.317
2012-09-28,689.28
2012-10-31,711.889
2012-11-30,732.348
2012-12-31,746.455
