Date,SWITZERLAND IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,472.925
2001-01-02,476.691
2001-01-03,475.581
2001-01-04,485.039
2001-01-05,480.073
2001-01-08,478.744
2001-01-09,473.293
2001-01-10,470.766
2001-01-11,475.452
2001-01-12,473.211
2001-01-15,468.788
2001-01-16,469.031
2001-01-17,471.236
2001-01-18,480.449
2001-01-19,474.778
2001-01-22,474.389
2001-01-23,476.893
2001-01-24,471.931
2001-01-25,473.146
2001-01-26,474.332
2001-01-29,474.719
2001-01-30,478.969
2001-01-31,482.276
2001-02-01,481.319
2001-02-02,478.688
2001-02-05,482.901
2001-02-06,478.787
2001-02-07,477.096
2001-02-08,463.709
2001-02-09,463.681
2001-02-12,462.537
2001-02-13,460.07
2001-02-14,455.525
2001-02-15,452.234
2001-02-16,450.021
2001-02-19,453.472
2001-02-20,446.185
2001-02-21,441.51
2001-02-22,441.613
2001-02-23,436.194
2001-02-26,440.486
2001-02-27,444.669
2001-02-28,444.366
2001-03-01,442.962
2001-03-02,443.844
2001-03-05,444.143
2001-03-06,449.153
2001-03-07,447.04
2001-03-08,447.731
2001-03-09,443.948
2001-03-12,434.952
2001-03-13,427.268
2001-03-14,416.9
2001-03-15,417.601
2001-03-16,403.59
2001-03-19,401.072
2001-03-20,407.841
2001-03-21,397.452
2001-03-22,365.761
2001-03-23,377.587
2001-03-26,391.793
2001-03-27,395.833
2001-03-28,388.905
2001-03-29,389.798
2001-03-30,396.931
2001-04-02,391.459
2001-04-03,383.536
2001-04-04,386.311
2001-04-05,393.26
2001-04-06,392.207
2001-04-09,400.598
2001-04-10,403.209
2001-04-11,406.231
2001-04-12,409.975
2001-04-13,409.975
2001-04-16,405.805
2001-04-17,405.988
2001-04-18,406.041
2001-04-19,413.501
2001-04-20,416.536
2001-04-23,410.945
2001-04-24,413.917
2001-04-25,412.291
2001-04-26,412.563
2001-04-27,411.484
2001-04-30,412.632
2001-05-01,413.86
2001-05-02,415.046
2001-05-03,410.429
2001-05-04,411.482
2001-05-07,414.239
2001-05-08,408.398
2001-05-09,405.251
2001-05-10,410.922
2001-05-11,409.38
2001-05-14,405.548
2001-05-15,413.497
2001-05-16,417.226
2001-05-17,421.359
2001-05-18,420.057
2001-05-21,421.345
2001-05-22,419.725
2001-05-23,418.456
2001-05-24,417.421
2001-05-25,415.029
2001-05-28,414.289
2001-05-29,410.514
2001-05-30,408.796
2001-05-31,401.661
2001-06-01,402.361
2001-06-04,403.282
2001-06-05,409.447
2001-06-06,406.498
2001-06-07,408.421
2001-06-08,406.293
2001-06-11,402.851
2001-06-12,397.89
2001-06-13,402.337
2001-06-14,399.716
2001-06-15,399.178
2001-06-18,395.795
2001-06-19,396.188
2001-06-20,389.355
2001-06-21,391.709
2001-06-22,394.524
2001-06-25,397.182
2001-06-26,392.653
2001-06-27,389.79
2001-06-28,391.26
2001-06-29,391.177
2001-07-02,394.442
2001-07-03,390.982
2001-07-04,388.17
2001-07-05,379.004
2001-07-06,375.056
2001-07-09,377.03
2001-07-10,380.203
2001-07-11,375.595
2001-07-12,379.586
2001-07-13,380.112
2001-07-16,381.219
2001-07-17,376.176
2001-07-18,382.904
2001-07-19,388.144
2001-07-20,387.091
2001-07-23,386.742
2001-07-24,383.826
2001-07-25,382.239
2001-07-26,381.902
2001-07-27,383.72
2001-07-30,387.598
2001-07-31,387.112
2001-08-01,391.122
2001-08-02,394.068
2001-08-03,392.952
2001-08-06,390.851
2001-08-07,389.752
2001-08-08,389.479
2001-08-09,386.83
2001-08-10,385.782
2001-08-13,387.636
2001-08-14,397.43
2001-08-15,404.78
2001-08-16,400.948
2001-08-17,399.619
2001-08-20,396.828
2001-08-21,400.239
2001-08-22,400.763
2001-08-23,394.796
2001-08-24,402.639
2001-08-27,402.403
2001-08-28,396.704
2001-08-29,392.986
2001-08-30,391.26
2001-08-31,392.151
2001-09-03,383.474
2001-09-04,381.832
2001-09-05,378.794
2001-09-06,370.312
2001-09-07,368.673
2001-09-10,360.024
2001-09-11,338.751
2001-09-12,337.021
2001-09-13,341.008
2001-09-14,330.178
2001-09-17,344.614
2001-09-18,341.515
2001-09-19,337.185
2001-09-20,323.618
2001-09-21,312.363
2001-09-24,328.399
2001-09-25,339.698
2001-09-26,340.679
2001-09-27,340.286
2001-09-28,344.778
2001-10-01,342.377
2001-10-02,337.214
2001-10-03,332.526
2001-10-04,339.241
2001-10-05,339.043
2001-10-08,338.314
2001-10-09,336.851
2001-10-10,336.584
2001-10-11,341.89
2001-10-12,343.196
2001-10-15,341.069
2001-10-16,344.617
2001-10-17,347.526
2001-10-18,347.452
2001-10-19,342.743
2001-10-22,343.243
2001-10-23,351.262
2001-10-24,353.481
2001-10-25,352.864
2001-10-26,357.006
2001-10-29,356.511
2001-10-30,350.348
2001-10-31,351.27
2001-11-01,353.235
2001-11-02,353.266
2001-11-05,356.692
2001-11-06,357.451
2001-11-07,361.005
2001-11-08,367.802
2001-11-09,366.323
2001-11-12,360.723
2001-11-13,363.815
2001-11-14,367.811
2001-11-15,375.015
2001-11-16,378.615
2001-11-19,379.688
2001-11-20,377.103
2001-11-21,374.194
2001-11-22,376.784
2001-11-23,370.603
2001-11-26,374.257
2001-11-27,374.52
2001-11-28,371.705
2001-11-29,369.038
2001-11-30,367.931
2001-12-03,364.47
2001-12-04,371.473
2001-12-05,377.987
2001-12-06,381.219
2001-12-07,380.243
2001-12-10,375.005
2001-12-11,372.477
2001-12-12,373.961
2001-12-13,371.416
2001-12-14,370.082
2001-12-17,378.024
2001-12-18,370.365
2001-12-19,363.18
2001-12-20,365.623
2001-12-21,364.914
2001-12-24,357.079
2001-12-25,357.079
2001-12-26,357.005
2001-12-27,363.32
2001-12-28,362.553
2001-12-31,366.592
2002-01-01,366.592
2002-01-02,369.412
2002-01-03,371.656
2002-01-04,373.443
2002-01-07,372.324
2002-01-08,367.743
2002-01-09,368.717
2002-01-10,367.219
2002-01-11,370.398
2002-01-14,364.349
2002-01-15,361.534
2002-01-16,357.448
2002-01-17,359.812
2002-01-18,358.18
2002-01-21,354.322
2002-01-22,354.938
2002-01-23,354.486
2002-01-24,358.008
2002-01-25,354.968
2002-01-28,354.158
2002-01-29,348.649
2002-01-30,340.393
2002-01-31,339.739
2002-02-01,338.601
2002-02-04,336.086
2002-02-05,335.301
2002-02-06,331.054
2002-02-07,337.143
2002-02-08,339.611
2002-02-11,342.297
2002-02-12,338.64
2002-02-13,339.321
2002-02-14,345.869
2002-02-15,348.261
2002-02-18,344.401
2002-02-19,339.024
2002-02-20,335.551
2002-02-21,337.849
2002-02-22,337.033
2002-02-25,337.681
2002-02-26,334.354
2002-02-27,338.15
2002-02-28,340.229
2002-03-01,344.193
2002-03-04,352.466
2002-03-05,352.324
2002-03-06,356.961
2002-03-07,365.704
2002-03-08,368.232
2002-03-11,365.825
2002-03-12,361.889
2002-03-13,365.099
2002-03-14,370.207
2002-03-15,370.567
2002-03-18,372.865
2002-03-19,373.502
2002-03-20,373.407
2002-03-21,370.214
2002-03-22,371.159
2002-03-25,370.268
2002-03-26,370.279
2002-03-27,368.685
2002-03-28,370.834
2002-03-29,370.834
2002-04-01,375.127
2002-04-02,376.253
2002-04-03,380.977
2002-04-04,380.742
2002-04-05,377.6
2002-04-08,371.134
2002-04-09,374.421
2002-04-10,376.56
2002-04-11,377.291
2002-04-12,372.951
2002-04-15,373.556
2002-04-16,377.025
2002-04-17,381.399
2002-04-18,382.572
2002-04-19,379.855
2002-04-22,380.022
2002-04-23,378.562
2002-04-24,378.742
2002-04-25,376.81
2002-04-26,372.296
2002-04-29,375.134
2002-04-30,375.081
2002-05-01,378.715
2002-05-02,375.791
2002-05-03,381.551
2002-05-06,380.611
2002-05-07,374.144
2002-05-08,381.313
2002-05-09,382.176
2002-05-10,382.224
2002-05-13,383.222
2002-05-14,383.45
2002-05-15,390.804
2002-05-16,391.911
2002-05-17,396.093
2002-05-20,394.995
2002-05-21,394.446
2002-05-22,395.956
2002-05-23,391.984
2002-05-24,391.749
2002-05-27,392.275
2002-05-28,393.453
2002-05-29,394.672
2002-05-30,395.413
2002-05-31,396.946
2002-06-03,397.006
2002-06-04,390.794
2002-06-05,389.038
2002-06-06,389.113
2002-06-07,381.32
2002-06-10,379.926
2002-06-11,384.409
2002-06-12,377.717
2002-06-13,369.847
2002-06-14,366.369
2002-06-17,373.227
2002-06-18,367.872
2002-06-19,363.75
2002-06-20,355.272
2002-06-21,360.707
2002-06-24,345.949
2002-06-25,355.71
2002-06-26,350.936
