Date,SWEDEN LARGE CAP Large Cap
2001-01-01,513.334
2001-01-02,507.966
2001-01-03,482.644
2001-01-04,525.85
2001-01-05,533.696
2001-01-08,524.825
2001-01-09,509.581
2001-01-10,507.083
2001-01-11,528.715
2001-01-12,540.266
2001-01-15,541.352
2001-01-16,522.486
2001-01-17,543.337
2001-01-18,557.377
2001-01-19,554.493
2001-01-22,547.588
2001-01-23,535.932
2001-01-24,539.582
2001-01-25,551.1
2001-01-26,524.197
2001-01-29,529.636
2001-01-30,542.813
2001-01-31,556.523
2001-02-01,551.798
2001-02-02,538.979
2001-02-05,528.981
2001-02-06,532.152
2001-02-07,523.359
2001-02-08,512.92
2001-02-09,493.68
2001-02-12,496.872
2001-02-13,492.067
2001-02-14,466.955
2001-02-15,482.365
2001-02-16,471.556
2001-02-19,474.138
2001-02-20,465.366
2001-02-21,458.518
2001-02-22,443.595
2001-02-23,432.27
2001-02-26,450.267
2001-02-27,461.311
2001-02-28,458.189
2001-03-01,447.022
2001-03-02,455.276
2001-03-05,465.785
2001-03-06,483.077
2001-03-07,481.061
2001-03-08,473.61
2001-03-09,460.822
2001-03-12,414.938
2001-03-13,402.171
2001-03-14,395.65
2001-03-15,402.448
2001-03-16,374.084
2001-03-19,372.213
2001-03-20,389.725
2001-03-21,373.894
2001-03-22,345.915
2001-03-23,364.536
2001-03-26,382.73
2001-03-27,394.206
2001-03-28,374.92
2001-03-29,357.02
2001-03-30,355.753
2001-04-02,348.092
2001-04-03,339.507
2001-04-04,341.566
2001-04-05,365.975
2001-04-06,361.0
2001-04-09,373.717
2001-04-10,383.508
2001-04-11,380.754
2001-04-12,375.583
2001-04-13,375.583
2001-04-16,371.646
2001-04-17,366.225
2001-04-18,387.561
2001-04-19,407.717
2001-04-20,390.738
2001-04-23,376.092
2001-04-24,374.33
2001-04-25,384.561
2001-04-26,391.382
2001-04-27,397.836
2001-04-30,406.698
2001-05-01,408.4
2001-05-02,405.972
2001-05-03,398.227
2001-05-04,403.712
2001-05-07,410.52
2001-05-08,399.394
2001-05-09,393.372
2001-05-10,403.667
2001-05-11,400.702
2001-05-14,395.832
2001-05-15,394.934
2001-05-16,393.961
2001-05-17,405.684
2001-05-18,415.958
2001-05-21,425.694
2001-05-22,424.241
2001-05-23,410.913
2001-05-24,409.588
2001-05-25,405.912
2001-05-28,406.672
2001-05-29,401.82
2001-05-30,392.876
2001-05-31,383.181
2001-06-01,377.057
2001-06-04,375.094
2001-06-05,385.535
2001-06-06,381.039
2001-06-07,372.239
2001-06-08,365.055
2001-06-11,354.828
2001-06-12,349.19
2001-06-13,356.329
2001-06-14,351.03
2001-06-15,362.593
2001-06-18,359.333
2001-06-19,355.482
2001-06-20,343.029
2001-06-21,347.597
2001-06-22,348.323
2001-06-25,352.767
2001-06-26,348.684
2001-06-27,352.948
2001-06-28,360.337
2001-06-29,364.595
2001-07-02,370.331
2001-07-03,369.228
2001-07-04,359.831
2001-07-05,346.278
2001-07-06,332.656
2001-07-09,330.353
2001-07-10,336.157
2001-07-11,331.887
2001-07-12,339.942
2001-07-13,344.043
2001-07-16,351.464
2001-07-17,339.65
2001-07-18,339.652
2001-07-19,346.234
2001-07-20,342.11
2001-07-23,339.719
2001-07-24,338.259
2001-07-25,334.461
2001-07-26,337.231
2001-07-27,348.485
2001-07-30,358.45
2001-07-31,365.087
2001-08-01,365.64
2001-08-02,369.813
2001-08-03,367.941
2001-08-06,365.466
2001-08-07,368.955
2001-08-08,364.25
2001-08-09,357.406
2001-08-10,354.81
2001-08-13,359.201
2001-08-14,366.713
2001-08-15,369.631
2001-08-16,362.333
2001-08-17,353.751
2001-08-20,343.763
2001-08-21,349.391
2001-08-22,357.97
2001-08-23,360.799
2001-08-24,370.792
2001-08-27,371.307
2001-08-28,364.754
2001-08-29,360.694
2001-08-30,349.916
2001-08-31,346.946
2001-09-03,338.953
2001-09-04,326.103
2001-09-05,320.148
2001-09-06,318.257
2001-09-07,311.35
2001-09-10,308.88
2001-09-11,286.225
2001-09-12,297.289
2001-09-13,296.386
2001-09-14,294.948
2001-09-17,298.391
2001-09-18,289.087
2001-09-19,288.311
2001-09-20,272.406
2001-09-21,260.841
