Date,SWEDEN LARGE CAP Large Cap
1994-05-31,149.612
1994-06-30,141.32
1994-07-29,150.351
1994-08-31,150.895
1994-09-30,150.562
1994-10-31,164.452
1994-11-30,159.982
1994-12-30,157.688
1995-01-31,159.811
1995-02-28,162.594
1995-03-31,160.56
1995-04-28,175.636
1995-05-31,178.944
1995-06-30,187.329
1995-07-31,201.145
1995-08-31,194.889
1995-09-29,221.733
1995-10-31,212.556
1995-11-30,216.89
1995-12-29,211.821
1996-01-31,205.464
1996-02-29,227.373
1996-03-29,233.219
1996-04-30,233.578
1996-05-31,245.463
1996-06-28,248.812
1996-07-31,238.265
1996-08-30,252.692
1996-09-30,263.435
1996-10-31,274.839
1996-11-29,290.745
1996-12-31,296.314
1997-01-31,301.258
1997-02-28,302.054
1997-03-31,314.168
1997-04-30,296.441
1997-05-30,322.136
1997-06-30,349.317
1997-07-31,361.539
1997-08-29,345.978
1997-09-30,385.212
1997-10-31,343.628
1997-11-28,350.793
1997-12-31,336.718
1998-01-30,342.045
1998-02-27,375.838
1998-03-31,401.131
1998-04-30,426.532
1998-05-29,436.717
1998-06-30,434.251
1998-07-31,430.352
1998-08-31,361.004
1998-09-30,327.912
1998-10-30,349.353
1998-11-30,380.663
1998-12-31,372.522
1999-01-29,397.275
1999-02-26,381.165
1999-03-31,391.574
1999-04-30,423.603
1999-05-31,412.771
1999-06-30,452.285
1999-07-30,471.065
1999-08-31,467.776
1999-09-30,462.489
1999-10-29,517.639
1999-11-30,566.084
1999-12-31,665.661
2000-01-31,669.571
2000-02-29,811.033
2000-03-31,775.609
2000-04-28,773.797
2000-05-31,738.029
2000-06-30,727.159
2000-07-31,699.338
2000-08-31,691.395
2000-09-29,600.358
2000-10-31,553.39
2000-11-30,501.132
2000-12-29,513.334
2001-01-31,556.523
2001-02-28,458.189
2001-03-30,355.753
2001-04-30,406.698
2001-05-31,383.181
2001-06-29,364.595
2001-07-31,365.087
2001-08-31,346.946
2001-09-28,287.919
2001-10-31,308.249
2001-11-30,353.178
2001-12-31,364.464
2002-01-31,323.332
2002-02-28,325.835
2002-03-29,339.702
2002-04-30,304.306
2002-05-31,294.404
2002-06-28,259.294
2002-07-31,210.256
2002-08-30,219.163
2002-09-30,167.983
2002-10-31,214.756
2002-11-29,248.365
2002-12-31,215.58
2003-01-31,224.331
2003-02-28,213.328
2003-03-31,207.859
2003-04-30,259.426
2003-05-30,275.78
2003-06-30,274.986
2003-07-31,297.123
2003-08-29,304.043
2003-09-30,317.001
2003-10-31,340.751
2003-11-28,346.196
2003-12-31,381.242
2004-01-30,406.346
2004-02-27,447.499
2004-03-31,439.782
2004-04-30,437.135
2004-05-31,446.447
2004-06-30,468.986
2004-07-30,446.009
2004-08-31,457.338
2004-09-30,501.769
2004-10-29,504.774
2004-11-30,571.088
2004-12-31,572.969
2005-01-31,535.542
2005-02-28,569.928
2005-03-31,550.281
2005-04-29,548.848
2005-05-31,559.026
2005-06-30,553.438
2005-07-29,582.762
2005-08-31,585.391
2005-09-30,607.472
2005-10-31,571.999
2005-11-30,574.019
2005-12-30,613.896
