Date,SWEDEN LARGE CAP Large Cap
1994-05-31,163.021
1994-06-30,153.914
1994-07-29,163.749
1994-08-31,164.342
1994-09-30,163.98
1994-10-31,179.106
1994-11-30,174.239
1994-12-30,171.74
1995-01-31,174.052
1995-02-28,177.083
1995-03-31,174.868
1995-04-28,191.005
1995-05-31,193.701
1995-06-30,202.728
1995-07-31,217.679
1995-08-31,210.91
1995-09-29,239.96
1995-10-31,230.029
1995-11-30,234.719
1995-12-29,229.232
1996-01-31,222.354
1996-02-29,246.063
1996-03-29,252.39
1996-04-30,252.061
1996-05-31,263.785
1996-06-28,267.385
1996-07-31,256.051
1996-08-30,271.555
1996-09-30,283.098
1996-10-31,295.354
1996-11-29,312.448
1996-12-31,318.433
1997-01-31,323.745
1997-02-28,324.601
1997-03-31,337.398
1997-04-30,316.778
1997-05-30,343.938
1997-06-30,372.899
1997-07-31,385.947
1997-08-29,369.335
1997-09-30,411.218
1997-10-31,366.826
1997-11-28,374.475
1997-12-31,359.45
1998-01-30,365.137
1998-02-27,401.211
1998-03-31,427.841
1998-04-30,453.235
1998-05-29,463.933
1998-06-30,461.19
1998-07-31,457.05
1998-08-31,383.399
1998-09-30,348.255
1998-10-30,371.026
1998-11-30,404.278
1998-12-31,395.632
1999-01-29,421.921
1999-02-26,404.812
1999-03-31,415.345
1999-04-30,447.976
1999-05-31,436.341
1999-06-30,478.111
1999-07-30,497.964
1999-08-31,494.487
1999-09-30,488.898
1999-10-29,547.198
1999-11-30,598.409
1999-12-31,703.672
2000-01-31,707.805
2000-02-29,857.345
2000-03-31,819.712
2000-04-28,816.115
2000-05-31,778.163
2000-06-30,766.702
2000-07-31,737.368
2000-08-31,728.993
2000-09-29,633.006
2000-10-31,583.483
2000-11-30,528.383
2000-12-29,541.25
2001-01-31,586.787
2001-02-28,483.106
2001-03-30,374.8
2001-04-30,426.487
2001-05-31,401.729
2001-06-29,382.095
2001-07-31,382.61
2001-08-31,363.599
2001-09-28,301.739
2001-10-31,323.044
2001-11-30,370.13
2001-12-31,381.958
2002-01-31,338.851
2002-02-28,341.475
2002-03-29,356.008
2002-04-30,316.996
2002-05-31,306.519
2002-06-28,269.964
2002-07-31,218.908
2002-08-30,228.181
2002-09-30,174.895
2002-10-31,223.593
2002-11-29,258.585
2002-12-31,224.451
2003-01-31,233.562
2003-02-28,222.106
2003-03-31,216.413
2003-04-30,268.115
2003-05-30,284.864
2003-06-30,284.045
2003-07-31,306.911
2003-08-29,314.059
2003-09-30,327.443
2003-10-31,351.976
2003-11-28,357.6
2003-12-31,393.8
2004-01-30,419.731
2004-02-27,462.24
2004-03-31,453.911
2004-04-30,449.199
2004-05-31,458.277
2004-06-30,481.414
2004-07-30,457.828
2004-08-31,469.457
2004-09-30,515.065
2004-10-29,518.15
2004-11-30,586.221
2004-12-31,588.151
2005-01-31,549.733
2005-02-28,585.03
2005-03-31,564.862
2005-04-29,558.753
2005-05-31,569.115
2005-06-30,563.426
2005-07-29,593.28
2005-08-31,595.957
2005-09-30,618.435
2005-10-31,582.323
2005-11-30,584.379
2005-12-30,624.976
2006-01-31,654.266
2006-02-28,637.616
2006-03-31,692.976
2006-04-28,705.319
2006-05-31,663.499
2006-06-30,668.849
2006-07-31,657.058
2006-08-31,690.93
2006-09-29,720.322
2006-10-31,768.767
2006-11-30,797.569
2006-12-29,861.262
2007-01-31,887.574
2007-02-28,861.786
2007-03-30,909.538
2007-04-30,1026.231
2007-05-31,1000.0
2007-06-29,992.498
2007-07-31,990.854
2007-08-31,945.489
2007-09-28,1017.235
2007-10-31,979.99
2007-11-30,900.752
2007-12-31,875.36
2008-01-31,764.359
2008-02-29,816.133
2008-03-31,834.438
2008-04-30,875.833
2008-05-30,891.813
