Date,NETHERLANDS VALUE Standard (Large+Mid Cap)
2001-01-01,14640.813
2001-01-02,14848.037
2001-01-03,14981.658
2001-01-04,15011.201
2001-01-05,14943.916
2001-01-08,14817.079
2001-01-09,14544.869
2001-01-10,14361.594
2001-01-11,14676.041
2001-01-12,14654.046
2001-01-15,14805.03
2001-01-16,14573.261
2001-01-17,14543.158
2001-01-18,14515.99
2001-01-19,14148.398
2001-01-22,14253.694
2001-01-23,14258.803
2001-01-24,14262.024
2001-01-25,14403.151
2001-01-26,14377.928
2001-01-29,14421.959
2001-01-30,14363.771
2001-01-31,14587.865
2001-02-01,14534.778
2001-02-02,14556.561
2001-02-05,14743.646
2001-02-06,14679.23
2001-02-07,14585.533
2001-02-08,14481.215
2001-02-09,14687.136
2001-02-12,14663.179
2001-02-13,14551.83
2001-02-14,14546.086
2001-02-15,14155.047
2001-02-16,14298.247
2001-02-19,14345.833
2001-02-20,14157.364
2001-02-21,14003.183
2001-02-22,13636.482
2001-02-23,13528.339
2001-02-26,13670.541
2001-02-27,13877.103
2001-02-28,13765.289
2001-03-01,13728.427
2001-03-02,13835.296
2001-03-05,13843.846
2001-03-06,14126.534
2001-03-07,14108.823
2001-03-08,14121.857
2001-03-09,14097.758
2001-03-12,13762.749
2001-03-13,13382.887
2001-03-14,13189.441
2001-03-15,13172.893
2001-03-16,12649.521
2001-03-19,12533.084
2001-03-20,12707.031
2001-03-21,12407.201
2001-03-22,11718.865
2001-03-23,12026.781
2001-03-26,12534.708
2001-03-27,12769.334
2001-03-28,12429.456
2001-03-29,12343.341
2001-03-30,12477.065
2001-04-02,12460.178
2001-04-03,12148.314
2001-04-04,12255.749
2001-04-05,12488.392
2001-04-06,12558.912
2001-04-09,12807.603
2001-04-10,13020.316
2001-04-11,13019.714
2001-04-12,13144.346
2001-04-13,13144.346
2001-04-16,13009.732
2001-04-17,12822.271
2001-04-18,12981.623
2001-04-19,13030.781
2001-04-20,13104.18
2001-04-23,12948.121
2001-04-24,13113.761
2001-04-25,13186.769
2001-04-26,13416.201
2001-04-27,13454.108
2001-04-30,13363.665
2001-05-01,13481.651
2001-05-02,13453.451
2001-05-03,13238.903
2001-05-04,13152.203
2001-05-07,13280.902
2001-05-08,13184.55
2001-05-09,13117.327
2001-05-10,13499.909
2001-05-11,13281.312
2001-05-14,13193.964
2001-05-15,13384.581
2001-05-16,13329.169
2001-05-17,13477.786
2001-05-18,13667.764
2001-05-21,13662.567
2001-05-22,13685.046
2001-05-23,13474.836
2001-05-24,13406.32
2001-05-25,13317.885
2001-05-28,13484.068
2001-05-29,13356.462
2001-05-30,13209.746
2001-05-31,13102.696
2001-06-01,12929.168
2001-06-04,12946.734
2001-06-05,13126.877
2001-06-06,13052.849
2001-06-07,13048.18
2001-06-08,13017.947
2001-06-11,12769.252
2001-06-12,12650.442
2001-06-13,12766.713
2001-06-14,12720.024
2001-06-15,12590.237
2001-06-18,12551.473
2001-06-19,12444.373
2001-06-20,12308.046
2001-06-21,12420.464
2001-06-22,12542.504
2001-06-25,12745.991
2001-06-26,12551.249
2001-06-27,12402.262
2001-06-28,12202.119
2001-06-29,12416.055
2001-07-02,12637.599
2001-07-03,12466.807
2001-07-04,12442.085
2001-07-05,12379.317
2001-07-06,12200.69
2001-07-09,12212.788
2001-07-10,12183.908
2001-07-11,12021.578
2001-07-12,12009.791
2001-07-13,12084.399
2001-07-16,11937.949
2001-07-17,11883.568
2001-07-18,11894.633
2001-07-19,11964.343
2001-07-20,11923.771
2001-07-23,11964.314
2001-07-24,11972.852
2001-07-25,11803.506
2001-07-26,11943.529
2001-07-27,12115.128
2001-07-30,12327.102
2001-07-31,12406.56
2001-08-01,12547.1
2001-08-02,12431.146
2001-08-03,12266.597
2001-08-06,12277.071
2001-08-07,12256.065
2001-08-08,12117.437
2001-08-09,11976.894
2001-08-10,11878.4
2001-08-13,12073.294
2001-08-14,12208.676
2001-08-15,12286.921
2001-08-16,12345.213
2001-08-17,12148.243
2001-08-20,12109.716
2001-08-21,12248.178
2001-08-22,12343.948
2001-08-23,12368.401
2001-08-24,12545.528
2001-08-27,12595.603
2001-08-28,12367.786
2001-08-29,12483.464
2001-08-30,12251.021
2001-08-31,12132.72
2001-09-03,11947.361
2001-09-04,11859.24
2001-09-05,11629.162
2001-09-06,11358.864
2001-09-07,11131.271
2001-09-10,11009.768
2001-09-11,10521.444
2001-09-12,10472.811
2001-09-13,10467.138
2001-09-14,9828.336
2001-09-17,10206.381
2001-09-18,10305.736
2001-09-19,9925.552
2001-09-20,9249.023
2001-09-21,8591.011
2001-09-24,9309.561
2001-09-25,9679.069
2001-09-26,9834.199
2001-09-27,9945.13
2001-09-28,10343.521
2001-10-01,9974.295
2001-10-02,10300.74
2001-10-03,10227.622
2001-10-04,10707.136
2001-10-05,10552.417
2001-10-08,10535.571
2001-10-09,10520.8
2001-10-10,10865.584
2001-10-11,10978.067
2001-10-12,11010.896
2001-10-15,10315.508
2001-10-16,10435.626
2001-10-17,10809.354
2001-10-18,10409.29
2001-10-19,10023.091
2001-10-22,10204.165
2001-10-23,10631.862
2001-10-24,10558.587
2001-10-25,10407.368
2001-10-26,10786.241
2001-10-29,10742.631
2001-10-30,10407.69
2001-10-31,10438.374
2001-11-01,10699.619
2001-11-02,10686.537
2001-11-05,10874.501
2001-11-06,10743.959
2001-11-07,10917.507
2001-11-08,11161.865
2001-11-09,11003.081
2001-11-12,10667.946
2001-11-13,11060.206
2001-11-14,10839.018
2001-11-15,10583.549
2001-11-16,10874.506
2001-11-19,10888.135
2001-11-20,10961.04
2001-11-21,10753.435
2001-11-22,11011.381
2001-11-23,11063.918
2001-11-26,11004.486
2001-11-27,10832.343
2001-11-28,10665.968
2001-11-29,10671.028
2001-11-30,10753.21
2001-12-03,10517.825
2001-12-04,10616.941
2001-12-05,11079.243
2001-12-06,11197.208
2001-12-07,11194.731
2001-12-10,10845.53
2001-12-11,10872.246
2001-12-12,10700.432
2001-12-13,10452.557
2001-12-14,10462.492
2001-12-17,10876.125
2001-12-18,10777.894
2001-12-19,10737.178
2001-12-20,10476.774
2001-12-21,10621.499
2001-12-24,10447.757
2001-12-25,10447.757
2001-12-26,10456.68
2001-12-27,10833.854
2001-12-28,10845.599
2001-12-31,10951.373
2002-01-01,10951.373
2002-01-02,10946.061
2002-01-03,11179.481
2002-01-04,10982.653
2002-01-07,10936.417
2002-01-08,10841.156
2002-01-09,10991.804
2002-01-10,10802.211
2002-01-11,10991.347
2002-01-14,10699.214
2002-01-15,10796.908
2002-01-16,10548.928
2002-01-17,10781.292
2002-01-18,10738.053
2002-01-21,10692.41
2002-01-22,10744.091
2002-01-23,10628.25
2002-01-24,10880.901
2002-01-25,10698.462
2002-01-28,10774.323
2002-01-29,10644.537
2002-01-30,10372.545
2002-01-31,10457.597
2002-02-01,10376.489
2002-02-04,10260.06
2002-02-05,9968.869
2002-02-06,9770.164
2002-02-07,9959.768
2002-02-08,9992.797
2002-02-11,10295.827
2002-02-12,10263.949
2002-02-13,10311.807
2002-02-14,10486.646
2002-02-15,10327.744
2002-02-18,10171.631
2002-02-19,9925.039
2002-02-20,9783.431
2002-02-21,9864.167
2002-02-22,9666.273
2002-02-25,9765.463
2002-02-26,9822.376
2002-02-27,9848.837
2002-02-28,10072.978
2002-03-01,10227.433
2002-03-04,10702.848
2002-03-05,10729.085
2002-03-06,10842.718
2002-03-07,11004.989
2002-03-08,11035.177
2002-03-11,10994.419
2002-03-12,10826.93
2002-03-13,10701.344
2002-03-14,10825.012
2002-03-15,11108.974
2002-03-18,11215.58
2002-03-19,11393.825
2002-03-20,11275.24
2002-03-21,11242.648
2002-03-22,11284.584
2002-03-25,11216.714
2002-03-26,11264.087
2002-03-27,11253.094
2002-03-28,11436.936
2002-03-29,11436.936
2002-04-01,11530.671
2002-04-02,11555.888
2002-04-03,11477.878
2002-04-04,11324.496
2002-04-05,11216.181
2002-04-08,10856.629
2002-04-09,11007.314
2002-04-10,11129.693
2002-04-11,11088.975
2002-04-12,11106.389
2002-04-15,11162.056
2002-04-16,11557.268
2002-04-17,11745.842
2002-04-18,11710.592
2002-04-19,11739.301
2002-04-22,11634.729
2002-04-23,11655.455
2002-04-24,11567.581
2002-04-25,11408.603
2002-04-26,11326.519
2002-04-29,11271.604
2002-04-30,11326.012
2002-05-01,11390.114
2002-05-02,11137.298
2002-05-03,10974.578
2002-05-06,11007.369
2002-05-07,10820.737
2002-05-08,11009.287
2002-05-09,11057.175
2002-05-10,10897.372
2002-05-13,10951.348
2002-05-14,11128.567
2002-05-15,11274.769
2002-05-16,11270.327
2002-05-17,11393.031
2002-05-20,11309.193
2002-05-21,11172.989
2002-05-22,11104.064
2002-05-23,11188.066
2002-05-24,11232.696
2002-05-27,11254.672
2002-05-28,11329.873
2002-05-29,11357.513
2002-05-30,11103.34
2002-05-31,11189.708
2002-06-03,11035.584
2002-06-04,10660.967
2002-06-05,10605.086
2002-06-06,10760.195
2002-06-07,10310.095
2002-06-10,10306.312
2002-06-11,10533.431
2002-06-12,10191.921
2002-06-13,10042.904
2002-06-14,9786.559
2002-06-17,10171.301
2002-06-18,10270.399
2002-06-19,10125.484
2002-06-20,9846.183
2002-06-21,9821.345
2002-06-24,9538.921
2002-06-25,9831.641
2002-06-26,9777.138
2002-06-27,9922.16
2002-06-28,10525.33
2002-07-01,10441.443
2002-07-02,9859.755
2002-07-03,9441.245
2002-07-04,9797.857
2002-07-05,10296.922
2002-07-08,10377.577
2002-07-09,10357.568
2002-07-10,9897.685
2002-07-11,9342.183
2002-07-12,9343.446
2002-07-15,8856.82
2002-07-16,8869.204
2002-07-17,9351.604
2002-07-18,9534.496
2002-07-19,9052.044
2002-07-22,8309.755
2002-07-23,7738.81
2002-07-24,7416.301
2002-07-25,7975.936
2002-07-26,7930.774
2002-07-29,8561.448
2002-07-30,8400.528
2002-07-31,8504.277
2002-08-01,7871.588
2002-08-02,7623.659
2002-08-05,7191.11
2002-08-06,7466.199
2002-08-07,7561.703
2002-08-08,8041.703
2002-08-09,8270.123
2002-08-12,8082.3
2002-08-13,8267.224
2002-08-14,8060.659
2002-08-15,8477.661
2002-08-16,8660.552
2002-08-19,9200.907
2002-08-20,9096.378
2002-08-21,9113.723
2002-08-22,9390.868
2002-08-23,9250.111
2002-08-26,8963.499
2002-08-27,9476.799
2002-08-28,8956.582
2002-08-29,8626.797
2002-08-30,8723.067
2002-09-02,8508.962
2002-09-03,8212.375
2002-09-04,8146.176
2002-09-05,7943.391
2002-09-06,8214.415
2002-09-09,7835.214
2002-09-10,8092.518
2002-09-11,8350.161
2002-09-12,7794.824
2002-09-13,7506.157
2002-09-16,7315.18
2002-09-17,7134.136
2002-09-18,6749.088
2002-09-19,6608.046
2002-09-20,6486.512
2002-09-23,5984.277
2002-09-24,6050.368
2002-09-25,6199.584
2002-09-26,6716.689
2002-09-27,6527.104
2002-09-30,6127.223
2002-10-01,6331.919
2002-10-02,6677.377
2002-10-03,6559.982
2002-10-04,6299.896
2002-10-07,6150.267
2002-10-08,5972.318
2002-10-09,6033.159
2002-10-10,6350.879
2002-10-11,6816.737
2002-10-14,6725.839
2002-10-15,7444.277
2002-10-16,7138.767
2002-10-17,7444.768
2002-10-18,7538.406
2002-10-21,7507.347
2002-10-22,7532.501
2002-10-23,7091.798
2002-10-24,7345.56
2002-10-25,7263.339
2002-10-28,7715.232
2002-10-29,7239.038
2002-10-30,7550.66
2002-10-31,7732.864
2002-11-01,7667.689
2002-11-04,8075.75
2002-11-05,8252.424
2002-11-06,8022.264
2002-11-07,7665.775
2002-11-08,7506.91
2002-11-11,7376.621
2002-11-12,7337.654
2002-11-13,7318.215
2002-11-14,7629.32
2002-11-15,7783.365
2002-11-18,8014.587
2002-11-19,7958.996
2002-11-20,7905.631
2002-11-21,8474.447
2002-11-22,8592.424
2002-11-25,8714.187
2002-11-26,8321.856
2002-11-27,8631.11
2002-11-28,8811.086
2002-11-29,8887.326
2002-12-02,8892.3
2002-12-03,8528.129
2002-12-04,8316.513
2002-12-05,8176.127
2002-12-06,8189.504
2002-12-09,7907.707
2002-12-10,7964.704
2002-12-11,8101.065
2002-12-12,8008.111
2002-12-13,7818.633
2002-12-16,8156.235
2002-12-17,8091.862
2002-12-18,7863.783
2002-12-19,7657.196
2002-12-20,7785.759
2002-12-23,7902.868
2002-12-24,7814.274
2002-12-25,7814.274
2002-12-26,7833.979
2002-12-27,7641.749
2002-12-30,7740.926
2002-12-31,7825.272
2003-01-01,7825.272
2003-01-02,8175.219
2003-01-03,8205.263
2003-01-06,8237.026
2003-01-07,8151.458
2003-01-08,7967.255
2003-01-09,8233.211
2003-01-10,8382.578
2003-01-13,8517.902
2003-01-14,8559.063
2003-01-15,8446.768
2003-01-16,8422.072
2003-01-17,8073.314
2003-01-20,7948.791
2003-01-21,7790.06
2003-01-22,7575.571
2003-01-23,7560.733
2003-01-24,7532.385
2003-01-27,7172.538
2003-01-28,7199.764
2003-01-29,7186.328
2003-01-30,7434.463
2003-01-31,7484.39
2003-02-03,7605.683
2003-02-04,7305.863
2003-02-05,7448.603
2003-02-06,7320.122
2003-02-07,7106.563
2003-02-10,6874.599
2003-02-11,7197.709
2003-02-12,6945.525
2003-02-13,7053.945
2003-02-14,7319.561
2003-02-17,7494.478
2003-02-18,7538.509
2003-02-19,7349.829
2003-02-20,7234.405
2003-02-21,7237.926
2003-02-24,6620.659
2003-02-25,6266.916
2003-02-26,6141.968
2003-02-27,6278.922
2003-02-28,6607.339
2003-03-03,6633.877
2003-03-04,6309.054
2003-03-05,6259.703
2003-03-06,6021.674
2003-03-07,5747.095
2003-03-10,5479.552
2003-03-11,5550.493
2003-03-12,5277.226
2003-03-13,5813.336
2003-03-14,6283.822
2003-03-17,6536.517
2003-03-18,6346.533
2003-03-19,6365.632
2003-03-20,6280.347
2003-03-21,6646.148
2003-03-24,6214.051
2003-03-25,6461.471
2003-03-26,6384.688
2003-03-27,6252.177
2003-03-28,6267.792
2003-03-31,5962.668
2003-04-01,6069.432
2003-04-02,6385.752
2003-04-03,6501.112
2003-04-04,6472.917
2003-04-07,6902.09
2003-04-08,6769.22
2003-04-09,6699.511
2003-04-10,6633.819
2003-04-11,6719.626
2003-04-14,6800.917
2003-04-15,7106.417
2003-04-16,7132.739
2003-04-17,7195.854
2003-04-18,7195.854
2003-04-21,7164.836
2003-04-22,7284.751
2003-04-23,7499.367
2003-04-24,7315.738
2003-04-25,7202.277
2003-04-28,7462.555
2003-04-29,7377.383
2003-04-30,7432.649
2003-05-01,7500.915
2003-05-02,7443.104
2003-05-05,7696.709
2003-05-06,7864.334
2003-05-07,7743.419
2003-05-08,7512.531
2003-05-09,7696.382
2003-05-12,7746.88
2003-05-13,7724.321
2003-05-14,7685.929
2003-05-15,7735.139
2003-05-16,7934.377
2003-05-19,7544.124
2003-05-20,7514.14
2003-05-21,7313.194
2003-05-22,7512.73
2003-05-23,7408.198
2003-05-26,7422.365
2003-05-27,7521.311
2003-05-28,7720.921
2003-05-29,7838.203
2003-05-30,7930.308
2003-06-02,8042.253
2003-06-03,7975.14
2003-06-04,8141.59
2003-06-05,8255.419
2003-06-06,8391.965
2003-06-09,8271.149
2003-06-10,8279.501
2003-06-11,8520.886
2003-06-12,8665.197
2003-06-13,8380.664
2003-06-16,8628.764
2003-06-17,8605.586
2003-06-18,8583.746
2003-06-19,8384.499
2003-06-20,8415.353
2003-06-23,8135.269
2003-06-24,8083.171
2003-06-25,8223.599
2003-06-26,8071.076
2003-06-27,8185.47
2003-06-30,8070.059
2003-07-01,7978.991
2003-07-02,8178.233
2003-07-03,8220.123
2003-07-04,8108.828
2003-07-07,8376.088
2003-07-08,8358.833
2003-07-09,8239.47
2003-07-10,8117.148
2003-07-11,8213.681
2003-07-14,8383.811
2003-07-15,8407.443
2003-07-16,8332.309
2003-07-17,8137.348
2003-07-18,8354.511
2003-07-21,8328.299
2003-07-22,8432.078
2003-07-23,8403.563
2003-07-24,8604.43
2003-07-25,8516.433
2003-07-28,8621.008
2003-07-29,8553.992
2003-07-30,8470.49
2003-07-31,8551.724
2003-08-01,8425.608
2003-08-04,8402.063
2003-08-05,8493.684
2003-08-06,8359.85
2003-08-07,8406.648
2003-08-08,8461.592
2003-08-11,8527.323
2003-08-12,8580.268
2003-08-13,8571.494
2003-08-14,8688.41
2003-08-15,8779.064
2003-08-18,8765.901
2003-08-19,8755.746
2003-08-20,8746.281
2003-08-21,8735.415
2003-08-22,8759.38
2003-08-25,8688.691
2003-08-26,8584.068
2003-08-27,8703.817
2003-08-28,8756.958
2003-08-29,8785.916
2003-09-01,9001.178
2003-09-02,8898.353
2003-09-03,8965.676
2003-09-04,8991.173
2003-09-05,9085.767
2003-09-08,9236.814
2003-09-09,9197.333
2003-09-10,9020.536
2003-09-11,8979.658
2003-09-12,9016.393
2003-09-15,9115.145
2003-09-16,9136.395
2003-09-17,9232.016
2003-09-18,9282.026
2003-09-19,9267.674
2003-09-22,9112.217
2003-09-23,8978.334
2003-09-24,8941.818
2003-09-25,8848.117
2003-09-26,8691.17
2003-09-29,8737.517
2003-09-30,8646.45
2003-10-01,8850.551
2003-10-02,8927.142
2003-10-03,9153.445
2003-10-06,9094.073
2003-10-07,9113.116
2003-10-08,9138.438
2003-10-09,9303.335
2003-10-10,9313.011
2003-10-13,9414.682
2003-10-14,9357.195
2003-10-15,9442.856
2003-10-16,9384.841
2003-10-17,9389.701
2003-10-20,9374.052
2003-10-21,9409.794
2003-10-22,9281.82
2003-10-23,9127.536
2003-10-24,9136.585
2003-10-27,9211.644
2003-10-28,9195.17
2003-10-29,9291.698
2003-10-30,9377.341
2003-10-31,9397.83
2003-11-03,9587.953
2003-11-04,9560.379
2003-11-05,9474.717
2003-11-06,9516.703
2003-11-07,9690.343
2003-11-10,9604.768
2003-11-11,9542.645
2003-11-12,9640.569
2003-11-13,9758.337
2003-11-14,9804.755
2003-11-17,9521.106
2003-11-18,9594.96
2003-11-19,9566.942
