Date,PORTUGAL LARGE VALUE Large Cap
1996-05-31,1000.0
1996-06-28,1083.852
1996-07-31,1064.924
1996-08-30,1111.374
1996-09-30,1067.442
1996-10-31,1079.627
1996-11-29,1101.617
1996-12-31,1181.375
1997-01-31,1435.573
1997-02-28,1455.605
1997-03-31,1544.689
1997-04-30,1529.692
1997-05-30,1594.45
1997-06-30,1675.951
1997-07-31,1569.727
1997-08-29,1449.319
1997-09-30,1612.621
1997-10-31,1623.319
1997-11-28,1699.963
1997-12-31,1782.953
1998-01-30,1946.657
1998-02-27,1994.525
1998-03-31,2182.685
1998-04-30,2454.382
1998-05-29,2544.372
1998-06-30,2248.181
1998-07-31,2274.904
1998-08-31,2254.112
1998-09-30,2222.961
1998-10-30,2433.126
1998-11-30,2148.922
1998-12-31,2129.319
1999-01-29,2361.382
1999-02-26,2085.106
1999-03-31,1908.632
1999-04-30,1821.245
1999-05-31,1849.109
1999-06-30,1773.036
1999-07-30,1789.705
1999-08-31,1696.198
1999-09-30,1608.169
1999-10-29,1616.74
1999-11-30,1658.473
1999-12-31,1852.455
2000-01-31,1768.764
2000-02-29,2207.242
2000-03-31,2045.148
2000-04-28,1895.67
2000-05-31,1892.876
2000-06-30,2055.543
2000-07-31,1877.451
2000-08-31,1784.714
2000-09-29,1754.84
2000-10-31,1572.165
2000-11-30,1609.92
2000-12-29,1745.803
2001-01-31,1706.48
2001-02-28,1642.595
2001-03-30,1467.397
2001-04-30,1454.456
2001-05-31,1354.979
2001-06-29,1264.43
2001-07-31,1332.52
2001-08-31,1291.045
2001-09-28,1327.345
2001-10-31,1357.131
2001-11-30,1337.477
2001-12-31,1267.735
2002-01-31,1180.522
2002-02-28,1125.575
2002-03-29,1216.654
2002-04-30,1204.098
2002-05-31,1237.492
2005-05-31,681.341
2005-06-30,631.018
2005-07-29,635.526
2005-08-31,629.579
2005-09-30,609.175
2005-10-31,600.406
2005-11-30,609.009
2005-12-30,670.486
2006-01-31,666.827
2006-02-28,768.858
2006-03-31,805.342
2006-04-28,844.983
2006-05-31,813.758
2006-06-30,834.845
2006-07-31,857.927
2006-08-31,868.517
2006-09-29,862.997
2006-10-31,861.593
2006-11-30,891.138
2006-12-29,897.443
2007-01-31,914.934
2007-02-28,920.022
2007-03-30,923.443
2007-04-30,988.285
2007-05-31,1000.0
2007-06-29,1052.551
2007-07-31,1017.779
2007-08-31,958.239
2007-09-28,914.603
2007-10-31,1046.044
2007-11-30,1014.066
2007-12-31,968.832
2008-01-31,945.967
2008-02-29,951.902
2008-03-31,865.404
2008-04-30,934.202
2008-05-30,961.231
2008-06-30,893.938
2008-07-31,866.84
2008-08-29,827.218
2008-09-30,785.366
2008-10-31,513.208
2008-11-28,595.146
2008-12-31,676.115
2009-01-30,635.016
2009-02-27,598.229
2009-03-31,575.906
2009-04-30,634.919
2009-05-29,734.758
2009-06-30,742.091
2009-07-31,738.008
2009-08-31,778.779
2009-09-30,841.815
2009-10-30,880.476
2009-11-30,931.695
2009-12-31,903.293
2010-01-29,815.686
2010-02-26,771.356
2010-03-31,832.255
2010-04-30,752.2
2010-05-31,681.044
2010-06-30,659.315
2010-07-30,725.099
2010-08-31,672.887
2010-09-30,757.119
2010-10-29,842.87
2010-11-30,707.572
2010-12-31,737.196
2011-01-31,848.648
2011-02-28,837.29
2011-03-31,860.265
2011-04-29,903.293
2011-05-31,862.289
2011-06-30,803.28
2011-07-29,745.157
2011-08-31,724.508
2011-09-30,650.774
2011-10-31,654.943
2011-11-30,614.231
2011-12-30,595.067
2012-01-31,559.908
2012-02-29,561.648
2012-03-30,556.831
2012-04-30,548.094
2012-05-31,424.592
2012-06-29,483.516
2012-07-31,466.711
2012-08-31,499.324
2012-09-28,563.268
2012-10-31,555.156
2012-11-30,517.336
2012-12-31,617.119
2013-01-31,658.957
2013-02-28,614.084
2013-03-29,630.46
2013-04-30,703.353
2013-05-31,692.794
2013-06-28,693.731
2013-07-31,764.509
2013-08-30,760.321
2013-09-30,788.121
2013-10-31,795.045
2013-11-29,817.676
2013-12-31,793.355
2014-01-31,810.16
2014-02-28,935.175
2014-03-31,1001.865
2014-04-30,1046.468
2014-05-30,1062.582
2014-06-30,1125.771
2014-07-31,1051.816
2014-08-29,1088.968
2014-09-30,979.447
2014-10-31,964.674
2014-11-28,922.934
2014-12-31,873.842
2015-01-30,855.179
2015-02-27,887.53
2015-03-31,839.945
2015-04-30,898.227
2015-05-29,909.32
2015-06-30,885.132
2015-07-31,868.167
2015-08-31,817.2
2015-09-30,851.863
2015-10-30,868.01
2015-11-30,777.415
2015-12-31,841.679
2016-01-29,812.131
2016-02-29,724.249
2016-03-31,831.094
2016-04-29,829.445
2016-05-31,813.986
2016-06-30,746.94
2016-07-29,837.571
2016-08-31,817.071
2016-09-30,820.054
2016-10-31,805.801
2016-11-30,706.23
2016-12-30,745.205
2017-01-31,709.189
2017-02-28,757.236
2017-03-31,829.034
2017-04-28,805.523
2017-05-31,940.282
2017-06-30,833.98
2017-07-31,903.348
2017-08-31,979.253
2017-09-29,961.657
2017-10-31,911.327
2017-11-30,896.828
2017-12-29,884.782
2018-01-31,900.085
2018-02-28,857.554
2018-03-30,969.95
2018-04-30,993.259
2018-05-31,1045.116
2018-06-29,1060.942
2018-07-31,1091.045
2018-08-31,1046.378
2018-09-28,986.53
2018-10-31,939.957
2018-11-30,934.149
2018-12-31,931.532
2019-01-31,978.277
2019-02-28,981.468
2019-03-29,1051.833
2019-04-30,1012.08
2019-05-31,1014.418
2019-06-28,1063.077
2019-07-31,1032.835
2019-08-30,1057.554
2019-09-30,1084.703
2019-10-31,1149.913
2019-11-29,1130.303
2019-12-31,1211.53
2020-01-31,1400.398
2020-02-28,1294.802
2020-03-31,1121.141
2020-04-30,1177.89
2020-05-29,1360.124
2020-06-30,1382.11
2020-07-31,1501.382
2020-08-31,1503.221
2020-09-30,1457.604
2020-10-30,1460.679
2020-11-30,1583.639
2020-12-31,1869.277
2021-01-29,1861.822
2021-02-26,1706.923
2021-03-31,1695.965
2021-04-30,1696.207
2021-05-31,1751.936
2021-06-30,1628.262
2021-07-30,1601.863
2021-08-31,1711.603
2021-09-30,1632.21
2021-10-29,1766.738
2021-11-30,1687.458
2021-12-31,1696.36
2022-01-31,1549.723
2022-02-28,1534.196
2022-03-31,1566.932
2022-04-29,1512.628
2022-05-31,1605.225
2022-06-30,1500.613
2022-07-29,1626.874
2022-08-31,1544.658
2022-09-30,1388.616
2022-10-31,1399.551
2022-11-30,1491.934
2022-12-30,1562.99
2023-01-31,1554.134
2023-02-28,1569.186
2023-03-31,1699.304
2023-04-28,1751.913
2023-05-31,1548.968
2023-06-30,1556.105
2023-07-31,1493.161
2023-08-31,1450.99
2023-09-29,1320.371
2023-10-31,1323.268
2023-11-30,1508.931
2023-12-29,1606.38
2024-01-31,1404.927
2024-02-29,1229.677
2024-03-29,1207.463
2024-04-30,1178.273
2024-05-31,1332.4
2024-06-28,1214.604
2024-07-31,1336.083
2024-08-30,1369.039
2024-09-30,1493.557
2024-10-31,1242.259
2024-11-29,1124.759
2024-12-31,996.053
2025-01-31,982.156
2025-02-28,1006.53
2025-03-31,
2025-04-30,
2025-05-30,
2025-06-30,
2025-07-31,
2025-08-29,
2025-09-30,
2025-10-31,
2025-11-28,
