Date,ISRAEL SMID CAP SMID (Small+Mid Cap)
2001-01-01,599.904
2001-01-02,569.92
2001-01-03,569.43
2001-01-04,574.806
2001-01-05,568.353
2001-01-08,548.027
2001-01-09,552.635
2001-01-10,557.979
2001-01-11,574.374
2001-01-12,577.036
2001-01-15,582.17
2001-01-16,584.382
2001-01-17,600.223
2001-01-18,599.761
2001-01-19,599.036
2001-01-22,582.546
2001-01-23,577.248
2001-01-24,579.86
2001-01-25,582.618
2001-01-26,582.579
2001-01-29,568.302
2001-01-30,566.936
2001-01-31,574.406
2001-02-01,574.928
2001-02-02,570.036
2001-02-05,575.416
2001-02-06,575.652
2001-02-07,566.97
2001-02-08,578.426
2001-02-09,578.423
2001-02-12,586.394
2001-02-13,585.018
2001-02-14,579.618
2001-02-15,576.149
2001-02-16,572.472
2001-02-19,561.878
2001-02-20,560.472
2001-02-21,555.462
2001-02-22,547.91
2001-02-23,546.35
2001-02-26,558.579
2001-02-27,558.79
2001-02-28,554.75
2001-03-01,548.208
2001-03-02,548.909
2001-03-05,540.068
2001-03-06,545.482
2001-03-07,540.163
2001-03-08,532.779
2001-03-09,529.763
2001-03-12,506.287
2001-03-13,500.615
2001-03-14,480.126
2001-03-15,477.491
2001-03-16,475.095
2001-03-19,476.335
2001-03-20,470.732
2001-03-21,460.722
2001-03-22,449.858
2001-03-23,454.167
2001-03-26,473.426
2001-03-27,464.341
2001-03-28,460.774
2001-03-29,447.035
2001-03-30,450.045
2001-04-02,445.315
2001-04-03,433.525
2001-04-04,434.728
2001-04-05,453.471
2001-04-06,451.513
2001-04-09,449.172
2001-04-10,463.947
2001-04-11,468.188
2001-04-12,469.319
2001-04-13,469.577
2001-04-16,466.589
2001-04-17,456.221
2001-04-18,475.924
2001-04-19,480.314
2001-04-20,480.28
2001-04-23,486.021
2001-04-24,486.979
2001-04-25,487.958
2001-04-26,487.34
2001-04-27,488.639
2001-04-30,510.568
2001-05-01,509.671
2001-05-02,520.53
2001-05-03,514.865
2001-05-04,514.18
2001-05-07,513.869
2001-05-08,512.803
2001-05-09,501.291
2001-05-10,504.956
2001-05-11,503.004
2001-05-14,495.259
2001-05-15,500.859
2001-05-16,499.212
2001-05-17,508.751
2001-05-18,509.387
2001-05-21,511.604
2001-05-22,519.242
2001-05-23,521.132
2001-05-24,519.301
2001-05-25,519.275
2001-05-28,518.497
2001-05-29,515.251
2001-05-30,504.05
2001-05-31,499.605
2001-06-01,499.517
2001-06-04,491.104
2001-06-05,497.764
2001-06-06,502.285
2001-06-07,500.087
2001-06-08,500.931
2001-06-11,492.626
2001-06-12,480.008
2001-06-13,487.721
2001-06-14,480.245
2001-06-15,479.106
2001-06-18,469.086
2001-06-19,470.397
2001-06-20,464.042
2001-06-21,462.18
2001-06-22,461.838
2001-06-25,467.288
2001-06-26,467.101
2001-06-27,474.737
2001-06-28,480.172
2001-06-29,480.551
2001-07-02,489.952
2001-07-03,484.959
2001-07-04,484.77
2001-07-05,480.751
2001-07-06,479.378
2001-07-09,473.087
2001-07-10,478.684
2001-07-11,472.973
2001-07-12,481.891
2001-07-13,482.888
2001-07-16,484.984
2001-07-17,482.972
2001-07-18,477.414
2001-07-19,483.7
2001-07-20,483.235
2001-07-23,486.388
2001-07-24,482.516
2001-07-25,482.802
2001-07-26,488.964
2001-07-27,488.55
2001-07-30,488.917
2001-07-31,484.811
2001-08-01,489.302
2001-08-02,494.855
2001-08-03,496.013
2001-08-06,494.476
2001-08-07,491.911
2001-08-08,494.366
2001-08-09,487.092
2001-08-10,487.262
2001-08-13,491.601
2001-08-14,490.635
2001-08-15,483.769
2001-08-16,479.199
2001-08-17,477.755
2001-08-20,473.034
2001-08-21,474.701
2001-08-22,475.658
2001-08-23,475.757
2001-08-24,476.528
2001-08-27,475.619
2001-08-28,470.098
2001-08-29,468.521
2001-08-30,462.256
2001-08-31,461.022
2001-09-03,452.267
2001-09-04,448.473
2001-09-05,446.172
2001-09-06,442.658
2001-09-07,442.385
2001-09-10,432.866
2001-09-11,418.218
2001-09-12,412.686
2001-09-13,416.136
2001-09-14,415.797
2001-09-17,407.634
2001-09-18,406.037
2001-09-19,406.233
2001-09-20,391.763
2001-09-21,387.219
