Date,ISRAEL SMID CAP SMID (Small+Mid Cap)
1994-05-31,280.531
1994-06-30,234.6
1994-07-29,259.486
1994-08-31,275.807
1994-09-30,276.889
1994-10-31,280.911
1994-11-30,247.817
1994-12-30,258.623
1995-01-31,262.552
1995-02-28,225.479
1995-03-31,261.693
1995-04-28,262.883
1995-05-31,268.545
1995-06-30,288.99
1995-07-31,294.442
1995-08-31,302.372
1995-09-29,305.727
1995-10-31,292.669
1995-11-30,288.482
1995-12-29,300.756
1996-01-31,299.658
1996-02-29,316.811
1996-03-29,292.05
1996-04-30,303.346
1996-05-31,301.871
1996-06-28,302.194
1996-07-31,280.888
1996-08-30,289.546
1996-09-30,288.109
1996-10-31,284.185
1996-11-29,301.384
1996-12-31,320.298
1997-01-31,367.505
1997-02-28,368.086
1997-03-31,350.191
1997-04-30,364.507
1997-05-30,395.63
1997-06-30,393.955
1997-07-31,438.525
1997-08-29,416.101
1997-09-30,437.269
1997-10-31,411.51
1997-11-28,417.933
1997-12-31,422.631
1998-01-30,379.807
1998-02-27,414.485
1998-03-31,430.614
1998-04-30,428.657
1998-05-29,449.389
1998-06-30,446.042
1998-07-31,438.301
1998-08-31,385.275
1998-09-30,370.412
1998-10-30,338.335
1998-11-30,375.57
1998-12-31,391.995
1999-01-29,383.148
1999-02-26,399.456
1999-03-31,447.283
1999-04-30,461.525
1999-05-31,489.221
1999-06-30,545.361
1999-07-30,545.58
1999-08-31,504.289
1999-09-30,521.549
1999-10-29,537.665
1999-11-30,619.479
1999-12-31,708.272
2000-01-31,739.448
2000-02-29,900.954
2000-03-31,807.825
2000-04-28,724.267
2000-05-31,733.502
2000-06-30,782.569
2000-07-31,735.493
2000-08-31,815.621
2000-09-29,771.885
2000-10-31,618.325
2000-11-30,589.861
2000-12-29,593.256
2001-01-31,558.94
2001-02-28,539.826
2001-03-30,438.004
2001-04-30,497.263
2001-05-31,486.872
2001-06-29,468.429
2001-07-31,472.582
2001-08-31,449.431
2001-09-28,375.361
2001-10-31,393.187
2001-11-30,436.099
2001-12-31,481.633
2002-01-31,443.778
2002-02-28,409.642
2002-03-29,402.174
2002-04-30,345.298
2002-05-31,348.887
2002-06-28,332.053
2002-07-31,347.502
2002-08-30,345.137
2002-09-30,303.175
2002-10-31,293.798
2002-11-29,342.546
2002-12-31,310.764
2003-01-31,290.719
2003-02-28,296.023
2003-03-31,316.621
2003-04-30,378.109
2003-05-30,440.728
2003-06-30,465.782
2003-07-31,440.497
2003-08-29,440.149
2003-09-30,469.64
2003-10-31,521.926
2003-11-28,567.704
2003-12-31,586.476
2004-01-30,601.405
2004-02-27,603.133
2004-03-31,601.937
2004-04-30,572.313
2004-05-31,572.781
2004-06-30,612.661
2004-07-30,556.629
2004-08-31,530.777
2004-09-30,562.767
2004-10-29,551.111
2004-11-30,619.325
2004-12-31,666.659
2005-01-31,664.436
2005-02-28,686.405
2005-03-31,677.491
2005-04-29,674.652
2005-05-31,698.713
2005-06-30,635.187
2005-07-29,667.795
2005-08-31,680.04
2005-09-30,689.366
2005-10-31,682.045
2005-11-30,683.177
2005-12-30,712.025
2006-01-31,726.03
2006-02-28,693.521
2006-03-31,708.031
2006-04-28,776.167
2006-05-31,758.522
2006-06-30,709.606
2006-07-31,708.051
2006-08-31,737.831
2006-09-29,763.079
2006-10-31,816.448
2006-11-30,851.182
2006-12-29,841.739
2007-01-31,856.814
