Date,ISRAEL SMID CAP SMID (Small+Mid Cap)
1994-05-31,291.835
1994-06-30,244.053
1994-07-29,269.941
1994-08-31,286.92
1994-09-30,288.046
1994-10-31,292.23
1994-11-30,257.803
1994-12-30,269.044
1995-01-31,273.131
1995-02-28,234.564
1995-03-31,272.238
1995-04-28,273.476
1995-05-31,279.366
1995-06-30,300.635
1995-07-31,306.306
1995-08-31,314.556
1995-09-29,318.045
1995-10-31,304.461
1995-11-30,300.105
1995-12-29,312.875
1996-01-31,311.732
1996-02-29,329.576
1996-03-29,303.818
1996-04-30,315.569
1996-05-31,314.035
1996-06-28,314.371
1996-07-31,292.205
1996-08-30,301.212
1996-09-30,299.718
1996-10-31,295.636
1996-11-29,313.528
1996-12-31,333.204
1997-01-31,382.312
1997-02-28,382.917
1997-03-31,364.301
1997-04-30,379.194
1997-05-30,411.571
1997-06-30,409.829
1997-07-31,456.195
1997-08-29,432.867
1997-09-30,454.888
1997-10-31,428.091
1997-11-28,434.737
1997-12-31,438.948
1998-01-30,394.461
1998-02-27,430.476
1998-03-31,447.051
1998-04-30,444.968
1998-05-29,466.421
1998-06-30,462.905
1998-07-31,454.838
1998-08-31,399.807
1998-09-30,384.274
1998-10-30,350.851
1998-11-30,389.415
1998-12-31,406.105
1999-01-29,396.805
1999-02-26,413.537
1999-03-31,462.897
1999-04-30,477.524
1999-05-31,506.022
1999-06-30,563.753
1999-07-30,563.961
1999-08-31,521.279
1999-09-30,538.863
1999-10-29,555.24
1999-11-30,639.575
1999-12-31,730.823
2000-01-31,762.694
2000-02-29,929.254
2000-03-31,832.583
2000-04-28,746.426
2000-05-31,755.558
2000-06-30,805.891
2000-07-31,757.412
2000-08-31,839.612
2000-09-29,794.295
2000-10-31,636.079
2000-11-30,606.737
2000-12-29,609.719
2001-01-31,574.406
2001-02-28,554.75
2001-03-30,450.045
2001-04-30,510.568
2001-05-31,499.605
2001-06-29,480.551
2001-07-31,484.811
2001-08-31,461.022
2001-09-28,384.903
2001-10-31,403.157
2001-11-30,446.904
2001-12-31,493.26
2002-01-31,454.469
2002-02-28,419.406
2002-03-29,411.659
2002-04-30,353.223
2002-05-31,356.752
2002-06-28,339.512
2002-07-31,355.308
2002-08-30,352.887
2002-09-30,309.864
2002-10-31,300.231
2002-11-29,349.995
2002-12-31,317.433
2003-01-31,296.879
2003-02-28,302.296
2003-03-31,323.314
2003-04-30,385.866
2003-05-30,449.67
2003-06-30,475.101
2003-07-31,449.309
2003-08-29,448.735
2003-09-30,478.096
2003-10-31,531.275
2003-11-28,577.874
2003-12-31,596.559
2004-01-30,611.71
2004-02-27,613.467
2004-03-31,612.158
2004-04-30,580.391
2004-05-31,580.695
2004-06-30,620.998
2004-07-30,564.203
2004-08-31,537.829
2004-09-30,569.035
2004-10-29,557.249
2004-11-30,626.145
2004-12-31,673.609
2005-01-31,671.339
2005-02-28,693.472
2005-03-31,683.769
2005-04-29,680.307
2005-05-31,704.497
2005-06-30,640.225
2005-07-29,673.075
2005-08-31,685.246
2005-09-30,694.482
2005-10-31,686.643
2005-11-30,687.638
2005-12-30,716.339
2006-01-31,730.363
2006-02-28,697.593
2006-03-31,712.148
2006-04-28,779.945
2006-05-31,762.034
2006-06-30,712.182
2006-07-31,710.622
2006-08-31,739.7
2006-09-29,764.903
2006-10-31,818.044
2006-11-30,852.647
2006-12-29,842.615
2007-01-31,857.705
2007-02-28,883.061
2007-03-30,897.743
2007-04-30,971.828
2007-05-31,1000.0
2007-06-29,951.411
2007-07-31,927.905
2007-08-31,920.503
2007-09-28,984.878
2007-10-31,1052.654
2007-11-30,1003.798
2007-12-31,1006.574
2008-01-31,932.769
2008-02-29,926.873
2008-03-31,879.214
2008-04-30,922.78
2008-05-30,996.024
2008-06-30,888.522
2008-07-31,824.809
2008-08-29,795.222
2008-09-30,721.222
2008-10-31,552.741
2008-11-28,468.411
2008-12-31,464.588
2009-01-30,480.908
2009-02-27,464.017
2009-03-31,523.172
2009-04-30,606.367
2009-05-29,687.098
2009-06-30,703.964
2009-07-31,821.714
2009-08-31,822.501
2009-09-30,858.95
2009-10-30,896.112
2009-11-30,913.925
2009-12-31,964.849
2010-01-29,992.403
2010-02-26,992.456
2010-03-31,1053.871
2010-04-30,1001.075
2010-05-31,859.918
2010-06-30,832.768
2010-07-30,903.522
2010-08-31,899.299
2010-09-30,1010.465
2010-10-29,1070.466
2010-11-30,1033.906
2010-12-31,1145.322
2011-01-31,1055.492
2011-02-28,1068.881
2011-03-31,1147.134
2011-04-29,1158.852
2011-05-31,1087.582
2011-06-30,1043.944
2011-07-29,1033.693
2011-08-31,870.671
2011-09-30,803.234
2011-10-31,898.972
2011-11-30,814.322
2011-12-30,785.793
2012-01-31,834.41
2012-02-29,784.625
2012-03-30,840.088
2012-04-30,860.364
2012-05-31,757.47
2012-06-29,717.373
2012-07-31,719.749
2012-08-31,738.16
2012-09-28,804.494
2012-10-31,834.592
2012-11-30,885.732
2012-12-31,877.075
2013-01-31,879.024
2013-02-28,915.075
2013-03-29,948.917
2013-04-30,950.954
2013-05-31,955.221
2013-06-28,931.859
2013-07-31,988.517
2013-08-30,958.521
2013-09-30,1059.275
2013-10-31,1063.473
2013-11-29,1091.093
2013-12-31,1119.02
2014-01-31,1058.397
2014-02-28,1105.736
2014-03-31,1142.027
2014-04-30,1136.517
2014-05-30,1133.091
2014-06-30,1133.693
2014-07-31,1122.921
2014-08-29,1097.436
2014-09-30,1099.129
2014-10-31,1013.592
2014-11-28,1012.974
2014-12-31,988.217
2015-01-30,964.269
2015-02-27,1017.13
2015-03-31,1072.175
2015-04-30,1120.094
2015-05-29,1099.787
2015-06-30,1124.531
2015-07-31,1167.811
2015-08-31,1073.917
2015-09-30,1050.447
2015-10-30,1114.297
2015-11-30,1103.513
2015-12-31,1073.471
2016-01-29,1017.236
2016-02-29,1034.103
2016-03-31,1098.634
2016-04-29,1119.624
2016-05-31,1104.881
2016-06-30,1077.357
2016-07-29,1135.897
2016-08-31,1162.303
2016-09-30,1157.629
2016-10-31,1137.136
2016-11-30,1186.82
2016-12-30,1197.881
2017-01-31,1245.694
2017-02-28,1310.358
2017-03-31,1326.6
2017-04-28,1362.356
2017-05-31,1423.47
2017-06-30,1429.717
2017-07-31,1413.691
2017-08-31,1436.696
2017-09-29,1476.252
2017-10-31,1517.961
2017-11-30,1537.812
2017-12-29,1570.238
2018-01-31,1637.45
2018-02-28,1588.395
2018-03-30,1535.248
2018-04-30,1524.581
2018-05-31,1586.082
2018-06-29,1542.472
2018-07-31,1584.092
2018-08-31,1733.78
2018-09-28,1733.74
2018-10-31,1617.661
2018-11-30,1668.886
2018-12-31,1568.988
2019-01-31,1691.098
2019-02-28,1771.075
2019-03-29,1766.628
2019-04-30,1898.149
2019-05-31,1898.693
2019-06-28,1961.179
2019-07-31,2078.791
2019-08-30,2005.973
2019-09-30,2044.358
2019-10-31,2069.655
2019-11-29,2153.067
2019-12-31,2156.998
2020-01-31,2223.594
2020-02-28,2061.784
2020-03-31,1652.33
2020-04-30,1875.41
2020-05-29,1993.045
2020-06-30,1943.293
2020-07-31,2095.074
2020-08-31,2226.853
2020-09-30,2057.712
2020-10-30,2097.811
2020-11-30,2370.989
2020-12-31,2588.553
2021-01-29,2592.582
2021-02-26,2554.462
2021-03-31,2598.535
2021-04-30,2785.534
2021-05-31,2860.372
2021-06-30,2904.366
2021-07-30,2966.239
2021-08-31,3116.354
2021-09-30,3134.925
2021-10-29,3375.195
2021-11-30,3407.284
2021-12-31,3574.132
2022-01-31,3366.265
2022-02-28,3384.93
2022-03-31,3440.275
2022-04-29,3212.768
2022-05-31,2973.678
2022-06-30,2705.994
2022-07-29,2930.666
2022-08-31,3117.2
2022-09-30,2674.197
2022-10-31,2826.806
2022-11-30,2785.126
2022-12-30,2586.291
2023-01-31,2693.129
2023-02-28,2468.44
2023-03-31,2459.815
2023-04-28,2445.231
2023-05-31,2394.06
2023-06-30,2464.258
2023-07-31,2670.622
2023-08-31,2563.194
2023-09-29,2525.856
2023-10-31,2130.263
2023-11-30,2510.074
2023-12-29,2715.716
2024-01-31,2729.323
2024-02-29,2966.302
2024-03-29,2977.592
2024-04-30,2782.189
2024-05-31,2888.775
2024-06-28,2842.159
2024-07-31,2906.249
2024-08-30,3135.892
2024-09-30,3149.021
2024-10-31,3228.747
2024-11-29,3491.197
2024-12-31,3667.465
2025-01-31,3811.202
2025-02-28,3764.461
2025-03-31,3486.087
2025-04-30,3717.807
2025-05-30,4045.606
2025-06-30,4569.662
2025-07-31,4512.419
2025-08-29,4650.986
2025-09-30,4906.289
2025-10-31,5043.91
2025-11-28,5107.023
2025-12-31,5499.948
2026-01-30,6031.477
