Date,NEW ZEALAND IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,405.222
1994-06-30,387.774
1994-07-29,395.438
1994-08-31,420.515
1994-09-30,405.136
1994-10-31,420.599
1994-11-30,404.71
1994-12-30,397.752
1995-01-31,402.032
1995-02-28,410.479
1995-03-31,425.956
1995-04-28,469.986
1995-05-31,454.484
1995-06-30,450.406
1995-07-31,470.217
1995-08-31,453.726
1995-09-29,464.698
1995-10-31,489.958
1995-11-30,486.498
1995-12-29,498.077
1996-01-31,506.691
1996-02-29,511.512
1996-03-29,531.267
1996-04-30,538.674
1996-05-31,505.687
1996-06-28,531.269
1996-07-31,548.879
1996-08-30,569.741
1996-09-30,562.973
1996-10-31,590.591
1996-11-29,604.566
1996-12-31,609.282
1997-01-31,603.674
1997-02-28,588.767
1997-03-31,578.608
1997-04-30,583.978
1997-05-30,603.425
1997-06-30,632.103
1997-07-31,613.612
1997-08-29,572.577
1997-09-30,584.456
1997-10-31,524.526
1997-11-28,505.927
1997-12-31,478.22
1998-01-30,463.719
1998-02-27,470.966
1998-03-31,445.879
1998-04-30,444.516
1998-05-29,412.483
1998-06-30,358.307
1998-07-31,377.602
1998-08-31,297.325
1998-09-30,271.617
1998-10-30,340.607
1998-11-30,366.168
1998-12-31,386.061
1999-01-29,407.289
1999-02-26,398.05
1999-03-31,402.432
1999-04-30,456.349
1999-05-31,405.342
1999-06-30,420.973
1999-07-30,434.038
1999-08-31,407.508
1999-09-30,387.092
1999-10-29,388.982
1999-11-30,397.449
1999-12-31,421.293
2000-01-31,373.552
2000-02-29,357.433
2000-03-31,383.734
2000-04-28,375.739
2000-05-31,341.273
2000-06-30,360.848
2000-07-31,353.088
2000-08-31,322.173
2000-09-29,292.581
2000-10-31,278.105
2000-11-30,289.042
2000-12-29,299.214
2001-01-31,317.664
2001-02-28,306.178
2001-03-30,295.592
2001-04-30,317.242
2001-05-31,299.583
2001-06-29,301.128
2001-07-31,313.636
2001-08-31,319.134
2001-09-28,261.439
2001-10-31,278.113
2001-11-30,298.105
2001-12-31,298.17
2002-01-31,313.748
2002-02-28,313.459
2002-03-29,322.643
2002-04-30,323.709
2002-05-31,368.966
2002-06-28,360.165
2002-07-31,331.866
2002-08-30,345.514
2002-09-30,340.43
2002-10-31,363.191
2002-11-29,359.125
2002-12-31,374.439
2003-01-31,393.626
2003-02-28,390.706
2003-03-31,401.927
2003-04-30,412.803
2003-05-30,450.589
2003-06-30,471.284
2003-07-31,459.944
2003-08-29,465.535
2003-09-30,489.076
2003-10-31,504.271
2003-11-28,534.881
2003-12-31,574.269
2004-01-30,598.075
2004-02-27,618.778
2004-03-31,633.439
2004-04-30,594.387
2004-05-31,583.134
2004-06-30,617.518
2004-07-30,642.414
2004-08-31,649.237
2004-09-30,694.08
2004-10-29,691.219
2004-11-30,766.31
2004-12-31,781.825
2005-01-31,775.019
2005-02-28,820.238
2005-03-31,756.969
2005-04-29,758.218
2005-05-31,742.119
2005-06-30,771.191
2005-07-29,789.446
2005-08-31,801.376
2005-09-30,811.506
2005-10-31,792.91
2005-11-30,802.527
2005-12-30,792.577
2006-01-31,779.011
2006-02-28,754.414
2006-03-31,746.562
2006-04-28,794.706
2006-05-31,729.213
2006-06-30,672.142
2006-07-31,679.743
2006-08-31,730.106
2006-09-29,760.157
2006-10-31,819.376
2006-11-30,844.191
2006-12-29,915.04
2007-01-31,911.075
2007-02-28,912.113
2007-03-30,941.157
2007-04-30,984.955
2007-05-31,1000.0
2007-06-29,1023.834
2007-07-31,1003.237
2007-08-31,889.699
2007-09-28,1007.571
2007-10-31,1010.789
2007-11-30,994.114
2007-12-31,1001.695
2008-01-31,939.31
2008-02-29,930.051
2008-03-31,877.522
2008-04-30,878.645
2008-05-30,913.549
2008-06-30,799.903
2008-07-31,800.782
2008-08-29,726.126
2008-09-30,623.33
2008-10-31,484.573
2008-11-28,454.471
2008-12-31,473.826
2009-01-30,440.316
2009-02-27,390.85
2009-03-31,453.57
2009-04-30,508.256
2009-05-29,556.333
2009-06-30,576.217
2009-07-31,624.737
2009-08-31,666.195
2009-09-30,712.429
2009-10-30,704.098
2009-11-30,678.485
2009-12-31,706.869
2010-01-29,674.458
2010-02-26,664.845
2010-03-31,679.933
2010-04-30,706.635
2010-05-31,604.005
2010-06-30,606.987
2010-07-30,655.35
2010-08-31,647.626
2010-09-30,708.019
2010-10-29,759.082
2010-11-30,749.69
2010-12-31,788.547
