Date,NEW ZEALAND IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,299.214
2001-01-02,298.741
2001-01-03,297.262
2001-01-04,301.971
2001-01-05,310.228
2001-01-08,309.239
2001-01-09,307.588
2001-01-10,302.97
2001-01-11,305.846
2001-01-12,307.316
2001-01-15,308.097
2001-01-16,311.521
2001-01-17,313.589
2001-01-18,317.056
2001-01-19,321.693
2001-01-22,325.582
2001-01-23,321.998
2001-01-24,311.004
2001-01-25,304.404
2001-01-26,306.584
2001-01-29,306.006
2001-01-30,311.218
2001-01-31,317.664
2001-02-01,323.847
2001-02-02,319.859
2001-02-05,315.172
2001-02-06,315.208
2001-02-07,317.834
2001-02-08,313.07
2001-02-09,315.415
2001-02-12,321.221
2001-02-13,316.526
2001-02-14,305.336
2001-02-15,302.586
2001-02-16,306.644
2001-02-19,308.735
2001-02-20,311.099
2001-02-21,309.773
2001-02-22,307.594
2001-02-23,310.649
2001-02-26,310.97
2001-02-27,312.665
2001-02-28,306.178
2001-03-01,312.394
2001-03-02,316.593
2001-03-05,315.466
2001-03-06,319.36
2001-03-07,322.452
2001-03-08,321.915
2001-03-09,319.817
2001-03-12,318.597
2001-03-13,311.835
2001-03-14,316.727
2001-03-15,315.913
2001-03-16,317.772
2001-03-19,319.126
2001-03-20,326.426
2001-03-21,318.564
2001-03-22,305.595
2001-03-23,312.546
2001-03-26,307.954
2001-03-27,305.532
2001-03-28,301.962
2001-03-29,298.43
2001-03-30,295.592
2001-04-02,296.441
2001-04-03,299.981
2001-04-04,298.496
2001-04-05,299.866
2001-04-06,299.987
2001-04-09,299.42
2001-04-10,298.26
2001-04-11,298.673
2001-04-12,300.372
2001-04-13,300.372
2001-04-16,300.961
2001-04-17,296.218
2001-04-18,297.544
2001-04-19,311.08
2001-04-20,318.284
2001-04-23,310.744
2001-04-24,308.781
2001-04-25,310.675
2001-04-26,312.654
2001-04-27,316.328
2001-04-30,317.242
2001-05-01,320.678
2001-05-02,323.593
2001-05-03,322.581
2001-05-04,316.745
2001-05-07,316.21
2001-05-08,313.256
2001-05-09,315.693
2001-05-10,319.624
2001-05-11,320.055
2001-05-14,315.574
2001-05-15,314.816
2001-05-16,315.73
2001-05-17,320.68
2001-05-18,320.795
2001-05-21,323.041
2001-05-22,322.155
2001-05-23,314.053
2001-05-24,314.799
2001-05-25,315.157
2001-05-28,313.988
2001-05-29,313.027
2001-05-30,306.594
2001-05-31,299.583
2001-06-01,300.069
2001-06-04,299.302
2001-06-05,309.774
2001-06-06,315.692
2001-06-07,316.996
2001-06-08,317.565
2001-06-11,313.737
2001-06-12,313.065
2001-06-13,315.87
