Date,NEW ZEALAND IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,273.399
2001-01-02,272.967
2001-01-03,271.616
2001-01-04,275.918
2001-01-05,283.462
2001-01-08,282.559
2001-01-09,281.051
2001-01-10,276.831
2001-01-11,279.459
2001-01-12,280.802
2001-01-15,281.561
2001-01-16,284.69
2001-01-17,286.579
2001-01-18,289.748
2001-01-19,293.985
2001-01-22,297.54
2001-01-23,294.264
2001-01-24,284.217
2001-01-25,278.185
2001-01-26,280.178
2001-01-29,279.65
2001-01-30,284.413
2001-01-31,290.304
2001-02-01,295.954
2001-02-02,292.31
2001-02-05,288.026
2001-02-06,288.059
2001-02-07,290.459
2001-02-08,286.105
2001-02-09,288.248
2001-02-12,293.554
2001-02-13,289.264
2001-02-14,279.037
2001-02-15,276.524
2001-02-16,280.233
2001-02-19,282.144
2001-02-20,284.304
2001-02-21,283.092
2001-02-22,281.101
2001-02-23,283.893
2001-02-26,284.186
2001-02-27,285.735
2001-02-28,279.833
2001-03-01,285.514
2001-03-02,289.351
2001-03-05,288.433
2001-03-06,291.994
2001-03-07,294.821
2001-03-08,294.33
2001-03-09,292.422
2001-03-12,291.357
2001-03-13,285.173
2001-03-14,289.647
2001-03-15,288.902
2001-03-16,290.616
2001-03-19,291.997
2001-03-20,298.677
2001-03-21,291.483
2001-03-22,279.616
2001-03-23,285.977
2001-03-26,281.775
2001-03-27,279.559
2001-03-28,276.292
2001-03-29,273.061
2001-03-30,270.572
2001-04-02,271.35
2001-04-03,274.59
2001-04-04,273.23
2001-04-05,274.484
2001-04-06,274.595
2001-04-09,274.202
2001-04-10,273.14
2001-04-11,273.518
2001-04-12,275.074
2001-04-13,275.074
2001-04-16,275.614
2001-04-17,271.27
2001-04-18,272.484
2001-04-19,284.88
2001-04-20,291.478
2001-04-23,284.573
2001-04-24,282.776
2001-04-25,284.51
2001-04-26,286.322
2001-04-27,289.686
2001-04-30,290.524
2001-05-01,293.67
2001-05-02,296.339
2001-05-03,295.413
2001-05-04,290.068
2001-05-07,289.801
2001-05-08,287.094
2001-05-09,289.327
2001-05-10,292.93
2001-05-11,293.324
2001-05-14,289.218
2001-05-15,288.523
2001-05-16,289.36
2001-05-17,293.897
2001-05-18,294.002
2001-05-21,296.223
2001-05-22,295.411
2001-05-23,287.982
2001-05-24,288.665
2001-05-25,288.994
2001-05-28,287.922
2001-05-29,287.04
2001-05-30,281.142
2001-05-31,274.712
2001-06-01,275.158
2001-06-04,274.455
2001-06-05,284.351
2001-06-06,289.782
2001-06-07,290.979
2001-06-08,291.502
2001-06-11,287.988
2001-06-12,287.371
2001-06-13,289.946
2001-06-14,284.503
2001-06-15,285.435
2001-06-18,283.221
2001-06-19,281.279
2001-06-20,277.388
2001-06-21,277.865
2001-06-22,280.97
2001-06-25,279.259
2001-06-26,281.212
2001-06-27,280.797
2001-06-28,279.55
2001-06-29,276.501
2001-07-02,277.31
2001-07-03,278.943
2001-07-04,278.0
2001-07-05,276.855
2001-07-06,273.853
2001-07-09,273.23
2001-07-10,278.035
2001-07-11,275.363
2001-07-12,275.39
2001-07-13,277.129
2001-07-16,275.398
2001-07-17,275.018
2001-07-18,277.329
2001-07-19,279.998
2001-07-20,277.299
2001-07-23,278.325
2001-07-24,280.18
2001-07-25,283.243
2001-07-26,287.129
2001-07-27,285.95
2001-07-30,287.346
2001-07-31,288.092
2001-08-01,289.616
2001-08-02,289.937
2001-08-03,288.082
2001-08-06,284.304
2001-08-07,283.078
2001-08-08,284.153
2001-08-09,287.75
2001-08-10,289.837
2001-08-13,290.59
2001-08-14,290.704
2001-08-15,292.512
2001-08-16,293.165
2001-08-17,297.176
2001-08-20,292.758
2001-08-21,293.479
2001-08-22,295.458
2001-08-23,294.889
2001-08-24,298.153
2001-08-27,299.976
2001-08-28,297.138
2001-08-29,300.615
2001-08-30,298.437
2001-08-31,293.207
2001-09-03,290.166
2001-09-04,289.023
2001-09-05,287.549
2001-09-06,284.707
2001-09-07,281.245
2001-09-10,273.699
2001-09-11,275.761
2001-09-12,257.012
2001-09-13,259.586
2001-09-14,254.625
2001-09-17,233.222
2001-09-18,238.093
2001-09-19,239.299
2001-09-20,237.679
2001-09-21,232.205
2001-09-24,228.457
2001-09-25,236.002
2001-09-26,237.583
2001-09-27,234.703
2001-09-28,241.03
2001-10-01,237.456
2001-10-02,243.328
2001-10-03,248.788
2001-10-04,249.337
2001-10-05,251.343
2001-10-08,249.684
2001-10-09,246.944
2001-10-10,247.26
2001-10-11,248.121
2001-10-12,251.54
2001-10-15,254.171
2001-10-16,255.848
2001-10-17,257.486
2001-10-18,252.509
2001-10-19,248.739
2001-10-22,248.979
2001-10-23,251.528
2001-10-24,251.695
2001-10-25,253.634
2001-10-26,253.083
2001-10-29,257.216
2001-10-30,254.807
2001-10-31,256.403
2001-11-01,257.646
2001-11-02,258.928
2001-11-05,261.18
2001-11-06,265.449
2001-11-07,262.604
2001-11-08,259.769
2001-11-09,256.904
2001-11-12,260.3
2001-11-13,267.593
2001-11-14,268.643
2001-11-15,265.482
2001-11-16,267.503
2001-11-19,268.076
2001-11-20,271.811
2001-11-21,266.952
2001-11-22,264.834
2001-11-23,261.785
2001-11-26,263.334
2001-11-27,270.206
2001-11-28,273.528
2001-11-29,275.766
2001-11-30,274.984
2001-12-03,269.193
2001-12-04,265.879
2001-12-05,272.004
2001-12-06,277.705
2001-12-07,276.905
2001-12-10,274.173
2001-12-11,277.345
2001-12-12,279.297
2001-12-13,279.684
2001-12-14,275.374
2001-12-17,273.669
2001-12-18,269.557
2001-12-19,271.478
2001-12-20,267.208
2001-12-21,269.324
2001-12-24,270.683
2001-12-25,270.683
2001-12-26,270.879
2001-12-27,271.249
2001-12-28,274.208
2001-12-31,275.608
2002-01-01,275.608
2002-01-02,278.388
2002-01-03,283.471
2002-01-04,286.496
2002-01-07,290.548
2002-01-08,290.799
2002-01-09,290.127
2002-01-10,294.131
2002-01-11,293.02
2002-01-14,288.751
2002-01-15,289.337
2002-01-16,286.106
2002-01-17,284.958
2002-01-18,289.709
2002-01-21,293.271
2002-01-22,295.992
2002-01-23,294.676
2002-01-24,295.166
2002-01-25,295.359
2002-01-28,293.665
2002-01-29,296.176
2002-01-30,289.806
2002-01-31,290.221
2002-02-01,292.604
2002-02-04,294.152
2002-02-05,292.324
2002-02-06,292.569
2002-02-07,287.823
2002-02-08,287.7
2002-02-11,289.184
2002-02-12,288.789
2002-02-13,288.623
2002-02-14,290.329
2002-02-15,290.163
2002-02-18,291.026
2002-02-19,291.552
2002-02-20,290.416
2002-02-21,286.734
2002-02-22,288.885
2002-02-25,288.447
2002-02-26,290.004
2002-02-27,288.784
2002-02-28,290.227
2002-03-01,291.167
2002-03-04,291.265
2002-03-05,293.001
2002-03-06,289.138
2002-03-07,296.178
2002-03-08,294.658
2002-03-11,294.763
2002-03-12,298.262
2002-03-13,293.791
2002-03-14,293.764
2002-03-15,298.001
2002-03-18,296.277
2002-03-19,293.867
2002-03-20,301.783
2002-03-21,298.342
2002-03-22,297.268
2002-03-25,298.053
2002-03-26,298.464
2002-03-27,296.501
2002-03-28,299.462
2002-03-29,299.462
2002-04-01,300.823
2002-04-02,301.266
2002-04-03,297.861
2002-04-04,297.912
2002-04-05,298.134
2002-04-08,294.496
2002-04-09,295.449
2002-04-10,295.595
2002-04-11,300.194
2002-04-12,297.94
2002-04-15,297.407
2002-04-16,296.453
2002-04-17,301.835
2002-04-18,303.019
2002-04-19,300.762
2002-04-22,301.687
2002-04-23,301.213
2002-04-24,300.005
2002-04-25,302.487
2002-04-26,302.387
2002-04-29,301.612
2002-04-30,300.452
2002-05-01,305.226
2002-05-02,302.006
2002-05-03,302.664
2002-05-06,301.594
2002-05-07,302.315
2002-05-08,303.762
2002-05-09,303.266
2002-05-10,306.484
2002-05-13,306.991
2002-05-14,309.421
2002-05-15,316.417
2002-05-16,315.798
2002-05-17,321.493
2002-05-20,322.75
2002-05-21,323.289
2002-05-22,328.399
2002-05-23,332.008
2002-05-24,330.746
2002-05-27,331.286
