Date,NEW ZEALAND IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,338.468
1994-06-30,323.895
1994-07-29,330.297
1994-08-31,351.242
1994-09-30,338.397
1994-10-31,352.819
1994-11-30,340.173
1994-12-30,334.582
1995-01-31,338.182
1995-02-28,345.319
1995-03-31,359.188
1995-04-28,397.247
1995-05-31,384.217
1995-06-30,380.988
1995-07-31,398.55
1995-08-31,384.783
1995-09-29,394.164
1995-10-31,416.624
1995-11-30,416.066
1995-12-29,426.43
1996-01-31,433.805
1996-02-29,438.459
1996-03-29,455.947
1996-04-30,463.264
1996-05-31,435.022
1996-06-28,458.07
1996-07-31,473.355
1996-08-30,491.855
1996-09-30,486.892
1996-10-31,511.28
1996-11-29,525.035
1996-12-31,530.231
1997-01-31,525.401
1997-02-28,512.498
1997-03-31,506.027
1997-04-30,510.962
1997-05-30,528.14
1997-06-30,554.721
1997-07-31,538.804
1997-08-29,502.876
1997-09-30,514.191
1997-10-31,461.735
1997-11-28,446.925
1997-12-31,423.515
1998-01-30,410.735
1998-02-27,417.213
1998-03-31,397.028
1998-04-30,395.975
1998-05-29,367.479
1998-06-30,320.318
1998-07-31,337.583
1998-08-31,265.854
1998-09-30,243.359
1998-10-30,305.598
1998-11-30,329.253
1998-12-31,347.841
1999-01-29,366.994
1999-02-26,358.669
1999-03-31,363.241
1999-04-30,411.975
1999-05-31,366.066
1999-06-30,380.435
1999-07-30,392.242
1999-08-31,368.338
1999-09-30,350.322
1999-10-29,352.071
1999-11-30,359.873
1999-12-31,382.011
2000-01-31,338.898
2000-02-29,324.274
2000-03-31,348.633
2000-04-28,341.369
2000-05-31,310.156
2000-06-30,328.302
2000-07-31,321.242
2000-08-31,293.187
2000-09-29,266.68
2000-10-31,253.631
2000-11-30,263.786
2000-12-29,273.399
2001-01-31,290.304
2001-02-28,279.833
2001-03-30,270.572
2001-04-30,290.524
2001-05-31,274.712
2001-06-29,276.501
2001-07-31,288.092
2001-08-31,293.207
2001-09-28,241.03
2001-10-31,256.403
2001-11-30,274.984
2001-12-31,275.608
2002-01-31,290.221
2002-02-28,290.227
2002-03-29,299.462
2002-04-30,300.452
2002-05-31,342.507
2002-06-28,335.099
2002-07-31,308.919
2002-08-30,321.881
2002-09-30,317.934
2002-10-31,339.509
2002-11-29,336.11
2002-12-31,351.182
2003-01-31,369.177
2003-02-28,366.825
2003-03-31,379.092
2003-04-30,389.35
2003-05-30,424.99
2003-06-30,445.773
2003-07-31,435.047
2003-08-29,440.491
2003-09-30,463.942
2003-10-31,479.091
2003-11-28,508.272
2003-12-31,547.194
2004-01-30,569.878
2004-02-27,589.921
2004-03-31,606.18
2004-04-30,568.856
2004-05-31,559.4
2004-06-30,593.334
2004-07-30,617.256
2004-08-31,625.847
2004-09-30,669.413
2004-10-29,667.85
2004-11-30,742.673
2004-12-31,758.375
2005-01-31,751.773
2005-02-28,797.981
2005-03-31,737.506
2005-04-29,739.06
2005-05-31,725.42
2005-06-30,755.149
2005-07-29,773.025
2005-08-31,787.079
2005-09-30,797.583
2005-10-31,779.499
2005-11-30,790.266
2005-12-30,780.725
2006-01-31,767.362
2006-02-28,744.631
2006-03-31,737.693
2006-04-28,785.416
2006-05-31,721.7
2006-06-30,665.59
2006-07-31,673.117
2006-08-31,724.97
2006-09-29,755.658
2006-10-31,814.584
2006-11-30,840.598
2006-12-29,911.681
2007-01-31,907.73
2007-02-28,909.91
2007-03-30,939.692
2007-04-30,983.662
2007-05-31,1000.0
2007-06-29,1024.574
2007-07-31,1003.963
2007-08-31,893.349
2007-09-28,1011.952
2007-10-31,1015.599
2007-11-30,1000.807
2007-12-31,1008.743
2008-01-31,945.92
2008-02-29,938.196
2008-03-31,886.284
2008-04-30,887.712
2008-05-30,924.593
2008-06-30,810.084
2008-07-31,810.974
2008-08-29,735.368
2008-09-30,633.633
2008-10-31,492.765
2008-11-28,462.416
2008-12-31,483.105
2009-01-30,448.939
2009-02-27,398.554
2009-03-31,464.214
2009-04-30,520.338
2009-05-29,570.482
2009-06-30,591.258
2009-07-31,641.165
2009-08-31,683.802
2009-09-30,732.964
2009-10-30,724.535
2009-11-30,699.426
2009-12-31,729.199
2010-01-29,695.884
2010-02-26,686.072
2010-03-31,702.952
2010-04-30,731.245
2010-05-31,626.041
2010-06-30,629.743
2010-07-30,679.919
2010-08-31,672.024
2010-09-30,736.715
2010-10-29,790.276
2010-11-30,781.632
2010-12-31,822.206
2011-01-31,830.476
2011-02-28,803.025
2011-03-31,822.996
2011-04-29,897.805
2011-05-31,949.752
2011-06-30,928.911
2011-07-29,994.995
2011-08-31,982.633
2011-09-30,899.267
2011-10-31,947.875
2011-11-30,916.713
2011-12-30,923.738
2012-01-31,1010.66
2012-02-29,1038.322
2012-03-30,1113.213
2012-04-30,1128.564
2012-05-31,1010.404
2012-06-29,1037.792
2012-07-31,1098.279
2012-08-31,1119.712
2012-09-28,1210.195
2012-10-31,1229.286
2012-11-30,1265.627
2012-12-31,1296.797
2013-01-31,1424.351
2013-02-28,1394.72
2013-03-29,1405.331
2013-04-30,1493.133
2013-05-31,1327.063
2013-06-28,1255.052
2013-07-31,1314.306
2013-08-30,1309.045
2013-09-30,1471.682
2013-10-31,1508.604
2013-11-29,1417.473
2013-12-31,1440.591
2014-01-31,1423.96
2014-02-28,1531.519
2014-03-31,1628.183
2014-04-30,1713.56
2014-05-30,1674.69
2014-06-30,1712.716
2014-07-31,1690.004
2014-08-29,1691.713
2014-09-30,1635.625
2014-10-31,1714.627
2014-11-28,1740.901
2014-12-31,1760.426
2015-01-30,1727.931
2015-02-27,1814.382
2015-03-31,1778.244
2015-04-30,1778.238
2015-05-29,1654.963
2015-06-30,1533.902
2015-07-31,1549.157
2015-08-31,1447.448
2015-09-30,1435.765
2015-10-30,1636.383
2015-11-30,1615.434
2015-12-31,1691.515
2016-01-29,1568.411
2016-02-29,1607.486
2016-03-31,1861.779
2016-04-29,1932.314
2016-05-31,1899.138
2016-06-30,1952.573
2016-07-29,2101.457
2016-08-31,2164.982
2016-09-30,2170.304
2016-10-31,2037.782
2016-11-30,2005.975
2016-12-30,1957.004
2017-01-31,2093.833
2017-02-28,2070.699
2017-03-31,2022.63
2017-04-28,2042.408
2017-05-31,2135.37
2017-06-30,2265.364
2017-07-31,2321.025
2017-08-31,2234.212
2017-09-29,2252.068
2017-10-31,2125.092
2017-11-30,2115.72
2017-12-29,2254.599
2018-01-31,2327.941
2018-02-28,2117.622
2018-03-30,2138.743
2018-04-30,2158.504
2018-05-31,2225.377
2018-06-29,2205.066
2018-07-31,2241.617
2018-08-31,2204.405
2018-09-28,2279.536
2018-10-31,2136.298
2018-11-30,2302.96
2018-12-31,2244.537
2019-01-31,2336.784
2019-02-28,2293.562
2019-03-29,2476.651
2019-04-30,2412.596
2019-05-31,2434.433
2019-06-28,2684.229
2019-07-31,2605.561
2019-08-30,2591.799
2019-09-30,2651.244
2019-10-31,2606.345
2019-11-29,2640.184
2019-12-31,2777.696
2020-01-31,2761.197
2020-02-28,2441.584
2020-03-31,1816.67
2020-04-30,2114.498
2020-05-29,2158.796
2020-06-30,2302.825
2020-07-31,2422.133
2020-08-31,2523.125
2020-09-30,2563.432
2020-10-30,2606.961
2020-11-30,3075.873
2020-12-31,3368.091
2021-01-29,3403.002
2021-02-26,3235.67
2021-03-31,3194.753
2021-04-30,3262.545
2021-05-31,3280.671
2021-06-30,3207.992
2021-07-30,3167.448
2021-08-31,3301.51
2021-09-30,3232.482
2021-10-29,3305.292
2021-11-30,2988.733
2021-12-31,3085.405
2022-01-31,2708.056
2022-02-28,2881.621
2022-03-31,3029.981
2022-04-29,2838.731
2022-05-31,2723.513
2022-06-30,2560.06
2022-07-29,2733.949
2022-08-31,2757.143
2022-09-30,2442.807
2022-10-31,2556.605
2022-11-30,2708.543
2022-12-30,2781.113
2023-01-31,2909.551
2023-02-28,2765.661
2023-03-31,2834.926
2023-04-28,2842.637
2023-05-31,2788.884
2023-06-30,2854.443
2023-07-31,2934.484
2023-08-31,2698.721
2023-09-29,2700.628
2023-10-31,2521.306
2023-11-30,2788.322
2023-12-29,2980.857
2024-01-31,2873.479
2024-02-29,2709.853
2024-03-29,2672.205
2024-04-30,2542.594
2024-05-31,2513.42
2024-06-28,2433.518
2024-07-31,2447.479
2024-08-30,2486.197
2024-09-30,2451.983
2024-10-31,2317.919
2024-11-29,2383.555
2024-12-31,2282.17
2025-01-31,2266.744
2025-02-28,2106.662
2025-03-31,2080.09
2025-04-30,2074.868
2025-05-30,2122.78
2025-06-30,2221.396
2025-07-31,2160.656
2025-08-29,2191.451
2025-09-30,2214.942
2025-10-31,2260.701
2025-11-28,2227.007
2025-12-31,2261.026
2026-01-30,2373.164
