Date,DENMARK SMID VALUE SMID (Small+Mid Cap)
2001-01-01,166.59
2001-01-02,169.796
2001-01-03,169.596
2001-01-04,170.662
2001-01-05,172.595
2001-01-08,172.003
2001-01-09,169.067
2001-01-10,169.052
2001-01-11,170.926
2001-01-12,171.209
2001-01-15,171.037
2001-01-16,172.096
2001-01-17,171.089
2001-01-18,174.702
2001-01-19,173.811
2001-01-22,174.323
2001-01-23,175.779
2001-01-24,173.136
2001-01-25,172.014
2001-01-26,172.936
2001-01-29,172.65
2001-01-30,174.618
2001-01-31,174.99
2001-02-01,176.365
2001-02-02,175.038
2001-02-05,175.985
2001-02-06,175.27
2001-02-07,175.151
2001-02-08,174.515
2001-02-09,174.86
2001-02-12,176.085
2001-02-13,173.837
2001-02-14,172.088
2001-02-15,169.046
2001-02-16,170.92
2001-02-19,172.18
2001-02-20,170.262
2001-02-21,169.83
2001-02-22,167.185
2001-02-23,166.748
2001-02-26,167.414
2001-02-27,169.178
2001-02-28,169.023
2001-03-01,169.844
2001-03-02,170.757
2001-03-05,169.723
2001-03-06,170.548
2001-03-07,170.894
2001-03-08,172.664
2001-03-09,172.372
2001-03-12,170.962
2001-03-13,166.125
2001-03-14,162.545
2001-03-15,161.581
2001-03-16,159.979
2001-03-19,156.894
2001-03-20,157.199
2001-03-21,154.564
2001-03-22,147.382
2001-03-23,148.705
2001-03-26,150.672
2001-03-27,150.34
2001-03-28,148.156
2001-03-29,146.658
2001-03-30,147.803
2001-04-02,147.329
2001-04-03,147.003
2001-04-04,147.764
2001-04-05,147.612
2001-04-06,151.319
2001-04-09,151.152
2001-04-10,149.597
2001-04-11,149.726
2001-04-12,150.212
2001-04-13,150.212
2001-04-16,150.409
2001-04-17,150.23
2001-04-18,150.069
2001-04-19,153.726
2001-04-20,157.2
2001-04-23,154.942
2001-04-24,155.431
2001-04-25,156.389
2001-04-26,158.408
2001-04-27,158.408
2001-04-30,159.63
2001-05-01,161.016
2001-05-02,160.653
2001-05-03,161.576
2001-05-04,161.836
2001-05-07,162.827
2001-05-08,161.505
2001-05-09,160.819
2001-05-10,161.403
2001-05-11,160.115
2001-05-14,160.269
2001-05-15,161.661
2001-05-16,161.669
2001-05-17,161.391
2001-05-18,160.092
2001-05-21,161.492
2001-05-22,161.304
2001-05-23,161.671
2001-05-24,161.075
2001-05-25,160.834
2001-05-28,161.754
2001-05-29,159.693
2001-05-30,159.84
2001-05-31,158.211
2001-06-01,157.093
2001-06-04,157.311
2001-06-05,157.371
2001-06-06,157.709
2001-06-07,157.576
2001-06-08,157.339
2001-06-11,154.26
2001-06-12,154.901
2001-06-13,155.255
2001-06-14,155.814
2001-06-15,154.133
2001-06-18,153.859
2001-06-19,151.617
2001-06-20,150.598
2001-06-21,150.67
2001-06-22,151.346
2001-06-25,151.336
2001-06-26,151.756
2001-06-27,151.797
2001-06-28,149.671
2001-06-29,149.938
2001-07-02,151.172
2001-07-03,153.391
2001-07-04,153.65
2001-07-05,152.139
2001-07-06,151.069
2001-07-09,151.282
2001-07-10,153.466
2001-07-11,153.888
2001-07-12,151.892
2001-07-13,152.01
2001-07-16,152.674
2001-07-17,151.031
2001-07-18,154.408
2001-07-19,154.358
2001-07-20,154.887
2001-07-23,153.272
2001-07-24,154.314
2001-07-25,154.247
2001-07-26,153.567
2001-07-27,152.917
2001-07-30,153.241
2001-07-31,152.8
2001-08-01,154.461
2001-08-02,154.665
2001-08-03,154.883
2001-08-06,153.19
2001-08-07,152.679
2001-08-08,152.113
2001-08-09,151.722
2001-08-10,152.799
2001-08-13,153.849
2001-08-14,155.112
2001-08-15,157.055
2001-08-16,156.066
2001-08-17,157.118
2001-08-20,156.48
2001-08-21,156.092
2001-08-22,156.968
2001-08-23,155.308
2001-08-24,154.772
2001-08-27,155.466
2001-08-28,154.343
2001-08-29,154.627
2001-08-30,151.117
2001-08-31,149.435
2001-09-03,148.129
2001-09-04,145.524
2001-09-05,146.03
2001-09-06,147.32
2001-09-07,148.931
2001-09-10,147.391
2001-09-11,146.223
2001-09-12,146.208
2001-09-13,147.166
2001-09-14,148.42
2001-09-17,146.127
2001-09-18,145.606
2001-09-19,148.072
2001-09-20,143.841
2001-09-21,137.027
2001-09-24,139.148
2001-09-25,138.894
2001-09-26,140.211
2001-09-27,140.365
2001-09-28,141.281
2001-10-01,141.966
2001-10-02,145.278
2001-10-03,145.837
2001-10-04,147.162
2001-10-05,148.919
2001-10-08,148.171
2001-10-09,148.836
2001-10-10,148.111
2001-10-11,148.279
2001-10-12,147.424
2001-10-15,147.419
2001-10-16,146.418
2001-10-17,146.822
2001-10-18,145.802
2001-10-19,143.829
2001-10-22,143.723
2001-10-23,143.389
2001-10-24,143.564
2001-10-25,143.988
2001-10-26,143.442
2001-10-29,144.326
2001-10-30,143.649
2001-10-31,142.306
2001-11-01,143.248
2001-11-02,142.459
2001-11-05,140.573
2001-11-06,139.652
2001-11-07,140.131
2001-11-08,138.227
2001-11-09,138.593
2001-11-12,136.222
2001-11-13,135.479
2001-11-14,136.179
2001-11-15,136.861
2001-11-16,137.647
2001-11-19,137.189
2001-11-20,137.21
2001-11-21,135.08
2001-11-22,135.521
2001-11-23,136.217
2001-11-26,135.946
2001-11-27,136.236
2001-11-28,136.822
2001-11-29,136.006
2001-11-30,137.526
2001-12-03,136.615
2001-12-04,136.508
2001-12-05,136.582
2001-12-06,137.456
2001-12-07,136.837
2001-12-10,135.513
2001-12-11,135.212
2001-12-12,136.837
2001-12-13,136.969
2001-12-14,138.466
2001-12-17,139.367
2001-12-18,138.525
2001-12-19,138.185
2001-12-20,139.091
2001-12-21,138.757
2001-12-24,137.409
2001-12-25,137.409
2001-12-26,137.523
2001-12-27,140.627
2001-12-28,139.691
2001-12-31,141.058
2002-01-01,141.058
2002-01-02,143.352
2002-01-03,143.441
2002-01-04,142.555
2002-01-07,142.055
2002-01-08,140.925
2002-01-09,141.149
2002-01-10,141.911
