Date,DENMARK SMID VALUE SMID (Small+Mid Cap)
1994-05-31,101.698
1994-06-30,106.882
1994-07-29,110.749
1994-08-31,108.035
1994-09-30,108.157
1994-10-31,111.181
1994-11-30,105.562
1994-12-30,108.191
1995-01-31,112.934
1995-02-28,116.074
1995-03-31,116.825
1995-04-28,121.107
1995-05-31,125.727
1995-06-30,125.716
1995-07-31,133.423
1995-08-31,124.707
1995-09-29,123.884
1995-10-31,122.786
1995-11-30,121.738
1995-12-29,123.424
1996-01-31,125.233
1996-02-29,124.512
1996-03-29,120.013
1996-04-30,120.414
1996-05-31,122.095
1996-06-28,125.372
1996-07-31,127.608
1996-08-30,133.434
1996-09-30,136.468
1996-10-31,140.347
1996-11-29,142.446
1996-12-31,145.532
1997-01-31,150.058
1997-02-28,151.355
1997-03-31,152.891
1997-04-30,148.181
1997-05-30,156.37
1997-06-30,160.863
1997-07-31,165.246
1997-08-29,159.515
1997-09-30,167.199
1997-10-31,172.419
1997-11-28,169.961
1997-12-31,172.734
1998-01-30,177.105
1998-02-27,175.688
1998-03-31,184.965
1998-04-30,186.033
1998-05-29,186.214
1998-06-30,184.92
1998-07-31,188.415
1998-08-31,163.502
1998-09-30,155.732
1998-10-30,158.975
1998-11-30,152.911
1998-12-31,155.994
1999-01-29,154.823
1999-02-26,145.563
1999-03-31,138.557
1999-04-30,140.827
1999-05-31,143.163
1999-06-30,139.504
1999-07-30,142.184
1999-08-31,139.737
1999-09-30,141.21
1999-10-29,147.414
1999-11-30,143.872
1999-12-31,140.635
2000-01-31,129.604
2000-02-29,128.613
2000-03-31,136.727
2000-04-28,130.497
2000-05-31,135.569
2000-06-30,135.623
2000-07-31,141.573
2000-08-31,138.585
2000-09-29,144.876
2000-10-31,160.571
2000-11-30,163.378
2000-12-29,174.202
2001-01-31,182.986
2001-02-28,176.747
2001-03-30,154.507
2001-04-30,166.7
2001-05-31,164.798
2001-06-29,156.169
2001-07-31,159.144
2001-08-31,155.639
2001-09-28,146.951
2001-10-31,148.017
2001-11-30,143.045
2001-12-31,146.719
2002-01-31,150.951
2002-02-28,151.712
2002-03-29,151.336
2002-04-30,164.782
2002-05-31,179.33
2002-06-28,184.424
2002-07-31,170.865
2002-08-30,178.823
2002-09-30,158.733
2002-10-31,156.739
2002-11-29,170.424
2002-12-31,175.813
2003-01-31,179.612
2003-02-28,171.628
2003-03-31,178.018
2003-04-30,200.365
2003-05-30,226.082
2003-06-30,233.999
2003-07-31,227.618
2003-08-29,239.094
2003-09-30,247.789
2003-10-31,262.788
2003-11-28,270.525
2003-12-31,294.167
2004-01-30,322.334
2004-02-27,326.982
2004-03-31,315.879
2004-04-30,301.986
2004-05-31,305.124
2004-06-30,313.174
2004-07-30,310.142
2004-08-31,321.784
2004-09-30,334.784
2004-10-29,351.068
2004-11-30,397.101
2004-12-31,411.586
2005-01-31,407.044
2005-02-28,439.211
2005-03-31,434.378
2005-04-29,434.465
2005-05-31,451.331
2005-06-30,450.73
2005-07-29,472.237
2005-08-31,510.914
2005-09-30,522.639
2005-10-31,517.231
2005-11-30,545.176
2005-12-30,562.304
2006-01-31,595.066
2006-02-28,596.109
2006-03-31,639.573
2006-04-28,700.171
2006-05-31,686.5
2006-06-30,665.694
2006-07-31,668.008
2006-08-31,693.085
2006-09-29,701.345
2006-10-31,749.52
2006-11-30,842.664
2006-12-29,873.24
2007-01-31,892.01
2007-02-28,892.738
2007-03-30,930.809
2007-04-30,1001.469
2007-05-31,1000.0
2007-06-29,951.299
2007-07-31,978.936
2007-08-31,948.337
2007-09-28,971.905
2007-10-31,1008.464
2007-11-30,899.895
2007-12-31,860.915
2008-01-31,748.572
2008-02-29,805.485
2008-03-31,842.92
2008-04-30,834.173
2008-05-30,847.969
2008-06-30,738.302
2008-07-31,721.075
2008-08-29,692.752
