Date,DENMARK SMID VALUE SMID (Small+Mid Cap)
2001-01-01,174.202
2001-01-02,177.555
2001-01-03,177.345
2001-01-04,178.46
2001-01-05,180.482
2001-01-08,179.863
2001-01-09,176.793
2001-01-10,176.777
2001-01-11,178.736
2001-01-12,179.033
2001-01-15,178.852
2001-01-16,179.96
2001-01-17,178.906
2001-01-18,182.685
2001-01-19,181.754
2001-01-22,182.288
2001-01-23,183.811
2001-01-24,181.047
2001-01-25,179.873
2001-01-26,180.838
2001-01-29,180.539
2001-01-30,182.597
2001-01-31,182.986
2001-02-01,184.424
2001-02-02,183.036
2001-02-05,184.026
2001-02-06,183.279
2001-02-07,183.154
2001-02-08,182.49
2001-02-09,182.85
2001-02-12,184.131
2001-02-13,181.78
2001-02-14,179.952
2001-02-15,176.77
2001-02-16,178.73
2001-02-19,180.048
2001-02-20,178.042
2001-02-21,177.59
2001-02-22,174.825
2001-02-23,174.367
2001-02-26,175.063
2001-02-27,176.909
2001-02-28,176.747
2001-03-01,177.605
2001-03-02,178.559
2001-03-05,177.478
2001-03-06,178.341
2001-03-07,178.703
2001-03-08,180.553
2001-03-09,180.19
2001-03-12,178.717
2001-03-13,173.66
2001-03-14,169.918
2001-03-15,168.91
2001-03-16,167.236
2001-03-19,164.011
2001-03-20,164.329
2001-03-21,161.574
2001-03-22,154.067
2001-03-23,155.45
2001-03-26,157.506
2001-03-27,157.159
2001-03-28,154.876
2001-03-29,153.31
2001-03-30,154.507
2001-04-02,154.012
2001-04-03,153.671
2001-04-04,154.467
2001-04-05,154.308
2001-04-06,158.182
2001-04-09,158.008
2001-04-10,156.382
2001-04-11,156.517
2001-04-12,157.026
2001-04-13,157.026
2001-04-16,157.231
2001-04-17,157.044
2001-04-18,156.875
2001-04-19,160.603
2001-04-20,164.233
2001-04-23,161.874
2001-04-24,162.384
2001-04-25,163.371
2001-04-26,165.48
2001-04-27,165.451
2001-04-30,166.7
2001-05-01,168.148
2001-05-02,167.68
2001-05-03,168.594
2001-05-04,168.865
2001-05-07,169.9
2001-05-08,168.521
2001-05-09,167.805
2001-05-10,168.414
2001-05-11,167.07
2001-05-14,167.087
2001-05-15,168.531
2001-05-16,168.539
2001-05-17,168.25
2001-05-18,166.895
2001-05-21,168.355
2001-05-22,168.12
2001-05-23,168.435
2001-05-24,167.813
2001-05-25,167.562
2001-05-28,168.522
2001-05-29,166.373
2001-05-30,166.495
2001-05-31,164.798
2001-06-01,163.633
2001-06-04,163.86
2001-06-05,163.923
2001-06-06,164.275
2001-06-07,164.136
2001-06-08,163.89
2001-06-11,160.682
2001-06-12,161.35
2001-06-13,161.719
2001-06-14,162.301
2001-06-15,160.538
2001-06-18,160.253
2001-06-19,157.919
2001-06-20,156.856
2001-06-21,156.932
2001-06-22,157.636
2001-06-25,157.626
2001-06-26,158.063
2001-06-27,158.106
2001-06-28,155.891
2001-06-29,156.169
2001-07-02,157.455
2001-07-03,159.766
2001-07-04,160.035
2001-07-05,158.462
2001-07-06,157.348
2001-07-09,157.569
2001-07-10,159.844
2001-07-11,160.277
2001-07-12,158.198
2001-07-13,158.321
2001-07-16,159.013
2001-07-17,157.302
2001-07-18,160.818
2001-07-19,160.767
2001-07-20,161.318
2001-07-23,159.636
2001-07-24,160.72
2001-07-25,160.651
2001-07-26,159.943
2001-07-27,159.266
2001-07-30,159.603
2001-07-31,159.144
2001-08-01,160.874
2001-08-02,161.087
2001-08-03,161.314
2001-08-06,159.55
2001-08-07,159.018
2001-08-08,158.428
2001-08-09,158.021
2001-08-10,159.142
2001-08-13,160.236
2001-08-14,161.552
2001-08-15,163.576
2001-08-16,162.545
2001-08-17,163.641
2001-08-20,162.977
2001-08-21,162.572
2001-08-22,163.485
2001-08-23,161.756
2001-08-24,161.198
2001-08-27,161.921
2001-08-28,160.751
2001-08-29,161.047
2001-08-30,157.391
2001-08-31,155.639
2001-09-03,154.279
2001-09-04,151.566
2001-09-05,152.093
2001-09-06,153.436
2001-09-07,154.972
2001-09-10,153.37
2001-09-11,152.155
2001-09-12,152.139
2001-09-13,153.136
2001-09-14,154.441
2001-09-17,152.054
2001-09-18,151.512
2001-09-19,154.079
2001-09-20,149.676
2001-09-21,142.585
2001-09-24,144.793
2001-09-25,144.469
2001-09-26,145.838
2001-09-27,145.998
2001-09-28,146.951
2001-10-01,147.664
2001-10-02,151.109
2001-10-03,151.69
2001-10-04,153.069
2001-10-05,154.896
2001-10-08,154.117
2001-10-09,154.809
2001-10-10,154.055
2001-10-11,154.229
2001-10-12,153.341
2001-10-15,153.336
2001-10-16,152.294
2001-10-17,152.715
2001-10-18,151.654
2001-10-19,149.602
2001-10-22,149.491
2001-10-23,149.143
2001-10-24,149.325
2001-10-25,149.767
2001-10-26,149.199
2001-10-29,150.119
2001-10-30,149.414
2001-10-31,148.017
2001-11-01,148.997
2001-11-02,148.176
2001-11-05,146.215
2001-11-06,145.257
2001-11-07,145.755
2001-11-08,143.775
2001-11-09,144.155
2001-11-12,141.689
2001-11-13,140.916
2001-11-14,141.644
2001-11-15,142.354
2001-11-16,143.171
2001-11-19,142.695
2001-11-20,142.716
2001-11-21,140.501
2001-11-22,140.96
2001-11-23,141.683
2001-11-26,141.402
2001-11-27,141.704
2001-11-28,142.313
2001-11-29,141.464
2001-11-30,143.045
2001-12-03,142.098
2001-12-04,141.987
2001-12-05,142.063
2001-12-06,142.973
2001-12-07,142.329
2001-12-10,140.952
2001-12-11,140.639
2001-12-12,142.329
2001-12-13,142.466
2001-12-14,144.023
2001-12-17,144.96
2001-12-18,144.085
2001-12-19,143.731
2001-12-20,144.673
2001-12-21,144.325
2001-12-24,142.923
2001-12-25,142.923
2001-12-26,143.042
2001-12-27,146.271
2001-12-28,145.297
2001-12-31,146.719
2002-01-01,146.719
2002-01-02,149.106
2002-01-03,149.198
2002-01-04,148.276
2002-01-07,147.756
2002-01-08,146.581
2002-01-09,146.814
2002-01-10,147.607
2002-01-11,148.326
2002-01-14,148.5
2002-01-15,147.876
2002-01-16,146.048
2002-01-17,145.996
2002-01-18,146.941
2002-01-21,147.87
2002-01-22,149.372
2002-01-23,150.049
2002-01-24,149.572
2002-01-25,147.213
2002-01-28,149.938
2002-01-29,150.034
2002-01-30,149.868
2002-01-31,150.951
2002-02-01,152.481
2002-02-04,154.449
2002-02-05,153.069
2002-02-06,153.775
2002-02-07,154.586
2002-02-08,154.88
2002-02-11,155.646
2002-02-12,154.088
2002-02-13,152.605
2002-02-14,150.985
2002-02-15,152.411
2002-02-18,151.23
2002-02-19,151.051
2002-02-20,149.554
2002-02-21,149.505
2002-02-22,150.465
2002-02-25,150.725
2002-02-26,151.11
2002-02-27,151.09
2002-02-28,151.712
2002-03-01,150.935
2002-03-04,151.395
2002-03-05,150.921
2002-03-06,152.066
2002-03-07,152.183
2002-03-08,151.689
2002-03-11,151.422
2002-03-12,150.109
2002-03-13,150.132
2002-03-14,151.073
2002-03-15,151.186
2002-03-18,151.867
2002-03-19,151.732
2002-03-20,149.622
2002-03-21,148.211
2002-03-22,150.983
2002-03-25,150.851
2002-03-26,151.42
2002-03-27,151.409
2002-03-28,151.336
2002-03-29,151.336
2002-04-01,152.582
2002-04-02,152.396
2002-04-03,152.014
2002-04-04,152.39
2002-04-05,152.325
2002-04-08,152.072
2002-04-09,151.778
2002-04-10,152.01
2002-04-11,152.694
2002-04-12,154.213
2002-04-15,154.21
2002-04-16,155.458
2002-04-17,158.493
2002-04-18,159.615
2002-04-19,159.817
2002-04-22,160.302
2002-04-23,161.657
2002-04-24,163.901
2002-04-25,164.06
2002-04-26,164.059
2002-04-29,163.732
2002-04-30,164.782
2002-05-01,165.458
2002-05-02,164.926
2002-05-03,166.44
2002-05-06,166.316
2002-05-07,166.925
2002-05-08,172.107
2002-05-09,172.07
2002-05-10,172.836
2002-05-13,172.937
2002-05-14,170.664
2002-05-15,173.282
2002-05-16,173.866
2002-05-17,178.361
2002-05-20,178.42
2002-05-21,175.106
2002-05-22,174.959
2002-05-23,175.059
2002-05-24,175.444
2002-05-27,175.93
2002-05-28,176.378
2002-05-29,176.032
2002-05-30,178.388
2002-05-31,179.33
2002-06-03,181.171
2002-06-04,180.355
2002-06-05,179.223
2002-06-06,184.232
2002-06-07,181.566
2002-06-10,182.983
2002-06-11,183.03
2002-06-12,182.6
2002-06-13,182.172
2002-06-14,180.103
2002-06-17,181.776
2002-06-18,184.097
2002-06-19,181.635
2002-06-20,180.18
2002-06-21,178.267
2002-06-24,175.946
2002-06-25,176.57
2002-06-26,176.998
2002-06-27,180.309
2002-06-28,184.424
2002-07-01,186.584
2002-07-02,183.472
2002-07-03,178.718
2002-07-04,180.311
2002-07-05,183.385
2002-07-08,186.934
2002-07-09,184.983
2002-07-10,182.662
2002-07-11,182.688
2002-07-12,185.646
2002-07-15,187.41
2002-07-16,186.748
2002-07-17,187.303
2002-07-18,188.298
2002-07-19,187.869
2002-07-22,182.505
2002-07-23,177.122
2002-07-24,168.535
2002-07-25,171.731
2002-07-26,168.818
2002-07-29,172.809
2002-07-30,173.502
2002-07-31,170.865
2002-08-01,174.165
2002-08-02,174.085
2002-08-05,172.649
2002-08-06,168.011
2002-08-07,169.993
2002-08-08,170.925
2002-08-09,171.207
2002-08-12,172.76
2002-08-13,175.262
2002-08-14,175.797
2002-08-15,176.726
2002-08-16,173.889
2002-08-19,176.351
2002-08-20,176.907
2002-08-21,179.696
2002-08-22,182.604
2002-08-23,178.761
2002-08-26,178.724
2002-08-27,180.257
2002-08-28,179.797
2002-08-29,180.891
2002-08-30,178.823
2002-09-02,178.187
2002-09-03,176.207
2002-09-04,175.234
2002-09-05,174.275
2002-09-06,176.21
2002-09-09,174.036
2002-09-10,174.15
2002-09-11,176.296
2002-09-12,176.22
2002-09-13,175.828
2002-09-16,173.469
2002-09-17,173.506
2002-09-18,168.032
2002-09-19,169.647
2002-09-20,168.817
2002-09-23,164.961
2002-09-24,161.194
2002-09-25,159.929
2002-09-26,158.367
2002-09-27,161.436
2002-09-30,158.733
2002-10-01,157.55
2002-10-02,159.564
2002-10-03,157.677
2002-10-04,156.214
2002-10-07,154.31
2002-10-08,152.595
2002-10-09,151.827
2002-10-10,150.179
2002-10-11,156.175
2002-10-14,157.248
2002-10-15,164.005
2002-10-16,160.368
2002-10-17,157.661
2002-10-18,155.119
2002-10-21,153.758
2002-10-22,158.274
2002-10-23,153.931
2002-10-24,154.899
2002-10-25,155.299
2002-10-28,158.638
2002-10-29,155.19
2002-10-30,155.989
2002-10-31,156.739
2002-11-01,156.624
2002-11-04,163.91
2002-11-05,166.721
2002-11-06,166.069
2002-11-07,163.72
2002-11-08,164.925
2002-11-11,165.35
2002-11-12,167.654
2002-11-13,167.534
2002-11-14,170.833
2002-11-15,169.08
2002-11-18,172.253
2002-11-19,170.246
2002-11-20,170.176
2002-11-21,170.966
2002-11-22,172.334
2002-11-25,170.466
2002-11-26,168.539
2002-11-27,169.057
2002-11-28,169.893
2002-11-29,170.424
2002-12-02,168.571
2002-12-03,167.458
2002-12-04,166.612
2002-12-05,166.321
2002-12-06,166.154
2002-12-09,164.208
2002-12-10,165.84
2002-12-11,166.695
2002-12-12,169.413
2002-12-13,169.422
2002-12-16,169.392
2002-12-17,173.276
2002-12-18,169.77
2002-12-19,169.775
2002-12-20,173.313
2002-12-23,173.378
2002-12-24,174.105
2002-12-25,174.105
2002-12-26,174.537
2002-12-27,175.276
2002-12-30,175.163
2002-12-31,175.813
2003-01-01,175.813
2003-01-02,178.616
2003-01-03,180.589
2003-01-06,184.114
2003-01-07,180.929
2003-01-08,178.891
2003-01-09,182.382
2003-01-10,184.55
2003-01-13,186.056
2003-01-14,188.998
2003-01-15,185.99
2003-01-16,185.831
2003-01-17,186.052
2003-01-20,187.33
2003-01-21,187.716
2003-01-22,188.6
2003-01-23,189.904
2003-01-24,191.17
2003-01-27,186.225
2003-01-28,185.083
2003-01-29,182.06
2003-01-30,181.885
2003-01-31,179.612
2003-02-03,179.302
2003-02-04,180.31
2003-02-05,179.948
2003-02-06,181.245
2003-02-07,178.61
2003-02-10,176.655
2003-02-11,178.206
2003-02-12,177.688
2003-02-13,180.08
2003-02-14,181.086
2003-02-17,181.512
2003-02-18,180.666
2003-02-19,180.081
2003-02-20,176.423
2003-02-21,176.827
2003-02-24,177.485
2003-02-25,174.101
2003-02-26,170.236
2003-02-27,170.584
2003-02-28,171.628
2003-03-03,173.685
2003-03-04,171.453
2003-03-05,171.698
2003-03-06,169.418
2003-03-07,170.61
2003-03-10,171.635
2003-03-11,168.895
2003-03-12,167.641
2003-03-13,167.424
2003-03-14,171.76
2003-03-17,173.725
2003-03-18,172.602
2003-03-19,173.635
2003-03-20,174.289
2003-03-21,175.565
2003-03-24,175.129
2003-03-25,176.296
2003-03-26,177.326
2003-03-27,177.107
2003-03-28,177.646
2003-03-31,178.018
2003-04-01,180.462
2003-04-02,183.36
2003-04-03,182.916
2003-04-04,183.843
2003-04-07,186.316
2003-04-08,185.251
2003-04-09,186.149
2003-04-10,187.504
2003-04-11,187.529
2003-04-14,189.881
2003-04-15,192.345
2003-04-16,194.237
2003-04-17,195.169
2003-04-18,195.169
2003-04-21,194.335
2003-04-22,195.04
2003-04-23,197.198
2003-04-24,197.326
2003-04-25,195.443
2003-04-28,196.729
2003-04-29,197.618
2003-04-30,200.365
2003-05-01,201.261
2003-05-02,202.289
2003-05-05,204.706
2003-05-06,204.327
2003-05-07,203.49
2003-05-08,208.872
2003-05-09,208.758
2003-05-12,211.279
2003-05-13,211.407
2003-05-14,212.419
2003-05-15,216.251
2003-05-16,217.668
2003-05-19,218.147
2003-05-20,221.007
2003-05-21,221.511
2003-05-22,221.743
2003-05-23,224.307
2003-05-26,224.959
2003-05-27,224.213
2003-05-28,224.234
2003-05-29,225.896
2003-05-30,226.082
2003-06-02,229.406
2003-06-03,227.143
2003-06-04,226.288
2003-06-05,229.579
2003-06-06,233.833
2003-06-09,235.094
2003-06-10,232.17
2003-06-11,236.27
2003-06-12,235.766
2003-06-13,235.683
2003-06-16,238.098
2003-06-17,236.428
2003-06-18,232.649
2003-06-19,231.684
2003-06-20,234.647
2003-06-23,231.046
2003-06-24,230.181
2003-06-25,232.939
2003-06-26,230.657
2003-06-27,233.946
2003-06-30,233.999
2003-07-01,235.842
2003-07-02,234.636
2003-07-03,235.202
2003-07-04,234.388
2003-07-07,234.127
2003-07-08,231.3
2003-07-09,230.931
2003-07-10,229.412
2003-07-11,229.344
2003-07-14,230.288
