Date,FRANCE MID GROWTH Mid Cap
1994-05-31,223.152
1994-06-30,215.299
1994-07-29,230.431
1994-08-31,234.8
1994-09-30,229.331
1994-10-31,232.198
1994-11-30,223.874
1994-12-30,221.626
1995-01-31,218.604
1995-02-28,226.519
1995-03-31,251.789
1995-04-28,252.34
1995-05-31,259.108
1995-06-30,262.438
1995-07-31,268.8
1995-08-31,253.546
1995-09-29,266.878
1995-10-31,263.965
1995-11-30,249.835
1995-12-29,255.876
1996-01-31,273.482
1996-02-29,293.85
1996-03-29,305.737
1996-04-30,310.688
1996-05-31,316.369
1996-06-28,333.717
1996-07-31,331.942
1996-08-30,327.134
1996-09-30,324.295
1996-10-31,333.401
1996-11-29,336.6
1996-12-31,344.684
1997-01-31,346.046
1997-02-28,347.118
1997-03-31,354.361
1997-04-30,337.677
1997-05-30,331.685
1997-06-30,352.687
1997-07-31,348.044
1997-08-29,332.999
1997-09-30,341.82
1997-10-31,325.44
1997-11-28,333.744
1997-12-31,342.396
1998-01-30,350.643
1998-02-27,383.097
1998-03-31,412.008
1998-04-30,431.237
1998-05-29,465.963
1998-06-30,467.464
1998-07-31,465.063
1998-08-31,427.978
1998-09-30,396.216
1998-10-30,428.075
1998-11-30,436.301
1998-12-31,461.487
1999-01-29,459.468
1999-02-26,425.11
1999-03-31,426.472
1999-04-30,448.768
1999-05-31,464.002
1999-06-30,468.498
1999-07-30,469.089
1999-08-31,485.346
1999-09-30,501.355
1999-10-29,515.646
1999-11-30,567.976
1999-12-31,697.715
2000-01-31,683.452
2000-02-29,822.044
2000-03-31,799.332
2000-04-28,716.257
2000-05-31,692.491
2000-06-30,707.988
2000-07-31,686.76
2000-08-31,715.327
2000-09-29,622.29
2000-10-31,571.84
2000-11-30,529.934
2000-12-29,579.603
2001-01-31,593.046
2001-02-28,543.801
2001-03-30,469.672
2001-04-30,506.087
2001-05-31,464.1
2001-06-29,422.452
2001-07-31,442.157
2001-08-31,437.506
2001-09-28,358.248
2001-10-31,396.193
2001-11-30,410.014
2001-12-31,420.435
2002-01-31,409.096
2002-02-28,407.785
2002-03-29,443.841
2002-04-30,426.602
2002-05-31,417.067
2002-06-28,385.304
2002-07-31,336.349
2002-08-30,326.257
2002-09-30,280.569
2002-10-31,317.689
2002-11-29,353.26
2002-12-31,316.666
2003-01-31,311.403
2003-02-28,295.123
2003-03-31,281.265
2003-04-30,329.784
2003-05-30,361.798
2003-06-30,367.864
2003-07-31,371.799
2003-08-29,378.144
2003-09-30,378.519
2003-10-31,407.112
2003-11-28,427.862
2003-12-31,453.401
2004-01-30,464.105
2004-02-27,476.195
2004-03-31,461.428
2004-04-30,452.475
2004-05-31,464.74
2004-06-30,479.982
2004-07-30,448.499
2004-08-31,441.647
2004-09-30,449.987
2004-10-29,470.65
2004-11-30,505.896
2004-12-31,533.393
2005-01-31,520.853
2005-02-28,538.261
2005-03-31,526.194
2005-04-29,500.115
2005-05-31,506.14
2005-06-30,514.569
2005-07-29,547.857
2005-08-31,559.658
2005-09-30,570.027
2005-10-31,545.112
2005-11-30,557.82
2005-12-30,579.502
2006-01-31,637.566
2006-02-28,637.889
2006-03-31,675.952
2006-04-28,708.283
2006-05-31,685.513
2006-06-30,699.351
2006-07-31,677.719
2006-08-31,713.775
2006-09-29,731.792
2006-10-31,761.215
2006-11-30,815.629
2006-12-29,856.564
2007-01-31,854.343
2007-02-28,879.712
2007-03-30,937.96
2007-04-30,978.028
2007-05-31,1000.0
2007-06-29,987.08
2007-07-31,967.345
2007-08-31,947.502
2007-09-28,964.002
2007-10-31,990.462
2007-11-30,937.283
2007-12-31,925.415
2008-01-31,823.981
2008-02-29,884.606
2008-03-31,903.483
2008-04-30,942.934
2008-05-30,968.862
2008-06-30,873.301
2008-07-31,834.512
2008-08-29,848.07
2008-09-30,704.367
2008-10-31,525.084
2008-11-28,500.926
2008-12-31,556.978
2009-01-30,491.903
2009-02-27,452.998
2009-03-31,479.956
2009-04-30,534.625
2009-05-29,587.714
2009-06-30,588.192
2009-07-31,648.78
2009-08-31,687.785
2009-09-30,750.915
2009-10-30,709.855
2009-11-30,708.966
2009-12-31,731.043
2010-01-29,717.59
2010-02-26,725.415
2010-03-31,770.893
2010-04-30,762.645
2010-05-31,680.867
2010-06-30,670.698
2010-07-30,730.467
2010-08-31,684.271
2010-09-30,781.5
2010-10-29,818.744
2010-11-30,757.878
2010-12-31,841.266
2011-01-31,868.079
2011-02-28,935.543
2011-03-31,974.298
2011-04-29,1040.061
2011-05-31,1015.637
2011-06-30,1028.338
2011-07-29,950.84
2011-08-31,878.495
2011-09-30,737.509
2011-10-31,810.183
2011-11-30,755.827
2011-12-30,730.372
2012-01-31,770.76
2012-02-29,847.455
2012-03-30,859.711
2012-04-30,827.818
2012-05-31,718.405
2012-06-29,779.034
2012-07-31,773.564
2012-08-31,805.905
2012-09-28,848.465
2012-10-31,846.602
2012-11-30,889.064
2012-12-31,900.233
2013-01-31,949.956
2013-02-28,954.685
2013-03-29,935.113
2013-04-30,954.426
2013-05-31,970.777
2013-06-28,931.215
2013-07-31,1008.004
2013-08-30,990.204
2013-09-30,1048.453
2013-10-31,1054.039
2013-11-29,1054.669
2013-12-31,1071.78
2014-01-31,1025.87
2014-02-28,1128.86
2014-03-31,1149.177
2014-04-30,1163.715
2014-05-30,1180.709
2014-06-30,1153.437
2014-07-31,1089.096
2014-08-29,1066.978
2014-09-30,997.058
2014-10-31,979.686
2014-11-28,1029.02
2014-12-31,1012.018
2015-01-30,1032.906
2015-02-27,1087.158
2015-03-31,1049.172
2015-04-30,1120.959
2015-05-29,1123.054
2015-06-30,1082.772
2015-07-31,1097.595
2015-08-31,1034.922
2015-09-30,1011.554
2015-10-30,1074.007
2015-11-30,1068.703
2015-12-31,1064.466
2016-01-29,1006.022
2016-02-29,972.614
2016-03-31,1076.192
2016-04-29,1090.777
2016-05-31,1093.367
2016-06-30,1018.109
2016-07-29,1090.157
2016-08-31,1094.058
2016-09-30,1116.928
2016-10-31,1062.289
2016-11-30,1026.042
