Date,FRANCE MID GROWTH Mid Cap
2001-01-01,579.603
2001-01-02,570.785
2001-01-03,540.898
2001-01-04,550.194
2001-01-05,557.014
2001-01-08,550.168
2001-01-09,545.292
2001-01-10,543.728
2001-01-11,563.445
2001-01-12,576.721
2001-01-15,570.947
2001-01-16,561.952
2001-01-17,572.269
2001-01-18,585.179
2001-01-19,595.821
2001-01-22,589.145
2001-01-23,587.828
2001-01-24,583.078
2001-01-25,580.62
2001-01-26,577.98
2001-01-29,574.308
2001-01-30,577.951
2001-01-31,593.046
2001-02-01,596.916
2001-02-02,588.353
2001-02-05,591.492
2001-02-06,593.318
2001-02-07,583.163
2001-02-08,575.546
2001-02-09,572.785
2001-02-12,574.389
2001-02-13,564.513
2001-02-14,555.219
2001-02-15,562.177
2001-02-16,560.46
2001-02-19,562.686
2001-02-20,553.028
2001-02-21,548.354
2001-02-22,539.042
2001-02-23,535.423
2001-02-26,542.841
2001-02-27,549.921
2001-02-28,543.801
2001-03-01,533.319
2001-03-02,535.686
2001-03-05,535.775
2001-03-06,551.87
2001-03-07,553.972
2001-03-08,553.046
2001-03-09,544.177
2001-03-12,526.411
2001-03-13,509.145
2001-03-14,497.3
2001-03-15,494.754
2001-03-16,483.612
2001-03-19,483.19
2001-03-20,488.105
2001-03-21,472.462
2001-03-22,440.777
2001-03-23,457.318
2001-03-26,476.678
2001-03-27,483.142
2001-03-28,474.993
2001-03-29,465.664
2001-03-30,469.672
2001-04-02,463.134
2001-04-03,443.685
2001-04-04,451.635
2001-04-05,454.104
2001-04-06,450.9
2001-04-09,453.157
2001-04-10,460.513
2001-04-11,464.866
2001-04-12,471.424
2001-04-13,471.424
2001-04-16,466.596
2001-04-17,459.4
2001-04-18,473.113
2001-04-19,491.858
2001-04-20,499.776
2001-04-23,487.546
2001-04-24,486.461
2001-04-25,486.417
2001-04-26,494.831
2001-04-27,503.19
2001-04-30,506.087
2001-05-01,508.77
2001-05-02,508.017
2001-05-03,506.683
2001-05-04,500.643
2001-05-07,505.822
2001-05-08,505.492
2001-05-09,502.807
2001-05-10,501.687
2001-05-11,497.243
2001-05-14,484.946
2001-05-15,488.568
2001-05-16,491.729
2001-05-17,490.974
2001-05-18,490.029
2001-05-21,491.871
2001-05-22,494.329
2001-05-23,491.73
2001-05-24,485.442
2001-05-25,486.797
2001-05-28,488.641
2001-05-29,482.588
2001-05-30,478.619
2001-05-31,464.1
2001-06-01,462.27
2001-06-04,462.898
2001-06-05,468.281
2001-06-06,465.927
2001-06-07,470.152
2001-06-08,467.426
2001-06-11,458.994
2001-06-12,451.698
2001-06-13,448.472
2001-06-14,441.061
2001-06-15,434.541
2001-06-18,431.27
2001-06-19,432.428
2001-06-20,422.7
2001-06-21,422.405
2001-06-22,428.702
2001-06-25,429.636
2001-06-26,423.55
2001-06-27,419.697
2001-06-28,420.82
2001-06-29,422.452
2001-07-02,425.197
2001-07-03,421.185
2001-07-04,423.835
2001-07-05,412.77
2001-07-06,405.79
2001-07-09,406.675
2001-07-10,416.429
2001-07-11,413.963
2001-07-12,415.416
2001-07-13,416.36
2001-07-16,422.134
2001-07-17,418.868
2001-07-18,424.58
2001-07-19,426.646
2001-07-20,426.209
2001-07-23,424.541
2001-07-24,426.471
2001-07-25,426.414
2001-07-26,427.92
2001-07-27,434.664
2001-07-30,440.38
2001-07-31,442.157
2001-08-01,447.761
2001-08-02,454.3
2001-08-03,450.289
2001-08-06,447.737
2001-08-07,440.233
2001-08-08,442.511
2001-08-09,441.286
2001-08-10,438.601
2001-08-13,441.721
2001-08-14,446.938
2001-08-15,451.703
2001-08-16,445.898
2001-08-17,444.88
2001-08-20,442.107
2001-08-21,447.128
2001-08-22,446.979
2001-08-23,445.194
2001-08-24,452.118
2001-08-27,449.101
2001-08-28,442.877
2001-08-29,444.973
2001-08-30,436.198
2001-08-31,437.506
2001-09-03,427.198
2001-09-04,419.764
2001-09-05,409.67
2001-09-06,398.047
2001-09-07,402.456
2001-09-10,396.527
2001-09-11,366.88
2001-09-12,365.934
2001-09-13,364.152
2001-09-14,349.168
2001-09-17,357.326
2001-09-18,355.29
2001-09-19,353.209
2001-09-20,339.11
2001-09-21,328.081
2001-09-24,339.486
2001-09-25,353.557
2001-09-26,359.833
2001-09-27,357.728
2001-09-28,358.248
2001-10-01,356.351
2001-10-02,350.915
2001-10-03,348.43
2001-10-04,354.895
2001-10-05,360.661
2001-10-08,366.512
2001-10-09,374.278
2001-10-10,380.152
2001-10-11,388.428
2001-10-12,388.634
2001-10-15,385.925
2001-10-16,390.419
2001-10-17,398.494
2001-10-18,387.104
2001-10-19,386.061
2001-10-22,386.236
2001-10-23,396.657
2001-10-24,398.25
2001-10-25,395.918
2001-10-26,400.796
2001-10-29,403.14
2001-10-30,392.548
2001-10-31,396.193
2001-11-01,397.107
2001-11-02,396.855
2001-11-05,402.509
2001-11-06,399.796
2001-11-07,402.316
2001-11-08,401.705
2001-11-09,400.955
2001-11-12,391.693
2001-11-13,397.022
2001-11-14,410.807
2001-11-15,416.494
2001-11-16,419.623
2001-11-19,425.597
2001-11-20,416.61
2001-11-21,405.657
2001-11-22,410.067
2001-11-23,407.855
2001-11-26,411.34
2001-11-27,411.578
2001-11-28,407.031
2001-11-29,406.147
2001-11-30,410.014
2001-12-03,405.455
2001-12-04,412.934
2001-12-05,429.48
2001-12-06,432.166
2001-12-07,430.256
2001-12-10,424.578
2001-12-11,424.532
2001-12-12,424.334
2001-12-13,415.247
2001-12-14,414.639
2001-12-17,420.237
2001-12-18,417.369
2001-12-19,414.667
2001-12-20,411.893
2001-12-21,409.175
2001-12-24,403.748
2001-12-25,403.748
2001-12-26,404.093
2001-12-27,411.871
2001-12-28,416.374
2001-12-31,420.435
2002-01-01,420.435
2002-01-02,424.066
2002-01-03,431.05
