Date,FRANCE MID GROWTH Mid Cap
2016-03-31,1024.579
2016-04-29,1037.946
2016-05-31,1036.893
2016-06-30,965.267
2016-07-29,1033.575
2016-08-31,1037.181
2016-09-30,1058.862
2016-10-31,1007.064
2016-11-30,972.701
2016-12-30,1007.714
2017-01-31,1044.002
2017-02-28,1057.57
2017-03-31,1121.741
2017-04-28,1192.129
2017-05-31,1265.166
2017-06-30,1242.48
2017-07-31,1283.01
2017-08-31,1299.913
2017-09-29,1366.989
2017-10-31,1384.633
2017-11-30,1390.794
2017-12-29,1397.715
2018-01-31,1495.704
2018-02-28,1393.021
2018-03-30,1380.893
2018-04-30,1409.209
2018-05-31,1376.902
2018-06-29,1360.607
2018-07-31,1379.996
2018-08-31,1347.201
2018-09-28,1323.558
2018-10-31,1174.853
2018-11-30,1131.065
2018-12-31,1060.265
2019-01-31,1134.926
2019-02-28,1193.322
2019-03-29,1185.264
2019-04-30,1258.756
2019-05-31,1175.598
2019-06-28,1277.141
2019-07-31,1275.083
2019-08-30,1243.682
2019-09-30,1240.337
2019-10-31,1292.985
2019-11-29,1327.037
2019-12-31,1362.4
2020-01-31,1355.488
2020-02-28,1267.955
2020-03-31,1032.058
2020-04-30,1134.098
2020-05-29,1190.89
2020-06-30,1270.363
2020-07-31,1355.301
2020-08-31,1427.077
2020-09-30,1359.638
2020-10-30,1294.184
2020-11-30,1496.751
2020-12-31,1538.388
2021-01-29,1525.388
2021-02-26,1509.283
2021-03-31,1511.666
2021-04-30,1581.968
2021-05-31,1626.634
2021-06-30,1632.441
2021-07-30,1667.795
2021-08-31,1710.502
2021-09-30,1602.971
2021-10-29,1642.122
2021-11-30,1580.607
2021-12-31,1668.7
2022-01-31,1482.91
2022-02-28,1460.692
2022-03-31,1480.653
2022-04-29,1405.519
2022-05-31,1392.893
2022-06-30,1248.938
2022-07-29,1335.075
2022-08-31,1232.239
2022-09-30,1090.708
2022-10-31,1199.213
2022-11-30,1262.795
2022-12-30,1258.942
2023-01-31,1369.998
2023-02-28,1364.346
2023-03-31,1363.356
2023-04-28,1397.332
2023-05-31,1301.203
2023-06-30,1366.73
2023-07-31,1371.447
