Date,BELGIUM LARGE CAP Large Cap
2001-01-01,418.155
2001-01-02,426.45
2001-01-03,409.738
2001-01-04,404.183
2001-01-05,403.296
2001-01-08,400.525
2001-01-09,398.156
2001-01-10,397.361
2001-01-11,404.387
2001-01-12,404.384
2001-01-15,399.509
2001-01-16,398.59
2001-01-17,394.704
2001-01-18,397.501
2001-01-19,391.424
2001-01-22,393.562
2001-01-23,396.428
2001-01-24,389.383
2001-01-25,388.124
2001-01-26,390.581
2001-01-29,389.35
2001-01-30,394.66
2001-01-31,397.175
2001-02-01,403.143
2001-02-02,401.389
2001-02-05,402.241
2001-02-06,398.133
2001-02-07,398.593
2001-02-08,392.954
2001-02-09,393.911
2001-02-12,397.753
2001-02-13,396.479
2001-02-14,395.527
2001-02-15,389.143
2001-02-16,392.183
2001-02-19,393.959
2001-02-20,387.466
2001-02-21,386.787
2001-02-22,380.706
2001-02-23,379.734
2001-02-26,381.925
2001-02-27,388.746
2001-02-28,391.054
2001-03-01,388.656
2001-03-02,391.097
2001-03-05,390.026
2001-03-06,393.702
2001-03-07,391.866
2001-03-08,391.851
2001-03-09,392.769
2001-03-12,387.288
2001-03-13,376.395
2001-03-14,368.698
2001-03-15,363.462
2001-03-16,351.603
2001-03-19,344.749
2001-03-20,350.321
2001-03-21,341.759
2001-03-22,327.409
2001-03-23,338.483
2001-03-26,353.309
2001-03-27,358.444
2001-03-28,348.885
2001-03-29,345.121
2001-03-30,354.366
2001-04-02,358.075
2001-04-03,356.379
2001-04-04,360.136
2001-04-05,362.247
2001-04-06,361.718
2001-04-09,369.094
2001-04-10,364.683
2001-04-11,357.952
2001-04-12,356.287
2001-04-13,356.287
2001-04-16,352.638
2001-04-17,352.297
2001-04-18,352.3
2001-04-19,360.542
2001-04-20,360.054
2001-04-23,352.644
2001-04-24,355.194
2001-04-25,358.272
2001-04-26,363.17
2001-04-27,359.951
2001-04-30,358.07
2001-05-01,359.969
2001-05-02,357.966
2001-05-03,355.243
2001-05-04,349.986
2001-05-07,350.683
2001-05-08,347.821
2001-05-09,349.706
2001-05-10,354.331
2001-05-11,352.974
2001-05-14,350.171
2001-05-15,351.186
2001-05-16,351.352
2001-05-17,351.043
2001-05-18,350.475
2001-05-21,347.152
2001-05-22,345.587
2001-05-23,347.721
2001-05-24,350.654
2001-05-25,342.597
2001-05-28,345.091
2001-05-29,340.288
2001-05-30,343.967
2001-05-31,341.818
2001-06-01,335.489
2001-06-04,335.945
2001-06-05,340.587
2001-06-06,343.561
2001-06-07,343.27
2001-06-08,342.545
2001-06-11,337.357
2001-06-12,338.702
2001-06-13,341.193
2001-06-14,342.934
2001-06-15,341.673
2001-06-18,342.665
2001-06-19,341.461
2001-06-20,343.967
2001-06-21,345.323
2001-06-22,344.98
2001-06-25,347.25
2001-06-26,346.858
2001-06-27,347.906
2001-06-28,345.602
2001-06-29,348.115
2001-07-02,351.777
2001-07-03,350.894
2001-07-04,352.845
2001-07-05,351.048
2001-07-06,352.02
2001-07-09,353.466
2001-07-10,353.798
2001-07-11,355.574
2001-07-12,356.1
2001-07-13,359.244
2001-07-16,360.615
2001-07-17,361.291
2001-07-18,369.323
2001-07-19,371.595
2001-07-20,370.798
2001-07-23,376.147
2001-07-24,376.598
2001-07-25,375.159
2001-07-26,371.048
2001-07-27,371.611
2001-07-30,365.585
2001-07-31,365.605
2001-08-01,369.294
2001-08-02,369.252
2001-08-03,369.597
2001-08-06,369.006
2001-08-07,370.101
2001-08-08,363.553
2001-08-09,365.212
2001-08-10,367.546
