Date,BELGIUM LARGE CAP Large Cap
2009-12-31,350.856
2010-01-29,341.563
2010-02-26,338.818
2010-03-31,346.431
2010-04-30,335.061
2010-05-31,313.696
2010-06-30,313.471
2010-07-30,347.976
2010-08-31,338.144
2010-09-30,377.685
2010-10-29,394.359
2010-11-30,341.168
2010-12-31,354.705
2011-01-31,358.713
2011-02-28,364.952
2011-03-31,366.461
2011-04-29,410.868
2011-05-31,388.313
2011-06-30,375.132
2011-07-29,367.914
2011-08-31,346.806
2011-09-30,326.421
2011-10-31,341.485
2011-11-30,345.057
2011-12-30,352.984
2012-01-31,357.912
2012-02-29,395.436
2012-03-30,423.006
2012-04-30,417.556
2012-05-31,387.992
2012-06-29,442.249
2012-07-31,447.489
2012-08-31,475.375
2012-09-28,483.362
2012-10-31,474.335
2012-11-30,496.387
2012-12-31,493.183
2013-01-31,496.737
2013-02-28,527.504
2013-03-29,549.439
2013-04-30,543.581
2013-05-31,528.214
2013-06-28,509.556
2013-07-31,551.127
2013-08-30,532.948
2013-09-30,572.815
2013-10-31,598.744
2013-11-29,598.158
2013-12-31,618.052
2014-01-31,572.308
2014-02-28,623.692
2014-03-31,622.524
2014-04-30,642.326
2014-05-30,658.21
2014-06-30,673.507
2014-07-31,641.451
2014-08-29,661.215
2014-09-30,651.586
2014-10-31,649.22
2014-11-28,696.305
2014-12-31,671.096
2015-01-30,705.594
2015-02-27,743.57
2015-03-31,716.097
2015-04-30,726.365
2015-05-29,728.876
2015-06-30,726.969
2015-07-31,735.04
2015-08-31,676.043
2015-09-30,653.466
2015-10-30,720.361
2015-11-30,766.087
2015-12-31,750.821
2016-01-29,744.608
2016-02-29,676.118
2016-03-31,732.73
2016-04-29,748.495
2016-05-31,763.097
2016-06-30,765.345
2016-07-29,765.538
2016-08-31,755.549
2016-09-30,783.766
2016-10-31,705.063
2016-11-30,661.654
2016-12-30,675.542
2017-01-31,673.892
2017-02-28,697.101
2017-03-31,715.453
2017-04-28,738.549
2017-05-31,776.375
2017-06-30,744.612
2017-07-31,804.864
2017-08-31,793.532
2017-09-29,806.93
2017-10-31,817.423
2017-11-30,796.668
2017-12-29,789.333
2018-01-31,826.443
2018-02-28,784.946
2018-03-30,786.716
2018-04-30,748.822
2018-05-31,704.986
2018-06-29,740.637
2018-07-31,748.24
2018-08-31,706.216
2018-09-28,678.105
2018-10-31,591.705
2018-11-30,614.603
2018-12-31,546.66
2019-01-31,612.269
2019-02-28,628.968
2019-03-29,653.574
2019-04-30,680.949
2019-05-31,633.697
2019-06-28,681.487
2019-07-31,739.564
2019-08-30,691.169
2019-09-30,704.241
2019-10-31,646.123
2019-11-29,652.362
2019-12-31,669.294
2020-01-31,644.451
2020-02-28,522.918
2020-03-31,421.166
2020-04-30,446.652
2020-05-29,458.938
2020-06-30,498.995
2020-07-31,538.194
2020-08-31,554.112
2020-09-30,514.985
2020-10-30,483.29
2020-11-30,610.54
2020-12-31,624.771
2021-01-29,591.034
2021-02-26,564.066
2021-03-31,591.788
2021-04-30,641.555
2021-05-31,680.414
2021-06-30,663.36
2021-07-30,632.294
2021-08-31,632.506
2021-09-30,615.359
2021-10-29,651.143
2021-11-30,595.73
2021-12-31,633.674
2022-01-31,627.546
2022-02-28,609.624
2022-03-31,610.45
2022-04-29,583.23
2022-05-31,553.356
2022-06-30,521.74
2022-07-29,510.913
2022-08-31,462.909
2022-09-30,442.632
2022-10-31,477.58
2022-11-30,536.44
2022-12-30,551.175
2023-01-31,569.098
2023-02-28,573.122
2023-03-31,596.47
2023-04-28,603.666
2023-05-31,540.25
2023-06-30,563.238
2023-07-31,609.874
2023-08-31,595.983
2023-09-29,573.922
2023-10-31,556.053
2023-11-30,584.297
2023-12-29,590.68
2024-01-31,587.063
2024-02-29,594.812
2024-03-29,618.531
2024-04-30,614.821
2024-05-31,636.984
2024-06-28,640.356
2024-07-31,694.436
2024-08-30,716.201
2024-09-30,752.049
2024-10-31,732.532
2024-11-29,716.872
2024-12-31,706.971
2025-01-31,718.657
2025-02-28,763.006
2025-03-31,753.822
2025-04-30,803.347
2025-05-30,822.224
2025-06-30,818.475
2025-07-31,827.838
2025-08-29,884.731
