Date,BELGIUM LARGE CAP Large Cap
2001-01-01,391.403
2001-01-02,399.167
2001-01-03,383.524
2001-01-04,378.324
2001-01-05,377.494
2001-01-08,374.901
2001-01-09,372.683
2001-01-10,371.939
2001-01-11,378.515
2001-01-12,378.512
2001-01-15,373.95
2001-01-16,373.089
2001-01-17,369.452
2001-01-18,372.07
2001-01-19,366.382
2001-01-22,368.383
2001-01-23,371.065
2001-01-24,364.471
2001-01-25,363.293
2001-01-26,365.593
2001-01-29,364.44
2001-01-30,369.411
2001-01-31,371.765
2001-02-01,377.351
2001-02-02,375.709
2001-02-05,376.507
2001-02-06,372.662
2001-02-07,373.092
2001-02-08,367.814
2001-02-09,368.71
2001-02-12,372.306
2001-02-13,371.113
2001-02-14,370.222
2001-02-15,364.247
2001-02-16,367.092
2001-02-19,368.754
2001-02-20,362.677
2001-02-21,362.042
2001-02-22,356.35
2001-02-23,355.439
2001-02-26,357.491
2001-02-27,363.875
2001-02-28,366.036
2001-03-01,363.791
2001-03-02,366.076
2001-03-05,365.073
2001-03-06,368.514
2001-03-07,366.795
2001-03-08,366.782
2001-03-09,367.64
2001-03-12,362.51
2001-03-13,352.315
2001-03-14,345.11
2001-03-15,340.209
2001-03-16,329.109
2001-03-19,322.693
2001-03-20,327.908
2001-03-21,319.894
2001-03-22,306.462
2001-03-23,316.828
2001-03-26,330.705
2001-03-27,335.511
2001-03-28,326.564
2001-03-29,323.041
2001-03-30,331.694
2001-04-02,335.166
2001-04-03,333.579
2001-04-04,337.095
2001-04-05,339.072
2001-04-06,338.576
2001-04-09,345.48
2001-04-10,341.352
2001-04-11,335.051
2001-04-12,333.493
2001-04-13,333.493
2001-04-16,330.078
2001-04-17,329.758
2001-04-18,329.761
2001-04-19,337.476
2001-04-20,337.018
2001-04-23,330.083
2001-04-24,332.469
2001-04-25,335.429
2001-04-26,340.014
2001-04-27,337.0
2001-04-30,335.606
2001-05-01,337.385
2001-05-02,335.508
2001-05-03,332.956
2001-05-04,328.029
2001-05-07,328.682
2001-05-08,325.999
2001-05-09,327.766
2001-05-10,332.101
2001-05-11,330.829
2001-05-14,328.202
2001-05-15,329.153
2001-05-16,329.309
2001-05-17,329.654
2001-05-18,329.121
2001-05-21,326.0
2001-05-22,324.531
2001-05-23,326.535
2001-05-24,329.29
2001-05-25,321.723
2001-05-28,324.065
2001-05-29,319.554
2001-05-30,323.01
2001-05-31,321.53
2001-06-01,315.577
2001-06-04,316.006
2001-06-05,320.373
2001-06-06,323.169
2001-06-07,322.896
2001-06-08,322.214
2001-06-11,317.544
2001-06-12,318.811
2001-06-13,321.155
2001-06-14,323.172
2001-06-15,321.983
2001-06-18,322.918
2001-06-19,321.784
2001-06-20,324.145
2001-06-21,325.423
2001-06-22,325.1
2001-06-25,327.239
2001-06-26,326.869
2001-06-27,327.857
2001-06-28,325.686
2001-06-29,328.054
2001-07-02,331.505
2001-07-03,330.673
2001-07-04,332.511
2001-07-05,330.818
2001-07-06,331.734
2001-07-09,333.097
2001-07-10,333.41
2001-07-11,335.083
2001-07-12,335.579
2001-07-13,338.542
2001-07-16,339.833
2001-07-17,340.471
2001-07-18,348.04
2001-07-19,350.181
2001-07-20,349.43
2001-07-23,354.47
2001-07-24,354.895
2001-07-25,353.539
2001-07-26,349.665
2001-07-27,350.196
2001-07-30,344.518
2001-07-31,344.536
2001-08-01,348.012
2001-08-02,347.973
2001-08-03,348.298
