Date,BELGIUM LARGE CAP Large Cap
1994-05-31,203.029
1994-06-30,200.856
1994-07-29,209.729
1994-08-31,211.024
1994-09-30,198.974
1994-10-31,205.92
1994-11-30,202.376
1994-12-30,204.682
1995-01-31,202.565
1995-02-28,208.136
1995-03-31,220.378
1995-04-28,235.197
1995-05-31,239.271
1995-06-30,242.163
1995-07-31,250.057
1995-08-31,235.197
1995-09-29,243.155
1995-10-31,243.255
1995-11-30,246.451
1995-12-29,261.663
1996-01-31,267.99
1996-02-29,263.68
1996-03-29,255.635
1996-04-30,260.282
1996-05-31,266.322
1996-06-28,269.329
1996-07-31,272.903
1996-08-30,275.646
1996-09-30,278.427
1996-10-31,282.405
1996-11-29,291.05
1996-12-31,292.023
1997-01-31,297.269
1997-02-28,302.647
1997-03-31,307.932
1997-04-30,310.866
1997-05-30,322.396
1997-06-30,329.083
1997-07-31,334.195
1997-08-29,308.329
1997-09-30,327.559
1997-10-31,327.691
1997-11-28,331.235
1997-12-31,339.389
1998-01-30,353.958
1998-02-27,375.867
1998-03-31,406.134
1998-04-30,443.339
1998-05-29,480.421
1998-06-30,508.83
1998-07-31,526.606
1998-08-31,474.307
1998-09-30,462.049
1998-10-30,494.178
1998-11-30,507.578
1998-12-31,567.342
1999-01-29,545.731
1999-02-26,523.742
1999-03-31,492.431
1999-04-30,472.524
1999-05-31,449.956
1999-06-30,451.277
1999-07-30,456.986
1999-08-31,484.308
1999-09-30,470.246
1999-10-29,461.946
1999-11-30,457.4
1999-12-31,474.721
2000-01-31,386.174
2000-02-29,367.289
2000-03-31,371.428
2000-04-28,357.411
2000-05-31,378.179
2000-06-30,403.283
2000-07-31,404.91
2000-08-31,395.758
2000-09-29,387.455
2000-10-31,386.475
2000-11-30,378.809
2000-12-29,418.155
2001-01-31,397.175
2001-02-28,391.054
2001-03-30,354.366
2001-04-30,358.07
2001-05-31,341.818
2001-06-29,348.115
2001-07-31,365.605
2001-08-31,374.653
2001-09-28,345.206
2001-10-31,334.678
2001-11-30,338.656
2001-12-31,354.398
2002-01-31,333.499
2002-02-28,330.967
2002-03-29,338.778
2002-04-30,363.381
2002-05-31,369.959
2002-06-28,361.597
2002-07-31,308.316
2002-08-30,317.182
2002-09-30,261.074
2002-10-31,294.51
2002-11-29,303.124
2002-12-31,307.556
2003-01-31,285.856
2003-02-28,253.6
2003-03-31,249.656
2003-04-30,297.638
2003-05-30,320.24
2003-06-30,326.169
2003-07-31,339.294
2003-08-29,322.354
2003-09-30,340.486
2003-10-31,355.024
2003-11-28,367.905
2003-12-31,397.697
2004-01-30,422.683
2004-02-27,445.2
2004-03-31,420.288
2004-04-30,421.276
2004-05-31,429.546
2004-06-30,439.123
2004-07-30,432.149
2004-08-31,451.779
2004-09-30,484.45
2004-10-29,516.641
2004-11-30,548.751
2004-12-31,586.024
2005-01-31,573.634
2005-02-28,601.539
2005-03-31,600.753
2005-04-29,581.39
2005-05-31,583.774
2005-06-30,585.893
2005-07-29,611.271
2005-08-31,619.449
2005-09-30,625.427
2005-10-31,614.515
2005-11-30,637.085
2005-12-30,671.869
2006-01-31,723.45
2006-02-28,737.491
2006-03-31,749.951
2006-04-28,791.879
2006-05-31,765.245
2006-06-30,745.092
2006-07-31,768.618
2006-08-31,809.33
2006-09-29,832.366
2006-10-31,862.939
2006-11-30,876.66
2006-12-29,913.303
2007-01-31,917.835
2007-02-28,918.491
2007-03-30,959.863
2007-04-30,1005.376
2007-05-31,1000.0
2007-06-29,992.885
2007-07-31,950.667
2007-08-31,913.779
2007-09-28,939.01
2007-10-31,995.065
2007-11-30,907.286
2007-12-31,884.946
2008-01-31,788.197
2008-02-29,808.045
2008-03-31,867.551
2008-04-30,904.261
2008-05-30,848.256
2008-06-30,652.646
2008-07-31,593.022
2008-08-29,584.18
2008-09-30,401.482
2008-10-31,220.456
2008-11-28,182.648
2008-12-31,210.7
2009-01-30,195.368
2009-02-27,183.011
2009-03-31,191.023
2009-04-30,217.994
2009-05-29,242.259
2009-06-30,245.435
2009-07-31,268.716
2009-08-31,305.866
2009-09-30,332.194
2009-10-30,327.251
2009-11-30,338.083
2009-12-31,343.944
2010-01-29,334.835
2010-02-26,332.144
2010-03-31,339.607
2010-04-30,327.112
2010-05-31,306.254
2010-06-30,306.034
2010-07-30,339.72
2010-08-31,330.122
2010-09-30,368.724
2010-10-29,385.003
2010-11-30,333.074
2010-12-31,346.149
2011-01-31,350.06
2011-02-28,356.148
2011-03-31,357.621
2011-04-29,398.724
2011-05-31,376.59
2011-06-30,363.806
2011-07-29,356.806
2011-08-31,336.336
2011-09-30,316.566
2011-10-31,331.175
2011-11-30,334.64
2011-12-30,342.183
2012-01-31,346.96
2012-02-29,383.337
2012-03-30,410.063
2012-04-30,402.151
2012-05-31,373.675
2012-06-29,425.929
2012-07-31,430.976
2012-08-31,457.833
2012-09-28,465.525
2012-10-31,456.832
2012-11-30,478.07
2012-12-31,474.753
2013-01-31,478.174
2013-02-28,507.791
2013-03-29,528.906
2013-04-30,519.69
2013-05-31,504.999
2013-06-28,487.161
2013-07-31,526.905
2013-08-30,509.524
2013-09-30,547.639
2013-10-31,572.428
2013-11-29,570.892
2013-12-31,589.736
2014-01-31,546.088
2014-02-28,595.118
2014-03-31,594.003
2014-04-30,612.041
2014-05-30,624.995
2014-06-30,639.52
2014-07-31,609.081
2014-08-29,627.848
2014-09-30,618.705
2014-10-31,616.458
2014-11-28,659.718
2014-12-31,635.707
2015-01-30,668.386
2015-02-27,704.359
2015-03-31,678.335
2015-04-30,687.839
2015-05-29,686.665
2015-06-30,684.868
2015-07-31,692.472
2015-08-31,636.892
2015-09-30,615.622
2015-10-30,678.642
2015-11-30,719.721
2015-12-31,705.265
2016-01-29,699.429
2016-02-29,635.095
2016-03-31,688.272
2016-04-29,700.081
2016-05-31,713.361
2016-06-30,715.461
2016-07-29,715.642
2016-08-31,706.304
2016-09-30,732.682
2016-10-31,659.109
2016-11-30,616.207
2016-12-30,629.02
2017-01-31,627.483
2017-02-28,649.094
2017-03-31,666.183
2017-04-28,687.16
2017-05-31,718.307
2017-06-30,688.92
2017-07-31,744.666
2017-08-31,734.181
2017-09-29,746.577
2017-10-31,756.285
2017-11-30,734.192
2017-12-29,727.432
2018-01-31,761.631
2018-02-28,723.389
2018-03-30,725.02
2018-04-30,686.576
2018-05-31,644.883
2018-06-29,677.495
2018-07-31,684.45
2018-08-31,646.008
2018-09-28,620.294
2018-10-31,541.26
2018-11-30,560.464
2018-12-31,498.506
2019-01-31,558.335
2019-02-28,573.564
2019-03-29,596.003
2019-04-30,620.16
2019-05-31,574.454
2019-06-28,617.775
2019-07-31,670.423
2019-08-30,626.553
2019-09-30,638.402
2019-10-31,585.718
2019-11-29,589.655
2019-12-31,604.959
2020-01-31,582.505
2020-02-28,472.654
2020-03-31,380.682
2020-04-30,403.718
2020-05-29,413.933
2020-06-30,449.314
2020-07-31,484.61
2020-08-31,498.943
2020-09-30,463.712
2020-10-30,435.172
2020-11-30,549.752
2020-12-31,562.567
2021-01-29,532.188
2021-02-26,507.906
2021-03-31,532.867
2021-04-30,577.336
2021-05-31,610.564
2021-06-30,595.261
2021-07-30,567.384
2021-08-31,567.574
2021-09-30,552.187
2021-10-29,584.298
2021-11-30,533.168
2021-12-31,567.127
2022-01-31,561.643
2022-02-28,545.604
2022-03-31,546.342
2022-04-29,521.69
2022-05-31,490.285
2022-06-30,462.272
2022-07-29,452.679
2022-08-31,410.147
2022-09-30,392.181
2022-10-31,423.146
2022-11-30,474.831
2022-12-30,487.874
2023-01-31,503.738
2023-02-28,507.3
2023-03-31,527.967
2023-04-28,534.082
2023-05-31,475.691
2023-06-30,495.931
2023-07-31,536.995
2023-08-31,524.764
2023-09-29,505.339
2023-10-31,489.605
2023-11-30,514.07
2023-12-29,519.686
2024-01-31,516.504
2024-02-29,523.321
2024-03-29,544.19
2024-04-30,540.654
2024-05-31,557.452
2024-06-28,560.404
2024-07-31,607.731
2024-08-30,626.778
2024-09-30,658.151
2024-10-31,641.07
2024-11-29,627.004
2024-12-31,618.344
2025-01-31,628.565
2025-02-28,667.354
