Date,AUSTRALIA LARGE CAP Large Cap
1994-05-31,177.627
1994-06-30,169.07
1994-07-29,177.0
1994-08-31,184.548
1994-09-30,175.99
1994-10-31,180.296
1994-11-30,175.032
1994-12-30,179.842
1995-01-31,168.94
1995-02-28,175.301
1995-03-31,174.766
1995-04-28,186.399
1995-05-31,182.927
1995-06-30,181.616
1995-07-31,200.552
1995-08-31,204.982
1995-09-29,205.655
1995-10-31,202.422
1995-11-30,207.046
1995-12-29,211.252
1996-01-31,217.451
1996-02-29,223.31
1996-03-29,222.533
1996-04-30,233.665
1996-05-31,231.278
1996-06-28,226.889
1996-07-31,216.635
1996-08-30,230.508
1996-09-30,233.454
1996-10-31,241.439
1996-11-29,252.104
1996-12-31,251.596
1997-01-31,243.117
1997-02-28,251.353
1997-03-31,251.979
1997-04-30,260.803
1997-05-30,267.797
1997-06-30,279.236
1997-07-31,279.134
1997-08-29,259.865
1997-09-30,277.484
1997-10-31,243.823
1997-11-28,240.244
1997-12-31,247.931
1998-01-30,263.871
1998-02-27,273.305
1998-03-31,272.69
1998-04-30,267.239
1998-05-29,255.773
1998-06-30,259.651
1998-07-31,261.969
1998-08-31,228.777
1998-09-30,245.382
1998-10-30,265.006
1998-11-30,286.954
1998-12-31,288.667
1999-01-29,311.079
1999-02-26,301.231
1999-03-31,317.471
1999-04-30,347.24
1999-05-31,316.788
1999-06-30,339.449
1999-07-30,334.765
1999-08-31,314.421
1999-09-30,316.876
1999-10-29,314.199
1999-11-30,339.447
1999-12-31,356.943
2000-01-31,346.535
2000-02-29,342.743
2000-03-31,338.888
2000-04-28,326.327
2000-05-31,313.918
2000-06-30,353.252
2000-07-31,332.188
2000-08-31,331.394
2000-09-29,316.491
2000-10-31,296.408
2000-11-30,302.24
2000-12-29,309.401
2001-01-31,324.735
2001-02-28,306.718
2001-03-30,271.82
2001-04-30,303.842
2001-05-31,304.97
2001-06-29,310.177
2001-07-31,290.151
2001-08-31,292.54
2001-09-28,257.014
2001-10-31,279.424
2001-11-30,301.717
2001-12-31,305.044
2002-01-31,304.443
2002-02-28,304.943
2002-03-29,317.936
2002-04-30,313.5
2002-05-31,329.79
2002-06-28,313.376
2002-07-31,288.904
2002-08-30,293.883
2002-09-30,276.882
2002-10-31,296.962
2002-11-29,303.965
2002-12-31,292.688
2003-01-31,296.738
2003-02-28,290.882
2003-03-31,305.774
2003-04-30,329.46
2003-05-30,341.362
2003-06-30,354.726
2003-07-31,350.728
2003-08-29,358.245
2003-09-30,368.635
2003-10-31,395.277
2003-11-28,393.96
2003-12-31,426.95
2004-01-30,427.577
2004-02-27,447.153
2004-03-31,453.052
2004-04-30,426.765
2004-05-31,430.095
2004-06-30,428.886
2004-07-30,424.214
2004-08-31,428.442
2004-09-30,456.08
2004-10-29,481.361
2004-11-30,525.043
2004-12-31,545.133
2005-01-31,549.278
