Date,AUSTRALIA LARGE CAP Large Cap
1994-05-31,204.751
1994-06-30,194.613
1994-07-29,203.687
1994-08-31,212.349
1994-09-30,202.168
1994-10-31,206.854
1994-11-30,200.601
1994-12-30,205.776
1995-01-31,193.277
1995-02-28,200.503
1995-03-31,199.427
1995-04-28,212.579
1995-05-31,208.412
1995-06-30,206.501
1995-07-31,227.99
1995-08-31,232.982
1995-09-29,233.361
1995-10-31,229.304
1995-11-30,234.313
1995-12-29,238.685
1996-01-31,245.647
1996-02-29,252.015
1996-03-29,250.805
1996-04-30,263.127
1996-05-31,260.096
1996-06-28,254.73
1996-07-31,243.218
1996-08-30,258.562
1996-09-30,261.582
1996-10-31,270.044
1996-11-29,281.91
1996-12-31,280.862
1997-01-31,271.321
1997-02-28,280.108
1997-03-31,280.562
1997-04-30,290.164
1997-05-30,297.706
1997-06-30,309.935
1997-07-31,309.798
1997-08-29,288.077
1997-09-30,307.207
1997-10-31,269.611
1997-11-28,265.363
1997-12-31,273.595
1998-01-30,291.163
1998-02-27,301.026
1998-03-31,300.12
1998-04-30,293.998
1998-05-29,281.219
1998-06-30,285.076
1998-07-31,287.603
1998-08-31,250.946
1998-09-30,268.661
1998-10-30,289.937
1998-11-30,313.617
1998-12-31,315.382
1999-01-29,339.869
1999-02-26,329.027
1999-03-31,346.329
1999-04-30,378.721
1999-05-31,345.395
1999-06-30,369.649
1999-07-30,364.548
1999-08-31,342.336
1999-09-30,344.532
1999-10-29,341.381
1999-11-30,368.458
1999-12-31,387.323
2000-01-31,376.029
2000-02-29,371.811
2000-03-31,367.146
2000-04-28,353.538
2000-05-31,339.981
2000-06-30,382.095
2000-07-31,359.311
2000-08-31,358.33
2000-09-29,341.533
2000-10-31,319.776
2000-11-30,325.518
2000-12-29,333.23
2001-01-31,349.745
2001-02-28,330.071
2001-03-30,292.054
2001-04-30,326.408
2001-05-31,327.487
2001-06-29,332.645
2001-07-31,311.167
2001-08-31,313.408
2001-09-28,274.945
2001-10-31,298.772
2001-11-30,321.976
2001-12-31,325.526
2002-01-31,324.884
2002-02-28,325.213
2002-03-29,338.443
2002-04-30,333.639
2002-05-31,350.845
2002-06-28,332.73
2002-07-31,306.746
2002-08-30,311.653
2002-09-30,293.227
2002-10-31,314.249
2002-11-29,320.914
2002-12-31,309.008
2003-01-31,313.285
2003-02-28,306.759
2003-03-31,321.923
2003-04-30,346.807
2003-05-30,359.093
2003-06-30,372.263
2003-07-31,368.068
2003-08-29,375.405
2003-09-30,385.782
2003-10-31,413.613
2003-11-28,411.014
2003-12-31,445.319
2004-01-30,445.973
2004-02-27,465.753
2004-03-31,471.233
2004-04-30,443.704
2004-05-31,446.831
2004-06-30,444.825
2004-07-30,439.954
2004-08-31,443.362
2004-09-30,471.469
2004-10-29,497.545
2004-11-30,541.267
2004-12-31,561.857
2005-01-31,566.13
2005-02-28,604.648
2005-03-31,578.252
2005-04-29,573.398
2005-05-31,574.587
2005-06-30,602.816
2005-07-29,616.22
2005-08-31,617.195
2005-09-30,663.493
2005-10-31,624.904
2005-11-30,646.051
2005-12-30,659.936
2006-01-31,711.16
2006-02-28,701.455
2006-03-31,705.163
2006-04-28,773.442
2006-05-31,729.256
2006-06-30,734.211
2006-07-31,741.008
2006-08-31,766.216
2006-09-29,747.319
2006-10-31,809.264
2006-11-30,832.629
2006-12-29,855.188
2007-01-31,861.6
2007-02-28,887.22
2007-03-30,935.864
2007-04-30,987.969
2007-05-31,1000.0
2007-06-29,1026.89
2007-07-31,1014.082
2007-08-31,1000.921
2007-09-28,1154.554
2007-10-31,1252.125
2007-11-30,1155.8
2007-12-31,1116.391
2008-01-31,1012.814
2008-02-29,1035.285
2008-03-31,980.563
2008-04-30,1064.241
2008-05-30,1089.926
2008-06-30,1022.959
2008-07-31,949.196
2008-08-29,905.108
2008-09-30,748.209
2008-10-31,566.705
2008-11-28,524.789
2008-12-31,553.429
2009-01-30,480.804
2009-02-27,471.185
2009-03-31,556.583
2009-04-30,617.11
2009-05-29,676.317
2009-06-30,713.323
2009-07-31,784.568
2009-08-31,851.391
2009-09-30,953.306
2009-10-30,955.489
2009-11-30,988.836
2009-12-31,1000.523
2010-01-29,930.847
2010-02-26,968.289
2010-03-31,1049.243
2010-04-30,1041.863
2010-05-31,868.149
2010-06-30,848.736
2010-07-30,953.324
2010-08-31,920.878
2010-09-30,1048.201
2010-10-29,1080.633
2010-11-30,1041.473
2010-12-31,1149.854
2011-01-31,1125.242
2011-02-28,1175.215
2011-03-31,1204.275
2011-04-29,1280.289
2011-05-31,1212.052
2011-06-30,1201.421
2011-07-29,1167.059
2011-08-31,1118.169
2011-09-30,958.454
2011-10-31,1122.358
2011-11-30,1046.08
2011-12-30,1030.056
2012-01-31,1121.043
2012-02-29,1150.35
2012-03-30,1117.567
2012-04-30,1141.344
2012-05-31,992.063
2012-06-29,1068.304
2012-07-31,1152.966
2012-08-31,1157.973
2012-09-28,1190.465
2012-10-31,1222.002
2012-11-30,1236.031
2012-12-31,1273.738
2013-01-31,1342.096
2013-02-28,1398.886
2013-03-29,1388.794
2013-04-30,1461.424
2013-05-31,1277.149
2013-06-28,1198.281
2013-07-31,1242.767
2013-08-30,1262.643
2013-09-30,1351.244
2013-10-31,1431.065
2013-11-29,1371.596
2013-12-31,1345.577
2014-01-31,1267.681
2014-02-28,1363.107
2014-03-31,1420.101
2014-04-30,1445.426
2014-05-30,1458.769
2014-06-30,1452.72
2014-07-31,1495.117
2014-08-29,1506.921
2014-09-30,1332.187
2014-10-31,1403.836
2014-11-28,1309.408
2014-12-31,1275.348
2015-01-30,1248.574
2015-02-27,1343.099
2015-03-31,1310.887
2015-04-30,1322.255
2015-05-29,1276.957
2015-06-30,1221.182
2015-07-31,1213.919
2015-08-31,1066.654
2015-09-30,1017.546
2015-10-30,1074.525
2015-11-30,1078.53
2015-12-31,1114.208
2016-01-29,1013.317
2016-02-29,992.867
2016-03-31,1120.152
2016-04-29,1157.406
2016-05-31,1125.623
2016-06-30,1121.001
2016-07-29,1210.965
2016-08-31,1175.403
2016-09-30,1212.765
2016-10-31,1191.631
2016-11-30,1201.056
2016-12-30,1230.346
2017-01-31,1283.038
2017-02-28,1330.788
2017-03-31,1364.85
2017-04-28,1354.949
2017-05-31,1286.124
2017-06-30,1321.435
2017-07-31,1388.83
2017-08-31,1379.209
2017-09-29,1366.15
2017-10-31,1379.723
2017-11-30,1382.436
2017-12-29,1449.463
2018-01-31,1494.49
2018-02-28,1439.812
2018-03-30,1356.808
2018-04-30,1386.238
2018-05-31,1408.48
2018-06-29,1428.69
2018-07-31,1457.323
2018-08-31,1425.876
2018-09-28,1409.842
2018-10-31,1306.984
2018-11-30,1328.446
2018-12-31,1291.952
2019-01-31,1376.244
2019-02-28,1429.061
2019-03-29,1436.718
2019-04-30,1449.734
2019-05-31,1459.632
2019-06-28,1543.079
2019-07-31,1548.812
2019-08-30,1474.012
2019-09-30,1512.323
2019-10-31,1532.3
2019-11-29,1542.942
2019-12-31,1572.634
2020-01-31,1578.127
2020-02-28,1417.42
2020-03-31,1079.136
2020-04-30,1229.025
2020-05-29,1280.371
2020-06-30,1377.242
2020-07-31,1445.689
2020-08-31,1519.766
2020-09-30,1413.542
2020-10-30,1411.316
2020-11-30,1639.025
2020-12-31,1760.336
2021-01-29,1769.115
2021-02-26,1833.656
2021-03-31,1835.961
2021-04-30,1929.343
2021-05-31,1998.63
2021-06-30,1965.482
2021-07-30,1956.926
2021-08-31,1958.032
2021-09-30,1883.41
2021-10-29,1962.7
2021-11-30,1824.405
2021-12-31,1923.483
2022-01-31,1770.876
2022-02-28,1872.857
2022-03-31,2103.298
2022-04-29,1973.47
2022-05-31,1961.566
2022-06-30,1721.199
2022-07-29,1829.008
2022-08-31,1810.788
2022-09-30,1612.02
2022-10-31,1696.418
2022-11-30,1914.726
2022-12-30,1881.729
2023-01-31,2082.129
2023-02-28,1924.084
2023-03-31,1910.384
2023-04-28,1901.173
2023-05-31,1799.645
2023-06-30,1896.835
2023-07-31,1970.867
2023-08-31,1892.616
2023-09-29,1850.176
2023-10-31,1763.455
2023-11-30,1941.058
2023-12-29,2154.369
2024-01-31,2124.627
2024-02-29,2086.104
2024-03-29,2142.061
2024-04-30,2060.777
2024-05-31,2155.589
2024-06-28,2211.726
2024-07-31,2249.297
2024-08-30,2345.888
2024-09-30,2461.05
2024-10-31,2300.979
2024-11-29,2357.03
2024-12-31,2180.254
2025-01-31,2281.16
2025-02-28,2165.017
2025-03-31,2096.131
2025-04-30,2241.885
2025-05-30,2331.272
2025-06-30,2414.387
2025-07-31,2429.763
2025-08-29,2522.662
