Date,AUSTRALIA LARGE CAP Large Cap
2001-01-01,333.23
2001-01-02,341.285
2001-01-03,340.507
2001-01-04,350.653
2001-01-05,355.739
2001-01-08,349.308
2001-01-09,345.145
2001-01-10,341.027
2001-01-11,339.803
2001-01-12,342.441
2001-01-15,343.77
2001-01-16,343.546
2001-01-17,341.64
2001-01-18,347.722
2001-01-19,350.749
2001-01-22,350.607
2001-01-23,345.733
2001-01-24,340.854
2001-01-25,344.594
2001-01-26,343.645
2001-01-29,343.503
2001-01-30,347.309
2001-01-31,349.745
2001-02-01,356.08
2001-02-02,353.655
2001-02-05,346.336
2001-02-06,347.626
2001-02-07,344.175
2001-02-08,341.082
2001-02-09,338.013
2001-02-12,341.855
2001-02-13,340.417
2001-02-14,338.163
2001-02-15,331.567
2001-02-16,336.492
2001-02-19,331.728
2001-02-20,327.374
2001-02-21,331.332
2001-02-22,327.942
2001-02-23,326.713
2001-02-26,327.788
2001-02-27,328.405
2001-02-28,330.071
2001-03-01,335.081
2001-03-02,333.771
2001-03-05,330.444
2001-03-06,326.572
2001-03-07,326.65
2001-03-08,324.763
2001-03-09,322.75
2001-03-12,322.068
2001-03-13,311.551
2001-03-14,309.601
2001-03-15,305.614
2001-03-16,306.902
2001-03-19,306.671
2001-03-20,307.849
2001-03-21,303.152
2001-03-22,298.353
2001-03-23,295.319
2001-03-26,300.345
2001-03-27,299.598
2001-03-28,298.285
2001-03-29,297.372
2001-03-30,292.054
2001-04-02,293.938
2001-04-03,293.331
2001-04-04,296.618
2001-04-05,299.672
2001-04-06,305.19
2001-04-09,302.042
2001-04-10,305.426
2001-04-11,314.257
2001-04-12,319.148
2001-04-13,319.148
2001-04-16,320.153
2001-04-17,316.461
2001-04-18,311.243
2001-04-19,324.91
2001-04-20,329.146
2001-04-23,322.339
2001-04-24,320.93
2001-04-25,321.695
2001-04-26,324.398
2001-04-27,322.147
2001-04-30,326.408
2001-05-01,329.885
2001-05-02,332.703
2001-05-03,336.332
2001-05-04,332.225
2001-05-07,333.206
2001-05-08,331.825
2001-05-09,333.363
2001-05-10,340.021
2001-05-11,336.767
2001-05-14,334.664
2001-05-15,336.228
2001-05-16,335.659
2001-05-17,343.432
2001-05-18,340.49
2001-05-21,346.588
