Date,AUSTRALIA LARGE CAP Large Cap
2001-01-01,309.401
2001-01-02,316.88
2001-01-03,316.157
2001-01-04,325.578
2001-01-05,330.3
2001-01-08,324.329
2001-01-09,320.464
2001-01-10,316.64
2001-01-11,315.503
2001-01-12,317.953
2001-01-15,319.187
2001-01-16,318.979
2001-01-17,317.209
2001-01-18,322.856
2001-01-19,325.667
2001-01-22,325.535
2001-01-23,321.01
2001-01-24,316.48
2001-01-25,319.952
2001-01-26,319.071
2001-01-29,318.939
2001-01-30,322.473
2001-01-31,324.735
2001-02-01,330.617
2001-02-02,328.365
2001-02-05,321.569
2001-02-06,322.767
2001-02-07,319.563
2001-02-08,316.691
2001-02-09,313.841
2001-02-12,317.409
2001-02-13,316.074
2001-02-14,313.981
2001-02-15,307.857
2001-02-16,312.477
2001-02-19,308.217
2001-02-20,304.172
2001-02-21,307.85
2001-02-22,304.711
2001-02-23,303.569
2001-02-26,304.596
2001-02-27,305.17
2001-02-28,306.718
2001-03-01,311.373
2001-03-02,310.156
2001-03-05,307.11
2001-03-06,303.511
2001-03-07,303.584
2001-03-08,301.831
2001-03-09,300.014
2001-03-12,299.38
2001-03-13,289.685
2001-03-14,287.872
2001-03-15,284.165
2001-03-16,285.362
2001-03-19,285.355
2001-03-20,286.451
2001-03-21,282.08
2001-03-22,277.615
2001-03-23,274.811
2001-03-26,279.488
2001-03-27,278.815
2001-03-28,277.593
2001-03-29,276.77
2001-03-30,271.82
2001-04-02,273.573
2001-04-03,273.008
2001-04-04,276.068
2001-04-05,278.941
2001-04-06,284.077
2001-04-09,281.148
2001-04-10,284.297
2001-04-11,292.518
2001-04-12,297.07
2001-04-13,297.07
2001-04-16,298.006
2001-04-17,294.569
2001-04-18,289.711
2001-04-19,302.434
2001-04-20,306.377
2001-04-23,300.053
2001-04-24,298.742
2001-04-25,299.454
2001-04-26,301.97
2001-04-27,299.875
2001-04-30,303.842
2001-05-01,307.078
2001-05-02,309.701
2001-05-03,313.079
2001-05-04,309.256
2001-05-07,310.17
2001-05-08,308.884
2001-05-09,310.316
2001-05-10,316.513
2001-05-11,313.587
2001-05-14,311.629
2001-05-15,313.085
2001-05-16,312.556
2001-05-17,319.818
2001-05-18,317.078
2001-05-21,322.757
2001-05-22,319.077
2001-05-23,315.635
2001-05-24,313.558
2001-05-25,316.577
2001-05-28,317.285
2001-05-29,313.326
2001-05-30,311.324
2001-05-31,304.97
2001-06-01,306.863
2001-06-04,310.908
2001-06-05,311.241
2001-06-06,315.107
2001-06-07,320.36
2001-06-08,324.274
2001-06-11,323.623
2001-06-12,318.619
2001-06-13,316.79
2001-06-14,320.097
2001-06-15,319.849
2001-06-18,313.823
2001-06-19,311.162
2001-06-20,312.359
2001-06-21,311.047
2001-06-22,313.32
2001-06-25,310.126
2001-06-26,313.608
2001-06-27,308.839
2001-06-28,305.65
2001-06-29,310.177
2001-07-02,307.172
2001-07-03,311.639
2001-07-04,311.697
2001-07-05,302.851
2001-07-06,294.376
2001-07-09,294.553
2001-07-10,297.787
2001-07-11,297.993
2001-07-12,297.538
2001-07-13,298.855
2001-07-16,302.637
2001-07-17,297.84
2001-07-18,301.891
2001-07-19,300.895
2001-07-20,295.182
2001-07-23,295.47
2001-07-24,293.338
2001-07-25,290.294
2001-07-26,286.467
2001-07-27,284.71
2001-07-30,287.802
2001-07-31,290.151
2001-08-01,300.98
2001-08-02,306.652
2001-08-03,305.832
2001-08-06,304.329
2001-08-07,303.924
2001-08-08,303.977
2001-08-09,302.133
2001-08-10,301.217
2001-08-13,299.555
2001-08-14,298.323
2001-08-15,303.952
2001-08-16,301.122
2001-08-17,305.247
2001-08-20,299.285
2001-08-21,302.34
2001-08-22,303.682
2001-08-23,301.554
2001-08-24,303.569
2001-08-27,305.52
2001-08-28,304.222
2001-08-29,302.925
2001-08-30,300.562
2001-08-31,292.54
2001-09-03,293.221
2001-09-04,291.555
2001-09-05,291.392
2001-09-06,289.335
2001-09-07,284.095
2001-09-10,281.727
2001-09-11,286.173
2001-09-12,270.175
2001-09-13,272.032
2001-09-14,270.851
2001-09-17,254.248
2001-09-18,254.566
2001-09-19,256.733
2001-09-20,252.123
2001-09-21,244.115
2001-09-24,245.674
2001-09-25,251.448
2001-09-26,251.459
2001-09-27,250.961
2001-09-28,257.014
2001-10-01,261.496
2001-10-02,266.131
2001-10-03,265.132
2001-10-04,265.318
2001-10-05,276.16
2001-10-08,271.606
2001-10-09,270.661
2001-10-10,268.228
2001-10-11,273.406
2001-10-12,277.778
2001-10-15,282.34
2001-10-16,283.619
2001-10-17,285.496
2001-10-18,279.337
2001-10-19,274.695
2001-10-22,275.34
2001-10-23,279.173
2001-10-24,283.855
2001-10-25,281.791
2001-10-26,281.005
2001-10-29,280.046
2001-10-30,280.737
2001-10-31,279.424
2001-11-01,281.779
2001-11-02,278.318
2001-11-05,277.96
2001-11-06,285.778
2001-11-07,283.94
2001-11-08,284.812
2001-11-09,287.787
2001-11-12,295.162
2001-11-13,293.166
2001-11-14,298.672
2001-11-15,299.428
2001-11-16,299.111
2001-11-19,299.295
2001-11-20,301.63
2001-11-21,297.978
2001-11-22,296.968
2001-11-23,299.381
2001-11-26,302.038
2001-11-27,306.643
2001-11-28,302.939
2001-11-29,299.245
2001-11-30,301.717
2001-12-03,300.22
2001-12-04,297.987
2001-12-05,301.186
2001-12-06,304.333
2001-12-07,305.179
2001-12-10,302.466
2001-12-11,301.751
2001-12-12,300.817
2001-12-13,299.45
2001-12-14,296.256
2001-12-17,296.357
2001-12-18,298.256
2001-12-19,297.059
2001-12-20,294.242
2001-12-21,297.715
2001-12-24,300.823
2001-12-25,300.823
2001-12-26,300.616
2001-12-27,302.754
2001-12-28,304.103
2001-12-31,305.044
2002-01-01,305.044
2002-01-02,307.898
2002-01-03,306.344
2002-01-04,310.895
2002-01-07,312.534
2002-01-08,312.074
2002-01-09,311.088
2002-01-10,309.818
2002-01-11,309.468
2002-01-14,307.547
2002-01-15,306.566
2002-01-16,306.329
2002-01-17,302.941
2002-01-18,302.916
2002-01-21,305.258
2002-01-22,308.797
2002-01-23,309.257
2002-01-24,309.468
2002-01-25,309.614
2002-01-28,308.745
2002-01-29,308.614
