Date,AUSTRIA MID CAP Mid Cap
1994-05-31,1000.0
1994-06-30,1106.045
1994-07-29,1127.896
1994-08-31,1213.901
1994-09-30,1164.523
1994-10-31,1196.19
1994-11-30,1152.784
1994-12-30,1163.421
1995-01-31,1133.737
1995-02-28,1178.076
1995-03-31,1179.298
1995-04-28,1191.495
1995-05-31,1289.741
1995-06-30,1364.223
1995-07-31,1385.249
1995-08-31,1273.042
1995-09-29,1279.078
1995-10-31,1231.206
1995-11-30,1250.785
1995-12-29,1284.342
1996-01-31,1366.045
1996-02-29,1360.872
1996-03-29,1361.732
1996-04-30,1383.71
1996-05-31,1423.729
1996-06-28,1386.312
1996-07-31,1359.626
1996-08-30,1368.208
1996-09-30,1307.657
1996-10-31,1315.483
1996-11-29,1361.593
1996-12-31,1411.73
1997-01-31,1377.847
1997-02-28,1387.437
1997-03-31,1379.637
1997-04-30,1329.371
1997-05-30,1466.522
1997-06-30,1490.513
1997-07-31,1543.417
1997-08-29,1417.597
1997-09-30,1563.777
1997-10-31,1456.601
1997-11-28,1389.768
1997-12-31,1524.234
1998-01-30,1562.691
1998-02-27,1668.985
1998-03-31,1741.812
1998-04-30,1841.672
1998-05-29,1918.986
1998-06-30,1809.709
1998-07-31,1904.087
1998-08-31,1649.476
1998-09-30,1533.71
1998-10-30,1668.363
1998-11-30,1596.595
1998-12-31,1612.234
1999-01-29,1552.009
1999-02-26,1566.417
1999-03-31,1527.224
1999-04-30,1619.074
1999-05-31,1482.377
1999-06-30,1568.934
1999-07-30,1563.933
1999-08-31,1563.487
1999-09-30,1467.693
1999-10-29,1465.991
1999-11-30,1373.579
1999-12-31,1454.005
2000-01-31,1313.985
2000-02-29,1228.112
2000-03-31,1216.836
2000-04-28,1179.778
2000-05-31,1228.292
2000-06-30,1246.181
2000-07-31,1183.198
2000-08-31,1151.476
2000-09-29,1121.672
2000-10-31,1016.755
2000-11-30,1028.999
2000-12-29,1051.623
2001-01-31,1081.842
2001-02-28,1159.672
2001-03-30,1104.39
2001-04-30,1153.223
2001-05-31,1083.232
2001-06-29,1046.933
2001-07-31,1130.499
2001-08-31,1132.967
2001-09-28,1038.499
2001-10-31,1022.94
2001-11-30,1103.011
2001-12-31,1116.804
