Date,AUSTRIA MID CAP Mid Cap
1994-05-31,1000.0
1994-06-30,1104.01
1994-07-29,1125.821
1994-08-31,1211.668
1994-09-30,1162.381
1994-10-31,1193.989
1994-11-30,1150.663
1994-12-30,1160.659
1995-01-31,1131.045
1995-02-28,1175.279
1995-03-31,1176.498
1995-04-28,1188.666
1995-05-31,1284.062
1995-06-30,1356.471
1995-07-31,1377.377
1995-08-31,1265.807
1995-09-29,1271.81
1995-10-31,1224.209
1995-11-30,1243.677
1995-12-29,1276.436
1996-01-31,1357.637
1996-02-29,1352.496
1996-03-29,1353.35
1996-04-30,1375.192
1996-05-31,1412.545
1996-06-28,1374.115
1996-07-31,1347.664
1996-08-30,1356.17
1996-09-30,1296.152
1996-10-31,1303.909
1996-11-29,1349.613
1996-12-31,1398.605
1997-01-31,1365.037
1997-02-28,1374.538
1997-03-31,1366.811
1997-04-30,1317.012
1997-05-30,1449.977
1997-06-30,1470.943
1997-07-31,1523.153
1997-08-29,1398.984
1997-09-30,1543.245
1997-10-31,1437.476
1997-11-28,1371.521
1997-12-31,1503.653
1998-01-30,1541.591
1998-02-27,1646.45
1998-03-31,1718.294
1998-04-30,1816.805
1998-05-29,1890.855
1998-06-30,1781.369
1998-07-31,1873.515
1998-08-31,1622.991
1998-09-30,1509.084
1998-10-30,1641.575
1998-11-30,1570.96
1998-12-31,1586.348
1999-01-29,1526.509
1999-02-26,1540.68
1999-03-31,1502.131
1999-04-30,1591.671
1999-05-31,1453.663
1999-06-30,1537.42
1999-07-30,1532.52
1999-08-31,1532.082
1999-09-30,1438.212
1999-10-29,1436.545
1999-11-30,1345.988
1999-12-31,1424.8
2000-01-31,1287.094
2000-02-29,1202.978
2000-03-31,1191.18
2000-04-28,1154.552
2000-05-31,1197.75
2000-06-30,1215.194
2000-07-31,1153.777
2000-08-31,1122.843
2000-09-29,1093.78
2000-10-31,991.472
2000-11-30,1003.412
2000-12-29,1025.474
2001-01-31,1054.94
2001-02-28,1130.835
2001-03-30,1076.267
2001-04-30,1123.856
2001-05-31,1051.368
2001-06-29,1016.136
2001-07-31,1097.318
2001-08-31,1099.714
2001-09-28,1008.018
2001-10-31,992.916
2001-11-30,1070.637
2001-12-31,1084.025
2002-01-31,1081.269
2002-02-28,1102.014
2002-03-29,1172.725
2002-04-30,1242.806
2002-05-31,1258.703
2002-11-29,139.829
2002-12-31,156.427
2003-01-31,158.361
2003-02-28,162.824
2003-03-31,158.443
2003-04-30,158.252
2003-05-30,170.052
2003-06-30,176.306
2003-07-31,172.658
2003-08-29,172.637
2003-09-30,183.003
2003-10-31,192.802
2003-11-28,203.93
2003-12-31,218.022
2004-01-30,235.312
2004-02-27,246.531
2004-03-31,262.075
2004-04-30,262.001
2004-05-31,260.503
2004-06-30,276.524
2004-07-30,283.782
2004-08-31,279.018
2004-09-30,294.048
2004-10-29,311.846
2004-11-30,352.796
2004-12-31,397.105
2005-01-31,401.551
2005-02-28,436.802
2005-03-31,417.08
2005-04-29,406.554
2005-05-31,430.096
2005-06-30,483.305
2005-07-29,511.943
2005-08-31,567.189
2005-09-30,585.152
2005-10-31,557.305
2005-11-30,583.407
2005-12-30,599.844
2006-01-31,672.667
2006-02-28,675.776
2006-03-31,684.077
2006-04-28,713.725
2006-05-31,675.271
2006-06-30,683.908
2006-07-31,696.632
2006-08-31,728.968
2006-09-29,772.943
2006-10-31,798.169
2006-11-30,848.6
2006-12-29,900.222
