Date,WORLD ex USA MID VALUE Mid Cap
1994-05-31,302.993
1994-06-30,311.009
1994-07-29,312.161
1994-08-31,314.291
1994-09-30,306.135
1994-10-31,310.953
1994-11-30,293.532
1994-12-30,297.627
1995-01-31,288.35
1995-02-28,281.077
1995-03-31,296.274
1995-04-28,305.989
1995-05-31,298.149
1995-06-30,291.914
1995-07-31,307.163
1995-08-31,297.273
1995-09-29,297.338
1995-10-31,288.865
1995-11-30,292.816
1995-12-29,304.06
1996-01-31,309.079
1996-02-29,311.195
1996-03-29,316.387
1996-04-30,332.055
1996-05-31,325.556
1996-06-28,326.573
1996-07-31,316.881
1996-08-30,312.949
1996-09-30,316.887
1996-10-31,312.247
1996-11-29,318.397
1996-12-31,311.864
1997-01-31,299.974
1997-02-28,301.546
1997-03-31,297.105
1997-04-30,295.25
1997-05-30,317.108
1997-06-30,326.572
1997-07-31,319.614
1997-08-29,302.555
1997-09-30,308.679
1997-10-31,299.991
1997-11-28,285.879
1997-12-31,275.556
1998-01-30,291.45
1998-02-27,310.22
1998-03-31,322.827
1998-04-30,324.474
1998-05-29,324.73
1998-06-30,314.976
1998-07-31,313.594
1998-08-31,279.978
1998-09-30,274.409
1998-10-30,301.459
1998-11-30,309.968
1998-12-31,315.917
1999-01-29,312.582
1999-02-26,306.946
1999-03-31,321.805
1999-04-30,339.88
1999-05-31,330.186
1999-06-30,339.049
1999-07-30,352.057
1999-08-31,357.356
1999-09-30,359.456
1999-10-29,352.549
1999-11-30,344.64
1999-12-31,356.795
2000-01-31,342.653
2000-02-29,338.285
2000-03-31,352.121
2000-04-28,339.981
2000-05-31,344.169
2000-06-30,368.791
2000-07-31,353.76
2000-08-31,361.786
2000-09-29,349.692
2000-10-31,339.891
2000-11-30,344.176
2000-12-29,356.547
2001-01-31,356.767
2001-02-28,355.184
2001-03-30,331.608
2001-04-30,351.154
2001-05-31,351.548
2001-06-29,343.005
2001-07-31,337.677
2001-08-31,340.192
2001-09-28,300.701
2001-10-31,307.408
2001-11-30,313.836
2001-12-31,311.305
2002-01-31,304.949
2002-02-28,311.582
2002-03-29,329.481
2002-04-30,340.723
2002-05-31,355.73
2002-06-28,344.341
2002-07-31,316.338
2002-08-30,315.121
2002-09-30,288.809
2002-10-31,292.886
2002-11-29,302.81
2002-12-31,297.382
2003-01-31,289.63
2003-02-28,286.086
2003-03-31,281.908
2003-04-30,309.729
2003-05-30,329.179
2003-06-30,338.68
2003-07-31,349.882
2003-08-29,363.71
2003-09-30,376.281
2003-10-31,403.733
2003-11-28,409.939
2003-12-31,439.187
2004-01-30,447.399
2004-02-27,463.68
2004-03-31,474.567
2004-04-30,460.183
2004-05-31,465.504
2004-06-30,486.188
2004-07-30,473.956
2004-08-31,479.223
2004-09-30,493.564
2004-10-29,510.425
2004-11-30,551.15
2004-12-31,577.866
2005-01-31,578.53
2005-02-28,599.44
2005-03-31,587.566
2005-04-29,569.852
2005-05-31,571.302
2005-06-30,581.792
2005-07-29,598.218
2005-08-31,616.07
2005-09-30,645.036
2005-10-31,625.909
2005-11-30,644.779
2005-12-30,680.372
2006-01-31,723.389
2006-02-28,725.522
2006-03-31,752.574
2006-04-28,787.649
2006-05-31,764.743
2006-06-30,764.525
2006-07-31,769.238
2006-08-31,793.2
2006-09-29,801.793
2006-10-31,833.626
2006-11-30,859.675
2006-12-29,884.772
2007-01-31,896.079
2007-02-28,915.034
2007-03-30,939.955
2007-04-30,977.731
2007-05-31,1000.0
2007-06-29,982.2
2007-07-31,962.453
2007-08-31,940.943
2007-09-28,962.571
2007-10-31,993.858
2007-11-30,926.691
2007-12-31,894.164
2008-01-31,839.494
2008-02-29,854.583
2008-03-31,851.467
2008-04-30,877.702
2008-05-30,892.653
2008-06-30,799.493
2008-07-31,766.298
2008-08-29,751.215
2008-09-30,647.082
2008-10-31,507.384
2008-11-28,500.854
2008-12-31,526.125
2009-01-30,483.04
2009-02-27,427.128
2009-03-31,463.658
2009-04-30,539.012
2009-05-29,603.832
2009-06-30,602.875
2009-07-31,661.654
2009-08-31,703.629
2009-09-30,736.422
2009-10-30,716.397
2009-11-30,724.042
2009-12-31,733.695
2010-01-29,713.052
2010-02-26,712.17
2010-03-31,762.347
2010-04-30,763.335
2010-05-31,677.76
2010-06-30,671.679
2010-07-30,736.525
2010-08-31,711.196
2010-09-30,782.169
2010-10-29,806.979
2010-11-30,771.49
2010-12-31,839.426
2011-01-31,863.387
2011-02-28,889.397
2011-03-31,869.662
2011-04-29,906.588
2011-05-31,883.589
2011-06-30,867.01
2011-07-29,851.646
2011-08-31,785.919
2011-09-30,714.325
2011-10-31,762.225
2011-11-30,723.369
2011-12-30,716.745
2012-01-31,765.772
2012-02-29,803.273
2012-03-30,803.428
2012-04-30,778.137
2012-05-31,685.762
2012-06-29,732.169
2012-07-31,738.45
2012-08-31,757.239
2012-09-28,784.129
2012-10-31,791.766
2012-11-30,812.334
2012-12-31,854.137
2013-01-31,887.456
2013-02-28,885.874
2013-03-29,899.214
2013-04-30,961.06
2013-05-31,935.929
2013-06-28,902.585
2013-07-31,952.591
2013-08-30,938.294
2013-09-30,1012.523
2013-10-31,1044.906
2013-11-29,1041.727
2013-12-31,1057.154
2014-01-31,1033.477
2014-02-28,1085.972
2014-03-31,1081.761
2014-04-30,1100.055
2014-05-30,1119.752
2014-06-30,1141.662
2014-07-31,1121.03
2014-08-29,1116.72
2014-09-30,1059.612
2014-10-31,1046.165
2014-11-28,1064.045
2014-12-31,1043.558
2015-01-30,1054.745
2015-02-27,1113.024
2015-03-31,1088.219
2015-04-30,1139.643
2015-05-29,1129.986
2015-06-30,1093.4
2015-07-31,1098.889
2015-08-31,1029.709
2015-09-30,986.264
2015-10-30,1061.053
2015-11-30,1032.516
2015-12-31,1010.367
2016-01-29,940.893
2016-02-29,939.698
2016-03-31,1019.761
2016-04-29,1068.426
2016-05-31,1035.6
2016-06-30,983.749
2016-07-29,1045.167
2016-08-31,1054.326
2016-09-30,1078.22
2016-10-31,1061.33
2016-11-30,1053.896
2016-12-30,1092.35
2017-01-31,1125.628
2017-02-28,1140.115
2017-03-31,1163.131
2017-04-28,1197.55
2017-05-31,1229.784
2017-06-30,1236.714
2017-07-31,1280.913
2017-08-31,1283.611
2017-09-29,1306.795
2017-10-31,1325.615
2017-11-30,1336.679
2017-12-29,1369.652
2018-01-31,1427.426
2018-02-28,1363.648
2018-03-30,1336.897
2018-04-30,1381.641
2018-05-31,1351.065
2018-06-29,1315.483
2018-07-31,1340.455
2018-08-31,1318.276
2018-09-28,1332.518
2018-10-31,1230.868
2018-11-30,1232.166
2018-12-31,1163.047
2019-01-31,1266.914
2019-02-28,1286.986
2019-03-29,1280.056
2019-04-30,1304.598
2019-05-31,1221.473
2019-06-28,1284.363
2019-07-31,1257.57
2019-08-30,1217.742
2019-09-30,1277.803
2019-10-31,1336.487
2019-11-29,1341.824
2019-12-31,1388.595
2020-01-31,1334.35
2020-02-28,1205.621
2020-03-31,951.714
2020-04-30,1029.004
2020-05-29,1061.116
2020-06-30,1085.906
2020-07-31,1095.227
2020-08-31,1182.777
2020-09-30,1143.592
2020-10-30,1104.458
2020-11-30,1303.664
2020-12-31,1368.109
2021-01-29,1373.19
2021-02-26,1428.097
2021-03-31,1469.003
2021-04-30,1494.294
2021-05-31,1529.696
2021-06-30,1491.684
2021-07-30,1493.403
2021-08-31,1517.939
2021-09-30,1480.825
2021-10-29,1500.344
2021-11-30,1417.107
2021-12-31,1490.966
2022-01-31,1460.697
2022-02-28,1458.153
2022-03-31,1456.084
2022-04-29,1378.527
2022-05-31,1393.08
2022-06-30,1248.389
2022-07-29,1297.759
2022-08-31,1253.368
2022-09-30,1114.762
2022-10-31,1169.928
2022-11-30,1285.685
2022-12-30,1305.505
2023-01-31,1418.183
2023-02-28,1397.139
2023-03-31,1383.476
2023-04-28,1426.505
2023-05-31,1343.084
2023-06-30,1393.042
2023-07-31,1476.659
2023-08-31,1431.208
2023-09-29,1396.025
2023-10-31,1324.122
2023-11-30,1437.057
2023-12-29,1519.164
2024-01-31,1513.438
2024-02-29,1499.646
2024-03-29,1563.746
2024-04-30,1537.757
2024-05-31,1605.293
2024-06-28,1547.313
2024-07-31,1624.79
2024-08-30,1669.374
2024-09-30,1701.692
2024-10-31,1612.835
2024-11-29,1622.417
2024-12-31,1582.304
2025-01-31,1638.024
2025-02-28,1677.606
2025-03-31,1703.552
2025-04-30,1791.703
2025-05-30,1882.979
2025-06-30,1943.667
2025-07-31,1937.596
2025-08-29,2037.3
