Date,NETHERLANDS MID GROWTH Mid Cap
2001-01-01,1011.119
2001-01-02,1015.984
2001-01-03,1005.795
2001-01-04,1006.043
2001-01-05,984.625
2001-01-08,969.84
2001-01-09,971.753
2001-01-10,963.878
2001-01-11,961.938
2001-01-12,981.831
2001-01-15,981.423
2001-01-16,966.255
2001-01-17,977.061
2001-01-18,999.964
2001-01-19,988.515
2001-01-22,981.899
2001-01-23,946.562
2001-01-24,937.83
2001-01-25,941.281
2001-01-26,938.494
2001-01-29,937.09
2001-01-30,945.515
2001-01-31,964.098
2001-02-01,962.977
2001-02-02,942.834
2001-02-05,949.576
2001-02-06,956.304
2001-02-07,949.57
2001-02-08,920.791
2001-02-09,919.559
2001-02-12,937.516
2001-02-13,924.004
2001-02-14,910.138
2001-02-15,908.887
2001-02-16,916.958
2001-02-19,919.487
2001-02-20,908.463
2001-02-21,918.716
2001-02-22,896.584
2001-02-23,883.761
2001-02-26,897.898
2001-02-27,908.692
2001-02-28,905.652
2001-03-01,924.972
2001-03-02,926.311
2001-03-05,913.546
2001-03-06,915.52
2001-03-07,894.85
2001-03-08,900.15
2001-03-09,892.263
2001-03-12,874.941
2001-03-13,863.983
2001-03-14,846.456
2001-03-15,855.943
2001-03-16,828.556
2001-03-19,829.221
2001-03-20,838.939
2001-03-21,840.008
2001-03-22,801.203
2001-03-23,817.777
2001-03-26,839.717
2001-03-27,840.869
2001-03-28,833.056
2001-03-29,827.572
2001-03-30,833.591
2001-04-02,828.938
2001-04-03,824.387
2001-04-04,840.985
2001-04-05,844.441
2001-04-06,843.144
2001-04-09,824.549
2001-04-10,826.057
2001-04-11,823.536
2001-04-12,828.812
2001-04-13,828.812
2001-04-16,820.323
2001-04-17,813.981
2001-04-18,816.912
2001-04-19,823.335
2001-04-20,837.793
2001-04-23,828.946
2001-04-24,837.759
2001-04-25,847.503
2001-04-26,856.306
2001-04-27,852.068
2001-04-30,846.341
2001-05-01,820.891
2001-05-02,818.668
2001-05-03,811.716
2001-05-04,817.505
2001-05-07,817.617
2001-05-08,818.869
2001-05-09,811.412
2001-05-10,814.495
2001-05-11,824.638
2001-05-14,836.852
2001-05-15,847.946
2001-05-16,833.773
2001-05-17,829.632
2001-05-18,833.225
2001-05-21,829.301
2001-05-22,825.651
2001-05-23,812.374
2001-05-24,810.34
2001-05-25,814.546
2001-05-28,830.584
2001-05-29,821.93
2001-05-30,826.268
2001-05-31,810.199
2001-06-01,804.514
2001-06-04,805.607
2001-06-05,817.224
2001-06-06,811.222
2001-06-07,806.618
2001-06-08,802.845
2001-06-11,783.227
2001-06-12,781.741
2001-06-13,778.077
2001-06-14,766.803
2001-06-15,751.207
2001-06-18,753.656
2001-06-19,751.814
2001-06-20,739.085
2001-06-21,741.174
2001-06-22,739.796
2001-06-25,745.912
2001-06-26,740.496
2001-06-27,733.491
2001-06-28,711.485
2001-06-29,723.803
2001-07-02,727.225
2001-07-03,731.642
2001-07-04,729.84
2001-07-05,714.249
2001-07-06,715.292
2001-07-09,717.88
2001-07-10,720.508
2001-07-11,708.742
2001-07-12,711.267
2001-07-13,688.205
2001-07-16,685.073
2001-07-17,661.413
2001-07-18,672.248
2001-07-19,673.876
2001-07-20,678.256
2001-07-23,671.503
2001-07-24,679.648
2001-07-25,672.595
2001-07-26,665.158
2001-07-27,671.276
2001-07-30,680.585
2001-07-31,681.09
2001-08-01,685.56
2001-08-02,695.275
2001-08-03,708.199
2001-08-06,705.131
2001-08-07,693.961
2001-08-08,692.857
2001-08-09,690.034
2001-08-10,684.858
2001-08-13,679.602
2001-08-14,690.931
2001-08-15,689.658
2001-08-16,685.076
2001-08-17,708.862
2001-08-20,697.8
2001-08-21,707.226
2001-08-22,708.931
2001-08-23,683.557
2001-08-24,680.912
2001-08-27,674.281
2001-08-28,656.652
2001-08-29,654.064
2001-08-30,641.948
2001-08-31,630.253
2001-09-03,627.327
2001-09-04,634.231
2001-09-05,613.185
2001-09-06,611.163
2001-09-07,623.609
2001-09-10,599.986
2001-09-11,594.473
2001-09-12,573.923
2001-09-13,573.126
2001-09-14,565.592
2001-09-17,577.974
2001-09-18,580.85
2001-09-19,588.521
2001-09-20,578.773
2001-09-21,555.328
2001-09-24,561.042
2001-09-25,590.349
2001-09-26,601.751
2001-09-27,575.625
2001-09-28,600.26
2001-10-01,543.689
2001-10-02,521.992
2001-10-03,521.957
2001-10-04,515.96
2001-10-05,531.282
2001-10-08,520.411
2001-10-09,530.564
2001-10-10,557.952
2001-10-11,554.16
2001-10-12,554.594
2001-10-15,540.652
2001-10-16,545.524
2001-10-17,568.375
2001-10-18,542.424
2001-10-19,524.598
2001-10-22,529.368
2001-10-23,542.263
2001-10-24,561.685
2001-10-25,558.576
2001-10-26,564.165
2001-10-29,568.503
2001-10-30,567.701
2001-10-31,566.957
2001-11-01,560.986
2001-11-02,569.759
2001-11-05,573.793
2001-11-06,585.027
2001-11-07,547.527
2001-11-08,529.912
2001-11-09,531.699
2001-11-12,528.175
2001-11-13,536.299
2001-11-14,542.566
2001-11-15,560.078
2001-11-16,588.567
2001-11-19,590.355
2001-11-20,586.74
2001-11-21,581.033
2001-11-22,586.32
2001-11-23,590.826
2001-11-26,601.304
2001-11-27,605.123
2001-11-28,588.565
2001-11-29,587.382
2001-11-30,595.205
2001-12-03,593.802
2001-12-04,591.285
2001-12-05,605.192
2001-12-06,608.638
2001-12-07,598.247
2001-12-10,590.209
2001-12-11,592.702
2001-12-12,597.544
2001-12-13,589.795
2001-12-14,588.312
2001-12-17,596.217
2001-12-18,601.202
2001-12-19,594.55
2001-12-20,595.999
2001-12-21,597.861
2001-12-24,593.973
2001-12-25,593.973
2001-12-26,594.48
2001-12-27,611.301
2001-12-28,617.702
2001-12-31,623.726
2002-01-01,623.726
2002-01-02,628.13
2002-01-03,630.737
2002-01-04,642.672
2002-01-07,644.459
2002-01-08,632.844
2002-01-09,630.467
2002-01-10,626.674
2002-01-11,623.003
2002-01-14,620.09
2002-01-15,616.77
2002-01-16,598.157
2002-01-17,609.225
2002-01-18,597.491
2002-01-21,605.362
2002-01-22,607.312
2002-01-23,605.127
2002-01-24,603.471
2002-01-25,596.504
2002-01-28,599.099
2002-01-29,600.564
2002-01-30,598.366
2002-01-31,601.876
2002-02-01,603.2
2002-02-04,608.641
2002-02-05,604.864
2002-02-06,594.534
2002-02-07,582.174
2002-02-08,586.336
2002-02-11,590.008
2002-02-12,587.526
2002-02-13,579.159
2002-02-14,580.258
2002-02-15,581.378
2002-02-18,583.87
2002-02-19,577.83
2002-02-20,574.365
2002-02-21,575.715
2002-02-22,571.89
2002-02-25,564.927
2002-02-26,569.634
2002-02-27,567.668
2002-02-28,561.443
2002-03-01,565.247
2002-03-04,579.437
2002-03-05,588.848
2002-03-06,597.741
2002-03-07,631.316
2002-03-08,636.792
2002-03-11,638.301
2002-03-12,632.432
2002-03-13,631.3
2002-03-14,631.37
