Date,NETHERLANDS MID GROWTH Mid Cap
2001-01-01,983.066
2001-01-02,987.796
2001-01-03,977.89
2001-01-04,978.132
2001-01-05,957.307
2001-01-08,942.933
2001-01-09,944.792
2001-01-10,937.136
2001-01-11,935.25
2001-01-12,954.591
2001-01-15,954.194
2001-01-16,939.447
2001-01-17,949.954
2001-01-18,972.221
2001-01-19,961.089
2001-01-22,954.657
2001-01-23,920.3
2001-01-24,911.811
2001-01-25,915.166
2001-01-26,912.456
2001-01-29,911.092
2001-01-30,919.282
2001-01-31,937.35
2001-02-01,936.464
2001-02-02,916.876
2001-02-05,923.432
2001-02-06,929.975
2001-02-07,923.426
2001-02-08,895.44
2001-02-09,894.241
2001-02-12,911.704
2001-02-13,898.564
2001-02-14,885.08
2001-02-15,883.863
2001-02-16,891.712
2001-02-19,894.172
2001-02-20,883.451
2001-02-21,893.422
2001-02-22,871.899
2001-02-23,859.429
2001-02-26,873.177
2001-02-27,883.674
2001-02-28,880.717
2001-03-01,899.505
2001-03-02,900.808
2001-03-05,888.395
2001-03-06,890.314
2001-03-07,870.213
2001-03-08,875.367
2001-03-09,867.697
2001-03-12,850.852
2001-03-13,840.196
2001-03-14,823.151
2001-03-15,832.377
2001-03-16,805.744
2001-03-19,806.391
2001-03-20,815.841
2001-03-21,816.881
2001-03-22,779.144
2001-03-23,795.262
2001-03-26,816.598
2001-03-27,817.719
2001-03-28,810.12
2001-03-29,804.788
2001-03-30,810.64
2001-04-02,806.45
2001-04-03,802.023
2001-04-04,818.17
2001-04-05,821.532
2001-04-06,820.27
2001-04-09,802.256
2001-04-10,803.723
2001-04-11,801.271
2001-04-12,806.403
2001-04-13,806.403
2001-04-16,798.145
2001-04-17,791.974
2001-04-18,794.825
2001-04-19,801.075
2001-04-20,815.142
2001-04-23,806.534
2001-04-24,815.109
2001-04-25,824.59
2001-04-26,833.155
2001-04-27,829.447
2001-04-30,823.872
2001-05-01,800.033
2001-05-02,797.868
2001-05-03,791.092
2001-05-04,796.734
2001-05-07,796.843
2001-05-08,798.063
2001-05-09,790.796
2001-05-10,793.801
2001-05-11,803.686
2001-05-14,815.589
2001-05-15,826.401
2001-05-16,812.589
2001-05-17,808.553
2001-05-18,812.054
2001-05-21,808.231
2001-05-22,804.673
2001-05-23,791.733
2001-05-24,790.065
2001-05-25,794.166
2001-05-28,809.803
2001-05-29,801.365
2001-05-30,805.595
2001-05-31,789.928
2001-06-01,784.386
2001-06-04,785.451
2001-06-05,796.777
2001-06-06,790.925
2001-06-07,786.436
2001-06-08,782.758
2001-06-11,763.631
2001-06-12,762.182
2001-06-13,758.609
2001-06-14,747.618
2001-06-15,732.412
2001-06-18,734.799
2001-06-19,733.003
2001-06-20,720.593
2001-06-21,722.63
2001-06-22,721.287
2001-06-25,727.25
2001-06-26,721.969
2001-06-27,715.139
2001-06-28,693.783
2001-06-29,705.794
2001-07-02,709.131
2001-07-03,713.438
2001-07-04,711.681
2001-07-05,696.478
