Date,NETHERLANDS MID GROWTH Mid Cap
1994-05-31,430.853
1994-06-30,435.846
1994-07-29,465.327
1994-08-31,456.092
1994-09-30,451.69
1994-10-31,471.703
1994-11-30,445.504
1994-12-30,458.75
1995-01-31,468.635
1995-02-28,484.952
1995-03-31,486.981
1995-04-28,498.529
1995-05-31,503.482
1995-06-30,517.832
1995-07-31,517.766
1995-08-31,495.838
1995-09-29,537.595
1995-10-31,542.644
1995-11-30,548.202
1995-12-29,552.93
1996-01-31,593.518
1996-02-29,635.458
1996-03-29,667.413
1996-04-30,690.574
1996-05-31,740.907
1996-06-28,745.031
1996-07-31,745.121
1996-08-30,785.895
1996-09-30,819.231
1996-10-31,822.901
1996-11-29,867.467
1996-12-31,875.434
1997-01-31,915.963
1997-02-28,965.248
1997-03-31,977.058
1997-04-30,979.311
1997-05-30,1083.836
1997-06-30,1096.573
1997-07-31,1206.865
1997-08-29,1143.811
1997-09-30,1183.454
1997-10-31,1162.412
1997-11-28,1136.962
1997-12-31,1142.796
1998-01-30,1212.295
1998-02-27,1335.964
1998-03-31,1444.116
1998-04-30,1451.376
1998-05-29,1507.197
1998-06-30,1520.543
1998-07-31,1563.112
1998-08-31,1388.655
1998-09-30,1285.259
1998-10-30,1304.687
1998-11-30,1391.093
1998-12-31,1453.267
1999-01-29,1465.608
1999-02-26,1412.139
1999-03-31,1342.179
1999-04-30,1375.132
1999-05-31,1323.166
1999-06-30,1383.517
1999-07-30,1427.03
1999-08-31,1481.315
1999-09-30,1503.466
1999-10-29,1426.304
1999-11-30,1483.123
1999-12-31,1734.769
2000-01-31,1482.868
2000-02-29,1605.087
2000-03-31,1623.42
2000-04-28,1397.667
2000-05-31,1347.631
2000-06-30,1386.917
2000-07-31,1351.973
2000-08-31,1282.709
2000-09-29,1182.516
2000-10-31,1140.279
2000-11-30,1002.786
2000-12-29,1011.119
2001-01-31,964.098
2001-02-28,905.652
2001-03-30,833.591
2001-04-30,846.341
2001-05-31,810.199
2001-06-29,723.803
2001-07-31,681.09
2001-08-31,630.253
2001-09-28,600.26
2001-10-31,566.957
2001-11-30,595.205
2001-12-31,623.726
2002-01-31,601.876
2002-02-28,561.443
2002-03-29,627.018
2002-04-30,619.518
2002-05-31,634.471
2002-06-28,600.579
2002-07-31,499.488
2002-08-30,516.69
2002-09-30,440.504
2002-10-31,484.41
2002-11-29,516.12
2002-12-31,463.08
2003-01-31,431.55
2003-02-28,394.576
2003-03-31,399.336
2003-04-30,457.756
2003-05-30,483.399
2003-06-30,486.559
2003-07-31,524.696
2003-08-29,548.544
2003-09-30,524.074
2003-10-31,568.285
2003-11-28,594.6
2003-12-31,622.743
2004-01-30,640.198
2004-02-27,647.955
2004-03-31,617.808
2004-04-30,604.712
2004-05-31,631.056
2004-06-30,633.338
2004-07-30,579.602
2004-08-31,572.509
2004-09-30,584.138
2004-10-29,609.45
2004-11-30,648.859
2004-12-31,665.557
2005-01-31,660.492
2005-02-28,726.321
2005-03-31,693.022
2005-04-29,654.08
2005-05-31,662.044
