Date,NETHERLANDS MID GROWTH Mid Cap
1994-05-31,413.435
1994-06-30,418.227
1994-07-29,446.517
1994-08-31,437.751
1994-09-30,433.527
1994-10-31,452.836
1994-11-30,427.684
1994-12-30,440.401
1995-01-31,449.891
1995-02-28,466.012
1995-03-31,467.961
1995-04-28,479.832
1995-05-31,485.348
1995-06-30,499.181
1995-07-31,499.117
1995-08-31,478.076
1995-09-29,518.337
1995-10-31,523.28
1995-11-30,528.64
1995-12-29,533.199
1996-01-31,572.339
1996-02-29,613.051
1996-03-29,643.879
1996-04-30,666.505
1996-05-31,715.578
1996-06-28,719.561
1996-07-31,719.648
1996-08-30,759.121
1996-09-30,791.494
1996-10-31,795.176
1996-11-29,838.242
1996-12-31,845.94
1997-01-31,885.104
1997-02-28,932.944
1997-03-31,944.359
1997-04-30,947.221
1997-05-30,1049.392
1997-06-30,1061.973
1997-07-31,1168.786
1997-08-29,1107.721
1997-09-30,1146.113
1997-10-31,1126.117
1997-11-28,1101.461
1997-12-31,1107.112
1998-01-30,1174.442
1998-02-27,1294.627
1998-03-31,1399.601
1998-04-30,1407.342
1998-05-29,1462.632
1998-06-30,1476.059
1998-07-31,1517.383
1998-08-31,1348.358
1998-09-30,1247.962
1998-10-30,1266.827
1998-11-30,1350.725
1998-12-31,1411.095
1999-01-29,1423.077
1999-02-26,1371.16
1999-03-31,1303.331
1999-04-30,1335.66
1999-05-31,1285.351
1999-06-30,1343.978
1999-07-30,1386.246
1999-08-31,1439.078
1999-09-30,1460.598
1999-10-29,1385.723
1999-11-30,1440.925
1999-12-31,1685.411
2000-01-31,1440.677
2000-02-29,1559.419
2000-03-31,1577.231
2000-04-28,1358.138
2000-05-31,1310.242
2000-06-30,1348.438
2000-07-31,1314.463
2000-08-31,1247.121
2000-09-29,1149.708
2000-10-31,1108.643
2000-11-30,974.965
2000-12-29,983.066
2001-01-31,937.35
2001-02-28,880.717
2001-03-30,810.64
2001-04-30,823.872
2001-05-31,789.928
2001-06-29,705.794
2001-07-31,664.144
2001-08-31,615.225
2001-09-28,585.947
2001-10-31,553.438
2001-11-30,581.012
2001-12-31,608.853
2002-01-31,587.922
2002-02-28,548.427
2002-03-29,612.482
2002-04-30,605.531
2002-05-31,620.936
2002-06-28,587.767
2002-07-31,488.856
2002-08-30,506.382
2002-09-30,431.716
2002-10-31,474.746
2002-11-29,505.824
2002-12-31,453.842
2003-01-31,422.941
2003-02-28,386.704
2003-03-31,391.369
2003-04-30,450.61
2003-05-30,475.852
2003-06-30,478.962
2003-07-31,516.558
2003-08-29,540.671
2003-09-30,516.553
2003-10-31,560.129
2003-11-28,586.067
2003-12-31,613.806
2004-01-30,631.01
2004-02-27,638.656
2004-03-31,608.941
2004-04-30,597.293
2004-05-31,623.848
2004-06-30,626.143
2004-07-30,573.017
2004-08-31,566.711
