Date,DENMARK MID VALUE Mid Cap
1994-05-31,1000.0
1994-06-30,1079.533
1994-07-29,1116.793
1994-08-31,1136.357
1994-09-30,1141.102
1994-10-31,1175.944
1994-11-30,1101.887
1994-12-30,1130.477
1995-01-31,1177.58
1995-02-28,1185.747
1995-03-31,1185.288
1995-04-28,1335.063
1995-05-31,1399.826
1995-06-30,1414.179
1995-07-31,1492.674
1995-08-31,1314.368
1995-09-29,1263.026
1995-10-31,1323.418
1995-11-30,1411.508
1995-12-29,1456.317
1996-01-31,1541.682
1996-02-29,1489.522
1996-03-29,1380.738
1996-04-30,1384.82
1996-05-31,1363.864
1996-06-28,1432.532
1996-07-31,1435.712
1996-08-30,1439.061
1996-09-30,1484.813
1996-10-31,1440.224
1996-11-29,1505.528
1996-12-31,1542.902
1997-01-31,1594.051
1997-02-28,1595.942
1997-03-31,1609.549
1997-04-30,1553.322
1997-05-30,1661.767
1997-06-30,1771.797
1997-07-31,1874.593
1997-08-29,1794.58
1997-09-30,1897.964
1997-10-31,2016.953
1997-11-28,2020.891
1997-12-31,2088.956
1998-01-30,2130.531
1998-02-27,2094.891
1998-03-31,2285.346
1998-04-30,2284.079
1998-05-29,2242.423
1998-06-30,2329.709
1998-07-31,2440.716
1998-08-31,2094.314
1998-09-30,1966.766
1998-10-30,2092.985
1998-11-30,2044.253
1998-12-31,2084.467
1999-01-29,1974.766
1999-02-26,1867.874
1999-03-31,1782.96
1999-04-30,1787.969
1999-05-31,1819.834
1999-06-30,1722.176
1999-07-30,1718.349
1999-08-31,1670.56
1999-09-30,1706.58
1999-10-29,1867.812
1999-11-30,1867.445
1999-12-31,1774.915
2000-01-31,1504.169
2000-02-29,1425.655
2000-03-31,1549.286
2000-04-28,1516.228
2000-05-31,1571.573
2000-06-30,1501.185
2000-07-31,1610.33
2000-08-31,1507.13
2000-09-29,1700.612
2000-10-31,2248.552
2000-11-30,2418.714
2000-12-29,2646.813
2001-01-31,2758.323
2001-02-28,2584.095
2001-03-30,1903.909
2001-04-30,2228.186
2001-05-31,2238.406
2001-06-29,2166.574
2001-07-31,2245.938
2001-08-31,2271.292
2001-09-28,2195.612
2001-10-31,2238.938
2001-11-30,2143.056
2001-12-31,2184.808
2002-01-31,2169.902
2002-02-28,2145.991
2002-03-29,1995.436
2002-04-30,2215.186
2002-05-31,2533.267
2002-06-28,2703.515
2002-07-31,2420.366
2002-08-30,2627.646
2002-09-30,2114.933
2002-10-31,2113.471
2002-11-29,2524.289
2002-12-31,2469.268
2003-01-31,2563.03
2003-02-28,2350.951
2003-03-31,2475.567
2003-04-30,2816.845
2003-05-30,3297.837
2003-06-30,3374.486
2003-07-31,3238.926
2003-08-29,3411.636
2003-09-30,3468.421
2003-10-31,3626.098
2003-11-28,3781.353
2003-12-31,4071.303
2004-01-30,4544.119
2004-02-27,4543.362
2004-03-31,4338.06
2004-04-30,4041.99
2004-05-31,4012.283
2004-06-30,3863.876
2004-07-30,3870.503
2004-08-31,4182.253
2004-09-30,4207.688
2004-10-29,4387.209
2004-11-30,4877.034
2004-12-31,5035.94
2005-01-31,4937.156
2005-02-28,5365.252
2005-03-31,5282.594
2005-04-29,5358.44
2005-05-31,5537.009
2005-06-30,5361.169
2005-07-29,5627.675
2005-08-31,6616.512
2005-09-30,6744.995
2005-10-31,6991.674
2005-11-30,7483.756
2005-12-30,7462.213
2006-01-31,7930.731
2006-02-28,7669.477
2006-03-31,7885.189
2006-04-28,8807.553
2006-05-31,9160.827
2006-07-31,1038.763
2006-08-31,1083.749
2006-09-29,1185.741
2006-10-31,1217.359
2006-11-30,1340.5
2007-05-31,1000.0
2007-06-29,893.018
2007-07-31,905.569
2007-08-31,899.26
2007-09-28,927.43
