Date,DENMARK MID VALUE Mid Cap
2001-01-01,2646.813
2001-01-02,2708.586
2001-01-03,2692.159
2001-01-04,2688.172
2001-01-05,2723.738
2001-01-08,2719.37
2001-01-09,2683.967
2001-01-10,2668.221
2001-01-11,2671.279
2001-01-12,2681.759
2001-01-15,2654.459
2001-01-16,2667.565
2001-01-17,2662.352
2001-01-18,2702.343
2001-01-19,2683.379
2001-01-22,2692.432
2001-01-23,2687.149
2001-01-24,2664.494
2001-01-25,2672.144
2001-01-26,2678.034
2001-01-29,2692.763
2001-01-30,2747.934
2001-01-31,2758.323
2001-02-01,2782.323
2001-02-02,2719.362
2001-02-05,2730.71
2001-02-06,2698.177
2001-02-07,2711.278
2001-02-08,2726.389
2001-02-09,2718.213
2001-02-12,2806.364
2001-02-13,2756.82
2001-02-14,2716.589
2001-02-15,2623.275
2001-02-16,2605.275
2001-02-19,2615.527
2001-02-20,2577.694
2001-02-21,2584.918
2001-02-22,2528.16
2001-02-23,2521.544
2001-02-26,2544.9
2001-02-27,2589.645
2001-02-28,2584.095
2001-03-01,2605.163
2001-03-02,2612.573
2001-03-05,2602.439
2001-03-06,2614.954
2001-03-07,2613.738
2001-03-08,2627.118
2001-03-09,2610.871
2001-03-12,2602.666
2001-03-13,2511.598
2001-03-14,2514.435
2001-03-15,2461.262
2001-03-16,2434.801
2001-03-19,2267.953
2001-03-20,2210.587
2001-03-21,2181.496
2001-03-22,1980.628
2001-03-23,2001.551
2001-03-26,2076.051
2001-03-27,2075.365
2001-03-28,1961.839
2001-03-29,1900.85
2001-03-30,1903.909
2001-04-02,1878.572
2001-04-03,1865.9
2001-04-04,1867.616
2001-04-05,1901.532
2001-04-06,2097.681
2001-04-09,2102.595
2001-04-10,2118.387
2001-04-11,2059.683
2001-04-12,2066.371
2001-04-13,2066.371
2001-04-16,2069.078
2001-04-17,2031.043
2001-04-18,2017.024
2001-04-19,2077.558
2001-04-20,2159.314
2001-04-23,2119.737
2001-04-24,2135.18
2001-04-25,2165.282
2001-04-26,2203.736
2001-04-27,2192.775
2001-04-30,2228.186
2001-05-01,2243.36
2001-05-02,2209.526
2001-05-03,2210.488
2001-05-04,2276.273
2001-05-07,2266.922
2001-05-08,2212.2
2001-05-09,2180.11
2001-05-10,2215.914
2001-05-11,2198.225
2001-05-14,2242.496
2001-05-15,2242.907
2001-05-16,2234.105
2001-05-17,2249.516
2001-05-18,2193.349
2001-05-21,2219.038
2001-05-22,2205.182
2001-05-23,2316.998
2001-05-24,2308.447
2001-05-25,2269.247
2001-05-28,2278.027
2001-05-29,2262.646
2001-05-30,2271.426
2001-05-31,2238.406
2001-06-01,2224.981
2001-06-04,2228.067
2001-06-05,2228.916
2001-06-06,2202.714
2001-06-07,2205.628
2001-06-08,2215.664
2001-06-11,2159.346
2001-06-12,2167.438
2001-06-13,2156.184
2001-06-14,2207.222
2001-06-15,2192.789
2001-06-18,2200.473
2001-06-19,2154.445
2001-06-20,2168.52
2001-06-21,2163.131
2001-06-22,2194.143
2001-06-25,2209.604
2001-06-26,2237.413
2001-06-27,2249.635
2001-06-28,2207.857
2001-06-29,2166.574
2001-07-02,2227.955
2001-07-03,2311.21
2001-07-04,2316.704
2001-07-05,2292.281
2001-07-06,2264.734
2001-07-09,2243.838
2001-07-10,2286.627
2001-07-11,2308.748
2001-07-12,2257.391
2001-07-13,2275.225
2001-07-16,2273.999
2001-07-17,2235.832
2001-07-18,2277.31
2001-07-19,2276.538
2001-07-20,2297.355
2001-07-23,2262.448
2001-07-24,2273.513
2001-07-25,2280.917
2001-07-26,2271.543
2001-07-27,2256.403
2001-07-30,2267.589
2001-07-31,2245.938
2001-08-01,2266.218
2001-08-02,2257.723
2001-08-03,2258.46
2001-08-06,2240.458
2001-08-07,2238.85
2001-08-08,2211.36
2001-08-09,2198.176
2001-08-10,2216.196
2001-08-13,2244.072
2001-08-14,2277.15
2001-08-15,2325.862
2001-08-16,2312.894
2001-08-17,2335.703
2001-08-20,2338.672
2001-08-21,2321.499
2001-08-22,2335.575
2001-08-23,2321.105
2001-08-24,2328.24
2001-08-27,2341.364
2001-08-28,2327.803
2001-08-29,2345.057
2001-08-30,2283.364
2001-08-31,2271.292
2001-09-03,2266.781
2001-09-04,2229.164
2001-09-05,2241.644
2001-09-06,2273.155
2001-09-07,2293.278
2001-09-10,2253.342
2001-09-11,2229.137
2001-09-12,2257.788
2001-09-13,2284.419
2001-09-14,2323.023
2001-09-17,2282.086
2001-09-18,2295.673
2001-09-19,2345.864
2001-09-20,2306.683
2001-09-21,2182.024
2001-09-24,2212.016
2001-09-25,2173.159
2001-09-26,2185.461
2001-09-27,2196.563
2001-09-28,2195.612
2001-10-01,2224.599
2001-10-02,2308.953
2001-10-03,2355.418
2001-10-04,2367.789
2001-10-05,2416.241
2001-10-08,2397.14
2001-10-09,2407.301
2001-10-10,2386.273
2001-10-11,2347.368
2001-10-12,2301.084
2001-10-15,2309.567
2001-10-16,2276.683
2001-10-17,2295.588
2001-10-18,2297.853
2001-10-19,2274.489
2001-10-22,2275.311
2001-10-23,2274.007
2001-10-24,2262.994
2001-10-25,2273.848
2001-10-26,2255.596
2001-10-29,2271.07
2001-10-30,2271.096
2001-10-31,2238.938
2001-11-01,2256.477
2001-11-02,2271.36
2001-11-05,2248.213
2001-11-06,2214.978
2001-11-07,2219.018
2001-11-08,2175.756
2001-11-09,2177.354
2001-11-12,2137.305
2001-11-13,2127.766
2001-11-14,2167.942
2001-11-15,2167.144
2001-11-16,2181.464
2001-11-19,2175.424
2001-11-20,2166.004
2001-11-21,2134.216
2001-11-22,2142.154
2001-11-23,2145.025
2001-11-26,2131.427
2001-11-27,2135.048
2001-11-28,2131.043
2001-11-29,2129.626
2001-11-30,2143.056
2001-12-03,2138.373
2001-12-04,2148.025
2001-12-05,2146.625
2001-12-06,2150.092
2001-12-07,2114.651
2001-12-10,2084.074
2001-12-11,2079.348
2001-12-12,2113.132
2001-12-13,2115.45
2001-12-14,2146.103
2001-12-17,2180.009
2001-12-18,2175.645
2001-12-19,2167.016
2001-12-20,2150.875
2001-12-21,2137.987
2001-12-24,2117.216
2001-12-25,2117.216
2001-12-26,2118.979
2001-12-27,2174.115
2001-12-28,2163.626
2001-12-31,2184.808
2002-01-01,2184.808
2002-01-02,2212.349
2002-01-03,2220.543
2002-01-04,2200.406
2002-01-07,2169.39
2002-01-08,2140.811
2002-01-09,2138.519
2002-01-10,2156.922
2002-01-11,2154.077
2002-01-14,2152.454
2002-01-15,2151.129
2002-01-16,2121.052
2002-01-17,2115.139
2002-01-18,2121.595
2002-01-21,2129.003
2002-01-22,2132.837
2002-01-23,2156.053
2002-01-24,2148.072
2002-01-25,2138.633
2002-01-28,2150.636
2002-01-29,2145.16
2002-01-30,2134.03
2002-01-31,2169.902
2002-02-01,2199.187
2002-02-04,2260.799
2002-02-05,2237.886
2002-02-06,2240.051
2002-02-07,2262.255
2002-02-08,2239.226
2002-02-11,2271.387
2002-02-12,2217.117
2002-02-13,2186.67
2002-02-14,2121.178
2002-02-15,2148.085
2002-02-18,2130.061
2002-02-19,2143.786
2002-02-20,2107.366
2002-02-21,2100.6
2002-02-22,2107.637
2002-02-25,2111.459
2002-02-26,2143.17
2002-02-27,2134.602
2002-02-28,2145.991
2002-03-01,2104.407
2002-03-04,2097.858
2002-03-05,2073.226
2002-03-06,2093.449
2002-03-07,2095.629
2002-03-08,2091.269
2002-03-11,2086.125
2002-03-12,2077.38
2002-03-13,2066.376
2002-03-14,2089.332
2002-03-15,2076.257
2002-03-18,2093.147
2002-03-19,2096.529
2002-03-20,2011.67
2002-03-21,2008.797
2002-03-22,1995.551
2002-03-25,1981.459
2002-03-26,1999.497
2002-03-27,1996.408
2002-03-28,1995.436
2002-03-29,1995.436
2002-04-01,2011.869
2002-04-02,1994.932
2002-04-03,1996.079
2002-04-04,1978.792
2002-04-05,1979.906
2002-04-08,1974.737
2002-04-09,1978.775
2002-04-10,1989.716
2002-04-11,2012.583
2002-04-12,2042.407
2002-04-15,2045.441
2002-04-16,2048.159
2002-04-17,2084.579
2002-04-18,2133.494
2002-04-19,2125.174
2002-04-22,2122.193
2002-04-23,2152.6
2002-04-24,2175.978
2002-04-25,2189.934
2002-04-26,2189.921
2002-04-29,2196.319
2002-04-30,2215.186
2002-05-01,2231.654
2002-05-02,2223.534
2002-05-03,2234.879
2002-05-06,2213.136
2002-05-07,2225.025
2002-05-08,2382.392
2002-05-09,2381.868
2002-05-10,2396.392
2002-05-13,2386.029
2002-05-14,2337.909
2002-05-15,2357.63
2002-05-16,2377.701
2002-05-17,2484.605
2002-05-20,2485.436
2002-05-21,2408.707
2002-05-22,2405.087
2002-05-23,2423.0
2002-05-24,2424.11
2002-05-27,2435.658
2002-05-28,2437.752
2002-05-29,2449.152
2002-05-30,2508.264
2002-05-31,2533.267
2002-06-03,2585.364
2002-06-04,2572.158
2002-06-05,2556.016
2002-06-06,2673.797
2002-06-07,2627.108
2002-06-10,2648.283
2002-06-11,2661.871
2002-06-12,2644.609
2002-06-13,2661.245
2002-06-14,2602.596
2002-06-17,2693.597
2002-06-18,2749.901
2002-06-19,2633.463
2002-06-20,2595.422
2002-06-21,2535.989
2002-06-24,2513.042
2002-06-25,2521.486
2002-06-26,2469.935
2002-06-27,2600.83
2002-06-28,2703.515
2002-07-01,2739.865
2002-07-02,2640.807
2002-07-03,2525.1
2002-07-04,2550.412
2002-07-05,2650.726
2002-07-08,2716.336
2002-07-09,2647.646
2002-07-10,2606.908
2002-07-11,2627.707
2002-07-12,2718.91
2002-07-15,2737.858
2002-07-16,2712.345
2002-07-17,2787.872
2002-07-18,2829.818
2002-07-19,2794.756
2002-07-22,2714.217
2002-07-23,2630.961
2002-07-24,2525.182
2002-07-25,2463.643
2002-07-26,2396.306
2002-07-29,2509.1
2002-07-30,2482.435
2002-07-31,2420.366
2002-08-01,2486.558
2002-08-02,2488.791
2002-08-05,2463.399
2002-08-06,2403.1
2002-08-07,2405.206
2002-08-08,2445.553
2002-08-09,2424.453
2002-08-12,2472.098
2002-08-13,2534.095
2002-08-14,2516.557
2002-08-15,2560.814
2002-08-16,2511.467
2002-08-19,2595.666
2002-08-20,2599.652
2002-08-21,2694.666
2002-08-22,2787.293
2002-08-23,2679.441
2002-08-26,2662.612
2002-08-27,2652.375
2002-08-28,2649.847
2002-08-29,2690.731
