Date,DENMARK MID VALUE Mid Cap
1994-05-31,1000.0
1994-06-30,1079.533
1994-07-29,1116.793
1994-08-31,1136.357
1994-09-30,1141.102
1994-10-31,1175.944
1994-11-30,1101.887
1994-12-30,1130.477
1995-01-31,1177.58
1995-02-28,1185.747
1995-03-31,1185.288
1995-04-28,1328.99
1995-05-31,1392.506
1995-06-30,1406.784
1995-07-31,1484.869
1995-08-31,1307.495
1995-09-29,1256.422
1995-10-31,1316.498
1995-11-30,1404.127
1995-12-29,1448.701
1996-01-31,1533.62
1996-02-29,1481.733
1996-03-29,1373.518
1996-04-30,1368.695
1996-05-31,1345.693
1996-06-28,1413.446
1996-07-31,1416.584
1996-08-30,1419.888
1996-09-30,1465.03
1996-10-31,1421.035
1996-11-29,1485.47
1996-12-31,1522.345
1997-01-31,1572.814
1997-02-28,1574.679
1997-03-31,1588.105
1997-04-30,1524.938
1997-05-30,1627.858
1997-06-30,1735.642
1997-07-31,1836.341
1997-08-29,1757.96
1997-09-30,1859.235
1997-10-31,1975.796
1997-11-28,1979.654
1997-12-31,2046.329
1998-01-30,2087.056
1998-02-27,2052.143
1998-03-31,2231.616
1998-04-30,2222.36
1998-05-29,2180.999
1998-06-30,2265.894
1998-07-31,2373.86
1998-08-31,2036.947
1998-09-30,1912.892
1998-10-30,2035.654
1998-11-30,1988.257
1998-12-31,2027.369
1999-01-29,1920.674
1999-02-26,1816.709
1999-03-31,1730.02
1999-04-30,1734.88
1999-05-31,1764.567
1999-06-30,1669.874
1999-07-30,1666.163
1999-08-31,1619.826
1999-09-30,1653.226
1999-10-29,1809.418
1999-11-30,1809.062
1999-12-31,1718.264
2000-01-31,1456.159
2000-02-29,1380.151
2000-03-31,1495.535
2000-04-28,1463.623
2000-05-31,1516.148
2000-06-30,1448.243
2000-07-31,1553.538
2000-08-31,1453.978
2000-09-29,1637.885
2000-10-31,2165.613
2000-11-30,2329.5
2000-12-29,2549.185
2001-01-31,2656.582
2001-02-28,2488.78
2001-03-30,1833.683
2001-04-30,2145.998
2001-05-31,2155.842
2001-06-29,2086.66
2001-07-31,2163.096
2001-08-31,2187.515
2001-09-28,2109.486
2001-10-31,2151.112
2001-11-30,2058.991
2001-12-31,2099.105
2002-01-31,2084.784
2002-02-28,2061.811
2002-03-29,1912.558
2002-04-30,2123.181
2002-05-31,2428.052
2002-06-28,2591.229
2002-07-31,2319.84
2002-08-30,2518.51
2002-09-30,2027.093
2002-10-31,2025.691
2002-11-29,2419.446
2002-12-31,2366.711
2003-01-31,2456.578
2003-02-28,2253.307
2003-03-31,2372.748
2003-04-30,2661.206
2003-05-30,3115.622
2003-06-30,3188.036
2003-07-31,3059.965
2003-08-29,3223.133
2003-09-30,3276.781
2003-10-31,3425.745
2003-11-28,3572.422
2003-12-31,3846.352
2004-01-30,4293.043
2004-02-27,4292.328
2004-03-31,4039.647
2004-04-30,3763.943
2004-05-31,3736.28
2004-06-30,3598.081
2004-07-30,3604.252
2004-08-31,3894.557
2004-09-30,3918.243
2004-10-29,4085.414
2004-11-30,4541.545
2004-12-31,4689.519
2005-01-31,4597.531
2005-02-28,4996.178
2005-03-31,4852.213
2005-04-29,4921.88
2005-05-31,5085.9
2005-06-30,4924.386
2005-07-29,5169.18
2005-08-31,6077.455
2005-09-30,6195.47
2005-10-31,6422.052
2005-11-30,6874.043
2005-12-30,6854.255
2006-01-31,7284.603
2006-02-28,7044.633
2006-03-31,7242.771
2006-04-28,8089.989
2006-05-31,8414.481
2006-07-31,1038.763
2006-08-31,1083.749
2006-09-29,1185.741
2006-10-31,1217.359
2006-11-30,1340.5
2007-05-31,1000.0
2007-06-29,893.018
2007-07-31,905.569
2007-08-31,896.82
2007-09-28,924.914
