Date,SWITZERLAND SMID CAP SMID (Small+Mid Cap)
1994-05-31,226.4
1994-06-30,229.13
1994-07-29,228.756
1994-08-31,233.346
1994-09-30,233.836
1994-10-31,234.957
1994-11-30,225.178
1994-12-30,228.617
1995-01-31,225.593
1995-02-28,232.742
1995-03-31,244.291
1995-04-28,246.339
1995-05-31,255.362
1995-06-30,263.986
1995-07-31,262.91
1995-08-31,248.736
1995-09-29,263.687
1995-10-31,261.561
1995-11-30,252.12
1995-12-29,259.796
1996-01-31,257.105
1996-02-29,263.601
1996-03-29,274.89
1996-04-30,269.071
1996-05-31,265.117
1996-06-28,265.149
1996-07-31,258.312
1996-08-30,265.944
1996-09-30,257.495
1996-10-31,257.187
1996-11-29,258.513
1996-12-31,252.672
1997-01-31,254.783
1997-02-28,253.322
1997-03-31,265.166
1997-04-30,267.905
1997-05-30,291.534
1997-06-30,303.112
1997-07-31,304.498
1997-08-29,300.716
1997-09-30,319.242
1997-10-31,316.928
1997-11-28,315.546
1997-12-31,316.954
1998-01-30,325.071
1998-02-27,354.925
1998-03-31,376.939
1998-04-30,389.451
1998-05-29,421.706
1998-06-30,406.596
1998-07-31,422.348
1998-08-31,354.921
1998-09-30,314.662
1998-10-30,356.04
1998-11-30,368.942
1998-12-31,375.331
1999-01-29,355.124
1999-02-26,349.212
1999-03-31,358.058
1999-04-30,366.698
1999-05-31,363.684
1999-06-30,362.074
1999-07-30,374.589
1999-08-31,376.173
1999-09-30,382.413
1999-10-29,385.627
1999-11-30,384.556
1999-12-31,409.049
2000-01-31,425.5
2000-02-29,445.407
2000-03-31,459.397
2000-04-28,434.522
2000-05-31,442.191
2000-06-30,469.067
2000-07-31,477.835
2000-08-31,479.177
2000-09-29,478.003
2000-10-31,449.779
2000-11-30,439.525
2000-12-29,476.056
2001-01-31,472.281
2001-02-28,440.442
2001-03-30,396.948
2001-04-30,398.112
2001-05-31,387.546
2001-06-29,371.955
2001-07-31,360.034
2001-08-31,351.912
2001-09-28,297.068
2001-10-31,312.401
2001-11-30,328.804
2001-12-31,333.453
2002-01-31,321.901
2002-02-28,319.325
2002-03-29,343.379
2002-04-30,353.499
2002-05-31,369.164
2002-06-28,352.98
2002-07-31,305.02
2002-08-30,298.608
2002-09-30,269.09
2002-10-31,279.519
2002-11-29,292.045
2002-12-31,288.749
2003-01-31,274.719
2003-02-28,256.364
2003-03-31,257.848
2003-04-30,287.951
2003-05-30,305.967
2003-06-30,303.192
2003-07-31,321.673
2003-08-29,338.899
2003-09-30,353.946
2003-10-31,378.577
2003-11-28,395.893
2003-12-31,422.668
2004-01-30,444.758
2004-02-27,444.542
2004-03-31,431.705
2004-04-30,431.365
2004-05-31,444.067
2004-06-30,457.361
2004-07-30,430.143
2004-08-31,430.571
2004-09-30,444.981
2004-10-29,459.729
2004-11-30,499.292
2004-12-31,516.433
2005-01-31,518.07
2005-02-28,551.092
2005-03-31,532.955
2005-04-29,514.633
2005-05-31,506.052
2005-06-30,508.905
2005-07-29,537.615
2005-08-31,553.368
2005-09-30,568.714
2005-10-31,548.022
2005-11-30,557.38
2005-12-30,581.606
2006-01-31,621.966
2006-02-28,628.853
2006-03-31,659.545
2006-04-28,712.048
2006-05-31,687.283
2006-06-30,681.639
2006-07-31,690.914
2006-08-31,713.016
2006-09-29,738.398
2006-10-31,774.618
2006-11-30,818.034
2006-12-29,858.079
2007-01-31,904.452
2007-02-28,896.827
2007-03-30,944.683
2007-04-30,995.126
2007-05-31,1000.0
2007-06-29,995.788
2007-07-31,977.041
2007-08-31,928.188
2007-09-28,946.239
2007-10-31,1000.638
2007-11-30,951.991
2007-12-31,940.65
2008-01-31,859.637
2008-02-29,907.087
2008-03-31,933.923
2008-04-30,936.444
2008-05-30,955.272
2008-06-30,883.805
2008-07-31,835.184
2008-08-29,813.517
2008-09-30,719.103
2008-10-31,542.152
2008-11-28,492.577
2008-12-31,557.686
2009-01-30,494.638
2009-02-27,446.221
2009-03-31,472.868
2009-04-30,549.126
2009-05-29,614.551
2009-06-30,607.919
2009-07-31,655.824
2009-08-31,710.311
2009-09-30,761.758
2009-10-30,726.872
2009-11-30,746.266
2009-12-31,755.521
2010-01-29,756.092
2010-02-26,737.149
2010-03-31,807.334
2010-04-30,789.129
2010-05-31,694.412
2010-06-30,727.388
2010-07-30,775.34
2010-08-31,787.247
2010-09-30,855.737
2010-10-29,891.649
2010-11-30,888.659
2010-12-31,992.455
2011-01-31,972.5
2011-02-28,992.13
2011-03-31,1008.828
2011-04-29,1086.761
2011-05-31,1077.945
2011-06-30,1019.352
2011-07-29,1010.234
2011-08-31,906.258
2011-09-30,766.504
2011-10-31,858.173
2011-11-30,796.466
2011-12-30,784.484
2012-01-31,830.24
2012-02-29,874.146
2012-03-30,882.028
2012-04-30,887.167
2012-05-31,776.573
2012-06-29,819.169
2012-07-31,815.503
2012-08-31,832.43
2012-09-28,865.588
2012-10-31,873.723
2012-11-30,886.143
2012-12-31,913.404
2013-01-31,973.648
2013-02-28,991.539
2013-03-29,993.422
2013-04-30,1029.844
2013-05-31,1028.783
2013-06-28,1016.563
2013-07-31,1093.282
2013-08-30,1090.67
2013-09-30,1164.028
2013-10-31,1225.063
2013-11-29,1246.042
2013-12-31,1288.318
2014-01-31,1285.712
2014-02-28,1373.385
2014-03-31,1374.911
2014-04-30,1401.083
2014-05-30,1402.941
2014-06-30,1429.432
2014-07-31,1385.602
2014-08-29,1410.932
2014-09-30,1334.093
2014-10-31,1326.958
2014-11-28,1367.073
2014-12-31,1334.119
2015-01-30,1334.563
2015-02-27,1431.015
2015-03-31,1425.398
2015-04-30,1501.373
2015-05-29,1502.736
2015-06-30,1452.826
2015-07-31,1499.127
2015-08-31,1416.971
2015-09-30,1346.032
2015-10-30,1435.95
2015-11-30,1425.403
2015-12-31,1460.035
2016-01-29,1375.074
2016-02-29,1399.792
2016-03-31,1504.764
2016-04-29,1526.027
2016-05-31,1529.488
2016-06-30,1493.84
2016-07-29,1568.07
2016-08-31,1576.945
2016-09-30,1604.446
2016-10-31,1538.86
2016-11-30,1537.855
2016-12-30,1589.158
2017-01-31,1685.958
2017-02-28,1738.639
2017-03-31,1786.824
2017-04-28,1888.213
2017-05-31,1986.86
2017-06-30,1989.875
2017-07-31,2045.11
2017-08-31,2036.834
2017-09-29,2100.039
2017-10-31,2118.493
2017-11-30,2135.627
2017-12-29,2187.352
2018-01-31,2336.31
2018-02-28,2224.298
2018-03-30,2145.171
2018-04-30,2148.177
2018-05-31,2169.121
2018-06-29,2166.472
2018-07-31,2231.824
2018-08-31,2294.738
2018-09-28,2234.719
2018-10-31,2029.993
2018-11-30,1956.733
2018-12-31,1829.684
2019-01-31,1971.093
2019-02-28,2030.242
2019-03-29,2069.335
2019-04-30,2170.866
2019-05-31,2133.197
2019-06-28,2311.881
2019-07-31,2256.639
2019-08-30,2235.788
2019-09-30,2273.127
2019-10-31,2351.313
2019-11-29,2406.823
2019-12-31,2535.34
2020-01-31,2549.477
2020-02-28,2363.402
2020-03-31,2092.305
2020-04-30,2230.452
2020-05-29,2395.893
2020-06-30,2445.429
2020-07-31,2575.696
2020-08-31,2750.052
2020-09-30,2710.001
2020-10-30,2579.981
2020-11-30,2927.214
2020-12-31,3091.751
2021-01-29,3089.294
2021-02-26,3104.513
2021-03-31,3152.954
2021-04-30,3287.21
2021-05-31,3508.701
2021-06-30,3494.78
2021-07-30,3654.739
2021-08-31,3668.749
2021-09-30,3422.501
2021-10-29,3604.298
2021-11-30,3440.828
2021-12-31,3677.552
2022-01-31,3353.066
2022-02-28,3263.294
2022-03-31,3263.598
2022-04-29,2981.231
2022-05-31,2903.755
2022-06-30,2628.102
2022-07-29,2831.143
2022-08-31,2641.573
2022-09-30,2373.532
2022-10-31,2459.012
2022-11-30,2730.065
2022-12-30,2780.674
2023-01-31,3062.661
2023-02-28,3042.495
2023-03-31,3138.081
2023-04-28,3261.866
2023-05-31,3113.782
2023-06-30,3154.073
2023-07-31,3367.918
2023-08-31,3232.744
2023-09-29,3014.444
2023-10-31,2893.242
2023-11-30,3212.66
2023-12-29,3440.974
2024-01-31,3323.037
2024-02-29,3262.438
2024-03-29,3303.185
2024-04-30,3181.686
2024-05-31,3435.75
2024-06-28,3394.654
2024-07-31,3553.175
2024-08-30,3692.021
2024-09-30,3744.099
2024-10-31,3538.967
2024-11-29,3466.273
2024-12-31,3327.276
2025-01-31,3547.796
2025-02-28,3521.401
2025-03-31,3466.283
2025-04-30,3729.849
2025-05-30,3987.789
2025-06-30,4124.376
2025-07-31,4196.976
2025-08-29,4278.198
