Date,SWITZERLAND SMID CAP SMID (Small+Mid Cap)
2001-01-01,489.607
2001-01-02,493.415
2001-01-03,485.077
2001-01-04,489.105
2001-01-05,488.864
2001-01-08,487.569
2001-01-09,483.642
2001-01-10,481.265
2001-01-11,485.645
2001-01-12,486.299
2001-01-15,482.486
2001-01-16,481.152
2001-01-17,482.445
2001-01-18,494.605
2001-01-19,489.658
2001-01-22,485.863
2001-01-23,483.709
2001-01-24,479.32
2001-01-25,482.843
2001-01-26,483.091
2001-01-29,482.158
2001-01-30,483.973
2001-01-31,485.724
2001-02-01,488.317
2001-02-02,482.843
2001-02-05,487.67
2001-02-06,484.422
2001-02-07,483.238
2001-02-08,476.588
2001-02-09,475.273
2001-02-12,476.788
2001-02-13,472.764
2001-02-14,467.865
2001-02-15,463.009
2001-02-16,464.085
2001-02-19,464.714
2001-02-20,460.217
2001-02-21,458.379
2001-02-22,451.359
2001-02-23,448.68
2001-02-26,452.03
2001-02-27,455.355
2001-02-28,452.971
2001-03-01,445.015
2001-03-02,447.682
2001-03-05,446.535
2001-03-06,452.474
2001-03-07,453.816
2001-03-08,455.415
2001-03-09,451.331
2001-03-12,442.977
2001-03-13,436.143
2001-03-14,424.757
2001-03-15,421.52
2001-03-16,413.273
2001-03-19,412.231
2001-03-20,415.95
2001-03-21,405.17
2001-03-22,385.373
2001-03-23,397.545
2001-03-26,405.34
2001-03-27,408.683
2001-03-28,406.363
2001-03-29,403.027
2001-03-30,408.126
2001-04-02,403.729
2001-04-03,396.402
2001-04-04,398.006
2001-04-05,401.723
2001-04-06,403.549
2001-04-09,404.887
2001-04-10,403.892
2001-04-11,406.463
2001-04-12,411.314
2001-04-13,411.314
2001-04-16,407.13
2001-04-17,405.368
2001-04-18,405.096
2001-04-19,414.972
2001-04-20,416.113
2001-04-23,412.274
2001-04-24,411.721
2001-04-25,409.843
2001-04-26,413.246
2001-04-27,409.27
2001-04-30,409.053
2001-05-01,410.271
2001-05-02,413.115
2001-05-03,413.103
2001-05-04,412.821
2001-05-07,413.632
2001-05-08,411.748
2001-05-09,410.556
2001-05-10,411.796
2001-05-11,410.325
2001-05-14,407.692
2001-05-15,410.447
2001-05-16,412.807
2001-05-17,415.703
2001-05-18,414.542
2001-05-21,414.023
2001-05-22,413.222
2001-05-23,409.426
2001-05-24,408.413
2001-05-25,405.374
2001-05-28,404.984
2001-05-29,402.456
2001-05-30,401.187
2001-05-31,397.15
2001-06-01,397.734
2001-06-04,398.643
2001-06-05,401.726
2001-06-06,400.452
2001-06-07,402.823
2001-06-08,401.363
2001-06-11,397.863
2001-06-12,395.565
2001-06-13,398.195
2001-06-14,398.265
2001-06-15,396.811
2001-06-18,392.854
2001-06-19,389.688
2001-06-20,381.54
2001-06-21,383.095
2001-06-22,382.987
2001-06-25,386.338
2001-06-26,381.809
2001-06-27,381.538
2001-06-28,379.462
2001-06-29,380.986
2001-07-02,380.853
2001-07-03,378.273
2001-07-04,376.805
2001-07-05,370.689
2001-07-06,369.388
2001-07-09,368.547
2001-07-10,369.525
2001-07-11,368.154
2001-07-12,368.196
2001-07-13,366.192
2001-07-16,366.317
2001-07-17,361.242
2001-07-18,371.222
2001-07-19,373.832
2001-07-20,373.087
2001-07-23,369.68
2001-07-24,369.556
2001-07-25,368.975
2001-07-26,365.543
2001-07-27,366.025
2001-07-30,367.715
2001-07-31,368.771
2001-08-01,373.467
2001-08-02,376.419
2001-08-03,377.52
2001-08-06,373.878
2001-08-07,372.065
2001-08-08,369.978
2001-08-09,370.032
2001-08-10,370.434
2001-08-13,371.986
2001-08-14,372.935
2001-08-15,376.454
2001-08-16,373.395
2001-08-17,371.474
2001-08-20,368.158
